А́ԥсуа бызшәа́ , аԥсшәа, аԥсашәа (, апсашва, , ) — Аԥсны ҳәынҭқарра бызшәас иамоуп. Ихалхно — 125 000 ҩык.	apʰswa bəzʃʷa , apʰsʃʷa , apʰsaʃʷa , apʼsaʂva , apʰsnə ħʷəntʰkʰarra bəzʃʷas jamowpʼ . iχalχno ʃʷi ɥˤaʒʷi χʷba nəzkʰʲ ɥˤəkʼ .
2010-2011 шш.-рзы С. Багаԥшь хықәкыла дазҿлымҳан Аԥсны жәларбжьаратәи аҳәынҭқаррақәа иазхарҵац 2010 ш-зы уи дырҭааит атәылақәа Урыстәыла, Куба, Венесуела, Никарагуа, уи урҭ рыбжьара имҩаԥигон аиҿцәажәарақәа.	ɥˤnəzkʰʲ ʒʷaba inarkʼnə ɥˤnəzkʰʲ ʒʷejza rqʼənd͡za ʂəkʷʰsakʷʰa rzə s . baɡapʰʃ χəkʷʰkʼəla dazt͡ʂʼləmħan apʰsnə ʒʷlarbʒaratʷʼi aħʷəntʰkʰarrakʷʰa jazχart͡sʼat͡sʰ ɥˤnəzkʰʲ ʒʷaba ʂ zə uj dərtʰaajtʼ atʷʼəlakʷʰa urəstʷʼəla , kʼuba , veneswela , nikʼaraɡwa , uj urtʰ rəbʒara imɥˤapʰiɡon ajt͡ʂʼt͡ɕʷʰaʒʷarakʷʰa .
Мрагыларатә Қырҭтәылаҟны хбарроуп, аҳауа иконтиненталуп, аԥхын ԥхарроуп, аӡынра иаҩцацәам, мраҭашәаратә Қырҭтәылаҟны, Амшын еиқәа агаҿы иԥхоу, асубтропикатә ҳауа ыҟоуп.	mraɡəlaratʷʼ kʰərtʰtʷʼəlaqʼnə χbarrowpʼ , aħawa ikʼontʼinentʼalupʼ , apʰχən pʰχarrowpʼ , ad͡zənra jaɥˤt͡sʰat͡ɕʷʰam , mratʰaʃʷaratʷʼ kʰərtʰtʷʼəlaqʼnə , amʂən ejkʷʰa aɡat͡ʂʼə ipʰχow , asubtʼropʼikʼatʷʼ ħawa əqʼowpʼ .
Ардзинба В. Г. К истории культа железа и кузнечного ремесла (почитание кузницы у абхазов) // Древний Восток: этнокультурные связи. — М.: Наука: Главная редакция восточной литературы, 1988. — С. 263—306.	ardzinba v . ɡ . kʼ istʼorij kʼulʲtʼa ʐeleza i kʼuznet͡ʃʰnoɡo remesla pʼot͡ʃʰitʼanje kʼuznit͡sʰə u abχazov drevnij vostʼokʼ , etʼnokʼulʲtʼurnəe svjazi . m , nawkʼa , ɡlavnaja redakʼt͡sʰija vostʼot͡ʃʰnoj litʼeratʼurə , zkʰʲə ʒʷʃʷi pʰʃənɥˤaʒʷi aaba . s . ɥˤəʃʷi χənɥˤaʒʷi χpʰa inarkʼnə χəʃʷi fba rqʼənd͡za .
АХӘҬАҶ 52. Аԥсны Ахада изинмчхарақәа неигӡонаҵы, аполитикатә партиақәеи ауаажәларратә хеидкыларақәеи иҽрылаирхәуам.	aχʷtʰat͡ʃʼ ɥˤənɥˤaʒʷi ʒʷaɥˤa . apʰsnə aχada izinmt͡ʃʰχarakʷʰa nejɡd͡zonat͡sʼə , apʼolitʼikʼatʷʼ pʼartʼjakʷʰej awaaʒʷlarratʷʼ χejdkʼəlarakʷʰej it͡ʂʰrəlajrχʷwam .
Аҳабла Ашыцра асоветтә аамҭаразы ақыҭа иалҵит, иҿыҵу ақыҭ Хыԥсҭа иадҳәалеит иара.	aħabla aʂət͡sʰra asovetʼtʷʼ aamtʰarazə akʰətʰa jalt͡sʼitʼ , it͡ʂʼət͡sʼu akʰətʰ χəpʰstʰa jadħʷalejtʼ jara .
От первого лица. Разговоры с Владимиром Путиным / Сост. Н. Геворкян, А. Колесников, Н. Тимакова. — М.: Вагриус, 2000. — 192 с. — .	otʼ pʼervoɡo lit͡sʰa . razɡovorə s vladimirom pʼutʼinəm sostʼ . n . ɡevorkʼjan , a . kʼolesnikʼov , n . tʼimakʼova . m , vaɡriws , ɥˤnəzkʰʲ . ʃʷi pʰʃənɥˤaʒʷi ʒʷaɥˤa s .
Кавказ от кризиса к развитию: [конференция о перспективах укрепления стабильности на Кавказе]//Нужная газета. - 2000. - 16 июля, (№ 28). - С.8.	kʼavkʼaz otʼ kʼrizisa kʼ razvitʼiju , kʼonferent͡sʰija o pʼerspʼekʼtʼivaχ ukʼrepʼlenija stʼabilʲnostʼi na kʼavkʼaze nuʐnaja ɡazetʼa . ɥˤnəzkʰʲ . ʒʷaf ijulja , ɥˤaʒʷi aaba . s . aaba .
«Абӷаџьма еҵәаџьаа» аҿы Искандер асахьа ҭихуеит акомпаниа имҩаԥнагоз аусқәа ахы инаркны: лҵшәа змамыз агәыӷрақәеи, урҭ реилабгара афинал бааԥс аҟынӡа. Драматизмла иҭәу афинал аибарххара, ииасуа аамҭа аестетика аҵубаауеит, аҩымҭа афырхаҵа имчқәа ҭаланы, игәацԥыҳәарала иаҳирбоит уи изыԥшу аиааира ҿыцқәа, аповест афинал аҿы аҽеибыҭара иаҿуи, даҽа компаниа ҿыцк.	abʁad͡ʒma et͡ɕʼʷad͡ʒaa at͡ʂʼə iskʼander asaχʲa tʰiχwejtʼ akʼompʼanja imɥˤapʰnaɡoz awskʷʰa aχə inarkʼnə , lt͡sʼʃʷa zmaməz aɡʷəʁrakʷʰej , urtʰ rejlabɡara afinal baapʰs aqʼənd͡za . dramatʼizmla itʷʰu afinal ajbarχχara , ijaswa aamtʰa aestʼetʼikʼa at͡sʼubaawejtʼ , aɥˤəmtʰa afərχat͡sʼa imt͡ʃʰkʷʰa tʰalanə , iɡʷat͡sʰpʰəħʷarala jaħirbojtʼ uj izəpʰʂu ajaajra t͡ʂʼət͡sʰkʷʰa , apʼovestʼ afinal at͡ʂʼə at͡ʂʰejbətʰara jat͡ʂʼuj , dat͡ʂʰa kʼompʼanja t͡ʂʼət͡sʰkʼ .
Ақырҭуа еиҳабыра астанциақәа рыхьӡқәа рыԥсахуа иалагеит, аурыси аԥсуа хьыӡқәеи рхыхны ақырҭуа хьыӡқәа рхырҵо иалагеит. Убас, Гьечрыԥшь еиҭакын - Ҭхьеми хәа, Жәандрыԥшь - Шавцхела, Арсаул – Санаԥиро, Аӡҩыбжьа - Цкургели. 1993 ш. ашьҭахь, станциақәак еиҭа рыхьыӡқәа ԥсахын (Ҭхьеми - Чыгрыԥшь, Шавцхьела - Мҷышьҭа, Санапиро – Цәкәара ҳәа).	akʰərtʰwa ejħabəra astʼant͡sʰjakʷʰa rəχʲd͡zkʷʰa rəpʰsaχwa jalaɡejtʼ , awrəsi apʰswa χʲəd͡zkʷʰej rχəχnə akʰərtʰwa χʲəd͡zkʷʰa rχərt͡sʼo jalaɡejtʼ . ubas , ɡʲet͡ʃʰrəpʰʃ ejtʰakʼən tʰχʲemi χʷa , ʒʷandrəpʰʃ ʂavt͡sʰχela , arsawl sanapʰiro , ad͡zɥˤəbʒa t͡sʰkʼurɡeli . zkʰʲə ʒʷʃʷi pʰʃənɥˤaʒʷi ʒʷaχa ʂəkʷʰsa aʃtʰaχʲ , stʼant͡sʰjakʷʰakʼ ejtʰa rəχʲəd͡zkʷʰa pʰsaχən tʰχʲemi t͡ʃʰəɡrəpʰʃ , ʂavt͡sʰχʲela mt͡ʃʼəʃtʰa , sanapʼiro t͡ɕʷʰkʼʷara ħʷa .
