Башҡортостан Республикаһы шулай уҡ Башҡортостан — Рәсәй Федерацияһы һәм Башҡортостан Республикаһы Конституцияларына ярашлы, үҙаллы демократик дәүләт . Рәсәй Федерацияһы субъекты. Волга буйы федераль округына һәм Урал иҡтисади районына ҡарай. Пермь крайы, Свердловск, Силәбе, Ырымбур өлкәләре, Татарстан һәм Удмурт республикалары менән сиктәш.	bɑʃqʊɾtʊsˈtɑn ɾɪspubɫikɑˈhɯ ʃuˈɫɑj ˈuq bɑʃqʊɾtʊsˈtɑn ɾæˈsæj fɪdɪɾɑt͡sijɑˈhɯ ˈhæm bɑʃqʊɾtʊsˈtɑn ɾɪspubɫikɑˈhɯ kʊnstitut͡sijɑɫɑɾɯˈnɑ jɑɾɑʃˈɫɯ , yðɑɫˈɫɯ dʲˈeməkrətʲɪk dæwˈlæt . ɾæˈsæj fɪdɪɾɑt͡sijɑˈhɯ sʊbjˈektɨ . wʊɫˈɡɑ buˈjɯ fʲˈedʲɪrəlʲ ʊkɾuɡɯˈnɑ ˈhæm uˈɾɑɫ iqtisɑˈdi ɾɑjʊnɯˈnɑ qɑˈɾɑj . ˈpɪɾm kɾɑˈjɯ , svʲɪrdɫˈofsk , silæˈbɪ , ɯɾɯmˈbuɾ ølkælæˈɾɪ , tɑtɑɾsˈtɑn ˈhæm udˈmuɾt rʲˈespʊblʲɪkəɫərɨ mɪˈnæn sikˈtæʃ .
Логика, уға грамматика һәм риторика ла инә.	ɫʊɡiˈkɑ , uˈʁɑ ɡɾɑmmɑtiˈkɑ ˈhæm ɾitʊɾiˈkɑ ˈɫɑ iˈnæ .
Греция менән Төркиә араһындағы Эгей диңгеҙе.	ɡɾɪt͡siˈjɑ mɪˈnæn tøɾkiˈæ ɑɾɑhɯndɑˈʁɯ ɪˈɡɪj diŋɡɪˈðɪ .
Саранск ҡалаһы Мордва Республикаһының көнсығыш өлөшөндә урынлашҡан. Мәскәүҙән тура юлдан 500 километрҙа ятһа ла, әммә Саранск федераль трассаларҙан ситтә ятҡанлыҡтан, автомобиль юлынан араһы 642 км тәшкил итә . Иң яҡын төбәк үҙәге — Пенза (128 км) . Географик координаталар (ҡала үҙәге): төньяҡ киңлектән 54°11′ һәм көнсығыш оҙонлоҡтан 45°11′.	sɑˈɾɑnsk qɑɫɑˈhɯ mʊɾdˈwɑ ɾɪspubɫikɑhɯˈnɯŋ kønsɯˈʁɯʃ øløʃønˈdæ uɾɯnɫɑʃˈqɑn . mæskæwˈðæn tuˈɾɑ juɫˈdɑn ˈbiʃ ˈjøð kiɫʊmɪtɾˈðɑ jɑtˈhɑ ˈɫɑ , æmˈmæ sɑˈɾɑnsk fʲˈedʲɪrəlʲ tɾɑssɑɫɑɾˈðɑn sitˈtæ jɑtqɑnɫɯqˈtɑn , ɑwtʊmʊˈbiɫ juɫɯˈnɑn ɑɾɑˈhɯ ɑɫˈtɯ ˈjøð ˈqɯɾq iˈkɪ kʲɪɫɐmʲˈetr tæʃˈkil iˈtæ . ˈiŋ jɑˈqɯn tøˈbæk yðæˈɡɪ pʲˈenzə ˈjøð jɪɡɪɾˈmɪ hiˈɡɪð kʲɪɫɐmʲˈetr . ɡʲˈeəɡrəfʲɪk kʊʊɾdinɑtɑˈɫɑɾ qɑˈɫɑ yðæˈɡɪ , tøˈnjɑq kiŋlɪkˈtæn ilˈlɪ ˈdyɾt ɡɾɑˈdus ˈun ˈbɪɾ ˈhæm kønsɯˈʁɯʃ ʊðʊnɫʊqˈtɑn ˈqɯɾq ˈbiʃ ɡɾɑˈdus ˈun ˈbɪɾ .
Сәйәси фәлсәфә ил, хөкүмәт, ил граждандары төшөнсәләренә бәйле; айырым шәхестәрҙең һәм йәмғиәттең дәүләткә ҡарата мөнәсәбәтен өйрәнә. Ғәҙеллек, ҡанун, мөлкәт, граждандарҙың хоҡуҡтары һәм бурыстарын тикшерә.	sæjæˈsi fælsæˈfæ ˈil , χøkyˈmæt , ˈil ɡɾɑʒdɑndɑˈɾɯ tøʃønsælæɾɪˈnæ bæjˈlɪ , ɑjɯˈɾɯm ʃæχɪstæɾˈðɪŋ ˈhæm jæmʁiætˈtɪŋ dæwlætˈkæ qɑɾɑˈtɑ mønæsæbæˈtɪn øjɾæˈnæ . ʁæðɪlˈlɪk , qɑˈnun , mølˈkæt , ɡɾɑʒdɑndɑɾˈðɯŋ χʊquqtɑˈɾɯ ˈhæm buɾɯstɑˈɾɯn tikʃɪˈɾæ .
Районда 55 дөйөм белем биреү мәктәбе, шул иҫәптән 21 урта мәктәп, Ҡаран ПУ, 28 китапхана, 53 клуб, 3 дауахана бар.	ɾɑjʊnˈdɑ ilˈlɪ ˈbiʃ døˈjøm bɪˈlɪm biˈɾɪw mæktæˈbɪ , ˈʃuɫ iθæpˈtæn jɪɡɪɾˈmɪ ˈbɪɾ uɾˈtɑ mækˈtæp , qɑˈɾɑn ˈpu , jɪɡɪɾˈmɪ hiˈɡɪð kitɑpχɑˈnɑ , ilˈlɪ ˈøs kˈɫub , ˈøs dɑwɑχɑˈnɑ ˈbɑɾ .
Солтангазина Г. Н. (Сөләймәнова) — был яҡтарҙа беренсе табип	sʊɫtɑnɡɑziˈnɑ ˈɡɪ ˈɪn søɫæjmænʊˈwɑ ˈbɯɫ jɑqtɑɾˈðɑ bɪɾɪnˈsɪ tɑˈbip
Үрге Арша () — Башҡортостандың Белорет районындағы ауыл. 2010 йылдың 14 октябренә ҡарата халыҡ һаны 119 кеше, ҡатай ырыуы башҡорттары ере .	yɾˈɡɪ ɑɾˈʃɑ bɑʃqʊɾtʊstɑnˈdɯŋ bʲˈeɫərʲɪt ɾɑjʊnɯndɑˈʁɯ ɑˈwɯɫ . iˈkɪ ˈmɪŋ ˈun jɯɫˈdɯŋ ˈun ˈdyɾt ʊktjɑbɾɪˈnæ qɑɾɑˈtɑ χɑˈɫɯq hɑˈnɯ ˈjøð ˈun tuˈʁɯð kɪˈʃɪ , qɑˈtɑj ɯɾɯˈwɯ bɑʃqʊɾttɑˈɾɯ jɪˈɾɪ .
Һарғая () — Башҡортостандың Бөрйән районындағы ауыл. 2010 йылдың 14 октябренә ҡарата халыҡ һаны 146 кеше .	hɑɾʁɑˈjɑ bɑʃqʊɾtʊstɑnˈdɯŋ bøɾˈjæn ɾɑjʊnɯndɑˈʁɯ ɑˈwɯɫ . iˈkɪ ˈmɪŋ ˈun jɯɫˈdɯŋ ˈun ˈdyɾt ʊktjɑbɾɪˈnæ qɑɾɑˈtɑ χɑˈɫɯq hɑˈnɯ ˈjøð ˈqɯɾq ɑɫˈtɯ kɪˈʃɪ .
Ауыл советы үҙәгенә тиклем (Бирҙәш): 6 км	ɑˈwɯɫ sɐvʲˈetɨ yðæɡɪˈnæ tikˈlɪm biɾˈðæʃ , ɑɫˈtɯ kʲɪɫɐmʲˈetr
