بلؤچی زبان یک مزنئیں زبانئ مه ئیران،پاکستان و اوگانستان تها.	bluːt͡ʃiː zbaːn jak mzniː̃ zbaːn mh iːraːn , paːkst̪aːn wa aːwɡaːnst̪aːn t̪haː .
آهر زمان وهد ته مسلمانی عقیده عیسی گون حضرت مهدی هور بیت و دجال کوشیت و پیش مهدی نماز وانت.	aːhr zmaːn whd̪ t̪ah mslmaːniː kiːd̪h iːsiː ɡwan hzrt̪ mhd̪iː huːr biːt̪ wa d̪d͡ʒaːl kuːʃiːt̪ wa piːʃ mhd̪iː nmaːz waːnt̪ .
بلوچستان (پاکستان), (1970- ) یا روچ‌دراتین بلوچستان، انونین وختا پاکستان مزنین ولایت یا ایالت اینت که شه سال ۱۹۴۷ تا ۱۹۴۸ میلادیا یک وت واکین ملکی ات.	bluːt͡ʃst̪aːn paːkst̪aːn , hazaːru noː sad̪u hapt̪aːd̪ jaː ruːt͡ʃd̪raːt̪iːn bluːt͡ʃst̪aːn , aːnuːniːn wxt̪aː paːkst̪aːn mzniːn wlaːjt̪ jaː aːjaːlt̪ aːjnt̪ kh ʃh saːl hazaːru noː sad̪u t͡ʃihilu hapt̪ t̪aː hazaːru noː sad̪u t͡ʃihilu haʃt̪ miːlaːd̪jaː jak wt̪ waːkiːn mlkiː aːt̪ .
حاجی نورعلی خان و حاجی مولوی محی الدین بلوچ شه ای قومی مذنینانه توانن که نام ګیفت	haːd͡ʒiː nuːrliː xaːn wa haːd͡ʒiː muːlwj mhiː aːld̪iːn baloːt͡ʃ ʃh aːj kuːmiː mzniːnaːnh t̪waːnn kh naːm ɡiːft̪
سینګ بهء ډیګاریء دیماء بهء موادیاء ګُشتهءآ بیت که شه یک یا چینکهء کانیءین موادان که ګون یکدیګرا پیوند دارنت ، جوړ بُوته ګنت.	seːnaɡ bh ɖiːɡaːriː d̪iːmaː bh mwaːd̪jaː ɡuʃt̪haː biːt̪ kh ʃh jak jaː t͡ʃiːnkh kaːniːiːn mwaːd̪aːn kh ɡwan jkd̪iːɡraː pjwnd̪ d̪aːrnt̪ , d͡ʒuːɽ buːt̪h ɡnt̪ .
قرآن کریم شه الله تعالی جل جلاله طرفه په مسلمانانی رهنمایی خاطرا یک شه چار اسمانیءین کتابان اینت که بهء حضرت محمد صل الله علیه وصلم سره نازل بونهءګ اینت	kraːn kriːm ʃh aːllh t̪aːliː d͡ʒl d͡ʒlaːlh t̪rfh ph mslmaːnaːniː rhnmaːjj xaːt̪raː jak ʃh t͡ʃaːr aːsmaːniːiːn kt̪aːbaːn aːjnt̪ kh bh hzrt̪ mhmd̪ sl aːllh liːh wslm srh naːzl buːnhɡ aːjnt̪
مروچین روچا مزنین بلوچستان رسمیءین زبان بلوچی اینت که ای زبان هم یکی شه ایرانیءین زبانان اینت.	mruːt͡ʃiːn ruːt͡ʃaː mzniːn bluːt͡ʃst̪aːn rsmiːiːn zbaːn bluːt͡ʃiː aːjnt̪ kh aːj zbaːn hm jkiː ʃh aːjraːniːiːn zbaːnaːn aːjnt̪ .
ای حزب سالی 1937 بی قلاتی شاری تا تاسیس بوت انګریزانی مقابلا . یک عادی حزب اینت و غیر مخالف دولت پاکستانا.	aːj hzb saːliː hazaːru noː sad̪u siːu hapt̪ biː klaːt̪iː ʃaːriː t̪aː t̪aːsiːs boːt̪ aːnɡriːzaːniː mkaːblaː . jak aːd̪iː hzb aːjnt̪ wa ɣiːr mxaːlf d̪uːlt̪ paːkst̪aːnaː .
تاسیس ای تنظیم بی سالی 1962 تاسیس بوت ، ای حزب پری منطقهءها شه دیګرین مناطقان بلوچستانیا جتا زانت. تا ۱۹۶۹ یحی خانی وختا ګون پاکستانا جنګه کورتنت .	t̪aːsiːs aːj t̪nziːm biː saːliː hazaːru noː sad̪u ʃast̪u d̪oː t̪aːsiːs boːt̪ , aːj hzb priː mnt̪khhaː ʃh d̪iːɡriːn mnaːt̪kaːn bluːt͡ʃst̪aːnjaː d͡ʒit̪aː zaːnt̪ . t̪aː hazaːru noː sad̪u ʃast̪u noː jhiː xaːniː wxt̪aː ɡwan paːkst̪aːnaː d͡ʒnɡh kuːrt̪nt̪ .
نواب خیربخش مری بلوچانی یک مزنین رهبری اینت که بیء سالی ۱۹۲۸ تا بی فبروری ۲۸ بی بلوچستانی کوہلو منطقهءیی تا پیدا بوته.	nwaːb xiːrbxʃ mriː bluːt͡ʃaːniː jak mzniːn rhbriː aːjnt̪ kh biː saːliː hazaːru noː sad̪u biːst̪u haʃt̪ t̪aː biː fbruːriː biːst̪u haʃt̪ biː bluːt͡ʃst̪aːniː kuːhluː mnt̪khjj t̪aː piːd̪aː buːt̪h .
جمهوری آذربایجان کپکازمزنین ملک و اروپا و آسیای جنوب غربی وصل کنوک و خزری دریاب ی کنیکا موکیعت داریت . آیی پایتخت باکو اینت.	d͡ʒmhuːriː aːzrbaːjd͡ʒaːn kpkaːzmzniːn mlk wa aːruːpaː wa aːsjaːj d͡ʒnuːb ɣrbiː wsl knuːk wa xzriː d̪rjaːb j kniːkaː muːkiːt̪ d̪aːriːt̪ . aːjj paːjt̪xt̪ baːkuː aːjnt̪ .
