རྗེ་བཙུན་མི་ལ་རས་པ། (1040 - 1123) ནི་ཡོངས་གྲགས་སུ་སྙན་ངག་མཁས་ཅན་དང་རྣལ་འབྱོར་བ་ཞིག་ཡིན། དྭགས་པོ་བཀའ་བརྒྱུད་པའི་བླ་མ་སྙན་གྲགས་ཅན་ཞིག་ཡིན་པར་མ་ཟད། མར་པ་ལོ་ཙཱ་བ་ཆོས་ཀྱི་བློ་གྲོས་ཀྱི་ཐུགས་སྲས་ཤིག་རེད། ཁོང་གིས་མགུར་མ་སྙན་པོ་མང་པོ་བཞེངས་ཡོད། ཐུགས་སྲས་གཙོ་བོ་ལ་ནི་དྭགས་པོ་ལྷ་རྗེ་དང་རྗེ་རས་ཆུང་པ་གཉིས་ཡོད་རེད།	t͡ɕe˩t͡sỹː˥mi˥la˥ɻɛː˥pa˥ , toŋ˥taŋ˥ɕi˥t͡ɕu˥ nɛː˩ toŋ˥taŋ˥kʲa˥taŋ˥ɲeː˥sum˥ pʰaː˩ , ni˩joŋ˥ʈ͡ʂaʔ˥su˥ɲɛ̃ː˥ŋaʔ˥kʰɛː˥t͡ɕɛ̃ː˥taŋ˥nɛː˥t͡ɕoː˥pa˥ɕiʔ˥jĩː˥ , tʰaʔ˩po˥kaː˥kʲyʔ˥pai˥la˥ma˥ɲɛ̃ː˥ʈ͡ʂaʔ˥t͡ɕɛ̃ː˥ɕiʔ˥jĩː˥paː˥ma˥sɛʔ˥ , maː˩pa˥lo˥t͡sa˥pa˥t͡ɕʰøː˥kʲi˥lo˥ʈ͡ʂøː˥kʲi˥tʰuʔ˥ʂɛː˥ɕiʔ˥ɻeʔ˥ , kʰoŋ˥kiː˥kuː˥ma˥ɲɛ̃ː˥po˥maŋ˥po˥ɕeŋ˥jøʔ˥ , tʰuʔ˥ʂɛː˥t͡so˥po˥la˥ni˥taʔ˥po˥ɬa˥t͡ɕe˥taŋ˥t͡ɕe˥ɻɛː˥t͡ɕʰuŋ˥pa˥ɲiː˥jøʔ˥ɻeʔ˥
ཏཱ་ལའི་བླ་མ་མཆོག་གིས་ཁོང་གི་རྩོམ་ཡིག་"སྙིང་རྗེའི་ཀུན་སྤྱོད"(1999)ཞེས་པའི་ནང་གལ་ཏེ་ང་ཚོས་སྙིང་རྗེ་དེ་ང་ཚོས་བརྩེ་བ་ཡོད་མཁན་ཁོ་ནར་ཉར་ཚགས་བྱས་ན། མཐའ་མར་ང་ཚོས་སྙིང་རྗེའི་སྤུས་ཚད་དེ་མི་ཚེའི་ཆ་ཤས་ཤིག་ཏུ་འགྱུར་རྒྱུ་ཡིན་པ་ཤེས་རྟོགས་བྱུང་ནས་མིའི་སྤུས་ཚད་དང་ནང་སེམས་ཀྱི་སྟོབས་ཤུགས་ལ་སྐུལ་འདེད་གཏོང་རྒྱུ་ཡིན་ཞེས་བྲིས་ཡོད།	ta˥lai˥la˥ma˥t͡ɕʰoʔ˥kiː˥kʰoŋ˥ki˥t͡som˥jiʔ˥ ɲiŋ˥t͡ɕei˥kỹː˥t͡ɕøʔ˥ toŋ˥taŋ˥ku˥kʲa˥taŋ˥ko˥ku˥ ɕeː˩pai˥naŋ˥kɛː˥te˥ŋa˥t͡sʰøː˥ɲiŋ˥t͡ɕe˥te˥ŋa˥t͡sʰøː˥t͡se˥pa˥jøʔ˥kʰɛ̃ː˥kʰo˥naː˥ɲaː˥t͡sʰaʔ˥t͡ɕɛː˥na˥ , tʰaː˥maː˥ŋa˥t͡sʰøː˥ɲiŋ˥t͡ɕei˥pyː˥t͡sʰɛʔ˥te˥mi˥t͡sʰei˥t͡ɕʰa˥ɕɛː˥ɕiʔ˥tu˥kʲuː˥kʲu˥jĩː˥pa˥ɕeː˥toʔ˥t͡ɕuŋ˥nɛː˥mii˥pyː˥t͡sʰɛʔ˥taŋ˥naŋ˥sem˥kʲi˥top˥ɕuʔ˥la˥kyː˥teʔ˥toŋ˥kʲu˥jĩː˥ɕeː˥ʈ͡ʂiː˥jøʔ˥
རེའུ་​མིག་​འདི་​ནི་​རྒྱལ་​དབང་​ལྔ་​པའི་​དེབ་​ཐེར་​ལྟར་​བཀོད་​པ་​ཡིན་​ལ།	ɻiu˩miʔ˥ti˥ni˥kʲɛː˥waŋ˥ŋa˥pai˥tep˥tʰeː˥taː˥køʔ˥pa˥jĩː˥la˥
ཚེས་༢ཉིན་ལས་འཁུར་དམ་བཅའ་ཕུལ་བ་བཅས་བཙན་བྱོལ་བོད་གཞུང་མང་གཙོའི་ལམ་སྲོལ་དུ་བསྒྱུར་བཅོས་མཛད།བོད་ཀྱི་མ་འོངས་རྩ་ཁྲིམས་ཀྱི་ཟིན་བྲིས་བསྡུས་པ་ཞིག་འདོན་སྤེལ་དང༌། བོད་ཆུ་ཡོས་སྤྱི་ལོ་༡༩༦༣ལོར་བོད་ཀྱི་མ་འོངས་རྩ་ཁྲིམས་རྒྱས་པ་གཏན་འབེབས་མཛད།	t͡sʰeː˥ ɲiː˥ ɲĩː˩lɛː˥kʰuː˥tam˥t͡ɕaː˥pʰyː˥pa˥t͡ɕɛː˥t͡sɛ̃ː˥t͡ɕøː˥pøʔ˥ɕuŋ˥maŋ˥t͡soi˥lam˥ʂøː˥tu˥kʲuː˥t͡ɕøː˥ʔøʔ˥kʲi˥ma˥ʔoŋ˥t͡sa˥ʈ͡ʂʰim˥kʲi˥sĩː˥ʈ͡ʂiː˥tyː˥pa˥ɕiʔ˥tø̃ː˥peː˥taŋ˥ , pʰøʔ˩t͡ɕʰu˥jøː˥t͡ɕi˥lo˥ toŋ˥taŋ˥ku˥kʲa˥taŋ˥ɻe˥sum˥ loː˩pøʔ˥kʲi˥ma˥ʔoŋ˥t͡sa˥ʈ͡ʂʰim˥kʲɛː˥pa˥tɛ̃ː˥pep˥t͡sɛʔ˥
ཞེས་བྱ་བྱེད་ལ་ཡོད་པའི་ལས་གཉིས་པོ་དེ་ལ་ལས་ཞེས་བཏགས་རུང་བ་ཙམ་དུ་གསུངས་པའི་ཕྱིར། འགའ་ཞིག་གིས་འདིའི་གནས་ལུགས་མ་ཤེས་པར། གོང་གི་ཚིགས་བཅད་དེ་དང༌།	ɕeː˩t͡ɕa˥t͡ɕeʔ˥la˥jøʔ˥pai˥lɛː˥ɲiː˥po˥te˥la˥lɛː˥ɕeː˥taʔ˥ɻuŋ˥pa˥t͡sam˥tu˥suŋ˥pai˥t͡ɕʰiː˥ , kaː˩ɕiʔ˥kiː˥tii˥nɛː˥luʔ˥ma˥ɕeː˥paː˥ , kʰoŋ˩ki˥t͡sʰiʔ˥t͡ɕɛʔ˥te˥taŋ˥
སྤྱི་སྒྲ་ནི། བརྗོད་བྱའི་དོན་དེ་དམིགས་ཀྱིས་མ་བསལ་བར་དེའི་རིགས་སམ་སྤྱི་ཙམ་བརྗོད་པའི་ཚིག་ཕྲད་དེ། དཔེར་ན། གང་ཞིག་ཀུན་ལ་མུན་པ་གཏན་བཅོམ་ཞིང༌།། ལྟ་བུ།	t͡ɕi˥ʈ͡ʂa˥ni˥ , t͡ɕøʔ˩t͡ɕai˥tø̃ː˥te˥miʔ˥kʲiː˥ma˥sɛː˥paː˥tei˥ɻiʔ˥sam˥t͡ɕi˥t͡sam˥t͡ɕøʔ˥pai˥t͡sʰiʔ˥ʈ͡ʂʰɛʔ˥te˥ , peː˥na˥ , kʰaŋ˩ɕiʔ˥kỹː˥la˥mỹː˥pa˥tɛ̃ː˥t͡ɕom˥ɕiŋ˥ , ta˥pu˥
༦ ག་ག་ང་ཁ་བ་ས་ལ་། ཨ་་ཝ་་ལག་པ་མ་གང་།	ʈ͡ʂʰuʔ˩ , kʰa˩ kʰa˩ ŋa˩kʰa˥ pʰa˩sa˥la˥ , ʔa˥ wa˩ laʔ˩pa˥ma˥ka˥ ŋa˩
ཁོར་ཡུག་(མ་ལག་)ནི་མཐའ་འཁོར་གྱི་བྱ་དངོས་ཀྱི་དངོས་ཁམས་མ་ལག་དང་སྤུད་ཚད། ནུས་ཚད། ད་དུང་དེ་མིན་གྱི་ནུས་པ་ཕན་ཚུན་ནུས་པ་ཐོན་རེས་བྱེད།	kʰoː˥juʔ˥ ma˩laʔ˥ ni˩tʰaː˥kʰoː˥kʲi˥t͡ɕa˥ŋøː˥kʲi˥ŋøː˥kʰam˥ma˥laʔ˥taŋ˥pyʔ˥t͡sʰɛʔ˥ , nyː˩t͡sʰɛʔ˥ , tʰa˩tuŋ˥te˥mĩː˥kʲi˥nyː˥pa˥pʰɛ̃ː˥t͡sʰỹː˥nyː˥pa˥tʰø̃ː˥ɻeː˥t͡ɕeʔ˥
"ཡུལ་བླ་ན་མེད་པའི་ཡོན་ཏན་གྱི་ཞིང་ཁྱད་པར་ཅན་དཀོན་མཆོག་གསུམ་" ཞེས་པས་དཀོན་མཆོག་གསུམ་ཡོན་ཏན་ཆེན་པོས་ཁྱད་པར་དུ་ཕྱེ་བའི་ཞིང་གི་ཁྱད་ཆོས་ཡིན་པ་དང་། སངས་རྒྱས་ནི་མ་རིག་པའི་མུན་པ་སངས་ཤིང་ཤེས་བྱའི་ཡེ་ཤེས་རྒྱས་པས་ན་སངས་རྒྱས་ཞེས་བརྗོད། ཆོས་ནི་འཁྲུལ་པ་དང་སྡུག་བསྔལ་ལས་སྐྱོབ་པའི་ཆོས་ཉིད། དགེ་འདུན་ནི་ཆོས་ལ་སྤྱོད་པའི་ཚོགས་ཏེ་གསུམ་པོ་འདི་ནི་སེམས་ཅན་ཐམས་ཅད་ཀྱི་སྐྱབས་གནས་མཆོག་ཡིན་ནོ། །	jyː˩la˥na˥meʔ˥pai˥jø̃ː˥tɛ̃ː˥kʲi˥ɕiŋ˥kʲʰɛʔ˥paː˥t͡ɕɛ̃ː˥kø̃ː˥t͡ɕʰoʔ˥sum˥ , ɕeː˩pɛː˥kø̃ː˥t͡ɕʰoʔ˥sum˥jø̃ː˥tɛ̃ː˥t͡ɕʰẽː˥pøː˥kʲʰɛʔ˥paː˥tu˥t͡ɕʰe˥pai˥ɕiŋ˥ki˥kʲʰɛʔ˥t͡ɕʰøː˥jĩː˥pa˥taŋ˥ , saŋ˥kʲɛː˥ni˥ma˥ɻiʔ˥pai˥mỹː˥pa˥saŋ˥ɕiŋ˥ɕeː˥t͡ɕai˥je˥ɕeː˥kʲɛː˥pɛː˥na˥saŋ˥kʲɛː˥ɕeː˥t͡ɕøʔ˥ , t͡ɕʰøː˥ni˥ʈ͡ʂʰyː˥pa˥taŋ˥tuʔ˥ŋɛː˥lɛː˥kʲop˥pai˥t͡ɕʰøː˥ɲiʔ˥ , ke˩tỹː˥ni˥t͡ɕʰøː˥la˥t͡ɕøʔ˥pai˥t͡sʰoʔ˥te˥sum˥po˥ti˥ni˥sem˥t͡ɕɛ̃ː˥tʰam˥t͡ɕɛʔ˥kʲi˥kʲap˥nɛː˥t͡ɕʰoʔ˥jĩː˥no˥ ,
གཟིམ་ཤག ༡ གཟིམ་ཁང་དང་འདྲ། ༢ སྡོད་ས་ཡི་ཁང་པའི་ཞེ་ས། སྐུ་ངོ་མདའ་དཔོན་ཚང་གི་གཟིམ་ཤག་ཟེར་བ་ལྟ་བུ།།	sim˩ɕaʔ˥ t͡ɕiʔ˥ sim˩kʰaŋ˥taŋ˥ʈ͡ʂa˥ , ɲiː˥ tøʔ˩sa˥ji˥kʰaŋ˥pai˥ɕe˥sa˥ , ku˥ŋo˥taː˥pø̃ː˥t͡sʰaŋ˥ki˥sim˥ɕaʔ˥seː˥pa˥ta˥pu˥
འབའ་བྱང་དཀར་དགོན་ནི་སྔ་འགྱུར་རྙིང་མའི་སྨིན་གྲོལ་གླིང་གི་དགོན་ལག་ཞིག་ཡིན།ལོ་རྒྱུས་རིང་ལ།མཚན་སྙན་ཡང་ཤིན་ཏུ་ཆེ།སྨིན་གྲོལ་གླིང་གི་ཐོག་མ་རྒྱུད་པའི་ཕྱག་ལེན་མ་ཉམས་པར་ད་ལྟ་བཞུགས་ཡོད།	paː˩t͡ɕaŋ˥kaː˥kø̃ː˥ni˥ŋa˥kʲuː˥ɲiŋ˥mai˥mĩː˥ʈ͡ʂøː˥liŋ˥ki˥kø̃ː˥laʔ˥ɕiʔ˥lo˥kʲyː˥ɻiŋ˥lam˥ɲɛ̃ː˥jaŋ˥ɕĩː˥tu˥mĩː˥ʈ͡ʂøː˥liŋ˥ki˥tʰoʔ˥ma˥kʲyʔ˥pai˥t͡ɕʰaʔ˥lẽː˥ma˥ɲam˥paː˥ta˥ta˥ɕuʔ˥jøʔ˥
ས་དཔྱད། དམར་པོ་རི་ལ་ལྕགས་རི་རྒྱ་ཁྱོན་དཔག་ཚད་གཅིག་ཡོད་པས་ལྕགས་པོ་རི་དང་། བར་མ་རིའང་ནང་དུ་ཚུད་ཡོད་ཅེས་གསུངས།	sa˥t͡ɕɛʔ˥ , maː˥po˥ɻi˥la˥t͡ɕaʔ˥ɻi˥kʲa˥kʲʰø̃ː˥paʔ˥t͡sʰɛʔ˥t͡ɕiʔ˥jøʔ˥pɛː˥t͡ɕaʔ˥po˥ɻi˥taŋ˥ , pʰaː˩ma˥ɻiŋ˥naŋ˥tu˥t͡sʰyʔ˥jøʔ˥t͡ɕeː˥suŋ˥
བསྲེས་བརྒྱུད་ལ་ཞ་མ་ཕོ་མོའི་ལུགས་བསྲེས་པ་དུམ་བུ་ཀོ་བྲག་པའི་ལུགས། ཞ་མ་ཕོ་མོ་གཉིས་ས་ལུགས་དང་གསུམ་བསྲེས་པ་ཆ་གན་གྱི་ལུགས། འབྲོག་མི་དང་གྱི་ཇོའི་ལུགས་གཉིས་བསྲེས་པ་ཇོ་ནང་ཀུན་སྤོང་བའི་ལུགས། ལམ་འབྲས་སྦྱོར་དྲུག རྫོགས་ཆེན་གསུམ་བསྲེས་པ་ལ་སྟོན་དབང་རྒྱལ་གྱི་ལུགས་སོ།།	ʂeː˥kʲyʔ˥la˥ɕa˥ma˥pʰo˥moi˥luʔ˥ʂeː˥pa˥tum˥pu˥ko˥ʈ͡ʂaʔ˥pai˥luʔ˥ , ɕa˩ma˥pʰo˥mo˥ɲiː˥sa˥luʔ˥taŋ˥sum˥ʂeː˥pa˥t͡ɕʰa˥kɛ̃ː˥kʲi˥luʔ˥ , ʈ͡ʂoʔ˩mi˥taŋ˥kʲi˥t͡ɕoi˥luʔ˥ɲiː˥ʂeː˥pa˥t͡ɕo˥naŋ˥kỹː˥poŋ˥pai˥luʔ˥ , lam˩ʈ͡ʂɛː˥t͡ɕoː˥ʈ͡ʂuʔ˥ , t͡soʔ˩t͡ɕʰẽː˥sum˥ʂeː˥pa˥la˥tø̃ː˥waŋ˥kʲɛː˥kʲi˥luʔ˥so˥
ཟུར་དུ་བཀོད་པ། ཡི་དམ་ཆེན་པོ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་བཀའ་བསྒོ་བྱ་ཚུལ་སོགས་མང་དུ་	suː˩tu˥køʔ˥pa˥ , ji˩tam˥t͡ɕʰẽː˥po˥to˥t͡ɕe˥t͡ɕiʔ˥t͡ɕeʔ˥kʲi˥kaː˥ko˥t͡ɕa˥t͡sʰyː˥soʔ˥maŋ˥tu˥
དམིགས་བསལ་གྱིས་གཏན་འབེབས་བྱས་པའི་རྩ་འཛིན་ཁྲིམས་ཡིག །	miʔ˥sɛː˥kʲiː˥tɛ̃ː˥pep˥t͡ɕɛː˥pai˥t͡sa˥t͡sĩː˥ʈ͡ʂʰim˥jiʔ˥ ,
ཚངས་པའི་མིང་སྟེ་གསེར་གྱི་པདྨ་ལས་སྐྱེས་པའམ་ཁྱབ་འཇུག་གི་ལྟེ་བའི་པདྨ་ལས་སྐྱེས་པའི་ཆ་ནས་བརྗོད་འགྲེལ་པར་བཤད་ཅིང་། པད་སྐྱེས་མགྲིན་སྒྲ་ནི་ཚངས་པའི་དབྱངས་ཞེས་པའི་དོན་ཡིན།	t͡sʰaŋ˥pai˥miŋ˥te˥seː˥kʲi˥ta˥lɛː˥kʲeː˥pam˥kʲʰap˥t͡ɕuʔ˥ki˥te˥pai˥ta˥lɛː˥kʲeː˥pai˥t͡ɕʰa˥nɛː˥t͡ɕøʔ˥ʈ͡ʂeː˥paː˥ɕɛʔ˥t͡ɕiŋ˥ , pɛʔ˥kʲeː˥ʈ͡ʂĩː˥ʈ͡ʂa˥ni˥t͡sʰaŋ˥pai˥jaŋ˥ɕeː˥pai˥tø̃ː˥jĩː˥
བརྡའི་དབང་གིས་གོ་བར་བྱ་བ་དེ་བརྗོད་བྱའི་མཚན་ཉིད། བརྗོད་བྱ་དང་། ཡུལ། གཞན་བྱ་གསུམ་དོན་གཅིག དཔེར་ན། བུམ་པ་དེ་བུམ་པ་ཞེས་བརྗོད་པའི་སྒྲའི་བརྗོད་བྱ་ཡིན་པ་བཞིན་ནོ། །	tai˩waŋ˥kiː˥ko˥paː˥t͡ɕa˥pa˥te˥t͡ɕøʔ˥t͡ɕai˥t͡sʰɛ̃ː˥ɲiʔ˥ , t͡ɕøʔ˩t͡ɕa˥taŋ˥ , jyː˩ , ɕɛ̃ː˩t͡ɕa˥sum˥tø̃ː˥t͡ɕiʔ˥ , peː˥na˥ , pʰum˩pa˥te˥pum˥pa˥ɕeː˥t͡ɕøʔ˥pai˥ʈ͡ʂai˥t͡ɕøʔ˥t͡ɕa˥jĩː˥pa˥ɕĩː˥no˥ ,
 ཕྱིས་གདན་ས་ཐོག་འོག་ལ་ཉམས་རྒུད་རིམ་པར་བྱུང་བ་དང་།	t͡ɕʰiː˥tɛ̃ː˥sa˥tʰoʔ˥ʔoʔ˥la˥ɲam˥kyʔ˥ɻim˥paː˥t͡ɕuŋ˥pa˥taŋ˥
མཁྱེན་བརྩེའི་སྤྲིན་དཀར་ཕྱོགས་མཐར་དཀྲིཌ་པ་ཡི།།	kʲʰẽː˥t͡sei˥ʈ͡ʂĩː˥kaː˥t͡ɕʰoʔ˥tʰaː˥ʈ͡ʂi˥pa˥ji˥
མ་གི་ཐང་ལ་ངལ་བས་རྒྱུ་བའི་མིག་མེད་གྲོག་མ་ཡན་ཆད་དུ།།	ma˩ki˥tʰaŋ˥la˥ŋɛː˥pɛː˥kʲu˥pai˥miʔ˥meʔ˥ʈ͡ʂoʔ˥ma˥jɛ̃ː˥t͡ɕʰɛʔ˥tu˥
ལ་གཞིག་པའི་རྩོམ་ཡིག་རེ་གཉིས་ལས་མཐོང་རྒྱུ་མེད་པ་ནི་ཅི་འདྲ་་	la˩ɕiʔ˥pai˥t͡som˥jiʔ˥ɻe˥ɲiː˥lɛː˥tʰoŋ˥kʲu˥meʔ˥pa˥ni˥t͡ɕi˥ʈ͡ʂa˥
གར་ཁོ་ནས་ད་ལྟའི་བར་མུན་ནག་གི་དུས་རབས་ཞིག་བརྒྱུད་ནས་འོང་	kʰaː˩kʰo˥nɛː˥ta˥tai˥paː˥mỹː˥naʔ˥ki˥tyː˥ɻap˥ɕiʔ˥kʲyʔ˥nɛː˥ʔoŋ˥
ལ་མི་འཇུག་པའི་བག་ཆགས་འཇོག་ཐབས་བྱ་དགོས། བྱིས་པས་བསམ་	la˩mi˥t͡ɕuʔ˥pai˥paʔ˥t͡ɕʰaʔ˥t͡ɕoʔ˥tʰap˥t͡ɕa˥køː˥ , t͡ɕʰiː˩pɛː˥sam˥
འོད་ཀོར་འདྲ་ན་རྒྱལ་པོ་གནོད། །ཙིག་ཁུང་ཉི་ཤར་འདྲ་ན་བཙན། །དར་ལྕེ་འདྲ་ན་ཀླུ་བཙན་གནོད། །སྡིག་པ་འདྲ་ན་ཀླུ་བདུད་གནོད། །ཤ་རུ་	ʔøʔ˩koː˥ʈ͡ʂa˥na˥kʲɛː˥po˥nøʔ˥ , t͡siʔ˥kʰuŋ˥ɲi˥ɕaː˥ʈ͡ʂa˥na˥t͡sɛ̃ː˥ , tʰaː˩t͡ɕe˥ʈ͡ʂa˥na˥lu˥t͡sɛ̃ː˥nøʔ˥ , tiʔ˩pa˥ʈ͡ʂa˥na˥lu˥tyʔ˥nøʔ˥ , ɕa˥ɻu˥
ན་དེ་གནས་བྱེད་གཞན་གང་། །གལ་ཏེ་རང་འཇིག་ངང་ཚུལ་བདག །མིན་ན་དེ་གནས་བྱེད་གཞན་གང་། ༈ །ལུས་ཀྱི་ཕུལ་བྱུང་འགྲིབ་	na˩te˥nɛː˥t͡ɕeʔ˥ɕɛ̃ː˥kaŋ˥ , kʰɛː˩te˥ɻaŋ˥t͡ɕiʔ˥ŋaŋ˥t͡sʰyː˥taʔ˥ , mĩː˩na˥te˥nɛː˥t͡ɕeʔ˥ɕɛ̃ː˥kaŋ˥ , lyː˩kʲi˥pʰyː˥t͡ɕuŋ˥ʈ͡ʂip˥
སྣང་བ་བསླད་པ་ཉིད། །དེ་ལ་གཅིག་ནི་མེད་པས་ཀྱང་། །གཉིས་ཀའང་ཉམས་པར་འགྱུར་བ་ཡིན། ༈ །དེ་ཕྱིར་གཉིས་སྟོང་གང་ཡིན་པ། །	naŋ˥pa˥lɛʔ˥pa˥ɲiʔ˥ , tʰe˩la˥t͡ɕiʔ˥ni˥meʔ˥pɛː˥kʲaŋ˥ , ɲiː˥kaŋ˥ɲam˥paː˥kʲuː˥pa˥jĩː˥ , tʰe˩t͡ɕʰiː˥ɲiː˥toŋ˥kaŋ˥jĩː˥pa˥ ,
བྲལ་གྱི། །དམ་བཅའ་ནུས་པ་མཚུངས་པ་ཡིས། །དམ་བཅའ་ཇི་བཞིན་དོན་ཅན་གྱི། །རྗེས་དཔག་ལ་ནི་ཇི་ལྟར་གནོད། །ལུང་རྣམས་ཚད་	ʈ͡ʂʰɛː˩kʲi˥ , tʰam˩t͡ɕaː˥nyː˥pa˥t͡sʰuŋ˥pa˥jiː˥ , tʰam˩t͡ɕaː˥t͡ɕi˥ɕĩː˥tø̃ː˥t͡ɕɛ̃ː˥kʲi˥ , t͡ɕeː˩paʔ˥la˥ni˥t͡ɕi˥taː˥nøʔ˥ , luŋ˩nam˥t͡sʰɛʔ˥
དེ་ཡང་གངས་ཅན་བོད་ཀྱི་རིག་པའི་གནས་ཆེན་ཀུན་གྱི་ཡ་གྱལ་སྒྲ་རིག་པའི་བསྟན་བཅོས་ཀྱི་རྗེས་འབྲེལ་རིག་གནས་ཆུང་བ་ལྔ་ལས། ཚིག་རྒྱན་ཤེས་ ན་སྙན་ངག་ལ་མི་རྨོངས་ཞེས་པའི་སྙན་ངག་དེ་ཉིད་སྦྱང་དགོས་པའི་དོན་	tʰe˩jaŋ˥kaŋ˥t͡ɕɛ̃ː˥pøʔ˥kʲi˥ɻiʔ˥pai˥nɛː˥t͡ɕʰẽː˥kỹː˥kʲi˥ja˥kʲɛː˥ʈ͡ʂa˥ɻiʔ˥pai˥tɛ̃ː˥t͡ɕøː˥kʲi˥t͡ɕeː˥ʈ͡ʂeː˥ɻiʔ˥nɛː˥t͡ɕʰuŋ˥pa˥ŋa˥lɛː˥ , t͡sʰiʔ˥kʲɛ̃ː˥ɕeː˥ , na˩ɲɛ̃ː˥ŋaʔ˥la˥mi˥moŋ˥ɕeː˥pai˥ɲɛ̃ː˥ŋaʔ˥te˥ɲiʔ˥t͡ɕaŋ˥køː˥pai˥tø̃ː˥
མིག་དང་། རྣ་བ་། སྣ་། ལྕེ་། ལུས་། ཡིད་བཅས་ཀྱི་རྣམ་ཤེས་དྲུག་གམ་། ཡང་ན་སེམས་དྲུག་སྟེ་། རྩ་བའི་སེམས་དང་། རྗེས་སུ་དཔྱོད་པའི་སེམས་། རྣམ་པར་དཔྱོད་པའི་སེམས་། ངོས་པར་འཛིན་པའི་སེམས་། སྡོམ་པའི་སེམས་ སྨོན་པའི་སེམས་།	miʔ˩taŋ˥ , na˥pa˥ , na˥ , t͡ɕe˥ , lyː˩ , jiʔ˩t͡ɕɛː˥kʲi˥nam˥ɕeː˥ʈ͡ʂuʔ˥kam˥ , jaŋ˩na˥sem˥ʈ͡ʂuʔ˥te˥ , t͡sa˥pai˥sem˥taŋ˥ , t͡ɕeː˩su˥t͡ɕøʔ˥pai˥sem˥ , nam˥paː˥t͡ɕøʔ˥pai˥sem˥ , ŋøː˩paː˥t͡sĩː˥pai˥sem˥ , tom˩pai˥sem˥ , mø̃ː˥pai˥sem˥
ན་མོ་གུ་རུ་ཀ་ཡ་རཏ་བྷཿ ཆོས་རྗེ་དཔལ་ལྡན་བླ་མ་ཀུན་མཁྱེན་ཡབ་སྲས་ཀྱི་རྣམ་ཐར་ངོ་མཚར་རབ་གསལ་ཞེས་བྱ་བ། སྤྲུལ་སྐུ་ཆེན་པོ་ཆོས་རྗེ་མཚུངས་མེད་ཡབ་སྲས་རྣམས་ལ་ཕྱག་འཚལ་ཞིང་སྐྱབས་སུ་མཆིའོ།། ཐུགས་བརྩེ་བ་ཆེན་པོས་དུས་ཀུན་རྗེས་སུ་བཟུང་དུ་གསོལ།	na˩mo˥ku˥ɻu˥ka˥ja˥ɻa˥pa˥ , t͡ɕʰøː˥t͡ɕe˥pɛː˥tɛ̃ː˥la˥ma˥kỹː˥kʲʰẽː˥jap˥ʂɛː˥kʲi˥nam˥tʰaː˥ŋo˥t͡sʰaː˥ɻap˥sɛː˥ɕeː˥t͡ɕa˥pa˥ , ʈ͡ʂyː˥ku˥t͡ɕʰẽː˥po˥t͡ɕʰøː˥t͡ɕe˥t͡sʰuŋ˥meʔ˥jap˥ʂɛː˥nam˥la˥t͡ɕʰaʔ˥t͡sʰɛː˥ɕiŋ˥kʲap˥su˥t͡ɕʰio˥ , tʰuʔ˥t͡se˥pa˥t͡ɕʰẽː˥pøː˥tyː˥kỹː˥t͡ɕeː˥su˥suŋ˥tu˥søː˥
གླ་ཆ་སྤྲད་པ་ཙམ་མིན་པའི་རྟ་དང་འུ་ལག་ངོ་གཏོང་དགོས་པ།༼དུང་དཀར་ཚིག་མཛོད་ཆེན་མོ་༽ལས་བཏུས།	la˥t͡ɕʰa˥ʈ͡ʂɛʔ˥pa˥t͡sam˥mĩː˥pai˥ta˥taŋ˥ʔu˥laʔ˥ŋo˥toŋ˥køː˥tuŋ˥kaː˥t͡sʰiʔ˥t͡søʔ˥t͡ɕʰẽː˥mo˥lɛː˥tyː˥
རྒྱུད་ཁོངས་འདིའི་ནང་འབྲུག་ཡུལ་གྱི་རྫོང་ཁ་ཡིག་གཟུགས་གསར་སྣོར་བྱས་ཡོད་པ་དང་རྫོང་ཁ་ཡིག་གཟུགས་དང་བོད་ཡིག་གཉིས་ཀྱི་རྒྱལ་སྤྱིའི་ཨང་བསྒྲིགས་གཅིག་མཚུངས་ཡིན་སྟབས་བོད་ཡིག་ཆ་འཕྲིན་ལ་རྒྱབ་སྐྱོར་ཆེན་པོ་ཐེབས་ཡོད་པ་རེད།	kʲyʔ˩kʰoŋ˥tii˥naŋ˥ʈ͡ʂuʔ˥jyː˥kʲi˥t͡soŋ˥kʰa˥jiʔ˥suʔ˥saː˥noː˥t͡ɕɛː˥jøʔ˥pa˥taŋ˥t͡soŋ˥kʰa˥jiʔ˥suʔ˥taŋ˥pøʔ˥jiʔ˥ɲiː˥kʲi˥kʲɛː˥t͡ɕii˥ʔaŋ˥ʈ͡ʂiʔ˥t͡ɕiʔ˥t͡sʰuŋ˥jĩː˥tap˥pøʔ˥jiʔ˥t͡ɕʰa˥ʈ͡ʂʰĩː˥la˥kʲap˥kʲoː˥t͡ɕʰẽː˥po˥tʰep˥jøʔ˥pa˥ɻeʔ˥
