Категори:Алфавите кура администрациллӗ виҫесем	kadeɡoˈri , alfaʋiˈde kuˈra administraˈt͡silːɘ ʋiʑeˈzem
Консулсем: Флавий Оптат тата Амний Маний Цезоний Никомах Аниций Паулин.	konzulˈzem , flaˈʋij opˈtat taˈda amˈnij maˈnij t͡sezoˈnij niɡoˈmaχ aniˈt͡sij pauˈlin .
Дж. Олдридж «Каир. Биография города» М., 1970.	dʒ . oldˈridʒ kaˈir . bioɡrafiˈja ɡoroˈda m , ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl .
(Герой МНР, 18 орденов, 10 медалей и звание Почетного итальянского партизана)	ɡeˈroj ˈem ˈen ˈer , ˈʋun ˈsaɡər ordeˈnoʋ , ˈʋun medaˈlej ˈi zʋaniˈje pod͡ʑetnoˈɡo idalʲjanskoˈɡo pardizaˈna
Фармакология: Учеб. для студентов высш. с.-х. учеб. заведений по спец. "Ветеринария". — 8-е изд., доп. и перераб. — М.: Агропромиздат, 1985. — 416 с.	farmaɡoloɡiˈja , uˈd͡ʑeb . dlˈja studenˈdoʋ ˈʋɯsʂ . s . χ . uˈd͡ʑeb . zaʋedeˈnij ˈpo sˈpet͡s . ʋederinariˈja . ˈsakːər ˈje ˈizd , ˈdop . ˈi pereˈrab . m , aɡropromizˈdat , ˈpin ˈtəɣər ˈɕɘr saɡərˈʋunːə ˈpilːɘk . təˈʋat ˈɕɘr ˈʋun ˈult s .
Хузангай, А. П. Андреев (Урхи) Наум Андреевич / А. П. Хузангай // Чувашская энциклопедия. – Чебоксары, 2006. – Т. 1 : А-Е. – С. 105.	χuzanˈɡaj , ˈa ˈpe andreˈjeʋ urˈɣi naˈum andrejeˈʋit͡ɕ ˈa ˈpe χuzanˈɡaj t͡ɕuʋaʂskaˈja ent͡siklobediˈja . t͡ɕeboksaˈrɯ , ˈik ˈpin ˈultːə . t . pɘˈrːe , ˈa ˈje . s . ˈɕɘr ˈpilːɘk .
1980 — Эскадрон гусар летучих — Денис Давыдов	ˈpin ˈtəɣər ˈɕɘr saɡərˈʋunːə eskadˈron ɡuˈzar leduˈd͡ʑiχ deˈnis daʋɯˈdoʋ
«Сухарики» (…А на воле хорошо-ветерок колючий! Ты насуши сухариков, а так, на всякий случай!…) (муз. С. Коржукова) — исп. группа «Лесоповал»	suɣariˈɡi , ˈa ˈna ʋoˈle χoroˈʐo ʋedeˈrok koljuˈd͡ʑij ! ˈtɯ nazuˈʐi suɣariˈɡoʋ , ˈa ˈtak , ˈna ʋsjaˈɡij sluˈd͡ʑaj , ˈmuz . s . korʒuɡoˈʋa ˈisp . ɡruˈpːa lezoboˈʋal
Шовкошитный Владимир Фёдорович (, Переслав-Хмельницкий районӗ, Свитанок) — сӑвӑҫ, прозӑҫӑ, публицист.	ʂoʋkoʐitˈnɯj ʋladiˈmir fjodoroˈʋit͡ɕ , peresˈlaʋ χmelʲnit͡sˈkij raˈjonɘ , sʋidaˈnok ˈsəʋəɕ , pˈrozəʑə , publiˈt͡sist .
Деятели культуры и искусства : Художники и архитекторы : Дуняк Ольга Александровна	dejadeˈli kulʲduˈrɯ ˈi iskusːtˈʋa , χudoʒniˈɡi ˈi arɣidektoˈrɯ , dunˈjak olʲˈɡa aleksandroʋˈna
Прорыв блокады Ленинграда в январе 1943 г.	proˈrɯʋ bloɡaˈdɯ leninɡraˈda ʋ janʋaˈre ˈpin ˈtəɣər ˈɕɘr ˈχɘrɘχ ˈʋiɕ ɡ .
Биография, подборка работ и книг о Бенуа	bioɡrafiˈja , podborˈɡa raˈbot ˈi kˈniɡ ˈo benuˈa
Галилей, Галилео // Энциклопедический словарь Брокгауза и Ефрона: В 86 томах (82 т. и 4 доп.). — СПб., 1890—1907.	ɡaliˈlej , ɡalileˈo ent͡siklobedid͡ʑesˈkij sloˈʋarʲ brokɡauˈza ˈi jefroˈna , ʋ saɡərˈʋunːə ˈult toˈmaχ saɡərˈʋunːə ˈik t . ˈi təˈʋat ˈdop . spb , ˈpin ˈsaɡər ˈɕɘr təɣərˈʋunːə , ˈpin ˈtəɣər ˈɕɘr ˈɕit͡ɕːɘ .
Смирнов, А. Вся жизнь – служение науке / А. Смирнов // Чувашия сегодня. – 2004. – 30 янв. – С. 4.	smirˈnoʋ , ˈa . ʋsˈja ˈʒiznʲ sluʒeniˈje nauˈɡe ˈa . smirˈnoʋ t͡ɕuʋaʐiˈja seɡodnˈja . ˈik ˈpin təˈʋatːə . ˈʋədər ˈjanʋ . s . təˈʋatːə .
Сергей Есенин — Есенин Сергей Александрович.	serˈɡej jezeˈnin jezeˈnin serˈɡej aleksandroˈʋit͡ɕ .
2003 — Лучшая певица года, приз «МЕГА», Грузи	ˈik ˈpin ˈʋiɕːɘ lut͡ɕʂaˈja peʋiˈt͡sa ɡoˈda , pˈriz meˈɡa , ɡruˈzi
2005 — Осторожно, Задов! — Пациент в хирургии	ˈik ˈpin ˈpilːɘk ostoroʒˈno , zaˈdoʋ ! pat͡siˈjent ʋ χirurɡiˈi
«Приходы старокрещенных и новокрещенных татар» (1865)	priɣoˈdɯ starokreʑeˈnːɯχ ˈi noʋokreʑeˈnːɯχ taˈdar ˈpin ˈsaɡər ˈɕɘr ˈutməl ˈpilːɘk
