晉語 是漢藏語系漢語族的一種語言，也是中國北廂漢族地勢唯獨一種不是官話的語言，到了1996年，晉語的使用人口約莫4500萬（不算上汾河片），按使用人口排世界第22名，在漢語中影響力僅次於官話（北方話）、吳語、粵語和閩南語。到2007年，晉語的母語使用人數有4762萬人（不算上汾河片），還是世界100大語言之一。	t͡ɕiŋ˦˥ y˥˧ sz̩˦˥ xæ̃˦˥ y˥˧ ɕi˦˥ xæ̃˦˥ y˥˧ t͡sʰuəʔ˥˦ tiəʔ˨ iəʔ˨ y˥˧ ie˩˩ , ie˥˧ sz̩˦˥ t͡suŋ˩˩ kuəʔ˨ pei˥˧ xæ̃˦˥ t͡sʰuəʔ˥˦ ti˦˥ tuəʔ˥˦ iəʔ˨ pəʔ˨ sz̩˦˥ kuæ̃˩˩ xua˦˥ tiəʔ˨ y˥˧ ie˩˩ , tau˦˥ liau˥˧ iəʔ˨ t͡ɕiəu˥˧ t͡ɕiəu˥˧ liəu˦˥ nie˩˩ , t͡ɕiŋ˦˥ y˥˧ tiəʔ˨ sz̩˥˧ yŋ˦˥ ʐəŋ˩˩ kʰəu˥˧ yəʔ˨ maʔ˨ sz̩˦˥ t͡ɕʰie˩˩ vu˥˧ pai˥˧ væ̃˦˥ pəʔ˨ suæ̃˦˥ sɒ̃˦˥ xɤ˩˩ pʰie˥˧ , sz̩˥˧ yŋ˦˥ ʐəŋ˩˩ kʰəu˥˧ pʰai˩˩ sz̩˦˥ t͡ɕie˦˥ ti˦˥ əɻ˦˥ səʔ˥˦ əɻ˦˥ miŋ˩˩ , t͡sai˦˥ xæ̃˦˥ y˥˧ t͡suŋ˩˩ iŋ˥˧ ɕiɒ̃˥˧ liəʔ˨ t͡ɕiŋ˥˧ t͡sʰz̩˦˥ kuæ̃˩˩ xua˦˥ pei˥˧ fɒ̃˩˩ xua˦˥ , vu˩˩ y˥˧ , yəʔ˨ y˥˧ xuɤ˩˩ miŋ˥˧ næ̃˩˩ y˥˧ . tau˦˥ əɻ˦˥ liŋ˩˩ liŋ˩˩ t͡ɕʰiəʔ˨ nie˩˩ , t͡ɕiŋ˦˥ y˥˧ tiəʔ˨ mu˥˧ y˥˧ sz̩˥˧ yŋ˦˥ ʐəŋ˩˩ su˥˧ iəu˥˧ sz̩˦˥ t͡ɕʰie˩˩ t͡ɕʰiəʔ˨ pai˥˧ liəu˦˥ səʔ˨ əɻ˦˥ væ̃˦˥ ʐəŋ˩˩ pəʔ˨ suæ̃˦˥ sɒ̃˦˥ xɤ˩˩ pʰie˥˧ , xai˩˩ sz̩˦˥ sz̩˦˥ t͡ɕie˦˥ iəʔ˦˥ pai˥˧ ta˦˥ y˥˧ ie˩˩ t͡sz̩˩˩ iəʔ˨ .
晉語區迎太行山東邊起去，往西快到賀蘭山，北挨的陰山，南面抵住汾渭河谷，是遠東文明的重要發源地行之一。説晉語那主要地勢是山西省、内蒙古中西部（舊時綏遠省那地勢）、陝北、豫北（河南省黃河北面大部和河北省西面），地跨175來箇市縣。太原話是那代表方言，核心晉語主要是并州話和呂梁話。	t͡ɕiŋ˦˥ y˥˧ t͡ɕʰy˩˩ iŋ˩˩ tʰai˦˥ ɕiŋ˩˩ sæ̃˩˩ tuŋ˩˩ pie˩˩ t͡ɕʰi˦˥ t͡ɕʰy˦˥ , vɒ̃˥˧ ɕi˩˩ kʰuai˦˥ tau˦˥ læ̃˩˩ sæ̃˩˩ , pei˥˧ tiəʔ˨ iŋ˩˩ sæ̃˩˩ , næ̃˩˩ mie˦˥ ti˥˧ t͡su˦˥ xɤ˩˩ , sz̩˦˥ ye˥˧ tuŋ˩˩ vəŋ˩˩ miŋ˩˩ tiəʔ˨ t͡sʰuŋ˩˩ iau˩˩ faʔ˨ ye˩˩ ti˦˥ ɕiŋ˩˩ t͡sz̩˩˩ iəʔ˨ . t͡ɕiŋ˦˥ y˥˧ t͡su˥˧ iau˩˩ ti˦˥ sz̩˦˥ sæ̃˩˩ ɕi˩˩ səŋ˥˧ , nai˦˥ məŋ˩˩ ku˦˥ t͡suŋ˩˩ ɕi˩˩ pu˦˥ t͡ɕiəu˦˥ sz̩˩˩ ye˥˧ səŋ˥˧ ti˦˥ , sæ̃˦˥ pei˥˧ , pei˥˧ xɤ˩˩ næ̃˩˩ səŋ˥˧ xuɒ̃˩˩ xɤ˩˩ pei˥˧ mie˦˥ ta˦˥ pu˦˥ xuɤ˩˩ xɤ˩˩ pei˥˧ səŋ˥˧ ɕi˩˩ mie˦˥ , ti˦˥ iəʔ˦˥ pai˥˧ t͡ɕʰiəʔ˨ səʔ˨ vu˥˧ lai˩˩ sz̩˦˥ ɕie˦˥ . tʰai˦˥ ye˩˩ xua˦˥ sz̩˦˥ tai˦˥ piau˥˧ fɒ̃˩˩ ie˩˩ , xəʔ˥˦ ɕiŋ˩˩ t͡ɕiŋ˦˥ y˥˧ t͡su˥˧ iau˩˩ sz̩˦˥ piaŋ˦˥ t͡səu˩˩ xua˦˥ xuɤ˩˩ liɒ̃˩˩ xua˦˥ .
晉語跟官話不像那特點行讓數保留入聲這一量。晉語那連續變調現象也可複雜咧。晉語全濁清化有四樣不一樣那演化方式。一多半兒的晉語有五箇聲調，有那地勢有六箇、七箇要不俫四箇聲調。晉語有老些和官話差異海大那特徵詞和遺留下那老古説法。	t͡ɕiŋ˦˥ y˥˧ kəŋ˩˩ kuæ̃˩˩ xua˦˥ pəʔ˨ ɕiɒ̃˦˥ tʰaʔ˥˦ tie˥˧ ɕiŋ˩˩ ʐɒ̃˦˥ su˥˧ pau˥˧ ʐuəʔ˨ səŋ˩˩ t͡səʔ˨ iəʔ˨ liɒ̃˩˩ . t͡ɕiŋ˦˥ y˥˧ lie˩˩ ɕy˦˥ pie˦˥ tʰiau˩˩ ɕie˦˥ ɕiɒ̃˦˥ ie˥˧ kʰɤ˥˧ t͡saʔ˥˦ . t͡ɕiŋ˦˥ y˥˧ t͡ɕʰye˩˩ t͡ɕʰiŋ˩˩ xua˦˥ iəu˥˧ sz̩˦˥ iɒ̃˦˥ pəʔ˨ iəʔ˨ iɒ̃˦˥ ie˥˧ xua˦˥ fɒ̃˩˩ səʔ˨ . iəʔ˨ tɤ˩˩ pæ̃˦˥ əɻ˩˩ tiəʔ˨ t͡ɕiŋ˦˥ y˥˧ iəu˥˧ vu˥˧ səŋ˩˩ tʰiau˩˩ , iəu˥˧ ti˦˥ iəu˥˧ liəu˦˥ , t͡ɕʰiəʔ˨ iau˩˩ pəʔ˨ sz̩˦˥ səŋ˩˩ tʰiau˩˩ . t͡ɕiŋ˦˥ y˥˧ iəu˥˧ lau˥˧ ɕie˩˩ xuɤ˩˩ kuæ̃˩˩ xua˦˥ xai˥˧ ta˦˥ tʰaʔ˥˦ t͡səŋ˩˩ t͡sʰz̩˩˩ xuɤ˩˩ i˩˩ xa˦˥ lau˥˧ ku˦˥ faʔ˨ .
維基百科是多種語言、内容自由、大家一搭来編寫的協作打算，目標是建一部完整、準確、中立的百科全書。	uei˩˩ t͡ɕi˩˩ pai˥˧ kʰuɤ˩˩ sz̩˦˥ tɤ˩˩ y˥˧ ie˩˩ , nai˦˥ yŋ˩˩ t͡sz̩˦˥ iəu˩˩ , ta˦˥ t͡ɕia˩˩ iəʔ˥˦ taʔ˨ lai˩˩ pie˩˩ ɕie˥˧ tiəʔ˨ ɕiəʔ˨ t͡suaʔ˨ ta˥˧ suæ̃˦˥ , məʔ˨ sz̩˦˥ t͡ɕie˦˥ iəʔ˨ pu˦˥ væ̃˩˩ t͡səŋ˥˧ , t͡suŋ˥˧ t͡ɕʰyəʔ˨ , t͡suŋ˩˩ liəʔ˨ tiəʔ˨ pai˥˧ kʰuɤ˩˩ t͡ɕʰye˩˩ su˩˩ .
晉語維基百科的發展靠大家幫襯，不管是建立新頁面、修改舊文，還是添加圖畫，都是爲維基百科出力。	t͡ɕiŋ˦˥ y˥˧ uei˩˩ t͡ɕi˩˩ pai˥˧ kʰuɤ˩˩ tiəʔ˨ faʔ˨ t͡sæ̃˥˧ ta˦˥ t͡ɕia˩˩ pɒ̃˩˩ , pəʔ˨ kuæ̃˥˧ sz̩˦˥ t͡ɕie˦˥ liəʔ˨ ɕiŋ˩˩ iəʔ˨ mie˦˥ , ɕiəu˩˩ kai˦˥ t͡ɕiəu˦˥ vəŋ˩˩ , xai˩˩ sz̩˦˥ t͡ɕia˩˩ xua˦˥ , tu˩˩ sz̩˦˥ uei˩˩ t͡ɕi˩˩ pai˥˧ kʰuɤ˩˩ t͡sʰuəʔ˨ liəʔ˨ .
有用詞差異的時候，迎討論區下討論過後，選擇 使用地區、頻率較多 的詞彙；討論不出箇結果的，以 并州片——太原話 爲標準。	iəu˥˧ yŋ˦˥ t͡sʰz̩˩˩ tiəʔ˨ sz̩˩˩ xəu˦˥ , iŋ˩˩ tʰau˥˧ luŋ˦˥ t͡ɕʰy˩˩ xa˦˥ tʰau˥˧ luŋ˦˥ kuɤ˦˥ xəu˦˥ , ɕye˥˧ t͡saʔ˥˦ sz̩˥˧ yŋ˦˥ ti˦˥ t͡ɕʰy˩˩ , pʰiŋ˩˩ tɤ˩˩ tiəʔ˨ t͡sʰz̩˩˩ , tʰau˥˧ luŋ˦˥ pəʔ˨ t͡sʰuəʔ˨ t͡ɕiəʔ˨ kuɤ˥˧ tiəʔ˨ , i˥˧ piaŋ˦˥ t͡səu˩˩ pʰie˥˧ tʰai˦˥ ye˩˩ xua˦˥ t͡suŋ˥˧ .
有些箇地勢有合音的情況，比較常見的有以下幾箇。比方： 嫊 ，媳婦的合音，主要見於呂梁片與汾河片； 簡 ，少單用，常用於「簡婆」、「簡爺」中，意思是「外婆」、「外公」。根據晉南稱呼爲「舅舍爺」、「舅莊爺」等，疑此字爲「舅間」之合音。主要見於呂梁片與幷州片	iəu˥˧ ɕie˩˩ ti˦˥ iəu˥˧ xaʔ˥˦ iŋ˥˧ tiəʔ˨ t͡ɕʰiŋ˩˩ kʰuɒ̃˦˥ , pi˥˧ t͡sʰɒ̃˩˩ t͡ɕie˦˥ tiəʔ˨ iəu˥˧ i˥˧ xa˦˥ t͡ɕi˥˧ . pi˥˧ fɒ̃˩˩ , ɕiəʔ˨ fu˦˥ tiəʔ˨ xaʔ˥˦ iŋ˥˧ , t͡su˥˧ iau˩˩ t͡ɕie˦˥ liɒ̃˩˩ pʰie˥˧ y˩˩ xɤ˩˩ pʰie˥˧ , sau˥˧ tæ̃˩˩ yŋ˦˥ , t͡sʰɒ̃˩˩ yŋ˦˥ pʰɤ˩˩ , ie˩˩ t͡suŋ˩˩ , i˦˥ sz̩˩˩ sz̩˦˥ vai˦˥ pʰɤ˩˩ , vai˦˥ kuŋ˩˩ . kəŋ˩˩ t͡ɕiŋ˦˥ næ̃˩˩ t͡ɕiəu˦˥ ie˩˩ , t͡ɕiəu˦˥ t͡suɒ̃˩˩ ie˩˩ təŋ˥˧ , i˩˩ t͡sʰz̩˥˧ t͡sz̩˦˥ t͡ɕiəu˦˥ t͡ɕie˩˩ t͡sz̩˩˩ xaʔ˥˦ iŋ˥˧ . t͡su˥˧ iau˩˩ t͡ɕie˦˥ liɒ̃˩˩ pʰie˥˧ y˩˩ t͡səu˩˩ pʰie˥˧
分音詞應以正字爲準，要是碰見正字沒灋查證的情況，留下那國際音標標識上，給別人查見了再改。	fəŋ˩˩ iŋ˥˧ t͡sʰz̩˩˩ i˥˧ t͡sz̩˦˥ t͡suŋ˥˧ , iau˩˩ sz̩˦˥ pʰəŋ˦˥ t͡ɕie˦˥ t͡sz̩˦˥ məʔ˨ t͡səŋ˦˥ tiəʔ˨ t͡ɕʰiŋ˩˩ kʰuɒ̃˦˥ , xa˦˥ kuəʔ˨ iŋ˥˧ sɒ̃˦˥ , kei˥˧ piəʔ˥˦ ʐəŋ˩˩ t͡ɕie˦˥ liau˥˧ t͡sai˦˥ kai˦˥ .
有的晉語方言（比方説和順話）有三種不同的指示詞（近指、中指、遠指），編輯詞條時要留下這些箇指示詞，表意更準確。	iəu˥˧ tiəʔ˨ t͡ɕiŋ˦˥ y˥˧ fɒ̃˩˩ ie˩˩ pi˥˧ fɒ̃˩˩ xuɤ˩˩ suŋ˦˥ xua˦˥ iəu˥˧ sæ̃˩˩ pəʔ˨ tʰuŋ˩˩ tiəʔ˨ t͡səʔ˨ sz̩˦˥ t͡sʰz̩˩˩ t͡ɕiŋ˦˥ t͡səʔ˨ , t͡suŋ˩˩ t͡səʔ˨ , ye˥˧ t͡səʔ˨ , pie˩˩ t͡sʰz̩˩˩ tʰiau˩˩ sz̩˩˩ iau˩˩ xa˦˥ t͡səʔ˥˦ ɕie˩˩ t͡səʔ˨ sz̩˦˥ t͡sʰz̩˩˩ , piau˥˧ i˦˥ t͡ɕiŋ˩˩ t͡suŋ˥˧ t͡ɕʰyəʔ˨ .
叔虞 ，又叫 唐叔虞 、 太叔 ；姓姬，名虞，字子于，周武王姬發的小子，跟周成王姬誦是親弟兄，母王后是邑姜（齊太公呂尚的閨女），周封國晉國的始祖。	suəʔ˨ , iəu˦˥ t͡ɕiau˦˥ tʰɒ̃˩˩ suəʔ˨ , tʰai˦˥ suəʔ˨ , ɕiŋ˦˥ , miŋ˩˩ , t͡sz̩˦˥ t͡sz̩˥˧ , t͡səu˩˩ vu˥˧ vɒ̃˩˩ faʔ˨ tiəʔ˨ ɕiau˥˧ t͡sz̩˥˧ , kəŋ˩˩ t͡səu˩˩ t͡sʰəŋ˩˩ vɒ̃˩˩ sz̩˦˥ t͡ɕʰiŋ˩˩ ti˦˥ ɕyŋ˩˩ , mu˥˧ vɒ̃˩˩ xəu˦˥ sz̩˦˥ t͡ɕiɒ̃˩˩ tʰai˦˥ kuŋ˩˩ sɒ̃˦˥ tiəʔ˨ kuei˩˩ ny˦˥ , t͡səu˩˩ fəŋ˩˩ kuəʔ˨ t͡ɕiŋ˦˥ kuəʔ˨ tiəʔ˨ sz̩˥˧ t͡su˥˧ .
