preload=Template:Standard content for new page	preloˈɑd templɑˈte , stɑnˈdɑrd d͡ʒonˈtent ˈfor ˈnew pɑˈɡe
Milliy qanunnı yerine ketirecek organlarnıñ (yani milliy parlament) teşkil etilmesi.	miˈlːij qɑnuˈnːɯ jeriˈne ketireˈd͡ʒek orɡɑnlɑrˈnɯŋ jɑˈni miˈlːij pɑrlɑˈment teʃˈkil etilmeˈsi .
O vaqıtlarda Rusiye devletiniñ bir parçası olğan Qırım yarımadasında da ihtilâl yelleri esmege başlay.	ˈo vɑqɯtlɑrˈdɑ rusiˈje dewletiˈniŋ ˈbir pɑrt͡ʃɑˈsɯ olˈɣɑn qɯˈrɯm jɑrɯmɑdɑsɯnˈdɑ ˈdɑ ihtiˈlal jelːeˈri esmeˈɡe bɑʃˈlɑj .
İlbav sakinleri «Portland inqilâbı» ve «Şeref inqilâbı»nda faal iştirak eteler. 2013 senesi dekabrniñ 1-de şeer mitingleri keçirilgen ananeviy yer olğan Taras Şevçenko abidesi ögündeki meydançıqta 50 biñden ziyade adam bekçilikte iştirak etti. İlbav Ukrainanıñ bütün şeerleri arasında (Qıyabdan soñ) eñ çoq mitinglerniñ ekinci yerini keçirdi .	ilˈbɑw sɑkinleˈri portˈlɑnd inqilaˈbɯ ˈve ʃeˈref inqilaˈbɯ nˈdɑ ˈfɑːl iʃtiˈrɑk eteˈler . eˈki ˈbiŋ ˈon ˈyt͡ʃ seneˈsi dekɑbrˈniŋ ˈbir ˈde ˈʃeːr mitinɡleˈri ket͡ʃirilˈɡen ɑnɑneˈvij ˈjer olˈɣɑn tɑˈrɑs ʃewt͡ʃenˈko ɑbideˈsi øɡyndeˈki mejdɑnt͡ʃɯqˈtɑ eˈlːi biŋˈden zijɑˈde ɑˈdɑm bekt͡ʃilikˈte iʃtiˈrɑk eˈtːi . ilˈbɑw ukrɑinɑˈnɯŋ byˈtyn ʃeːrleˈri ɑrɑsɯnˈdɑ qɯjɑbˈdɑn ˈsoŋ ˈeŋ ˈt͡ʃoq mitinɡlerˈniŋ ekinˈd͡ʒi jeriˈni ket͡ʃirˈdi .
Qırımtatar halqınıñ Türkiyede ekseriyetnen yerleşken yerleri şulardır:	qɯrɯmtɑˈtɑr hɑlqɯˈnɯŋ tyrkijeˈde ekserijetˈnen jerleʃˈken jerleˈri ʃulɑrˈdɯr ,
Avropa Birligi ya da AB (, ) - Avropadaki 27 mustaqil memleketten ibaret bir ittifaqtır. Siyasiy merkezi Brüksel, eñ balaban şeeri Berlindir.	ɑwroˈpɑ birliˈɡi ˈjɑ ˈdɑ ˈɑb , ɑwropɑdɑˈki jiɡirˈmi jeˈdi mustɑˈqil memlekeˈtːen ibɑˈret ˈbir itːifɑqˈtɯr . sijɑˈsij merkeˈzi brykˈsel , ˈeŋ bɑlɑˈbɑn ʃeːˈri berlinˈdir .
Qaran, Laspi, Qamar, İgnatyevka köyleri: oğuz tamırlı sözler biraz daa körüne.	qɑˈrɑn , lɑsˈpi , qɑˈmɑr , iɡnɑtjewˈkɑ køjleˈri , oˈɣuz tɑmɯrˈlɯ søzˈler biˈrɑz ˈdɑː køryˈne .
Türkiye Çocuk Dergisi tarafından Babalar günü nedeniyle "Toprak Baba" unvanı 1998	tyrkiˈje t͡ʃoˈd͡ʒuk derɡiˈsi tɑrɑfɯnˈdɑn bɑbɑˈlɑr ɡyˈny nedenijˈle topˈrɑk bɑˈbɑ unvɑˈnɯ ˈbiŋ doˈquz ˈjyz doqˈsɑn seˈkiz
Voronovıtsâ () - Ukrainanıñ Vinnıtsâ vilâyetinde Vinnıtsâ rayonında bir qasaba. Ealisiniñ sayısı 6100 kişi.	voronovɯtˈsa ukrɑinɑˈnɯŋ vinːɯtˈsa vilajetinˈde vinːɯtˈsa rɑjonɯnˈdɑ ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ɑlˈtɯ ˈbiŋ ˈjyz kiˈʃi .
Dunayivtsi () - Ukrainanıñ Hmelnıtskıy vilâyetinde bir şeer. Ealisiniñ sayısı 15 078 kişi (2024).	dunɑjiwtˈsi ukrɑinɑˈnɯŋ hmelnɯtsˈkɯj vilajetinˈde ˈbir ˈʃeːr . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ˈbeʃ ˈbiŋ jetˈmiʃ seˈkiz kiˈʃi eˈki ˈbiŋ jiɡirˈmi ˈdørt .
Bazaliya () - Ukrainanıñ Hmelnıtskıy vilâyetinde bir qasaba. Ealisiniñ sayısı 2 113 kişi (2007 senesi).	bɑzɑliˈjɑ ukrɑinɑˈnɯŋ hmelnɯtsˈkɯj vilajetinˈde ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈbiŋ ˈjyz ˈon ˈyt͡ʃ kiˈʃi eˈki ˈbiŋ jeˈdi seneˈsi .
