虎，也叫老虎，係體形最大嗰貓科動物，也係亞洲特有嗰物種。但而今箇隻物種快要滅絕嘍。	fu˨˩˧ , ia˨˩˧ t͡ɕiɛu˧˥ lau˨˦ ˈfu˨˩˧ , tʰi˨˩˧ ɕin˧˥ t͡sui˧˥ tʰai˩˩ mau˧˥ kʰuo˦˨ tʰuŋ˩˩ ut̚˥ , ia˨˩˧ ˈŋa˩˧ t͡sɨu˦˨ tʰɛt̚˥ iu˨˩˧ ut̚˥ . ɵ˧˥ t͡ɕin˨ t͡saʔ˥ ut̚˥ kʰuai˨˩˧ iɛu˦˨ miɛt̚˥ t͡ɕʰyɵt̚˨ .
萍鄉地區人類居住的歷史可追溯到舊石器時代，在蘆溪縣宣風鎮竹山園發現有舊石器時代遺址。蘆溪縣新泉、宣風、虹橋，上栗縣施家台、桐木荊坪、赤山大寶山等地均發現有新石器時代遺址。今萍鄉經濟開發區田中管理處境內發現商周古城，稱“譚台”，《江西省志》將其列為江西在商代的三座古城之一。[6] 在蘆溪的舊縣城以前被稱為“甘卓壘”，東晉元帝太興元年318年），陳敏于江東僭稱王，晉元帝司馬睿遣鎮南將軍陶侃水陸二道來伐，又讓甘卓領兵至萍鄉縣東築壘，連接五所，所以舊縣城也被稱為甘卓壘。[7] 孫中山領導的同盟會于1906年12月發動了萍瀏醴起義，揭開了辛亥革命的序幕。1922年9月，劉少奇、李立三等在此領導了舉世聞名的安源路礦工人大罷工，萍鄉成為中國工人運動的策源地。同時也是秋收起義的策源地。萍鄉也是中國最早的重工業基地之一。	ɕiɔŋ˦˨ tʰi˩˩ t͡ɕʰy˦˨ n̠ʲin˧˥ lui˩˩ t͡ɕʰy˩˩ tit̚˥ lit̚˥ ˈsz̩˨˩˧ t͡sui˦˨ tau˧˥ t͡ɕʰiu˩˩ saʔ˨ t͡ɕʰi˨˩˧ sz̩˧˥ tʰai˩˩ , t͡sʰai˩˩ t͡ɕʰi˦˨ ɕiɛn˩˩ ɕyɵn˦˨ fuŋ˦˨ t͡ɕin˧˥ t͡suʔ˥ san˦˨ yɵn˧˥ ɕiɛn˩˩ iu˨˩˧ t͡ɕʰiu˩˩ saʔ˨ t͡ɕʰi˨˩˧ sz̩˧˥ tʰai˩˩ i˧˥ . t͡ɕʰi˦˨ ɕiɛn˩˩ ɕin˦˨ t͡ɕʰyɵn˨˦ , ɕyɵn˦˨ fuŋ˦˨ , kɔŋ˧˥ t͡ɕʰiɛu˨˦ , sɔŋ˩˩ ɕiɛn˩˩ sz̩˦˨ ka˦˨ tʰai˨˦ , tʰuŋ˨˦ muʔ˥ , t͡sʰɨt̚˥ san˦˨ tʰai˩˩ san˦˨ tɛn˨˩˧ tʰi˩˩ t͡ɕyn˦˨ ɕiɛn˩˩ iu˨˩˧ ɕin˦˨ saʔ˨ t͡ɕʰi˨˩˧ sz̩˧˥ tʰai˩˩ i˧˥ . t͡ɕin˦˨ ɕiɔŋ˦˨ t͡ɕiaŋ˦˨ kʰai˦˨ t͡ɕʰy˦˨ tʰiɛn˨˦ t͡suŋ˦˨ kuɵn˨˩˧ li˨˩˧ lui˩˩ ɕiɛn˩˩ t͡sɨu˦˨ ku˨˩˧ saŋ˧˥ , tʰai˨˦ , kɔŋ˦˨ ɕi˦˨ t͡sz̩˧˥ t͡ɕʰi˨˦ liɛt̚˥ kɔŋ˦˨ ɕi˦˨ t͡sʰai˩˩ tʰai˩˩ tit̚˥ san˦˨ ku˨˩˧ saŋ˧˥ t͡sz̩˦˨ it̚˥ . liuʔ˥ t͡sʰai˩˩ t͡ɕʰi˦˨ tit̚˥ t͡ɕʰiu˩˩ ɕiɛn˩˩ saŋ˧˥ i˨˩˧ t͡ɕʰiɛn˨˦ pʰi˩˩ kɵn˦˨ , tuŋ˦˨ t͡ɕin˧˥ n̠ʲyɵn˧˥ ti˧˥ tʰai˨˩˧ ɕin˦˨ n̠ʲyɵn˧˥ n̠ʲiɛn˧˥ san˦˨ paʔ˥ it̚˥ sɨt̚˨ pat̚˥ n̠ʲiɛn˧˥ , t͡sʰɨn˨˦ min˨˩˧ kɔŋ˦˨ tuŋ˦˨ uɔŋ˧˥ , t͡ɕin˧˥ n̠ʲyɵn˧˥ ti˧˥ ma˨˩˧ t͡ɕin˧˥ lan˧˥ t͡ɕyn˦˨ tʰau˨˦ sui˨˩˧ luʔ˥ ɵ˩˩ tʰau˩˩ lai˧˥ fat̚˥ , iu˩˩ kɵn˦˨ liaŋ˨˩˧ pin˦˨ t͡sz̩˧˥ ɕiɔŋ˦˨ ɕiɛn˩˩ tuŋ˦˨ , t͡ɕiɛt̚˥ ŋ̍˨˩˧ so˨˩˧ , so˨˩˧ i˨˩˧ t͡ɕʰiu˩˩ ɕiɛn˩˩ saŋ˧˥ ia˨˩˧ pʰi˩˩ kɵn˦˨ . t͡ɕʰit̚˥ sun˦˨ t͡suŋ˦˨ san˦˨ liaŋ˨˩˧ tit̚˥ tʰuŋ˨˦ min˧˥ fɨi˩˩ it̚˥ t͡ɕiu˨˩˧ lin˧˥ liuʔ˥ n̠ʲiɛn˧˥ sɨt̚˨ ɵ˩˩ n̠ʲyɵt̚˨ tʰuŋ˩˩ liɛu t͡ɕʰi˨˩˧ n̠ʲi˩˩ , t͡ɕiɛt̚˥ kʰai˦˨ liɛu ɕin˦˨ kiɛt̚˥ miaŋ˩˩ tit̚˥ ɕy˩˩ . it̚˥ t͡ɕiu˨˩˧ ɵ˩˩ ɵ˩˩ n̠ʲiɛn˧˥ t͡ɕiu˨˩˧ n̠ʲyɵt̚˨ , sɛu˨˩˧ t͡ɕʰi˨˦ , li˨˩˧ lit̚˥ san˦˨ tɛn˨˩˧ t͡sʰai˩˩ liaŋ˨˩˧ liɛu t͡ɕy˨˩˧ sz̩˧˥ un˧˥ miaŋ˧˥ tit̚˥ ŋɵn˦˨ lu˩˩ ˈkuŋ˦˨ lɨn˧˥ tʰai˩˩ kuŋ˦˨ , ɕiɔŋ˦˨ saŋ˧˥ t͡suŋ˦˨ kuɛt̚˥ ˈkuŋ˦˨ lɨn˧˥ yn˩˩ tʰuŋ˩˩ tit̚˥ t͡sʰɛt̚˥ tʰi˩˩ . tʰuŋ˨˦ sz̩˧˥ ia˨˩˧ sz̩˩˩ t͡ɕʰiu˦˨ ɕiu˦˨ t͡ɕʰi˨˩˧ n̠ʲi˩˩ tit̚˥ t͡sʰɛt̚˥ tʰi˩˩ . ɕiɔŋ˦˨ ia˨˩˧ sz̩˩˩ t͡suŋ˦˨ kuɛt̚˥ t͡sui˧˥ t͡sau˨˩˧ tit̚˥ kuŋ˦˨ n̠ʲiɛt̚˥ t͡ɕi˦˨ tʰi˩˩ t͡sz̩˦˨ it̚˥ .
江右語：話贛語嘅人大部分居到長江嘅南首，咁贛語就有嘞「江右語」嘅稱呼。明代袁子讓到佢嘅《字學元元》話到：「江右音或以朝為刁，以晝為丟去聲，蓋誤知於端也。」	kɔŋ˦˨ iu˩˩ n̠ʲy˨˩˧ , ua˩˩ kɵn˧˥ n̠ʲy˨˩˧ n̠ʲin˧˥ tʰai˩˩ pʰu˩˩ fɨn˦˨ tau˧˥ t͡sʰɔŋ˨˦ kɔŋ˦˨ lan˧˥ , kɵn˧˥ n̠ʲy˨˩˧ t͡ɕʰiu˩˩ iu˨˩˧ kɔŋ˦˨ iu˩˩ n̠ʲy˨˩˧ . min˧˥ tʰai˩˩ t͡sz̩˨˩˧ tau˧˥ t͡ɕʰie˨˦ t͡sʰz̩˨˦ hɔʔ˨ n̠ʲyɵn˧˥ n̠ʲyɵn˧˥ ua˩˩ tau˧˥ , kɔŋ˦˨ iu˩˩ in˦˨ fɛt̚˥ i˨˩˧ t͡sʰɛu˨˦ , i˨˩˧ t͡sɨu˧˥ tiu˦˨ t͡ɕʰie˨˩˧ saŋ˦˨ , u˩˩ t͡sz̩˦˨ tɵn˦˨ ia˨˩˧ .
不送氣去聲清聲母字歸陽平，送氣去聲清聲母字歸上聲，去聲濁聲母字為去聲，南昌（塔城）、新建、安義屬於這一種。	pɨt̚˥ suŋ˧˥ t͡ɕʰi˨˩˧ t͡ɕʰie˨˩˧ saŋ˦˨ t͡ɕʰin˦˨ saŋ˦˨ mu˨˩˧ t͡sʰz̩˨˦ kui˦˨ iɔŋ˧˥ pʰiaŋ˨˦ , suŋ˧˥ t͡ɕʰi˨˩˧ t͡ɕʰie˨˩˧ saŋ˦˨ t͡ɕʰin˦˨ saŋ˦˨ mu˨˩˧ t͡sʰz̩˨˦ kui˦˨ sɔŋ˩˩ saŋ˦˨ , t͡ɕʰie˨˩˧ saŋ˦˨ saŋ˦˨ mu˨˩˧ t͡sʰz̩˨˦ t͡ɕʰie˨˩˧ saŋ˦˨ , lan˧˥ t͡sʰɔŋ˦˨ tʰa˨˩˧ saŋ˧˥ , ɕin˦˨ t͡ɕiɛn˧˥ , ŋɵn˦˨ n̠ʲi˩˩ it̚˥ .
鎮：泉江鎮、雩田鎮、碧洲鎮、草林鎮、堆子前鎮、左安鎮、高坪鎮、大汾鎮、衙前鎮、禾源鎮、湯湖鎮	t͡ɕin˧˥ , t͡ɕʰyɵn˨˦ kɔŋ˦˨ t͡ɕin˧˥ , tʰiɛn˨˦ t͡ɕin˧˥ , pit̚˥ t͡sɨu˦˨ t͡ɕin˧˥ , t͡sʰau˨˩˧ lin˧˥ t͡ɕin˧˥ , tui˦˨ t͡sz̩˨˩˧ t͡ɕʰiɛn˨˦ t͡ɕin˧˥ , t͡so˨˩˧ ŋɵn˦˨ t͡ɕin˧˥ , kau˦˨ t͡ɕin˧˥ , tʰai˩˩ t͡ɕin˧˥ , ŋa˧˥ t͡ɕʰiɛn˨˦ t͡ɕin˧˥ , uo˧˥ t͡ɕin˧˥ , tʰɔŋ˦˨ fu˧˥ t͡ɕin˧˥
萬里長城係話中國嗰明長城，佢由東頭鴨綠江嗰虎山長城，一逕到西頭嗰嘉峪關，全長7300喇公里，合14600里，𠵹就叫做萬里長城。長城平均高六到七米、闊四到五米，係中國古代浩大嗰軍事防禦工程。	uan˩˩ li˨˩˧ t͡sʰɔŋ˨˦ saŋ˧˥ ua˩˩ t͡suŋ˦˨ kuɛt̚˥ min˧˥ t͡sʰɔŋ˨˦ saŋ˧˥ , t͡ɕʰie˨˦ i˧˥ tuŋ˦˨ tʰɛu˨˦ ŋat̚˥ liuʔ˥ kɔŋ˦˨ fu˨˩˧ san˦˨ t͡sʰɔŋ˨˦ saŋ˧˥ , it̚˥ tau˧˥ ɕi˦˨ tʰɛu˨˦ kuan˦˨ , t͡ɕʰyɵn˨˦ t͡sʰɔŋ˨˦ t͡ɕʰit̚˥ t͡ɕʰiɛn˦˨ san˦˨ paʔ˥ kuŋ˦˨ li˨˩˧ , hɵt̚˨ it̚˥ uan˩˩ sz̩˧˥ t͡ɕʰiɛn˦˨ liuʔ˥ paʔ˥ li˨˩˧ , t͡ɕʰiu˩˩ t͡ɕiɛu˧˥ t͡su˧˥ uan˩˩ li˨˩˧ t͡sʰɔŋ˨˦ saŋ˧˥ . t͡sʰɔŋ˨˦ saŋ˧˥ pʰiaŋ˨˦ t͡ɕyn˦˨ kau˦˨ liuʔ˥ tau˧˥ t͡ɕʰit̚˥ mi˨˩˧ , kʰuɵt̚˥ sz̩˧˥ tau˧˥ ŋ̍˨˩˧ mi˨˩˧ , t͡suŋ˦˨ kuɛt̚˥ ku˨˩˧ tʰai˩˩ hau˩˩ tʰai˩˩ t͡ɕyn˦˨ sz̩˩˩ fɔŋ˧˥ kuŋ˦˨ .
考古學研究得知，新石器時代嗰中國多元並立：約西元前5000年到3000年前嗰豫、冀南、隴南同到晉南出現用紅陶、彩陶，食粟，養家畜嗰仰韶文化；大約同期，浙江北就有河姆渡文化；山東有大汶口文化。	kʰau˨˩˧ ku˨˩˧ hɔʔ˨ n̠ʲiɛn˨˩˧ t͡ɕiu˧˥ tɛt̚˥ t͡sz̩˦˨ , ɕin˦˨ saʔ˨ t͡ɕʰi˨˩˧ sz̩˧˥ tʰai˩˩ t͡suŋ˦˨ kuɛt̚˥ to˦˨ n̠ʲyɵn˧˥ lit̚˥ , iɔʔ˥ ɕi˦˨ n̠ʲyɵn˧˥ t͡ɕʰiɛn˨˦ ŋ̍˨˩˧ t͡ɕʰiɛn˦˨ n̠ʲiɛn˧˥ tau˧˥ san˦˨ t͡ɕʰiɛn˦˨ n̠ʲiɛn˧˥ t͡ɕʰiɛn˨˦ , lan˧˥ , lan˧˥ tʰuŋ˨˦ tau˧˥ t͡ɕin˧˥ lan˧˥ t͡sʰɨt̚˥ ɕiɛn˩˩ iuŋ˩˩ fuŋ˧˥ tʰau˨˦ , tʰau˨˦ , sɨt̚˨ , ka˦˨ un˧˥ fa˧˥ , tʰai˩˩ iɔʔ˥ tʰuŋ˨˦ , t͡sɛt̚˥ kɔŋ˨ pɛt̚˥ t͡ɕʰiu˩˩ iu˨˩˧ ho˨˦ un˧˥ fa˧˥ , san˦˨ tuŋ˦˨ iu˨˩˧ tʰai˩˩ kʰiɛu˨˩˧ un˧˥ fa˧˥ .
東漢嗰發展延續嘞西漢嗰傳統，出現嘞發明渾天儀同候風地動儀嗰天文學家張衡。文化發展方面，東漢吸取嘞秦國嗰教訓，顯得相當開明。當時佛教通過西域到達中國，河南洛陽就修建嘞中國嗰首隻佛教寺廟——白馬寺，標誌到佛教正式傳入中國。	tuŋ˦˨ t͡sɛn˨˩˧ ɕi˦˨ tʰuŋ˨˩˧ , t͡sʰɨt̚˥ ɕiɛn˩˩ min˧˥ tʰiɛn˦˨ tʰuŋ˨˦ hɛu˩˩ fuŋ˦˨ tʰi˩˩ tʰuŋ˩˩ tʰiɛn˦˨ un˧˥ hɔʔ˨ ka˦˨ t͡sɔŋ˦˨ . un˧˥ fa˧˥ t͡sɛn˨˩˧ fɔŋ˦˨ miɛn˩˩ , tuŋ˦˨ ɕit̚˥ t͡ɕʰy˨˩˧ kuɛt̚˥ kau˧˥ ɕin˨˩˧ , tɛt̚˥ ɕiɔŋ˧˥ tɔŋ˦˨ kʰai˦˨ min˧˥ . tɔŋ˦˨ sz̩˧˥ fɨt̚˨ kau˧˥ tʰuŋ˦˨ kuo˧˥ ɕi˦˨ tau˧˥ tʰaʔ˨ t͡suŋ˦˨ kuɛt̚˥ , ho˨˦ lan˧˥ lɔʔ˥ iɔŋ˧˥ t͡ɕʰiu˩˩ ɕiu˦˨ t͡ɕiɛn˧˥ t͡suŋ˦˨ kuɛt̚˥ t͡saʔ˥ fɨt̚˨ kau˧˥ sz̩˩˩ miɛu˩˩ pʰaʔ˨ ma˨˩˧ sz̩˩˩ , tau˧˥ fɨt̚˨ kau˧˥ sɨt̚˥ lɨt̚˥ t͡suŋ˦˨ kuɛt̚˥ .
鴉片戰爭持續到一年後，1841年8月英軍抵達南京，清廷怫英軍會進攻北京，立馬求和。1842年8月29日，兩國簽署《南京條約》，割讓香港島，開放上海、廣州、廈門、福州同寧波作為通商口岸，還要賠償款銀（西班牙銀圓）2100萬元。之後1844年，美國同法國分別同清廷簽訂《望廈條約》同《黃埔條約》。	ŋa˦˨ pʰiɛn˨˩˧ t͡sɛn˧˥ t͡saŋ˦˨ tau˧˥ it̚˥ n̠ʲiɛn˧˥ hɛu˩˩ , it̚˥ pat̚˥ sz̩˧˥ it̚˥ n̠ʲiɛn˧˥ pat̚˥ n̠ʲyɵt̚˨ in˦˨ t͡ɕyn˦˨ ti˨˩˧ tʰaʔ˨ lan˧˥ t͡ɕin˦˨ , t͡ɕʰin˦˨ in˦˨ t͡ɕyn˦˨ fɨi˩˩ t͡sin˧˥ pɛt̚˥ t͡ɕin˦˨ , lit̚˥ ma˨˩˧ t͡ɕʰiu˨˦ fo˧˥ . it̚˥ pat̚˥ sz̩˧˥ ɵ˩˩ n̠ʲiɛn˧˥ pat̚˥ n̠ʲyɵt̚˨ ɵ˩˩ sɨt̚˨ t͡ɕiu˨˩˧ n̠ʲit̚˥ , kuɛt̚˥ lan˧˥ t͡ɕin˦˨ tʰiɛu˨˦ iɔʔ˥ , ɕiɔŋ˦˨ kɔŋ˨˩˧ tau˨˩˧ , kʰai˦˨ fɔŋ˧˥ sɔŋ˩˩ hai˨˩˧ , kuɔŋ˨˩˧ t͡sɨu˦˨ , ˈha˩˩ mɨn˧˥ , fuʔ˥ t͡sɨu˦˨ tʰuŋ˨˦ lin˧˥ po˦˨ t͡sɔʔ˥ tʰuŋ˦˨ kʰiɛu˨˩˧ ŋɵn˩˩ , uan˧˥ iɛu˦˨ n̠ʲin˧˥ ɕi˦˨ pan˦˨ ŋa˧˥ n̠ʲin˧˥ yɵn˧˥ ɵ˩˩ t͡ɕʰiɛn˦˨ it̚˥ paʔ˥ uan˩˩ n̠ʲyɵn˧˥ . t͡sz̩˦˨ ˈhɛu˩˩ it̚˥ pat̚˥ sz̩˧˥ sz̩˧˥ n̠ʲiɛn˧˥ , mi˨˩˧ kuɛt̚˥ tʰuŋ˨˦ fat̚˥ kuɛt̚˥ fɨn˦˨ pʰiɛt̚˥ tʰuŋ˨˦ t͡ɕʰin˦˨ mɔŋ˩˩ tʰiɛu˨˦ iɔʔ˥ tʰuŋ˨˦ uɔŋ˧˥ tʰiɛu˨˦ iɔʔ˥ .
范文瀾：《中國近代史》，北京：人民出版社，1962年，統一書號 11001241	fan˩˩ un˧˥ , t͡suŋ˦˨ kuɛt̚˥ t͡ɕʰin˩˩ tʰai˩˩ sz̩˨˩˧ , pɛt̚˥ t͡ɕin˦˨ , lɨn˧˥ min˧˥ t͡sʰɨt̚˥ sa˩˩ , it̚˥ t͡ɕiu˨˩˧ liuʔ˥ ɵ˩˩ n̠ʲiɛn˧˥ , tʰuŋ˨˩˧ it̚˥ ɕy˦˨ hau˩˩ it̚˥ t͡ɕʰiɛn˦˨ it̚˥ paʔ˥ uan˩˩ it̚˥ t͡ɕʰiɛn˦˨ ɵ˩˩ paʔ˥ sz̩˧˥ sɨt̚˨ it̚˥
