buttonlabel=Maghimo sang bag-o nga artikulo	buttonlˈabel maɡhˈimo sˈaŋ bˈaɡʔo ŋˈa ʔaɾtikˈulo
Ang Sinulog isa ka saot nga may duha ka tawo nga daw ga-inaway-away, apang indi man lamang matuod. Ginahimo ini sa pamalaye, ukon ang tion nga magamuno ang nobyo magpangasal sa iya nobya.	ʔˈaŋ sinˈuloɡ ʔˈisa kˈa sˈaʔot ŋˈa mˈaj dˈuha kˈa tˈawo ŋˈa dˈaw ɡaʔinawajʔˈawaj , ʔˈapaŋ ʔˈindi mˈan lˈamaŋ matˈuʔod . ɡinahˈimo ʔˈini sˈa pamalˈaje , ʔˈukon ʔˈaŋ tˈiʔon ŋˈa maɡamˈuno ʔˈaŋ nˈobjo maɡpaŋˈasal sˈa ʔˈija nˈobja .
Ang representasyon sang Nynorsk kag mga ablante sini sa mga diyaryong posgerang Norwego	ʔˈaŋ ɾepɾesentˈasjon sˈaŋ ɲnˈoɾsk kˈaɡ mˈaŋa ʔablˈante sˈini sˈa mˈaŋa dijˈaɾjoŋ posɡˈeɾaŋ noɾwˈeɡo
Ang Sibagat una nga klase sang munisipalidad nga makita sa probinsya sang Agusan del Sur, Pilipinas. May 567.82 kilometro kwadrado ini nga kalaparon kag ini kabahin sang una nga distrito kongresyonal.	ʔˈaŋ sibˈaɡat ʔˈuna ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ ʔaɡˈusan dˈel sˈuɾ , pilipˈinas . mˈaj lˈima kˈa ɡˈatos kˈaɡ kanʔˈuman kˈaɡ pˈito pˈunto wˈalo dˈuha kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔˈuna ŋˈa distɾˈito koŋɾesjˈonal .
Base sa 2010 census, ini may populasyon nga 35,102. Ang zip code sini 5702.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa katlˈoʔan kˈaɡ lˈima kˈa lˈibo kˈaɡ ʔˈisa kˈa ɡˈatos kˈaɡ dˈuha . ʔˈaŋ sˈip kˈode sˈini lˈima kˈa lˈibo kˈaɡ pˈito kˈa ɡˈatos kˈaɡ dˈuha .
Base sa 2010 census, ini may populasyon nga 1,249. Ang zip code sini 3902.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa ʔˈisa kˈa lˈibo kˈaɡ dˈuha kˈa ɡˈatos kˈaɡ kapʔˈatan kˈaɡ sˈijam . ʔˈaŋ sˈip kˈode sˈini tˈatlo kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ dˈuha .
Base sa 2010 census, ini may populasyon nga 16,555. Ang zip code sini 2615.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa napˈulo kˈaɡ ʔˈanum kˈa lˈibo kˈaɡ lˈima kˈa ɡˈatos kˈaɡ kalˈimʔan kˈaɡ lˈima . ʔˈaŋ sˈip kˈode sˈini dˈuha kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ lˈima .
Ang Sevilla ika-lima nga klase sang munisipalidad nga makita sa probinsya sang Bohol, Pilipinas. May 116.75 kilometro kwadrado ini nga kalaparon kag ini kabahin sang ika-tatlo nga distrito kongresyonal.	ʔˈaŋ sebˈilja ʔikaʔlˈima ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ bˈohol , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ ʔˈanum pˈunto pˈito lˈima kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔtˈatlo ŋˈa distɾˈito koŋɾesjˈonal .
Ang Santa Maria una nga klase sang munisipalidad nga makita sa probinsya sang Bulacan, Pilipinas. May 90.92 kilometro kwadrado ini nga kalaparon kag ini kabahin sang ika-apat nga distrito kongresyonal.	ʔˈaŋ sˈanta maɾˈiʔa ʔˈuna ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ bulˈakan , pilipˈinas . mˈaj kasijˈaman pˈunto sˈijam dˈuha kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔˈapat ŋˈa distɾˈito koŋɾesjˈonal .
Base sa 2024 census, ini may populasyon nga 75,943. Ang zip code sini 4430.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ kaluhˈaʔan kˈaɡ ʔˈapat kˈensus , ʔˈini mˈaj populˈasjon ŋˈa kapitˈuʔan kˈaɡ lˈima kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kapʔˈatan kˈaɡ tˈatlo . ʔˈaŋ sˈip kˈode sˈini ʔˈapat kˈa lˈibo kˈaɡ ʔˈapat kˈa ɡˈatos kˈaɡ katlˈoʔan .
Sapi-An an ika-apat nga klase sang munisipalidad nga makita sa probinsya sang Capiz, Pilipinas. May 105.24 kilometro kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	sapˈiʔan ʔˈan ʔikaʔˈapat ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ kˈapis , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ lˈima pˈunto dˈuha ʔˈapat kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
Ang Barili ika-duha nga klase sang munisipalidad nga makita sa probinsya sang Cebu, Pilipinas. May 122.21 kwadrado ini nga kalaparon kag ini kabahin sang ika-tatlo nga distrito kongresyonal.	ʔˈaŋ baɾˈili ʔikaʔdˈuha ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ kˈebu , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ dˈuha pˈunto dˈuha ʔˈisa kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔtˈatlo ŋˈa distɾˈito koŋɾesjˈonal .
Ang Antipas ika-duha nga klase sang munisipalidad nga makita sa probinsya sang Cotabato, Pilipinas. May 552.5 kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	ʔˈaŋ ʔantˈipas ʔikaʔdˈuha ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ kotabˈato , pilipˈinas . mˈaj lˈima kˈa ɡˈatos kˈaɡ kalˈimʔan kˈaɡ dˈuha pˈunto lˈima kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
Ang Basilisa ika-anum nga klase sang munisipalidad nga makita sa probinsya sang Dinagat Islands, Pilipinas. May 92.68 kwadrado ini nga kalaparon kag ini kabahin sang bugtong nga distrito kongresyonal.	ʔˈaŋ basilˈisa ʔikaʔˈanum ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ dinˈaɡat ʔˈislands , pilipˈinas . mˈaj kasijˈaman kˈaɡ dˈuha pˈunto ʔˈanum wˈalo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ bˈuɡtoŋ ŋˈa distɾˈito koŋɾesjˈonal .
Base sa 2024 census, ini may populasyon nga 32,832. Ang zip code sini 2904.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ kaluhˈaʔan kˈaɡ ʔˈapat kˈensus , ʔˈini mˈaj populˈasjon ŋˈa katlˈoʔan kˈaɡ dˈuha kˈa lˈibo kˈaɡ wˈalo kˈa ɡˈatos kˈaɡ katlˈoʔan kˈaɡ dˈuha . ʔˈaŋ sˈip kˈode sˈini dˈuha kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ ʔˈapat .
Base sa 2024 census, ini may populasyon nga 26,059. Ang zip code sini 2733.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ kaluhˈaʔan kˈaɡ ʔˈapat kˈensus , ʔˈini mˈaj populˈasjon ŋˈa kaluhˈaʔan kˈaɡ ʔˈanum kˈa lˈibo kˈaɡ kalˈimʔan kˈaɡ sˈijam . ʔˈaŋ sˈip kˈode sˈini dˈuha kˈa lˈibo kˈaɡ pˈito kˈa ɡˈatos kˈaɡ katlˈoʔan kˈaɡ tˈatlo .
