Wikipedya se yon pwojè ansiklopedi kolektif anliy, inivèsèl, nan plizyè lang e ki fonksyone sou prensip wiki. Pwojè sa a gen pou objektif ofri kontni ki kapab itilize ankò, objektif ak verifye, ke tout moun ka modifye ak amelyore.	wikipedja se jɔ̃ pwoʒɛ ãsiklopedi kolektif ãlij , inivɛsɛl , nã plizjɛ lãɡ e ki fɔ̃ksjone su pɣɛ̃sip wiki . pwoʒɛ sa a ɡɛ̃ pu obʒektif ofɣi kɔ̃tni ki kapab itilize ãkɔ , obʒektif ak veɣifje , ke tut mun ka modifje ak ameljoɣe .
Nan Bib la, mo kretyen an parèt premyeman nan liv Travay apòt yo. Kote ki ekri: « Aprè sa, Banabas alé lavil Tas, al chèche Pòl. Lè l jwenn li, li mennen l lavil Antiyòch. Yo pase yon ane ansanm ap fè reyinyon avèk legliz laba, anseye moun sa yo ». Se nan menm chapit sa, nan liv Travay, nou trouve ekri : « Se nan lavil Antiyòch yo te rele disip yo kretyen pou premye fwa » (Travay 11:25-26).	nã bib la , mo kɣetjɛ̃ ã paɣɛt pɣemjemã nã liv tɣavaj apɔt jo . kote ki ekɣi , apɣɛ sa , banabas ale lavil tas , al ʃɛʃe pɔl . lɛ l ʒwɛ̃n li , li mɛ̃nɛ̃ l lavil ãtijɔʃ . jo pase jɔ̃ ane ãsãm ap fɛ ɣejinjɔ̃ avɛk leɡliz laba , ãseje mun sa jo . se nã mɛ̃m ʃapit sa , nã liv tɣavaj , nu twuve ekɣi , se nã lavil ãtijɔʃ jo te ɣele disip jo kɣetjɛ̃ pu pɣemje fwa tɣavaj ɔ̃z , vɛ̃nsɛ̃k vɛ̃nsis .
Ian Thomson. 'Bonjour Blanc: A Journey Through Haiti' (London, 1992). A colourful, picaresque, historically- and politically-engaged travelogue; regular asides on Louverture's career.	iã thomsɔ̃ . bɔ̃ʒuɣ blãk , a ʒuɣnej thwuɡh haiti lɔ̃dɔ̃ , mil nɛf sã katɣevɛ̃duz . a koluɣful , pikaɣeskue , histoɣikalj ãd politikaljɛ̃ɡaɡed tɣaveloɡue , ɣeɡulaɣ asides ɔ̃ luveɣtuɣes kaɣeeɣ .
Se nonm antye natirèl ant 921 ak 923 nan sistèm desimal.	se nɔ̃m ãtje natiɣɛl ãt nɛf sã vɛ̃tejɛ̃ ak nɛf sã vɛ̃ntwa nã sistɛm desimal .
Se nonm antye natirèl ant 618 ak 61A nan sistèm ekzadesimal.	se nɔ̃m ãtje natiɣɛl ãt sis sã dizɥit ak swasãtejɛ̃ a nã sistɛm ekzadesimal .
Se nonm antye natirèl ant 332 ak 334 nan sistèm ekzadesimal.	se nɔ̃m ãtje natiɣɛl ãt twa sã tɣãnde ak twa sã tɣãnkat nã sistɛm ekzadesimal .
39 se yon nonm. Pou ekri li, yo itilize chif arab yo.	tɣãtnɛf se jɔ̃ nɔ̃m . pu ekɣi li , jo itilize ʃif aɣab jo .
Transhumances. Pari: Riveneuve éditions, 2010.	tɣãshumãkes . paɣi , ɣiveneuve editiɔ̃s , de mil dis .
1992 : Chansons et comptines d’Haïti, seleksyon nan kat kont, kasèt odyo, Pari: Vif Argent	mil nɛf sã katɣevɛ̃duz , ʃãsɔ̃s et komptines d haiti , seleksjɔ̃ nã kat kɔ̃t , kasɛt odjo , paɣi , vif aɣɡɛ̃t
Kokèt, Eta yon fi ki toujou fè gason panse li renmen yo e moun kwè li ap kouche avèk anpil gason san li pa janm kouche avèk anpil gason tout bon vre.	kokɛt , eta jɔ̃ fi ki tuʒu fɛ ɡasɔ̃ pãse li ɣɛ̃mɛ̃ jo e mun kwɛ li ap kuʃe avɛk ãpil ɡasɔ̃ sã li pa ʒãm kuʃe avɛk ãpil ɡasɔ̃ tut bɔ̃ vɣe .
Guide to Learning Haitian Creole (liv sèlman)	ɡɥide to leaɣninɡ haitiã kɣeole liv sɛlmã
1994 : Guyane : Traces-Mémoires du bagne, C.N.M.H.S.	mil nɛf sã katɣevɛ̃katɔz , ɡujane , tɣakesmemoiɣes du baɡne , k . n . m . h . s .
1953 : Haitian Folk Songs (Smithsonian Folkways Recordings)	mil nɛf sã sɛ̃kãntwa , haitiã folk sɔ̃ɡs smithsoniã folkwajs ɣekoɣdinɡs
