Ti sistema a GNU/Linux ket maysa a version ti sistema a nakabasar iti GNU a Linux.	tˈi sistˈɛma ʔˈa ɡnˈu lˈinuks kˈɛt mˈajsa ʔˈa bˈɛɾsjon tˈi sistˈɛma ʔˈa nakabˈasaɾ ʔˈiti ɡnˈu ʔˈa lˈinuks .
1961 – Gary Cooper, Amerikano nga aktor (naipasngay 1901)	saŋaɾˈibo kˈɛt sjˈam ʔˈa ɡasˈut kˈɛt ʔinnˈɛm ʔˈa pˈulo kˈɛt mˈajsa ɡˈaɾj koʔˈopɛɾ , ʔamɛɾikˈano ŋˈa ʔˈaktoɾ naʔipˈasŋaj saŋaɾˈibo kˈɛt sjˈam ʔˈa ɡasˈut kˈɛt mˈajsa
Ti 1999 ket maysa a kadawyan a tawen a nangrugi iti aldaw ti Biernes iti kalendario a Gregoriano.	tˈi saŋaɾˈibo kˈɛt sjˈam ʔˈa ɡasˈut kˈɛt sjˈam ʔˈa pˈulo kˈɛt sjˈam kˈɛt mˈajsa ʔˈa kadˈawjan ʔˈa tawˈɛn ʔˈa naŋɾˈuɡi ʔˈiti ʔaldˈaw tˈi bjˈɛɾnɛs ʔˈiti kalɛndˈaɾjo ʔˈa ɡɾɛɡoɾjˈano .
Oryza brachyantha (FF) – tropikal nga Aprika	ʔˈoɾjsa bɾakhjˈantha pp tɾopˈikal ŋˈa ʔapɾˈika
Kategoria:Dagiti pagilian ken teritorio nga agsasao ti Danes	katɛɡˈoɾja , daɡˈiti paɡˈiljan kˈɛn tɛɾitˈoɾjo ŋˈa ʔaɡsasˈaʔo tˈi dˈanɛs
Ti New Corella ket maysa a maika-2 a klase nga ili iti probinsia ti Davao del Norte iti Filipinas.	tˈi nˈɛw koɾˈɛlla kˈɛt mˈajsa ʔˈa maʔˈika dwˈa ʔˈa klˈasɛ ŋˈa ʔˈili ʔˈiti pɾobˈinsja tˈi dabˈaʔo dˈɛl nˈoɾtɛ ʔˈiti pilipˈinas .
Ti ket maysa a prepektura iti Hapon a mabirukan idiay isla iti Shikoku. Ti kapitoliona ket ti siudad iti Tokushima.	tˈi kˈɛt mˈajsa ʔˈa pɾɛpɛktˈuɾa ʔˈiti hˈapon ʔˈa mabiɾˈukan ʔidjˈaj ʔˈisla ʔˈiti shikˈoku . tˈi kapitoljˈona kˈɛt tˈi sjudˈad ʔˈiti tokushˈima .
Riley-Smith, Jonathan. Dagiti Krusada: Maysa a Pakasaritaan (2005) pakabuklan ken testo a panagbiruk	ɾilˈɛjʔsmith , honˈathan . daɡˈiti kɾusˈada , mˈajsa ʔˈa pakasaɾitˈaan dwaɾˈibo kˈɛt lˈima pakabˈuklan kˈɛn tˈɛsto ʔˈa panaɡbˈiɾuk
Grover, David H. 1992 Dagiti KOmersio a Barko ti Amerikano idiay Yangtze, 1920–1941. Wesport, Conn.: Praeger Publishers.	ɡɾˈobɛɾ , dˈabid h . saŋaɾˈibo kˈɛt sjˈam ʔˈa ɡasˈut kˈɛt sjˈam ʔˈa pˈulo kˈɛt dwˈa daɡˈiti komˈɛɾsjo ʔˈa bˈaɾko tˈi ʔamɛɾikˈano ʔidjˈaj jˈaŋtsɛ , saŋaɾˈibo kˈɛt sjˈam ʔˈa ɡasˈut kˈɛt dwapˈulo ʔaɡiŋɡˈana ʔˈiti saŋaɾˈibo kˈɛt sjˈam ʔˈa ɡasˈut kˈɛt ʔˈuppat ʔˈa pˈulo kˈɛt mˈajsa . wˈɛspoɾt , kˈonn , pɾaʔˈɛɡɛɾ publˈishɛɾs .
Kategoria:Dagiti Aprikano-Amerikano a kumakanta	katɛɡˈoɾja , daɡˈiti ʔapɾikanoʔamɛɾikˈano ʔˈa kumakˈanta
katoliko nga Ensiklopedia: Es-estado ti Papa, paset 3: Pannakarebba ti Bisantino a Bileg idiay Tengnga nga Italia	katolˈiko ŋˈa ʔɛnsiklopˈɛdja , ʔɛsʔɛstˈado tˈi pˈapa , pˈasɛt tˈallo , pannakaɾˈɛbba tˈi bisantˈino ʔˈa bˈilɛɡ ʔidjˈaj tˈɛŋŋa ŋˈa ʔitˈalja
Republika Tignay Blng. 10360: “Dolumento ti Linteg ti Probinsia ti Davao Occidental”	ɾɛpublˈika tˈiɡnaj bˈilaŋ saŋapˈulo ʔˈa ɾˈibo kˈɛt talloɡˈasut kˈɛt ʔinnˈɛm ʔˈa pˈulo , dolumˈɛnto tˈi lˈintɛɡ tˈi pɾobˈinsja tˈi dabˈaʔo ʔokkidˈɛntal
Ti Bulkan Kanlaon, naipaletra pay a kas ti Kanla-on wenno Canlaon, ket maysa nga aktibo a bulkan idiay Isla ti Negros ti tengnga a Filipinas. Ti estratobulkan ket askawenna dagiti probinsia ti Negros Occidental ken Negros Oriental, iti agarup a ti abagatan a daya ti Siudad ti Bacolod, ti kapitolio ken ti kaaduan ti populasion a siudad ti Negros Occidental.	tˈi bˈulkan kanlˈaʔon , naʔipalˈɛtɾa pˈaj ʔˈa kˈas tˈi kanlˈaʔon wɛnnˈo kanlˈaʔon , kˈɛt mˈajsa ŋˈa ʔaktˈibo ʔˈa bˈulkan ʔidjˈaj ʔˈisla tˈi nˈɛɡɾos tˈi tˈɛŋŋa ʔˈa pilipˈinas . tˈi ʔɛstɾatobˈulkan kˈɛt ʔaskawˈɛnna daɡˈiti pɾobˈinsja tˈi nˈɛɡɾos ʔokkidˈɛntal kˈɛn nˈɛɡɾos ʔoɾjˈɛntal , ʔˈiti ʔaɡˈaɾup ʔˈa tˈi ʔabaɡˈatan ʔˈa dˈaja tˈi sjudˈad tˈi bakˈolod , tˈi kapitˈoljo kˈɛn tˈi kaʔˈadwan tˈi populˈasjon ʔˈa sjudˈad tˈi nˈɛɡɾos ʔokkidˈɛntal .
ket dagiti pagalagadan a paralelo (amianan ket abagatn ti ekuador) a ti gantingan ti proyeksion ket agpayso;	kˈɛt daɡˈiti paɡalaɡˈadan ʔˈa paɾalˈɛlo ʔamjˈanan kˈɛt ʔabˈaɡatn tˈi ʔɛkwˈadoɾ ʔˈa tˈi ɡantˈiŋan tˈi pɾojˈɛksjon kˈɛt ʔaɡpˈajso ,
Ti maika-79 a meridiano daya ket mangporma ti nalatak a sirkulo a kakuyogna ti maika-101 a meridiano laud.	tˈi maʔˈika pitopˈulo kˈɛt sjˈam ʔˈa mɛɾidjˈano dˈaja kˈɛt maŋpˈoɾma tˈi nalˈatak ʔˈa siɾkˈulo ʔˈa kakujˈoɡna tˈi maʔˈika saŋaɡˈasut kˈɛt mˈajsa ʔˈa mɛɾidjˈano lˈaʔud .
