abantu	apantu
abathwa	apathva
amabele	amapili
amafutha	amafutha
amahloni	amahluni
amakha	amakha
amakhaza	amakhaza
amakhosi	amakhusi
amakhwezikhwezi	amakhvizikhvizi
amala	amala
amandla	amantla
amanga	amaŋa
amanqamu	amanqamu
amanzi	amanzi
amatata	amatata
bona	puna
botswana	putsvana
cha	kha
dlala	tlala
dlamini	tlamini
dlwengula	tlviŋula
futhi	futhi
gqula	ɣqula
ibala	ipala
ibalazwe	ipalazvi
ibandla	ipantla
ibele	ipili
ibhala	iphala
ibhasi	iphasi
ibhayibheli	iphayiphili
ibhayisikili	iphayisikili
ibhayisikobho	iphayisikuphu
ibhaza	iphaza
ibhentshi	iphintshi
ibhimbi	iphimpi
ibhodi	iphuti
ibhodlo	iphutlu
ibhodwe	iphutvi
ibhokisi	iphukisi
ibhola	iphula
ibhomu	iphumu
ibhudla	iphutla
ibhuku	iphuku
ibhulakufesi	iphulakufisi
ibhulashi	iphulashi
ibhuleki	iphuliki
ibhunu	iphunu
ibomvu	ipumvu
ibululu	ipululu
ibumba	ipumpa
ibunzi	ipunzi
icala	ikala
icebo	ikipu
ichibi	ikhipi
ichwane	ikhvani
icici	ikiki
icilongo	ikiluŋu
icukazi	ikukazi
iculo	ikulu
idada	itata
idesiki	itisiki
idikazi	itikazi
idimoni	itimuni
idolo	itulu
idolobha	itulupha
idube	itupi
ifa	ifa
ifotho	ifuthu
ifu	ifu
ifulentshi	ifulintshi
igagasi	iɣaɣasi
igalaji	iɣalaji
igalofu	iɣalufu
igama	iɣama
iganu	iɣanu
igazi	iɣazi
igceke	iɣkiki
igciwane	iɣkivani
igcukumuva	iɣkukumuva
igedlela	iɣitlila
igeja	iɣija
igilavu	iɣilavu
igilebhisi	iɣiliphisi
igobongo	iɣupuŋu
igola	iɣula
igoli	iɣuli
igolide	iɣuliti
igoqo	iɣuqu
igugu	iɣuɣu
igula	iɣula
igumbi	iɣumpi
igundane	iɣuntani
igundwane	iɣuntvani
igwinya	iɣvinya
igxolo	iɣksulu
ihawa	ihava
ihembe	ihimpi
ihhala	ihːala
ihhashi	ihːashi
ihhofu	ihːufu
ihhoko	ihːuku
ihholo	ihːulu
ihhotela	ihːutila
ihhovisi	ihːuvisi
ihlakani	ihlakani
ihlathi	ihlathi
ihlengethwa	ihliŋithva
ihlo	ihlu
ihlobo	ihlupu
ihlombe	ihlumpi
iholide	ihuliti
ihora	ihuʁa
ihubo	ihupu
ijaji	ijaji
ijazi	ijazi
ijele	ijili
ijezi	ijizi
ijokwe	ijukvi
ijuba	ijupa
ikalikuni	ikalikuni
ikamela	ikamila
ikati	ikati
ikatshana	ikatshana
ikesi	ikisi
ikewu	ikivu
ikhabe	ikhapi
ikhabethe	ikhapithi
ikhala	ikhala
ikhalenda	ikhalinta
ikhanda	ikhanta
ikhangaru	ikhaŋaʁu
ikhanjana	ikhanjana
ikhanzi	ikhanzi
ikhaphethe	ikhaphithi
ikhasi	ikhasi
ikhasimende	ikhasiminti
ikhaya	ikhaya
ikhehla	ikhihla
ikheji	ikhiji
ikhekhe	ikhikhi
ikheli	ikhili
ikhethini	ikhithini
ikhishi	ikhishi
ikhiwane	ikhivani
ikholwase	ikhulvasi
ikhonsathi	ikhunsathi
ikhukhamba	ikhukhampa
ikhukhu	ikhukhu
ikhulu	ikhulu
ikhwilithi	ikhvilithi
ikilasi	ikilasi
ikilogo	ikiluɣu
iklabishi	iklapishi
iklwa	iklva
ilahle	ilahli
ilanga	ilaŋa
ilantshi	ilantshi
ilayisense	ilayisinsi
ilayisi	ilayisi
ilembe	ilimpi
ilobolo	ilupulu
iloli	iluli
ilulwane	ilulvani
ilungelo	iluŋilu
imadlana	imatlana
imali	imali
imamba	imampa
imayela	imayila
imbabala	impapala
imbala	impala
imbali	impali
imbasa	impasa
imbenge	impiŋi
imbewu	impivu
imbiza	impiza
imbongi	impuŋi
imbovane	impuvani
imbube	impupi
imbuya	impuya
imbuzana	impuzana
imbuzi	impuzi
imbuzikazi	impuzikazi
imelika	imilika
imfene	imfini
imfihlo	imfihlu
imfologo	imfuluɣu
imfoloko	imfuluku
imfolozi	imfuluzi
imfundo	imfuntu
imfuyo	imfuyu
imini	imini
iminithi	iminithi
imoto	imutu
impala	impala
impambosi	impampusi
impande	impanti
impendulo	impintulu
impi	impi
impilo	impilu
impisi	impisi
