The Latin Library, Suetoni Tranquilli vita Divi Augusti	ˈtʰɛ ˈɫatɪn ˈlɪbrary , suˈɛtɔnɪ traŋˈkʷɪllɪ ˈwɪta ˈdɪwɪ au̯ˈɡʊstɪ
Verbum est pars orationis quae significat actionem vel statum. Forma verborum infinitiva est forma sine ulla inflectione, ut facere et esse.	ˈwɛrbũː ˈɛst ˈpars ɔraˈtiɔnɪs ˈkʷae̯ sɪŋˈnɪfɪkat akˈtiɔnẽː ˈwɛɫ sˈtatũː . ˈfɔrma ˈwɛrbɔrũː ĩːfɪˈnɪtɪwa ˈɛst ˈfɔrma ˈsɪnɛ ˈʊlla ĩːfɫɛkˈtiɔnɛ , ˈʊt ˈfakɛrɛ ˈɛt ˈɛssɛ .
Ernest Will, « Damas antique », Syria, 71-1-2, 1994, pp. 1-43 Lire en ligne sur Persée.	ˈɛrnɛst ˈwɪll , ˈdamas ˈantɪkʷɛ , ˈsyria , sɛptuaːˈɡɪntaː ˈuːnʊs ˈuːnʊs ˈduɔ , ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː ˈkʷattuɔr , pp . ˈuːnʊs , kʷadraːˈɡɪntaː ˈtreːs ˈlɪrɛ ˈɛn ˈlɪŋnɛ ˈsʊr ˈpɛrseɛ .
11 Maii—Appellationis iudicium Iranicum diurnariam Americanam incarceratam Roxanam Saberi liberat.	ˈuːndɛkĩː ˈmajjɪ appɛllaˈtiɔnɪs jʊˈdɪkiũː ɪˈranɪkũː diʊrˈnariãː amɛˈrɪkanãː ɪŋkarˈkɛratãː ˈrɔksanãː ˈsabɛrɪ ˈlɪbɛrat .
14 - Robertus "Tad" Williams; scriptor Americanus.	kʷattuˈɔrdɛkĩː rɔˈbɛrtʊs ˈtad ˈwɪlliãːs , sˈkrɪptɔr amɛˈrɪkanʊs .
25 Septembris - Dictator Italiae Benitus Mussolini Monachii ab Adolpho Hitler dictatore Germaniae receptus est.	wiːˈɡɪntiː ˈkʷiːŋkʷɛ sɛpˈtɛmbrɪs ˈdɪktatɔr ɪˈtaliae̯ ˈbɛnɪtʊs mʊsˈsɔlɪnɪ mɔˈnakʰiɪ ˈab aˈdɔɫpʰɔ ˈhɪtɫɛr dɪkˈtatɔrɛ ɡɛrˈmaniae̯ rɛˈkɛptʊs ˈɛst .
Carolus Philippus Edmundus Bartholdus, natus Filius Hereditarius Regis, Princeps Sueciae, Dux Wermelandie.	ˈkarɔɫʊs pʰɪˈlɪppʊs ɛdˈmʊndʊs barˈtʰɔɫdʊs , ˈnatʊs ˈfɪliʊs hɛrɛdɪˈtariʊs ˈrɛɡɪs , ˈprɪŋkɛps suˈɛkiae̯ , ˈdʊks wɛrmɛˈɫandiɛ .
Shibatani, Masayoshi. 1990. The languages of Japan. Cantabrigiae: Cambridge University Press. ISBN 0-521-36070-6; ISBN 0-521-36918-5 (charta).	shɪˈbatanɪ , masayˈɔshɪ . ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː . ˈtʰɛ ˈɫaŋɡʷaɡɛs ˈɔf ˈjapan . kantaˈbrɪɡiae̯ , kamˈbrɪdɡɛ ʊnɪˈwɛrsɪty ˈprɛss . ˈɪsbn ˈnɪhɪɫ kʷiːŋˈɡɛntiː wiːˈɡɪntiː ˈuːnʊs triːˈɡɪntaː ˈsɛks ˈmiːlia sɛptuaːˈɡɪntaː ˈsɛks , ˈɪsbn ˈnɪhɪɫ kʷiːŋˈɡɛntiː wiːˈɡɪntiː ˈuːnʊs triːˈɡɪntaː ˈsɛks ˈmiːlia noːŋˈɡɛntiː duɔdeːwiːˈɡɪntiː ˈkʷiːŋkʷɛ ˈkʰarta .
2012 - Philippus Bosmans, presbyter et religiosus catholicus Belgicus Societatis Mariae Montfortanae; natus est anno 1922.	ˈduɔ ˈmiːlia duˈɔdɛkĩː pʰɪˈlɪppʊs ˈbɔsmãːs , ˈprɛsbytɛr ˈɛt rɛlɪˈɡiɔsʊs kaˈtʰɔlɪkʊs ˈbɛɫɡɪkʊs sɔkiˈɛtatɪs ˈmariae̯ mɔntˈfɔrtanae̯ , ˈnatʊs ˈɛst ˈannɔ ˈmiːllɛ noːŋˈɡɛntiː wiːˈɡɪntiː ˈduɔ .
Ferrum a Oxygenio in multis novis compositis duci potest, inter quae notissima sunt:	ˈfɛrrũː ˈa ɔksyˈɡɛniɔ ˈɪn ˈmʊɫtɪs ˈnɔwɪs kɔmˈpɔsɪtɪs ˈdʊkɪ ˈpɔtɛst , ˈɪntɛr ˈkʷae̯ nɔˈtɪssɪma ˈsʊnt ,
Bedell Smith. 2017 Elizabeth the Queen: The Woman Behind the Throne. Penguin Books. ISBN 978-1-4059-3216-5.	ˈbɛdɛll sˈmɪtʰ . ˈduɔ ˈmiːlia sɛpˈtɛndɛkĩː ɛˈlɪzzabɛtʰ ˈtʰɛ ˈkʷeɛn , ˈtʰɛ ˈwɔman ˈbɛhɪnd ˈtʰɛ ˈtʰrɔnɛ . ˈpɛŋɡʷɪn ˈboɔks . ˈɪsbn noːŋˈɡɛntiː duɔdeːɔktoːˈɡɪntaː ˈuːnʊs ˈkʷattuɔr ˈmiːlia uːndeːsɛksaːˈɡɪntaː ˈtria ˈmiːlia dʊˈkɛntiː ˈseːdɛkĩː ˈkʷiːŋkʷɛ .
