Rygel - Jonathan Hardy (hì-ang-á ê chhau-chok-jîn)	ɹˈɪɡɛɫ d͡ʒˈɑːnəθən hˈɑːɹd̬i hi˥˩ aŋ˧ a˥˩ e˨˦ t͡sʰau̯˧ t͡sɔk̚˥ d͡ʑin˨˦
Nā-sī M 1 phēng M 2 tōa chiâⁿ-chōe, L 1 kap L 2 lî M 2 tō chha-put-to pîⁿ hn̄g, lóng tī Hill kiû-bīn téng-koân. Hill kiû-bīn ê poàⁿ-kèng r sī	na˨˩ ɕi˧ m̩˥ it̚˧˨ pʰiə̯ŋ˧ m̩˥ d͡ʑi˧ tu̯a˧ t͡ɕĩ̯ã˧ t͡su̯e˧ , ˈɛɫ it̚˧˨ kap̚˧˨ ˈɛɫ d͡ʑi˧ li˨˦ m̩˥ d͡ʑi˧ tə˧ t͡sʰa˧ put̚˥ tə˥ pĩ˨˦ hŋ̍˧ , lɔŋ˥˩ ti˧ hˈɪɫ ki̯u˧ bin˧ tiə̯ŋ˥ ku̯an˨˦ . hˈɪɫ ki̯u˧ bin˧ e˨˦ pũ̯ã˥˩ kiə̯ŋ˨˩ ˈɑːɹ ɕi˧
11 goe̍h 30 ji̍t: Elisha Cuthbert, Canada ián-oân.	t͡sap̚˧˨ it̚˧˨ ɡu̯eʔ˥ sã˧ t͡sap̚˥ d͡ʑit̚˥ , ˈɛlɪʃə kʰˈʌθbɚt , kʰˈænəd̬ə i̯ɛn˥ u̯an˨˦ .
Okapi (ha̍k-miâ: Okapia johnstoni), sī Tn̂g-ām-lo̍k-kho ê chhī-leng tōng-bu̍t, thé-hêng pí tn̂g-ām-lo̍k khah sè, goā-hêng tiān-tò chhin-chhiūⁿ bé, iah-sī hoe-pan-bé, in-ūi hiat-iân kap tn̂g-ām-lo̍k siāng oá-kīn, só͘-í seng-bu̍t-ha̍k ê hun-lūi pian chò kāng chi̍t kho.	ˌoᶷkəpʰˈiː hak̚˧˨ mi̯a˨˦ , ˈoᶷkəpiʲə d͡ʒˈɑːnztoᶷni , ɕi˧ tŋ̍˧ am˨˩ lɔk̚˧˨ kʰə˥ e˨˦ t͡ɕʰi˨˩ liə̯ŋ˥ tɔŋ˨˩ but̚˥ , tʰe˥ hiə̯ŋ˨˦ pi˥˩ tŋ̍˧ am˨˩ lɔk̚˥ kʰaʔ˧˨ se˨˩ , ɡu̯a˨˩ hiə̯ŋ˨˦ ti̯ɛn˨˩ tə˨˩ t͡ɕʰin˧ t͡ɕʰĩ̯ũ˧ be˥˩ , i̯aʔ˥˩ ɕi˧ hu̯e˧ pan˧ be˥˩ , in˧ u̯i˧ hi̯ɛt̚˥ i̯ɛn˨˦ kap̚˧˨ tŋ̍˧ am˨˩ lɔk̚˥ ɕi̯aŋ˧ u̯a˥ kin˧ , sɔ˥ i˥˩ ɕiə̯ŋ˧ but̚˧˨ hak̚˥ e˨˦ hun˧ lu̯i˧ pi̯ɛn˥ t͡sə˨˩ kaŋ˧ t͡ɕit̚˥ kʰə˥ .
4 goe̍h 4 ji̍t: Pak Tāi-se-iûⁿ Tiâu-iok tī Washington, D.C. chhaim-tēng.	ɕi˨˩ ɡu̯eʔ˥ ɕi˨˩ d͡ʑit̚˥ , pak̚˧˨ tai̯˨˩ se˧ ĩ̯ũ˨˦ ti̯au̯˧ i̯ok̚˧˨ ti˧ wˈɑːʃɪŋtən , dˈiː . sˈiː . khˈæɪm tiə̯ŋ˧ .
12 goe̍h 5 ji̍t: Bhumibol Adulyadej, Thài-kok chèng-tī-chiá. Thài-kok Kok-ông. 2016 nî kòe-sin.	t͡sap̚˧˨ d͡ʑi˧ ɡu̯eʔ˥ ɡɔ˧ d͡ʑit̚˥ , bˈʌməbˌoᶷɫ ædjˈuːliʲəd̬ˌɛd͡ʒ , tʰai̯˥˩ kɔk̚˧˨ t͡ɕiə̯ŋ˥˩ ti˨˩ t͡ɕi̯a˥˩ . tʰai̯˥˩ kɔk̚˧˨ kɔk̚˥ ɔŋ˨˦ . d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ t͡ɕit̚˧˨ t͡sap̚˧˨ lak̚˥ ni˨˦ ku̯e˥˩ ɕin˥ .
1886 nî: Bí-kok lâng John Stith Pemberton chiong thoàⁿ-sng ím-liāu chò-ûi choan-lī io̍h, tī Georgia ê Atlanta khai-sí bē.	t͡ɕit̚˧˨ t͡ɕʰi̯ɛn˧ pat̚˥ paʔ˥˩ pat̚˥ t͡sap̚˧˨ lak̚˥ ni˨˦ , bi˥ kɔk̚˧˨ laŋ˨˦ d͡ʒˈɑːn stˈɪθ pʰˈɛmbɚt̬ən t͡ɕi̯ɔŋ˥ tʰũ̯ã˥˩ sŋ̍˥ im˥ li̯au̯˧ t͡sə˥˩ u̯i˨˦ t͡su̯an˧ li˧ i̯oʔ˥ , ti˧ d͡ʒˈɔːɹd͡ʒə e˨˦ ætlˈæntə kʰai̯˧ ɕi˥˩ be˧ .
Val-d&#39;Oise sī Hoat-kok ê chi̍t-ê koān (département), jîn-kháu ū 1,139,000, thó͘-tē bīn-chek 1,246 km².	vˈæɫ dˈiː ˈɔːɪz ɕi˧ hu̯at̚˥ kɔk̚˧˨ e˨˦ t͡ɕit̚˧˨ e˨˦ ku̯an˧ dᵻpʰˈɑːɹtmənt , d͡ʑin˧ kʰau̯˥˩ u˧ it̚˧˨ , t͡ɕit̚˧˨ paʔ˥˩ sã˧ t͡sap̚˧˨ kau̯˥˩ , liə̯ŋ˨˦ , tʰɔ˥ te˧ bin˨˩ t͡ɕiə̯k̚˧˨ t͡ɕit̚˧˨ t͡ɕʰi̯ɛn˧ d͡ʑi˨˩ paʔ˥˩ ɕi˥˩ t͡sap̚˧˨ lak̚˥ piə̯ŋ˧ hɔŋ˥ kɔŋ˧ li˥˩ .
Edward Witten () sī Bí-kok ê lí-lūn bu̍t-lí-ha̍k-ka. In-ūi i ê gián-kiù tùi sò͘-ha̍k ê hoat-tián éng-hióng chiâⁿ toā, i tī 1990 nî tit-tio̍h Fields Chióng.	ˈɛdwɚd wˈɪt̬ən ɕi˧ bi˥ kɔk̚˧˨ e˨˦ li˥ lun˧ but̚˧˨ li˥ hak̚˧˨ ka˥ . in˧ u̯i˧ i˥ e˨˦ ɡi̯ɛn˥ ki̯u˨˩ tu̯i˨˩ sɔ˥˩ hak̚˥ e˨˦ hu̯at̚˥ ti̯ɛn˥˩ iə̯ŋ˥ hi̯ɔŋ˥˩ t͡ɕĩ̯ã˨˦ tu̯a˧ , i˥ ti˧ t͡ɕit̚˧˨ t͡ɕʰi̯ɛn˧ kau̯˥ paʔ˥˩ kau̯˥ t͡sap̚˥ ni˨˦ tit̚˥ ti̯oʔ˥ fˈiːɫdz t͡ɕi̯ɔŋ˥˩ .
Su-thó͘-su-bîn--Tâi-oân ê Kò͘-sū---Tân Chìn	su˧ tʰɔ˥ su˧ bin˧ tai̯˧ u̯an˨˦ e˨˦ kɔ˥˩ su˨˩ tan˨˦ t͡ɕin˨˩
Cao Bằng hū-kīn (Mạc Tiâu): Mạc Kính Vũ 26 nî	kʰˈaᶷ bˈæŋ hu˨˩ kin˧ mˈæk ti̯au̯˨˦ , mˈæk kʰˈɪn vˈuː d͡ʑi˨˩ t͡sap̚˧˨ lak̚˥ ni˨˦
