кан	ˈkan
кулак	kuˈlak
эмшек	emˈʃek
коьз	ˈkøz
от	ˈot
муьйиз	myˈjiz
мен	ˈmen
тиз	ˈtiz
япырак	japɯˈrak
бавыр	baˈvɯr
ат	ˈat
янъы	jaˈŋɯ
кеше	keˈʃe
бурын	buˈrɯn
бир	ˈbir
юлдыз	julˈdɯz
тил	ˈtil
тис	ˈtis
терек	teˈrek
эки	eˈki
сув	ˈsuw
биз	ˈbiz
сен	ˈsen
толы	toˈlɯ
туькен	tyˈken
0	ˈnol
1	ˈbir
2	eˈki
3	ˈyʃ
4	ˈdørt
5	ˈbes
6	alˈtɯ
7	jeˈti
8	seˈɡiz
9	toˈɡɯz
10	ˈon
11	ˈon ˈbir
12	ˈon eˈki
13	ˈon ˈyʃ
14	ˈon ˈdørt
15	ˈon ˈbes
16	ˈon alˈtɯ
17	ˈon jeˈti
18	ˈon seˈɡiz
19	ˈon toˈɡɯz
20	jɯrˈma
25	jɯrˈma ˈbes
30	oˈtɯz
40	ˈkɯrk
50	elˈli
60	alˈpɯs
70	jetˈpis
80	sekˈsen
90	tokˈsan
100	ˈjuz
101	ˈjuz ˈbir
200	eˈki ˈjuz
555	ˈbes ˈjuz elˈli ˈbes
999	toˈɡɯz ˈjuz tokˈsan toˈɡɯz
1000	ˈmɯŋ
1984	ˈmɯŋ toˈɡɯz ˈjuz sekˈsen ˈdørt
9999	toˈɡɯz ˈmɯŋ toˈɡɯz ˈjuz tokˈsan toˈɡɯz
12345	ˈon eˈki ˈmɯŋ ˈyʃ ˈjuz ˈkɯrk ˈbes
100000	ˈjuz ˈmɯŋ
1000000	ˈbir milliˈon
999999999	toˈɡɯz ˈjuz tokˈsan toˈɡɯz milliˈon toˈɡɯz ˈjuz tokˈsan toˈɡɯz ˈmɯŋ toˈɡɯz ˈjuz tokˈsan toˈɡɯz
1000000000	ˈbir milliˈard
9007199254740993	toˈɡɯz ˈnol ˈnol jeˈti ˈbir toˈɡɯz toˈɡɯz eˈki ˈbes ˈdørt jeˈti ˈdørt ˈnol toˈɡɯz toˈɡɯz ˈyʃ
