Mwalandilidwa pa , encyclopedia yaulere imene aliyense angathandizile kukuza! Pakali pano tili ndi nkhani zokwana mu chiChewa, chinenero chomwe chimayankhulidwa ku Malawi ndi Zambia.	mwaɽaⁿdiɽiɗwa pa , enkjkɽopeɗia jauɽeɽe imene aɽijeⁿse aᵑɡatʰaⁿdiziɽe kukuza ! pakaɽi pano tiɽi ⁿdi ᵑkʰani zokwana mu t͡ʃit͡ʃewa , t͡ʃineneɽo t͡ʃomwe t͡ʃimajaᵑkʰuɽiɗwa ku maɽawi ⁿdi zaᵐbia .
Nthawi yamvula ndi kuchoka miyezi ya November ndi April, ndipo nthawi imeneyi ku Lilongwe kumakhala kotentha,kwamatope ndipo ko biriwira kopambana. Miyezi ya June mpaka August kumakhakla kukuzizira zedi (mpkana ma digili okwana 6 nthawizina). Nthawi ya September mpaka October ndiyotentha.	ⁿtʰawi jaᶬvuɽa ⁿdi kut͡ʃoka mijezi ja noveᵐbeɽ ⁿdi apɽiɽ , ⁿdipo ⁿtʰawi imeneji ku ɽiɽoᵑɡwe kumakʰaɽa koteⁿtʰa , kwamatope ⁿdipo ko ɓiɽiwiɽa kopaᵐbana . mijezi ja d͡ʒune ᵐpaka auɡust kumakʰakɽa kukuziziɽa zeɗi ᵐpkana ma ɗiɡiɽi okwana zisanu ⁿdi t͡ʃimod͡zi ⁿtʰawizina . ⁿtʰawi ja septeᵐbeɽ ᵐpaka oktoɓeɽ ⁿdijoteⁿtʰa .
Chinenelo cha dzika ndi chilankhulo chomwe anthu a dziko amalankhula. Chinenelochi chimasankhidwa ndi boma la dziko.	t͡ʃineneɽo t͡ʃa d͡zika ⁿdi t͡ʃiɽaᵑkʰuɽo t͡ʃomwe aⁿtʰu a d͡ziko amaɽaᵑkʰuɽa . t͡ʃineneɽot͡ʃi t͡ʃimasaᵑkʰiɗwa ⁿdi ɓoma ɽa d͡ziko .
Malawi Congress Party (MCP) ndi chipani cha ndale cha ku Malaŵi. Dzina lake la kale la chipanichi linani Nyasaland African Congress, koma chinasintha kukhala MCP pa nthawi yomwe a Hastings Kamuzu Banda anali mundende ku Gwelo my Southern Rhodesia. Anakhazokitsa chipanichi ndi a Orton Edgar Chong'oli Chirwa and a Aleke Banda.	maɽawi koᵑɡɽess paɽtʲ mkp ⁿdi t͡ʃipani t͡ʃa ⁿdaɽe t͡ʃa ku maɽawi . d͡zina ɽake ɽa kaɽe ɽa t͡ʃipanit͡ʃi ɽinani ɲasaɽaⁿd afɽikan koᵑɡɽess , koma t͡ʃinasiⁿtʰa kukʰaɽa mkp pa ⁿtʰawi jomwe a hastiᵑɡs kamuzu ɓaⁿda anaɽi muⁿdeⁿde ku ɡweɽo mʲ soutʰeɽn ɽhoɗesia . anakʰazokit͡sa t͡ʃipanit͡ʃi ⁿdi a oɽton eɗɡaɽ t͡ʃoŋoɽi t͡ʃiɽwa aⁿd a aɽeke ɓaⁿda .
Mgonero - Mgonero ndi dongosolo lokumbukira imfa ya Ambuye Yesu. Umatilora kuti tikhale ndi mbali pa imfa yake kuti tidzakhale ndi moyo wosatha ndi kudzutsidwa pa tsiku lomaliza. Dongosoloti limachitika pa nthawi ina iliyonse pafupi pafupi ndipo amagwiritsa ntchito mkate opanda chofufumitsa komanso madzi ochokera ku ma grapes okha basi.	mɡoneɽo mɡoneɽo ⁿdi ɗoᵑɡosoɽo ɽokuᵐbukiɽa iᶬfa ja aᵐbuje jesu . umatiɽoɽa kuti tikʰaɽe ⁿdi ᵐbaɽi pa iᶬfa jake kuti tid͡zakʰaɽe ⁿdi mojo wosatʰa ⁿdi kud͡zut͡siɗwa pa t͡siku ɽomaɽiza . ɗoᵑɡosoɽoti ɽimat͡ʃitika pa ⁿtʰawi ina iɽijoⁿse pafupi pafupi ⁿdipo amaɡwiɽit͡sa ⁿt͡ʃʰito mkate opaⁿda t͡ʃofufumit͡sa komaⁿso mad͡zi ot͡ʃokeɽa ku ma ɡɽapes okʰa ɓasi .
Pa nkhondo yachiwiri ya ku Congo, akafula ankasakidwa ngati zinyama ndipo ankadyedwa. Anthu amene ankachita nkhondoyi ankaawona ngati Akafulawo si anthu ndipo ena ankayesa kuti nyama ya akafula imapeleka mangolomera. Ogwira ntchito a ku United Nations amene amateteza ufulu wa anthu analengeza mu 2003 kuti anthu otsutsa boma anka	pa ᵑkʰoⁿdo jat͡ʃiwiɽi ja ku koᵑɡo , akafuɽa aᵑkasakiɗwa ᵑɡati ziɲama ⁿdipo aᵑkaɗʲeɗwa . aⁿtʰu amene aᵑkat͡ʃita ᵑkʰoⁿdoji aᵑkaawona ᵑɡati akafuɽawo si aⁿtʰu ⁿdipo ena aᵑkajesa kuti ɲama ja akafuɽa imapeɽeka maᵑɡoɽomeɽa . oɡwiɽa ⁿt͡ʃʰito a ku uniteɗ natioⁿs amene amateteza ufuɽu wa aⁿtʰu anaɽeᵑɡeza mu zikwi ziwiɽi ⁿdi zitatu kuti aⁿtʰu ot͡sut͡sa ɓoma aᵑka
Kuŵalako kulikuunikabe mandita, Edipo nyima unalephera kugonjetsa kuŵalako.	kuwaɽako kuɽikuunikaɓe maⁿdita , eɗipo ɲima unaɽepʰeɽa kuɡoⁿd͡ʒet͡sa kuwaɽako .
Koma mapulani aliopo omanga payipi yayikulu ya mafuta yochoka ku Tanzania ndiponso omanga ma tanki akulu zedi osungilamo mafuta. Izi zanenedwa ndi Boma la Malawi.	koma mapuɽani aɽiopo omaᵑɡa pajipi jajikuɽu ja mafuta jot͡ʃoka ku taⁿzania ⁿdipoⁿso omaᵑɡa ma taᵑki akuɽu zeɗi osuᵑɡiɽamo mafuta . izi zaneneɗwa ⁿdi ɓoma ɽa maɽawi .
Ngwazi Profesa Bingu wa Mutharika, ndi Pulezidenti wa dziko la Malawi ndipo adasankhidwa koyamba kukhala paudindowu pa 24 Meyi 2004. A Mutharika ndi mtsogoleri wa chipani cholamulira cha Democratic Progressive Party (DPP) chomwe chiri ndi aphungu ochuluka kwambiri mnyumba ya Malamulo malinga ndi zotsatira za chisankho chomwe chidachitika mchaka cha 2009.	ᵑɡwazi pɽofesa ɓiᵑɡu wa mutʰaɽika , ⁿdi puɽeziɗeⁿti wa d͡ziko ɽa maɽawi ⁿdipo aɗasaᵑkʰiɗwa kojaᵐba kukʰaɽa pauɗiⁿdowu pa makumi awiɽi ⁿdi zinaji meji zikwi ziwiɽi ⁿdi zinaji . a mutʰaɽika ⁿdi mt͡soɡoɽeɽi wa t͡ʃipani t͡ʃoɽamuɽiɽa t͡ʃa ɗemokɽatik pɽoɡɽessive paɽtʲ ɗpp t͡ʃomwe t͡ʃiɽi ⁿdi apʰuᵑɡu ot͡ʃuɽuka kwaᵐbiɽi mɲuᵐba ja maɽamuɽo maɽiᵑɡa ⁿdi zot͡satiɽa za t͡ʃisaᵑkʰo t͡ʃomwe t͡ʃiɗat͡ʃitika mt͡ʃaka t͡ʃa zikwi ziwiɽi ⁿdi zisanu ⁿdi zinaji .
Kulimbikitsa nkhondo yolimbana ndi matenda a HIV/Edzi ngati vuto limene limabwezera mmbuyo ntchito za chitukuko.	kuɽiᵐbikit͡sa ᵑkʰoⁿdo joɽiᵐbana ⁿdi mateⁿda a hiv ed͡zi ᵑɡati vuto ɽimene ɽimaɓwezeɽa mᵐbujo ⁿt͡ʃʰito za t͡ʃitukuko .
