-al	ˈal
-baj	ˈɓax
-bal	ˈɓal
-baʼ	ˈɓaʔ
-chʼoj	ˈt͡ʃʼox
-ech	ˈet͡ʃʰ
-ech -qʼij	ˈet͡ʃʰ ˈqʼix
-ech wi	ˈet͡ʃʰ ˈʋi
-lik	ˈlikʰ
-oj	ˈox
-rik	ˈɻikʰ
-saj	ˈsax
-umal	uˈmal
-umal -ech	uˈmal ˈet͡ʃʰ
-umal chi	uˈmal ˈt͡ʃʰi
ab	ˈaɓ
abanel	aɓaˈnel
abaʼq	aˈɓaʔqʰ
abir	aˈɓiɻ
abix	aˈɓiʃ
abixbal	aɓiʃˈɓal
abixik	aɓiˈʃikʰ
abixinik	aɓiʃiˈnikʰ
abäj	aˈɓəx
abäj tew	aˈɓəx ˈtʰeʋ
abäjirik	aɓəxiˈɻikʰ
achajil	at͡ʃʰaˈxil
achalal	at͡ʃʰaˈlal
achalaxik	at͡ʃʰalaˈʃikʰ
achalkaʼn	at͡ʃʰalˈkʰaʔn
achaq	aˈt͡ʃʰaqʰ
achaq amolo	aˈt͡ʃʰaqʰ amoˈlo
achaq chʼimil	aˈt͡ʃʰaqʰ t͡ʃʼiˈmil
achaq ixpeq	aˈt͡ʃʰaqʰ iʃˈpʰeqʰ
achaq qʼaqʼ	aˈt͡ʃʰaqʰ ˈqʼaqʼ
achaq xikin	aˈt͡ʃʰaqʰ ʃiˈkʰin
achel	aˈt͡ʃʰel
achi	aˈt͡ʃʰi
achij baqʼwäch	aˈt͡ʃʰix ɓaqʼˈʋət͡ʃʰ
achikʼ	aˈt͡ʃʰikʼ
achikʼaj	at͡ʃʰiˈkʼax
achikʼaxik	at͡ʃʰikʼaˈʃikʰ
achikʼik	at͡ʃʰiˈkʼikʰ
achixaj	at͡ʃʰiˈʃax
achixam	at͡ʃʰiˈʃam
achixam chrij ri rixoqil	at͡ʃʰiˈʃam t͡ʃʰˈɻix ˈɻi ɻiʃoˈqʰil
achiʼl	aˈt͡ʃʰiʔl
achiʼlaj	at͡ʃʰiʔˈlax
