Ikiyaga Tanganyika · Uruzi Ruvubu · Ikiyaga Rwihinda	ikijaɡa taŋaɲika uɾuzi ɾuvubu ikijaɡa ɾwihinda
Iyo nama yarihweje ingorane nkurunkuru zerekeye inyandiko y’ikirundi, yongera iratorera umuti izitari nke. Ngizi ingingo zapfunditswe n’iyo nama nkarishabwenge:	ijo nama jaɾihwed͡ʒe iŋoɾane nkuɾunkuɾu zeɾekeje iɲandiko j ikiɾundi , joŋeɾa iɾatoɾeɾa umuti izitaɾi nke . ŋizi iŋiŋo zapfunditswe n ijo nama nkaɾiʃabweŋe ,
2.Insígarirazína-ngéreká n’însígarirazína rugená: ni ijāmbo rigenékereza izína rigerétswekó.	kabiɾi . insiɡaɾiɾazina ŋeɾeka n insiɡaɾiɾazina ɾuɡena , ni id͡ʒambo ɾiɡenekeɾeza izina ɾiɡeɾetsweko .
Iri hinduka ryafatiwe kandi ku mpamvu z’iterambere ry’uburere hagati mu gihugu, iringanizwa rishasha ryintara zigize uburundi, n’ugutuma igihugu kitibanda gusa kuri Bujumbura nk’igice kinini c’ubutunzi.	iɾi hinduka ɾʲafatiwe kandi ku mpamvu z iteɾambeɾe ɾʲ ubuɾeɾe haɡati mu ɡihuɡu , iɾiŋanizwa ɾiʃaʃa ɾʲintaɾa ziɡize ubuɾundi , n uɡutuma iɡihuɡu kitibanda ɡusa kuɾi bud͡ʒumbuɾa nk iɡit͡ʃe kinini t͡ʃ ubutunzi .
Uburinganire: Ibirometero kwadarato 1,089	ubuɾiŋaniɾe , ibiɾometeɾo kwadaɾato iɡihumbi na miɾoŋo inani na it͡ʃenda
Imvukira z’iyo ntara zariyungunganije zirashiraho Kaminuza y’I Mwaro mu mwaka wa 2001. Iyo Kaminuza ifise icicaro cayo mu Kibumbu, misiyoni iri mu za mbere za kera mu Burundi.	imvukiɾa z ijo ntaɾa zaɾijuŋuŋanid͡ʒe ziɾaʃiɾaho kaminuza j i mwaɾo mu mwaka wa ibihumbi bibiɾi na ɾimwe . ijo kaminuza ifise it͡ʃit͡ʃaɾo t͡ʃajo mu kibumbu , misijoni iɾi mu za mbeɾe za keɾa mu buɾundi .
Gukonja umubiri: imbata ntizifise ivu ryo kwirinda ubushuhe nk’abantu, rero amazi azifasha kugabanya ubushuhe bw’umubiri.	ɡukond͡ʒa umubiɾi , imbata ntizifise ivu ɾʲo kwiɾinda ubuʃuhe nk abantu , ɾeɾo amazi azifaʃa kuɡabaɲa ubuʃuhe bw umubiɾi .
Cenda canke Icenda (9) ni igiharuro canke igitigiri kiri hagati y'umunani (8) na cumi (11)	t͡ʃenda t͡ʃanke it͡ʃenda it͡ʃenda ni iɡihaɾuɾo t͡ʃanke iɡitiɡiɾi kiɾi haɡati j umunani umunani na t͡ʃumi it͡ʃumi na ɾimwe
Ukurundana: Abantu mirongo icenda na batatu (93 personnes/km² ) ku kirometero kwadarato	ukuɾundana , abantu miɾoŋo it͡ʃenda na batatu miɾoŋo it͡ʃenda na ɡatatu peɾsonnes kuɾi kiɾometeɾo kwadaɾato ku kiɾometeɾo kwadaɾato
Infuluwanza canke giripe itegwa n’udukoko wandura duciye mumazuru, mumuhogo no mu bihaha(mumahaha). Ibimenyetso vyiyo ngwara nibi:	infuluwanza t͡ʃanke ɡiɾipe iteɡwa n udukoko wanduɾa dut͡ʃije mumazuɾu , mumuhoɡo no mu bihaha mumahaha . ibimeɲetso vʲijo ŋwaɾa nibi ,
Vyongeye intara yose ifise ibendera ryayo.	vʲoŋeje intaɾa jose ifise ibendeɾa ɾʲajo .
ESL 1 : Umunyeshure niho agitangura kwiga Icongereza. Abanyeshure bamwebamwe barashobora kwisigura akoreshe ijambo rimwe rimwe. Abandi banyeshure bashobora kwisigura bakoresheje amajambo n’amungane asanzwe, bagashobora no gusoma no kwandika amungane asanzwe.	esl ɾimwe , umuɲeʃuɾe niho aɡitaŋuɾa kwiɡa it͡ʃoŋeɾeza . abaɲeʃuɾe bamwebamwe baɾaʃoboɾa kwisiɡuɾa akoɾeʃe id͡ʒambo ɾimwe ɾimwe . abandi baɲeʃuɾe baʃoboɾa kwisiɡuɾa bakoɾeʃed͡ʒe amad͡ʒambo n amuŋane asanzwe , baɡaʃoboɾa no ɡusoma no kwandika amuŋane asanzwe .
Iyo abantu babiri bose bafise gene ya sickle-cell, barashobora guhabwa inama z’abaganga ku ngozi yo kubyara umwana arwaye.	ijo abantu babiɾi bose bafise ɡene ja sit͡ʃkle t͡ʃell , baɾaʃoboɾa ɡuhabwa inama z abaɡaŋa ku ŋozi jo kubʲaɾa umwana aɾwaje .
## Igitoke kandi ushobora kukinwa umutobe( just) canke inzoga (boissons alcooliques),	iɡitoke kandi uʃoboɾa kukinwa umutobe d͡ʒust t͡ʃanke inzoɡa boissons alt͡ʃoːlikues ,
