Mihail G. Boiagi easti unlu di protslji gramaticeanji tu Balcanu.	mihajl ɡ . bojad͡ʒi e̯asti unlu di prot͡sʎi ɡramatit͡ʃe̯aɲi tu balkan .
Easti unã mari dheafurauã anamisa di zboarãli ghermani "romanisch" ("romanu" di la Roma) shi "rumänisch" ("Romãn" di la Romãnia, zboru intratu amãnatu tu lingvisticã/filologie, unã oarã cu amintarea a cratlui natsionalu Romãnia).	e̯asti unə mari ðe̯afurawə anamisa di zbo̯arəli ɡermani romanisk roman di la roma ʃi rumanisk romən di la romənja , zbor intrat amənat tu linɡvistikə filolod͡ʒe , unə o̯arə ku amintare̯a a kratluj nat͡sjonal romənja .
Shi Matilda Caragiu-Mariotseanu tu zborlu a ljei la aestã editsiuni dzãtsi: "Gramatica alu Boiagi nu easti unã Gramaticã romãnã icã macedo-romãnã cumu u interpretã Pericle Papahagi ma easti Gramatica armãnã icã Macedono-vlahã, ashi cumu lj dzãsi Boiagi, cu multã diki shi intuitsiuni di omu anvitsatu".	ʃi matilda karad͡ʒ marjot͡se̯an tu zborlu a ʎej la aestə edit͡siwni d͡zət͡si , ɡramatika al bojad͡ʒi nu e̯asti unə ɡramatikə romənə ikə mat͡ʃedo romənə kum u interpretə perikle papahad͡ʒi ma e̯asti ɡramatika armənə ikə mat͡ʃedono vlahə , aʃi kum ʎ d͡zəsi bojad͡ʒi , ku multə diki ʃi intujt͡siwni di om anvit͡sat .
Gramatica ari tu soni texti tsi suntu orighinali shi suntu protili texti litirari ditu litiratura armãneascã. Suntu Fabuli, Pãrvulii shi Isturii anyrãpsiti cu multã hazi shi cu hari. Suntu texti anyrãpsiti di unu omu anvitsatu cã va s-aflãmu multi maximi (zboarã mintimeni) latini, gãrtseshtsã shi ditu alti culturi.	ɡramatika ari tu soni teksti t͡si suntu oriɡinali ʃi suntu protili teksti litirari dit litiratura arməne̯askə . suntu fabuli , pərvulij ʃi isturij anɣrəpsiti ku multə hazi ʃi ku hari . suntu teksti anɣrəpsiti di un om anvit͡sat kə va s afləm multi maksimi zbo̯arə mintimeni latini , ɡərt͡seʃt͡sə ʃi dit alti kulturi .
Tu anlu 1992, cãsãbãlu avea 26096 bãnãtori sh-tu 2001: 26695. Estimarea trã anlu 2005 fu cã Sandanski ari 26905 bãnãtori.	tu anlu unə ɲiʎi nao suti no̯awəd͡zət͡s ʃi doj , kəsəbəl ave̯a ʃasprəɣinɡit͡s ɲiʎ no̯awəd͡zət͡s ʃi ʃasi bənətori ʃ tu daw ɲiʎ un , ʃasprəɣinɡit͡s ɲiʎ ʃasi suti no̯awəd͡zət͡s ʃi t͡sint͡si . estimare̯a trə anlu daw ɲiʎ t͡sint͡si fu kə sandanski ari ʃasprəɣinɡit͡s ɲiʎ nao suti t͡sint͡si bənətori .
Muntili cu focu icã vulcanlu easti unu munti di-tu chipita a curi easi fumu, focu sh-arãuri di cheatrã tuchitã.	muntili ku fok ikə vulkanlu e̯asti un munti di tu kipita a kuri e̯asi fum , fok ʃ arəwri di ke̯atrə tukitə .
Garfield i unu personaj si i unu pisica portocalie din desene animate creat Jim Davis.	ɡarfjeld i un personaʒ si i un pisika portokalie din desene animate kre̯at ʒim davis .
Casa a familiiljei Nastevi, familia Nastevi easti veaclji familii armãneascã cari cama multu di 100 di anj bãneadzã tu cãsãbãlu Scopia. Nastevi eara pãrmãteftsã shi lucurlu a lor eara lãrdzit nu mash tu Machidunii, ma lucra shi nafoarã pi tu Europa, ashi ca pãrmãtia dit Machidunii inshea nafoarã, tu Cehoslovachia, tu Austria sh-tu America.	kasa a familijʎej nastevi , familja nastevi e̯asti ve̯akʎi familij arməne̯askə kari kama multu di unə sutə di aɲ bəne̯ad͡zə tu kəsəbəl skopja . nastevi e̯ara pərməteft͡sə ʃi lukurlu a lor e̯ara lərd͡zit nu maʃ tu makidunij , ma lukra ʃi nafo̯arə pi tu ewropa , aʃi ka pərmətja dit makidunij inʃe̯a nafo̯arə , tu t͡ʃehoslovakja , tu awstrja ʃ tu amerika .
A initsialili pi fasada shi azã tutã dzuã zburãscu ti avutlu shi tinjisit nicuchir a casãljei. Stefan Nastev adrã casã cari noari s-chearã di a ljei mushuteatsã. Dzãnucljili a lui noari s-da aestã casã s-u chearã a ljei valoari di arhitecturã shi esteticã. Tu aestã casã nica bãneadzã dzãnuclji a familiiljei Nastevi.	a init͡sjalili pi fasada ʃi azə tutə d͡zuə zburəsku ti avutlu ʃi tiɲisit nikukir a kasəʎej . stefan nastev adrə kasə kari no̯ari s ke̯arə di a ʎej muʃute̯at͡sə . d͡zənukʎili a luj no̯ari s da aestə kasə s u ke̯arə a ʎej valo̯ari di arhitekturə ʃi estetikə . tu aestə kasə nika bəne̯ad͡zə d͡zənukʎi a familijʎej nastevi .
Chishinãu (ro Chișinău Chișinou (mo easte cãsãbãlu capital shi nai-ma-mare-cãsãbã ali Moldova.	kiʃinəw ro kisinaw kisinow mo e̯aste kəsəbəl kapital ʃi naj ma mare kəsəbə ali moldova .
Frédéric François Chopin (1 Martsu 1810 – 17 Xumedru 1849) fu unu pianistu shi compozitoru maxusu di-tu Polonia, shi s-aflã tu cãsãbãlu Żelazowa Wola.	frederik frant͡sojs kopin un mart͡su unə ɲiʎi optu suti d͡zat͡si , ʃaptisprəd͡zat͡si ksumedru unə ɲiʎi optu suti patrud͡zət͡s ʃi nao fu un pjanistu ʃi kompozitor maksus di tu polonja , ʃi s aflə tu kəsəbəl zelazowa wola .
Meslu (lunã di dzãli) easti a doauãsprãdzatsea parti a anlui (tsi ari di-aradã 30 i 31 di dzãli, afoarã di Shcurtul cari poati s-aibã 28, sh-la patrulji anj 29 di dzãli).	meslu lunə di d͡zəli e̯asti a do̯awəsprəd͡zat͡se̯a parti a anluj t͡si ari di aradə trejd͡zət͡s i trejd͡zət͡s ʃi un di d͡zəli , afo̯arə di ʃkurtul kari po̯ati s ajbə optusprəɣinɡit͡s , ʃ la patruʎi aɲ no̯awəsprəɣinɡit͡s di d͡zəli .
Nai mai marli cãsãbã shi capitala easti Tokyo.	naj maj marli kəsəbə ʃi kapitala e̯asti tokɣo .
