ၽြႃးပဵၼ်ၸဝ်ႈၼႆႉ လွင်ႈၽၢႆႇပၺ်ႇၺႃႇၼၼ်ႉ သမ်ႉပေႃးႁူႉသဵင်ႈမူတ်းယဝ်ႉ၊ လွတ်ႈယၢၼ်ၵိလေႇသႃႇတင်းမူတ်းယဝ်ႉလႄႈတေႁဵတ်းႁိုဝ်ၵူဝ်ႁႄယဝ်ႉလႃႇ။	pʰraː˥pen˨˦t͡ɕaw˧˧˨naj˦˨ lɔŋ˧˧˨pʰaːj˩paj˩ɲaː˩nan˦˨ sʰam˦˨ˀpɔː˥huː˦˨ˀsʰeŋ˧˧˨mot̚˥jaw˦˨ , lɔt̚˧˧˨jaːn˨˦kiː˨˦leː˩sʰaː˩taŋ˥mot̚˥jaw˦˨ˀlɛː˧˧˨teː˨˦het̚˥hɯː˨˦koː˨˦hɛː˨˦jaw˦˨ˀlaː˩ .
လုၵ်ႈလၢင်၊ မေးၼၢင်း ၊ ၶႃႈၸႂ်ႉၵူၼ်းသွႆ ထွမ်ႇသူပ်းဢဝ်ၵႂၢမ်း။	luk̚˧˧˨laːŋ˨˦ , meː˥naːŋ˥ , kʰaː˧˧˨t͡ɕaɰ˦˨ˀkon˥sʰɔj˨˦ tʰɔm˩sʰop̚˥ʔaw˨˦kwaːm˥ .
ယူင်ႉသၢင်ႈၸိူဝ်းဢၼ်မီးဝႆႉ တီႈၼႂ်း ၸႄႈဝဵင်းတႃႇမူၺ်ႇ ဢၼ်ၼႄဝႆႉၼင်ႇပႃႈတႂ်ႈၼႆႉၼႆႉ ထိင်းသိမ်းဝႆႉပဵၼ် ၶူဝ်းပူၺ်ႈၵဝ်ႇမွၼ် တီႈဝဵင်းတႃႈၵုင်ႈ ၶႃႈဢေႃႈ။	joŋ˦˨ˀsʰaːŋ˧˧˨t͡ɕɤː˥ʔan˨˦miː˥waj˦˨ tiː˧˧˨naɰ˥ t͡ɕɛː˧˧˨weŋ˥taː˩moj˩ ʔan˨˦nɛː˨˦waj˦˨ˀnaŋ˩paː˧˧˨taɰ˧˧˨naj˦˨ˀnaj˦˨ tʰiŋ˥sʰim˥waj˦˨ˀpen˨˦ kʰoː˥poj˧˧˨kaw˩mɔn˨˦ tiː˧˧˨weŋ˥taː˧˧˨kuŋ˧˧˨ kʰaː˧˧˨ʔɔː˧˧˨ .
ထူဝ်ႇၽူးၽိူၵ်ႇ ဢၼ်သႂ်ႇတိူၵ်ႈသေ ဢွၵ်ႇၶူၼ်မႃးၼၼ်ႉ ပဵၼ်မႃး ထူဝ်ႇၽူးၶူၼ်ယဝ်ႉ။ ထူဝ်ႇၽူးၶူၼ်ၼႆႉ မီးဢၢႆသႅဝ်တူႇၼဝ်ႈဝႆႉယူႇ၊ ပေႃးဢမ်ႇမိုတ်ႈဢၢႆသႅဝ်မၼ်းၸိုင် မၢင်ၵေႃႉ ဢမ်ႇမၵ်ႉ။ ပေႃးမိုတ်ႈတႄႉ မၵ်ႉယူႇ။ ထူဝ်ႇၽူးၶူၼ်ၼႆႉ ဢဝ်ၶူဝ်ႈၼမ်ႉမၼ်းသေ ၵိၼ်လႆႈယဝ်ႉ။ လၢႆးၵိၼ်မၼ်းတႄႉ ၸမ်ႈၵိၼ် ၼမ်ႉသူမ်ႈ သေပိူင်ပိူင်။	tʰoː˩pʰuː˥pʰɤk̚˩ ʔan˨˦sʰaɰ˩tɤk̚˧˧˨sʰeː˨˦ ʔɔk̚˩kʰon˨˦maː˥nan˦˨ pen˨˦maː˥ tʰoː˩pʰuː˥kʰon˨˦jaw˦˨ . tʰoː˩pʰuː˥kʰon˨˦naj˦˨ miː˥ʔaːj˨˦sʰɛw˨˦tuː˩naw˧˧˨waj˦˨ˀjuː˩ , pɔː˥ʔam˩mɯt̚˧˧˨ʔaːj˨˦sʰɛw˨˦man˥t͡ɕɯŋ˨˦ maːŋ˨˦kɔː˦˨ ʔam˩mak̚˦˨ . pɔː˥mɯt̚˧˧˨tɛː˦˨ mak̚˦˨ˀjuː˩ . tʰoː˩pʰuː˥kʰon˨˦naj˦˨ ʔaw˨˦kʰoː˧˧˨nam˦˨ˀman˥sʰeː˨˦ kin˨˦laj˧˧˨jaw˦˨ . laːj˥kin˨˦man˥tɛː˦˨ t͡ɕam˧˧˨kin˨˦ nam˦˨ˀsʰom˧˧˨ sʰeː˨˦pɤŋ˨˦pɤŋ˨˦ .
“ဢၼ်ၼႆႉ ပဵၼ်လွင်ႈယူပ်ႈယွမ်း လုသုမ်းထိၼိုင်ႈၼႆ ႁဝ်းလႆႈႁူႉထိုင် တီႈၶႃႈယဝ်ႉ၊ ၶႅၼ်းတေႃႈ ၽြႃးပဵၼ်ၸဝ်ႈ ႁေႃးပၼ် လွင်ႈယူပ်ႈယွမ်းလုသုမ်း ထိသွင်ၶႃႈ၊ ထိသွင်ၼႆႉ ပဵၼ်ၸိူင်ႉႁိုဝ် တီႈၶႃႈၼေႃး?”	ʔan˨˦naj˦˨ pen˨˦lɔŋ˧˧˨jop̚˧˧˨jɔm˥ luː˨˦sʰum˥tʰiː˨˦nɯŋ˧˧˨naj˨˦ haw˥laj˧˧˨huː˦˨ˀtʰɯŋ˨˦ tiː˧˧˨kʰaː˧˧˨jaw˦˨ , kʰɛn˥tɔː˧˧˨ pʰraː˥pen˨˦t͡ɕaw˧˧˨ hɔː˥pan˨˦ lɔŋ˧˧˨jop̚˧˧˨jɔm˥luː˨˦sʰum˥ tʰiː˨˦sʰɔŋ˨˦kʰaː˧˧˨ , tʰiː˨˦sʰɔŋ˨˦naj˦˨ pen˨˦t͡ɕɤŋ˦˨ˀhɯː˨˦ tiː˧˧˨kʰaː˧˧˨nɔː˥ .
ၸဝ်ႈဢၼ်ၶဝ်ႈဝၢတ်ႈၼၼ်ႉ သင်ဝႃႈ ၶဝ်ႈသိမ်ႇ ႁဵတ်းၵၢၼ်ပဝႃႇရၼႃႇ ၸိူဝ်းၼႆႉၸၵႂႃႇ ႁူမ်ႈၵၼ်တင်း ၸဝ်ႈပၵတၢတ်ႈၶဝ်ၸိုင် တေလႆႈယူႇသဝ်းတီႈ ၸဝ်ႈရႁၢၼ်း ဝႃႇဢွၼ်ႇသေပိူၼ်ႈ ၼၼ်ႉယဝ်ႉ။	t͡ɕaw˧˧˨ʔan˨˦kʰaw˧˧˨waːt̚˧˧˨nan˦˨ sʰaŋ˨˦waː˧˧˨ kʰaw˧˧˨sʰim˩ het̚˥kaːn˨˦paː˨˦waː˩raː˨˦naː˩ t͡ɕɤː˥naj˦˨ˀt͡ɕaː˨˦kwaː˩ hom˧˧˨kan˨˦taŋ˥ t͡ɕaw˧˧˨paː˨˦kaː˨˦taːt̚˧˧˨kʰaw˨˦t͡ɕɯŋ˨˦ teː˨˦laj˧˧˨juː˩sʰaw˥tiː˧˧˨ t͡ɕaw˧˧˨raː˨˦haːn˥ waː˩ʔɔn˩sʰeː˨˦pɤn˧˧˨ nan˦˨ˀjaw˦˨ .
ဝၢႆးယၢင်းၶဝ်သိမ်းလၢႆႈပၢင်ႇဢူးယဝ်ႉ သိုၵ်းမၢၼ်ႊၸိူဝ်းပၢႆႊသေႃႉယူႇၼႂ်းလဵၼ်ႊလိၼ်ပၢင်ႇဢူး ၼၼ်ႉ တင်ႈၵူၼ်းမိူင်းဢၼ်ပဵၼ်ၸႂ်ၶဝ်ၼၼ်ႉ ၵမ်ႈၽွင်ႈႁွမ်းၵၼ်သေ ၶိုၼ်းတေႃႇသူႈယၢင်း။ ၵူၼ်းမိူင်း လႆႈသေႁၢႆတၢႆၵႂုႇၼၼ်ႉ မီး 1946 ၵေႃႉ ဝႃႈၼႆ။ ဝၢႆးလင်မႃး မၢၼ်ႊၶဝ်ၸင်ႇၶိုၼ်ႈတႃႊၶုၼ်ပၼ် သိုၵ်း လူင်ပွင်ၸိုင်ႈမၢၼ်ႊ တပ်ႉၶၢင်မၢႆ(3) ၸဝ်ႈသိုၵ်းလူင် လၸုၼ်ႇတၢင်ႇ (လဇွန်တန်) ပဵၼ်ၵႅမ်ၸွမ်ႁၢၼ် သေ ၸီႉသင်ႇႁႂ်ႈမၼ်ႈတိုၵ်းသိမ်းဢဝ်ၶိုၼ်း ပၢင်ႇဢူး။	waːj˥jaːŋ˥kʰaw˨˦sʰim˥laːj˧˧˨paːŋ˩ʔuː˥jaw˦˨ sʰɯk̚˥maːn˧t͡ɕɤː˥paːj˧sʰɔː˦˨ˀjuː˩naɰ˥len˧lin˨˦paːŋ˩ʔuː˥ nan˦˨ taŋ˧˧˨kon˥mɤŋ˥ʔan˨˦pen˨˦t͡ɕaɰ˨˦kʰaw˨˦nan˦˨ kam˧˧˨pʰɔŋ˧˧˨hɔm˥kan˨˦sʰeː˨˦ kʰɯn˥tɔː˩sʰuː˧˧˨jaːŋ˥ . kon˥mɤŋ˥ laj˧˧˨sʰeː˨˦haːj˨˦taːj˨˦kwuː˩nan˦˨ miː˥ nɯŋ˧˧˨ heŋ˨˦ kaw˧˧˨ paːk̚˩ sʰiː˩ sʰip̚˥ hok̚˥ kɔː˦˨ waː˧˧˨naj˨˦ . waːj˥laŋ˨˦maː˥ maːn˧kʰaw˨˦t͡ɕaŋ˩kʰɯn˧˧˨taː˧kʰun˨˦pan˨˦ sʰɯk̚˥ loŋ˨˦pɔŋ˨˦t͡ɕɯŋ˧˧˨maːn˧ tap̚˦˨ˀkʰaːŋ˨˦maːj˨˦ sʰaːm˨˦ t͡ɕaw˧˧˨sʰɯk̚˥loŋ˨˦ laː˨˦t͡ɕun˩taːŋ˩ ləzʊ˨ɴta˨ɴ pen˨˦kɛm˨˦t͡ɕɔm˨˦haːn˨˦ sʰeː˨˦ t͡ɕiː˦˨ˀsʰaŋ˩haɰ˧˧˨man˧˧˨tɯk̚˥sʰim˥ʔaw˨˦kʰɯn˥ paːŋ˩ʔuː˥ .
ၵိၼ်ပၼ်တၢင်းၵိၼ် ဢၼ်တေပဵၼ်လွင်ႈၵမ်ႉထႅမ် ပၢႆးယူႇလီ	kin˨˦pan˨˦taːŋ˥kin˨˦ ʔan˨˦teː˨˦pen˨˦lɔŋ˧˧˨kam˦˨ˀtʰɛm˨˦ paːj˥juː˩liː˨˦
တီႈၸႄႈဝဵင်းပၸုၼ်ႇတွင်ႇ ၼႆႉ မီး ပွၵ်ႉ (10)ပွၵ်ႉ၊ ႁူင်းႁဵၼ်းလူင်ပွင်ၸိုင်ႈ ၸၼ်ႉငဝ်ႈ (9) ႁူင်း၊ ၸၼ်ႉၵၢင် (3) ႁူင်း၊ ၸၼ်ႉသုင် (4) ႁူင်း လႄႈ ႁူင်းယႃၵူၼ်းမိူင်း (1) ႁူင်းယဝ်ႉ။ ၸိူဝ်းပဵၼ်ၵၢတ်ႇ ၵၢတ်ႇပၸုၼ်ႇတွင်ႇ လႄႈ ၵၢတ်ႇယေႇၵျေႃႇ ၼၼ်ႉ ပဵၼ်ၵၢတ်ႇပိူင်လူင် တွၼ်ႈတႃႇၸႄႈဝဵင်းပၸုၼ်ႇတွင်ႇယဝ်ႉ။	tiː˧˧˨t͡ɕɛː˧˧˨weŋ˥paː˨˦t͡ɕun˩tɔŋ˩ naj˦˨ miː˥ pɔk̚˦˨ sʰip̚˥ pɔk̚˦˨ , hoŋ˥hen˥loŋ˨˦pɔŋ˨˦t͡ɕɯŋ˧˧˨ t͡ɕan˦˨ˀŋaw˧˧˨ kaw˧˧˨ hoŋ˥ , t͡ɕan˦˨ˀkaːŋ˨˦ sʰaːm˨˦ hoŋ˥ , t͡ɕan˦˨ˀsʰuŋ˨˦ sʰiː˩ hoŋ˥ lɛː˧˧˨ hoŋ˥jaː˨˦kon˥mɤŋ˥ nɯŋ˧˧˨ hoŋ˥jaw˦˨ . t͡ɕɤː˥pen˨˦kaːt̚˩ kaːt̚˩paː˨˦t͡ɕun˩tɔŋ˩ lɛː˧˧˨ kaːt̚˩jeː˩d͡ʑɔː˩ nan˦˨ pen˨˦kaːt̚˩pɤŋ˨˦loŋ˨˦ tɔn˧˧˨taː˩t͡ɕɛː˧˧˨weŋ˥paː˨˦t͡ɕun˩tɔŋ˩jaw˦˨ .
ၵွပ်ႈပိူဝ်ႈ ၼႃႈသိုၵ်းတိုၵ်းတေႃးဢမ်ႇထၢတ်ႈ၊ ၸဝ်ႈသိူဝ်ၶၢၼ်ႇၾႃႉ ယူင်းသေႃႇႁႂ်ႈၵူၼ်းမိူင်းၵူႊၵေႃႉ ႁႂ်ႈၵတ်ႉၶႅၼ်ႇဝႃႈၼႆ။ ၼိုင်ႈပီၼိုင်ႈပွၵ်ႈ ႁဵတ်းပၢင်ၶႄႉသဵင်ႇၶႅၼ်ႉ။ ၽၢႆႇၽိင်ႈငႄႈၼႆၵေႃႈ သမ်ႉယူင်းသေႃႇ ႁႂ်ႈမေႃလၢတ်ႈ "ဢေႃႈၶႃႈ" တေႃႇၵၼ်။ ႁႂ်ႈၵူဝ်ယမ် ထွမ်ႇၵႂၢမ်းထဝ်ႈၵႄႇ။	kɔp̚˧˧˨pɤː˧˧˨ naː˧˧˨sʰɯk̚˥tɯk̚˥tɔː˥ʔam˩tʰaːt̚˧˧˨ , t͡ɕaw˧˧˨sʰɤː˨˦kʰaːn˩faː˦˨ joŋ˥sʰɔː˩haɰ˧˧˨kon˥mɤŋ˥kuː˧kɔː˦˨ haɰ˧˧˨kat̚˦˨ˀkʰɛn˩waː˧˧˨naj˨˦ . nɯŋ˧˧˨piː˨˦nɯŋ˧˧˨pɔk̚˧˧˨ het̚˥paːŋ˨˦kʰɛː˦˨ˀsʰeŋ˩kʰɛn˦˨ . pʰaːj˩pʰiŋ˧˧˨ŋɛː˧˧˨naj˨˦kɔː˧˧˨ sʰam˦˨ˀjoŋ˥sʰɔː˩ haɰ˧˧˨mɔː˨˦laːt̚˧˧˨ ʔɔː˧˧˨kʰaː˧˧˨ tɔː˩kan˨˦ . haɰ˧˧˨koː˨˦jam˨˦ tʰɔm˩kwaːm˥tʰaw˧˧˨kɛː˩ .
ဝၢႆးၼၼ်ႉ ၵၢပ်ႈဝၢၼ်ႈပၢၼ်မိူင်း ပၢၼ်သိုပ်ႇပၢၼ် လႅၵ်ႈလၢႆႈၶၢႆႉထွၵ်ႇမႃး ဢိူင်ႇထုင်ႉမၢဝ်းၵေႃႈ လႆႈၽႃႇတတ်းလတ်းၺႃး ပၢၼ်ၶုၼ်ၵူႈပၢၼ်ပၢၼ် တေႃႇထိုင်ဝၼ်းမိူဝ်ႈၼႆႉယူႇ။ မၢင်ပွၵ်ႈၵေႃႈလီ မၢင်ပွၵ်ႈၵေႃႈၶီသေတႃႉ ဢၼ်မႃးပဵၼ် တၢင်းယူတ်းယႃပၼ်ၸႂ် ႁႂ်ႈၵတ်းယဵၼ်ၸိုၼ်ႈသႂ်ၼၼ်ႉတႄႉ ပဵၼ်ထမ်းတြႃးၽြႃးပဵၼ်ၸဝ်ႈၼႆ ၽႂ်တေဢမ်ႇထဵင်လႆႈ။	waːj˥nan˦˨ kaːp̚˧˧˨waːn˧˧˨paːn˨˦mɤŋ˥ paːn˨˦sʰɯp̚˩paːn˨˦ lɛk̚˧˧˨laːj˧˧˨kʰaːj˦˨ˀtʰɔk̚˩maː˥ ʔɤŋ˩tʰuŋ˦˨ˀmaːw˥kɔː˧˧˨ laj˧˧˨pʰaː˩tat̚˥lat̚˥ɲaː˥ paːn˨˦kʰun˨˦kuː˧˧˨paːn˨˦paːn˨˦ tɔː˩tʰɯŋ˨˦wan˥mɤː˧˧˨naj˦˨ˀjuː˩ . maːŋ˨˦pɔk̚˧˧˨kɔː˧˧˨liː˨˦ maːŋ˨˦pɔk̚˧˧˨kɔː˧˧˨kʰiː˨˦sʰeː˨˦taː˦˨ ʔan˨˦maː˥pen˨˦ taːŋ˥jot̚˥jaː˨˦pan˨˦t͡ɕaɰ˨˦ haɰ˧˧˨kat̚˥jen˨˦t͡ɕɯn˧˧˨sʰaɰ˨˦nan˦˨ˀtɛː˦˨ pen˨˦tʰam˥traː˥pʰraː˥pen˨˦t͡ɕaw˧˧˨naj˨˦ pʰaɰ˨˦teː˨˦ʔam˩tʰeŋ˨˦laj˧˧˨ .
