㒒	pʰu˧˥
㔂	lin˧˥
㖹	pʰən˥˥
㗆	kɤ˧˥
㚻	t͡ɕi˥˥
㜅	ɕy˥˩
㤉	t͡ɕʰiɑ˥˥
㧌	mɑᵘ˥˩
㧎	jiɑ˧˥
㧒	jy˥˩
㧣	ʈ͡ʂu˥˥
㧾	xu˥˥
㨂	toŋ˨˩˦
㨑	t͡soŋ˥˥
㪉	xɤ˧˥
㴘	mɑᵘ˥˩
㵶	t͡suo˥˥
㷮	t͡sɑᵘ˥˥
㼜	ɑŋ˥˩
㾀	t͡ɕʰiɛ˥˩
㾗	liɑŋ˥˩
㾪	ʂəŋ˨˩˦
䀁	jioᵘ˥˩
䀐	ʂan˥˥
䀦	ku˨˩˦
䀫	t͡ɕiɑ˧˥
䁪	ʈ͡ʂan˨˩˦
䃎	ʈ͡ʂɑ˥˩
䃰	t͡sʰɑ˥˥
䆀	meⁱ˨˩˦
䇭	lɑᵘ˨˩˦
䉔	t͡sʰan˥˥
䉪	leⁱ˥˩
䋎	ʈ͡ʂan˥˩
䑩	䑩
䕷	mi˧˥
䖙	tʰi˥˥
䖳	ʈ͡ʂɑ˥˩
䘥	ɕiɑ˧˥
䘷	piɛ˥˥
䘼	wɑn˨˩˦
䟙	t͡ɕʰiɛ˥˩
䟜	nɑ˥˩
䠡	t͡sʰuo˧˥
䢢	t͡sʰɑŋ˥˩
䤝	jiŋ˥˩
䫀	kən˨˩˦
䫌	pʰi˨˩˦
䫐	lin˧˥
䭁	ʈ͡ʂʐ̩˥˩
䭕	t͡san˨˩˦
䭞	ji˥˩
䲅	kueⁱ˥˥
一	ji˥˥
丁	tiŋ˥˥
七	t͡ɕʰi˥˥
万	wɑn˥˩
丈	ʈ͡ʂɑŋ˥˩
三	san˥˥
上	ʂɑŋ˥˩
下	ɕiɑ˥˩
丌	t͡ɕi˥˥
不	pu˥˩
丏	miɛn˨˩˦
丐	kaⁱ˥˩
丑	ʈ͡ʂʰoᵘ˨˩˦
