mån	ˈmon
akta	ˈɑktɑ
guokta	ˈkuoktɑ
guolle	ˈkuolːe
bena	ˈpenɑ
dihkke	ˈtihkːe
muorra	ˈmuorːɑ
lassta	ˈlɑsːtɑ
varra	ˈvɑrːɑ
dákte	ˈtɑːkte
tjoarvve	ˈt͡ʃoɑrvːe
biellje	ˈpieʎːe
tjalmme	ˈt͡ʃɑlmːe
njunnje	ˈɲuɲːe
bádne	ˈpɑːtne
njuovtjav	ˈɲuovt͡ʃɑv
buolvva	ˈpuolvːɑ
giehta	ˈkiehtɑ
násste	ˈnɑːsːte
tjáhtje	ˈt͡ʃɑːht͡ʃe
giergge	ˈkierkːe
dållå	ˈtolːo
idja	ˈiɟɑ
ådås	ˈotos
namma	ˈnɑmːɑ
mij	ˈmij
ij	ˈij
nissun	ˈnisːun
ålmåj	ˈolmoj
lådde	ˈlotːe
månne	ˈmonːe
siejbbe	ˈsiejpːe
vuoppta	ˈvuopːtɑ
juolgge	ˈjuolkːe
tjoajvve	ˈt͡ʃoɑjvːe
mánno	ˈmɑːnːo
harvve	ˈhɑrvːe
sáttoj	ˈsɑːtːoj
suovva	ˈsuovːɑ
ruoppsat	ˈruopːsɑt
ruonas	ˈruonɑs
tjáhppat	ˈt͡ʃɑːhpːɑt
jårbbåt	ˈjorpːot
