a|--	ʔa
a|LF	ʔa lf
a|LR	ʔa lr
a|SF	ʔa sf
a|SR	ʔa sr
aba|SF	ʔˈaba sf
ac|--	ʔat͡ʃ
ac|LF	ʔat͡ʃ lf
ac|LR	ʔat͡ʃ lr
ac|SF	ʔat͡ʃ sf
ac|SR	ʔat͡ʃ sr
aci|--	ʔˈat͡ʃi
aci|LF	ʔˈat͡ʃi lf
aci|SF	ʔˈat͡ʃi sf
ad|--	ʔad
ad|LF	ʔad lf
ada|SF	ʔˈada sf
adi|SF	ʔˈadi sf
ado|SF	ʔˈado sf
aj|LF	ʔad͡ʒ lf
aj|LR	ʔad͡ʒ lr
aj|SR	ʔad͡ʒ sr
ak|--	ʔak
ak|LF	ʔak lf
ak|LR	ʔak lr
ak|SF	ʔak sf
ak|SR	ʔak sr
aka|--	ʔˈaka
aka|LF	ʔˈaka lf
aka|SF	ʔˈaka sf
aka|SR	ʔˈaka sr
ako|--	ʔˈako
ako|SR	ʔˈako sr
al|SF	ʔal sf
ala|LF	ʔˈala lf
ala|SF	ʔˈala sf
ale|LF	ʔˈalə lf
ali|LF	ʔˈali lf
alj|--	ʔald͡ʒ
alj|LF	ʔald͡ʒ lf
alo|LF	ʔˈalo lf
alo|LR	ʔˈalo lr
alo|SF	ʔˈalo sf
alt|LF	ʔalt lf
am|--	ʔam
am|LF	ʔam lf
ama|LF	ʔˈama lf
ama|SF	ʔˈama sf
amo|LF	ʔˈamo lf
an|--	ʔan
an|LF	ʔan lf
an|LR	ʔan lr
an|SF	ʔan sf
an|SR	ʔan sr
ana|--	ʔˈana
ana|LF	ʔˈana lf
ana|SF	ʔˈana sf
ana|SR	ʔˈana sr
and|SF	ʔand sf
ane|SF	ʔˈanə sf
ani|LF	ʔˈani lf
ani|SF	ʔˈani sf
ani|SR	ʔˈani sr
anj|LF	ʔand͡ʒ lf
anj|SF	ʔand͡ʒ sf
ant|SR	ʔant sr
ao|LF	ʔˈao lf
ao|SF	ʔˈao sf
ap|LF	ʔap lf
apa|LF	ʔˈapa lf
ar|--	ʔar
ar|LF	ʔar lf
ar|SF	ʔar sf
ar|SR	ʔar sr
ara|LF	ʔˈara lf
ara|SF	ʔˈara sf
ard|LF	ʔard lf
as|LF	ʔas lf
as|SF	ʔas sf
asa|LF	ʔˈasa lf
ast|LF	ʔast lf
ast|SF	ʔast sf
at|LF	ʔat lf
at|SF	ʔat sf
at|SR	ʔat sr
ata|--	ʔˈata
ata|LF	ʔˈata lf
ata|SF	ʔˈata sf
ati|--	ʔˈati
ati|LF	ʔˈati lf
ati|LR	ʔˈati lr
ati|SF	ʔˈati sf
ati|SR	ʔˈati sr
av|--	ʔaf
av|LF	ʔaf lf
av|SF	ʔaf sf
ava|LF	ʔˈafa lf
ava|SF	ʔˈafa sf
avi|LF	ʔˈafi lf
aza|--	ʔˈaza
aze|SF	ʔˈazə sf
aći|LF	ʔˈat͡ʃi lf
aći|SF	ʔˈat͡ʃi sf
ač|LF	ʔat͡ʃ lf
ač|LR	ʔat͡ʃ lr
ač|SF	ʔat͡ʃ sf
ač|SR	ʔat͡ʃ sr
ača|LF	ʔˈat͡ʃa lf
ača|SF	ʔˈat͡ʃa sf
ača|SR	ʔˈat͡ʃa sr
ače|LF	ʔˈat͡ʃə lf
ače|SF	ʔˈat͡ʃə sf
aš|--	ʔas
aš|LF	ʔas lf
aš|LR	ʔas lr
aš|SF	ʔas sf
aš|SR	ʔas sr
až|SF	ʔaz sf
aža|LF	ʔˈaza lf
aлa|LF	ʔa ɫ ʔa lf
aрa|SF	ʔˈapa sf
aње|SF	a je sf
b|--	b
b|LF	b lf
b|SF	b sf
ba|--	ba
ba|LF	ba lf
ba|LR	ba lr
ba|SF	ba sf
bac|SF	bat͡ʃ sf
ban|LF	ban lf
bar|--	bar
bar|LF	bar lf
bat|LF	bat lf
bec|LF	bət͡ʃ lf
bel|SF	bəl sf
ben|LF	bən lf
beo|SF	bəˈo sf
ber|LF	bər lf
ber|SF	bər sf
bet|SF	bət sf
bi|--	bi
bi|LF	bi lf
bi|SF	bi sf
bil|SF	bil sf
bio|SF	bˈio sf
bir|--	bir
bir|LR	bir lr
bis|--	bis
bit|SR	bit sr
bni|SF	bni sf
bo|--	bo
bo|SF	bo sf
boj|SF	bod͡ʒ sf
bok|LF	bok lf
bol|LF	bol lf
bon|SF	bon sf
bor|SF	bor sf
bun|LF	bun lf
bus|SR	bus sr
c|--	t͡ʃ
c|LF	t͡ʃ lf
c|LR	t͡ʃ lr
c|SF	t͡ʃ sf
c|SR	t͡ʃ sr
ca|--	t͡ʃa
ca|LF	t͡ʃa lf
ca|LR	t͡ʃa lr
ca|SF	t͡ʃa sf
ca|SR	t͡ʃa sr
car|--	t͡ʃar
ce|--	t͡ʃə
ce|LF	t͡ʃə lf
ce|LR	t͡ʃə lr
ce|SF	t͡ʃə sf
ce|SR	t͡ʃə sr
cen|LF	t͡ʃən lf
cer|--	t͡ʃər
cer|LF	t͡ʃər lf
ces|SF	t͡ʃəs sf
ci|--	t͡ʃi
ci|LF	t͡ʃi lf
ci|LR	t͡ʃi lr
ci|SF	t͡ʃi sf
ci|SR	t͡ʃi sr
cid|LF	t͡ʃid lf
cid|LR	t͡ʃid lr
cij|LF	t͡ʃid͡ʒ lf
cil|LF	t͡ʃil lf
cis|SF	t͡ʃis sf
cka|LF	t͡ʃka lf
co|LR	t͡ʃo lr
co|SR	t͡ʃo sr
com|--	t͡ʃom
com|LF	t͡ʃom lf
com|LR	t͡ʃom lr
com|SF	t͡ʃom sf
com|SR	t͡ʃom sr
cu|--	t͡ʃu
cu|LF	t͡ʃu lf
