Ang Wikipedia ay isang proyektong online na ensiklopedya na panlahat, nakasulat sa maraming wika, at pinagtutulungan ang paggawa ng mga artikulo sa prinsipyong wiki. Naglalayon ang proyektong ito na mag-alok ng mga nilalaman na malayang muling magagamit, walang pinapanigan, at napapatunayan, na maaring baguhin at mapabuti ninuman.	ʔˈaŋ wikipedˈiʔa ʔˈaj ʔˈisaŋ pɾojˈektoŋ ʔonlˈine nˈa ʔensiklopˈedja nˈa panlˈahat , nakasˈulat sˈa maɾˈamiŋ wˈikaʔ , ʔˈat pinaɡtutulˈuŋan ʔˈaŋ paɡɡˈawa nˈaŋ maŋˈa ʔaɾtikˈulo sˈa pɾinsˈipjoŋ wˈiki . naɡlalˈajon ʔˈaŋ pɾojˈektoŋ ʔˈito nˈa maɡʔˈalok nˈaŋ maŋˈa nilalˈaman nˈa malˈajaŋ mˈuliŋ maɡaɡˈamit , wˈalaŋ pinapanˈiɡan , ʔˈat napapatunˈajan , nˈa maʔˈaɾiŋ baɡˈuhin ʔˈat mapabˈuti ninˈuman .
Sa Islam, ang mga Lunes ay isa sa mga araw sa isang linggo kung saan pinapayuhan ang mga Muslim na mag-ayuno sa kusa, at ang isa pang araw ay ang Huwebes. Mayroong ilang Hadith na naglalahad na si Muhammad ay nag-aayuno sa mga araw na ito.	sˈa ʔˈislam , ʔˈaŋ maŋˈa lˈunes ʔˈaj ʔˈisa sˈa maŋˈa ʔˈaɾaw sˈa ʔˈisaŋ lˈiŋɡo kˈuŋ sˈaʔan pinapajˈuhan ʔˈaŋ maŋˈa mˈuslim nˈa maɡʔajˈuno sˈa kˈusaʔ , ʔˈat ʔˈaŋ ʔˈisa pˈaŋ ʔˈaɾaw ʔˈaj ʔˈaŋ huwˈebes . majɾˈoʔoŋ ʔˈilaŋ hˈadith nˈa naɡlalˈahad nˈa sˈi muhˈammad ʔˈaj naɡʔaʔajˈuno sˈa maŋˈa ʔˈaɾaw nˈa ʔˈito .
Dennis Miranda - PBA manlalaro at kasalukuyang assistant coach ng FEU Tamaraws	dˈennis miɾˈanda pbˈa manlalˈaɾoʔ ʔˈat kasalukˈujaŋ ʔassˈistant kˈoʔat͡ʃ nˈaŋ fˈeʔu tamˈaɾaws
"The application of a systematic, disciplined, quantifiable approach to the development, operation, and maintenance of software" (Ang aplikasyon ng kaparaanang sistematiko, disiplinado, nabibilang sa paggawa, operasyon, at pagpapanatili ng software)— IEEE Standard Glossary of Software Engineering Terminology	thˈe ʔapplikatˈiʔon ʔˈof ʔˈa ʃstemˈatik , diskiplˈined , kuʔantifiʔˈable ʔappɾˈoʔat͡ʃ tˈo thˈe develˈopment , ʔopeɾatˈiʔon , ʔˈand maʔintenˈanke ʔˈof softwˈaɾe ʔˈaŋ ʔaplikˈaʃon nˈaŋ kapaɾaʔˈanaŋ sistematˈiko , disiplinˈado , nabibˈilaŋ sˈa paɡɡˈawa , ʔopeɾaʃˈon , ʔˈat paɡpapanatˈili nˈaŋ softwˈaɾe ʔiʔeʔˈeʔe stˈandaɾd ɡlˈossaɾj ʔˈof softwˈaɾe ʔeŋineʔˈeɾiŋ teɾminˈoloɡj
Komite Partlitikong Pilipinas (dating Samahan Ng Pilipinas Na Samahan Para Sa Magkakaibang Abuso — Pambansang Partlitikong Komite Ng Pilipinas)	komˈite paɾtlitˈikoŋ pilipˈinas dˈatiŋ samˈahan nˈaŋ pilipˈinas nˈa samˈahan pˈaɾa sˈa maɡkakaʔˈibaŋ ʔabˈuso pambˈansaŋ paɾtlitˈikoŋ komˈite nˈaŋ pilipˈinas
IEN #40Transmission Control Protocol Draft Version 4 (Hunyo 1978)	ʔˈiʔen ʔapatnapˈu tɾansmissˈiʔon kˈontɾol pɾotˈokol dɾˈaft veɾsˈiʔon ʔˈapat hˈuɲo sanlˈibo sijˈam nˈa ɾaʔˈan ʔˈat pitumpˈut walˈo
2009 Winner, Best Gag Show tied with ABS-CBN Gag Show, Banana Split	dalawˈaŋ lˈibot sijˈam wˈinneɾ , bˈest ɡˈaɡ shˈow tˈiʔed wˈith ʔˈabsʔkbn ɡˈaɡ shˈow , banˈana splˈit
Dulé Hill, Amerikanong artista at tap dancer	dˈule hˈilj , ʔameɾikˈanoŋ ʔaɾtˈista ʔˈat tˈap dˈankeɾ
Michael Vick, Amerikanong manlalaro ng putbol	mit͡ʃˈaʔel vˈikk , ʔameɾikˈanoŋ manlalˈaɾoʔ nˈaŋ pˈutbol
René Duprée, propesyonal na tagapagbuno ng Canada	ɾˈene dupɾˈeʔe , pɾopeʃonˈal nˈa taɡapaɡbˈuno nˈaŋ kanˈada
