越剧，中国主要戏曲剧种之一，浙江嵊州起，上海兴，江南繁荣，中国五大剧种之一。 有第二国剧个讲法。 越剧曲调软带带，小提琴协奏曲《梁祝》个主旋律便用越剧个曲调。 越剧起世便只男演员，到上海发展之后为女班演出受欢迎险，发展起所有角色都让女个来演个女班越剧。1949年之后，开始招一许男演员，但玱朞叫旧是女班越剧为主。越剧原先来江浙沪作兴，后晚来全中国都受欢迎。 越剧舞台语音个基础语音是嵊县方言腔。勒越剧发展过程中，越剧语音来嵊州言话个基础上，吸收了中州音韵搭官话个语音，使得越剧个观众范围扩大。	joʔ˨ d͡ʑiʔ˦ , t͡soŋ˥ koʔ˧˩ t͡sɿ˥ jɔ˧˩ ɕi˥ t͡ɕʰjoʔ˧˩ d͡ʑiʔ˨ zoŋ˦ t͡sɿ˥ iʔ˧˩ , t͡səʔ˥ kɑ̃˧˩ zəɲ˩˧ t͡sɤ˥˧ t͡ɕʰi˧˦ , zɑ̃˨ hɛ˦ ɕɪɲ˥˧ , kɑ̃˥ nø˧˩ vɛ˨ joŋ˦ , t͡soŋ˥ koʔ˧˩ ŋ̍˨ da˦ d͡ʑiʔ˨ zoŋ˦ t͡sɿ˥ iʔ˧˩ . jɤ˩˧ di˨ ɲi˦ koʔ˥ d͡ʑiʔ˩˨ ɦəʔ˩˨ t͡ɕjɛ̃˧˦ faʔ˥ . joʔ˨ d͡ʑiʔ˦ t͡ɕʰjoʔ˥ djɔ˧˩ ɲjø˩˧ ta˧˦ ta˧˦ , sjɔ˥ di˧ d͡ʑɪɲ˧˩ jaʔ˨ t͡sɤ˦ t͡ɕʰjoʔ˦ ljɛ̃˨ t͡soʔ˦ ɦəʔ˩˨ t͡sɿ˥ zi˧ liʔ˧˩ bi˩˧ joŋ˩˧ joʔ˨ d͡ʑiʔ˦ ɦəʔ˩˨ t͡ɕʰjoʔ˥ djɔ˧˩ . joʔ˨ d͡ʑiʔ˦ t͡ɕʰi˧˦ sɿ˧˦ bi˩˧ t͡səʔ˥ nø˩˧ i˥ jø˧˩ , tɔ˧˦ zɑ̃˨ hɛ˦ faʔ˥ t͡sø˧˩ t͡sɿ˥ ɦɤ˧˩ wɛ˩˧ ɲy˩˧ pɛ˥˧ i˥ t͡sʰəʔ˧˩ zɤ˩˧ hwø˥ ɲɪɲ˧˩ ɕi˧˦ , faʔ˥ t͡sø˧˩ t͡ɕʰi˧˦ su˥ jɤ˧˩ koʔ˥ səʔ˧˩ tu˥˧ ɲjɛ̃˩˧ ɲy˩˧ ɦəʔ˩˨ lɛ˩˧ i˧˦ ɦəʔ˩˨ ɲy˩˧ pɛ˥˧ joʔ˨ d͡ʑiʔ˦ . iʔ˥ t͡ɕjɤ˧ sɿ˧ t͡ɕjɤ˧ ɲi˧˩ t͡sɿ˥ ɦɤ˧˩ , kʰɛ˥ sɿ˧˩ t͡sɔ˥˧ iʔ˥ ɕy˧˦ nø˩˧ i˥ jø˧˩ , dɛ˩˧ t͡sʰjɛ̃˥˧ t͡ɕi˥˧ t͡ɕjɔ˧˦ d͡ʑjɤ˩˧ zɿ˨ ɲy˦ pɛ˥˧ joʔ˨ d͡ʑiʔ˦ wɛ˨ t͡sɿ˦ . joʔ˨ d͡ʑiʔ˦ ɲjø˨ si˦ lɛ˩˧ kɑ̃˥ t͡səʔ˧˩ wu˩˧ t͡soʔ˥ ɕɪɲ˥˧ , ɦɤ˩˧ wɛ˥˧ lɛ˩˧ zi˩˧ t͡soŋ˥ koʔ˧˩ tu˥˧ zɤ˩˧ hwø˥ ɲɪɲ˧˩ . joʔ˨ d͡ʑiʔ˦ wu˨ dɛ˦ ɲy˨ ɪɲ˦ ɦəʔ˩˨ t͡ɕi˥ t͡sʰu˧˩ ɲy˨ ɪɲ˦ zɿ˩˧ zəɲ˩˧ jø˩˧ fɑ̃˥ ji˧˩ t͡ɕʰjɛ̃˥˧ . ləʔ˩˨ joʔ˨ d͡ʑiʔ˦ faʔ˥ t͡sø˧˩ ku˥ zəɲ˧˩ t͡soŋ˥˧ , joʔ˨ d͡ʑiʔ˦ ɲy˨ ɪɲ˦ lɛ˩˧ zəɲ˩˧ t͡sɤ˥˧ ji˩˧ wa˩˧ ɦəʔ˩˨ t͡ɕi˥ t͡sʰu˧˩ zɑ̃˩˧ , ɕiʔ˥ sɤ˧˩ ljɔ˩˧ t͡soŋ˥ t͡sɤ˧˩ ɪɲ˥ yəɲ˧˩ taʔ˥ kwø˥ wa˧˩ ɦəʔ˩˨ ɲy˨ ɪɲ˦ , sɿ˥ təʔ˧˩ joʔ˨ d͡ʑiʔ˦ ɦəʔ˩˨ kwø˥ t͡soŋ˧˩ vɛ˨ wɛ˦ kʰwəʔ˥ du˧˩ .
苏联解体仔个十来年当中，俄罗斯联邦还勒浪用劲把力建立现代化个市场经济搭仔实现较强个经济增长。俄罗斯联邦行政搭立法机构也意识着，国家个工业基础搭仔进一步个改革面临严重问题，并且使得俄罗斯联邦个经济勒苏联解体仔连甩5年下滑。	su˥ li˧˩ ka˥ bəɲ˧˩ t͡sɿ˧˦ ɦəʔ˩˨ zəʔ˩˨ lɛ˨ ɲi˦ tɑ̃˥ t͡soŋ˧˩ , ŋu˨ lu˦ sɿ˦ li˦ pɑ̃˦ ɦɛ˩˧ ləʔ˩˨ lɑ̃˩˧ joŋ˩˧ t͡ɕɪɲ˥˧ pa˧˦ liʔ˩˨ t͡ɕi˥ liʔ˧˩ ji˨ dɛ˦ hwa˦ ɦəʔ˩˨ zɿ˨ zɛ̃˦ t͡ɕɪɲ˦ t͡si˦ taʔ˥ t͡sɿ˧˩ zəʔ˨ ji˦ t͡ɕjɔ˧˦ t͡ɕʰjɛ̃˥˧ ɦəʔ˩˨ t͡ɕɪɲ˥ t͡si˧˩ t͡səɲ˥ t͡sɛ̃˧˩ . ŋu˨ lu˦ sɿ˦ li˦ pɑ̃˦ ɦɑ̃˨ t͡səɲ˦ taʔ˥ liʔ˨ faʔ˦ t͡ɕi˥ kɤ˧˩ ɦa˩˧ i˥ səʔ˧˩ t͡saʔ˥ , koʔ˥ ka˧˩ ɦəʔ˩˨ koŋ˥ ɲiʔ˧˩ t͡ɕi˥ t͡sʰu˧˩ taʔ˥ t͡sɿ˧˩ t͡sɪɲ˥ iʔ˧ bu˧˩ ɦəʔ˩˨ kɛ˥ kəʔ˧˩ mi˨ lɪɲ˦ ɲi˨ zoŋ˦ vəɲ˨ di˦ , pɪɲ˥ t͡sʰi˧˩ sɿ˥ təʔ˧˩ ŋu˨ lu˦ sɿ˦ li˦ pɑ̃˦ ɦəʔ˩˨ t͡ɕɪɲ˥ t͡si˧˩ ləʔ˩˨ su˥ li˧˩ ka˥ bəɲ˧˩ t͡sɿ˧˦ li˩˧ hwaʔ˥ ŋ̍˩˧ ɲi˨ ɦo˦ waʔ˩˨ .
【唐韵】士皆切【集韵】【韵会】牀皆切，音柴。等辈也。【礼·乐记】先王之喜怒，皆得其侪焉。【注】侪犹辈类。【左传·僖二十三年】晋郑同侪。又【成二年】文王犹用众，况吾侪乎。【列子·汤问篇】长幼侪居。 又叶相稽切，音齐。【齐王元长双树歌】春王玉所府，檀林芳所栖。庵园无异辙，祗舒有同侪。 又叶仕之切，音时。【韩愈·猛虎行】猛虎虽云恶，亦各有匹侪。羣行深谷闲，百兽望风低。	dɑ̃˩˧ yəɲ˩˧ zɿ˩˧ t͡ɕja˥˧ t͡sʰiʔ˥ ziʔ˩˨ yəɲ˩˧ yəɲ˩˧ kʰwɛ˥˧ zɑ̃˩˧ t͡ɕja˥˧ t͡sʰiʔ˥ , ɪɲ˥˧ za˩˧ . təɲ˧˦ pɛ˧˦ ɦa˩˧ . li˩˧ jaʔ˩˨ t͡ɕi˧˦ si˥˧ wɑ̃˩˧ t͡sɿ˥˧ ɕi˥ nu˧˩ , t͡ɕja˥˧ təʔ˥ d͡ʑi˩˧ zɛ˩˧ i˥˧ . t͡sɿ˧˦ zɛ˩˧ jɤ˩˧ pɛ˧˦ lɛ˩˧ . t͡si˥ zø˧˩ ɕi˥˧ ɲi˨ zəʔ˦ sɛ˦ ɲi˦ t͡sɪɲ˧˦ zəɲ˩˧ doŋ˩˧ zɛ˩˧ . jɤ˩˧ zəɲ˩˧ ɲi˨ ɲi˦ vəɲ˩˧ wɑ̃˩˧ jɤ˩˧ joŋ˩˧ t͡soŋ˧˦ , hwɑ̃˧˦ ŋu˩˧ zɛ˩˧ hu˥˧ . liʔ˩˨ t͡sɿ˧˦ tʰɑ̃˥˧ vəɲ˩˧ pʰi˥˧ t͡sɛ̃˥˧ jɤ˧˦ zɛ˩˧ t͡ɕy˥˧ . jɤ˩˧ jaʔ˩˨ sjɛ̃˥˧ t͡ɕi˥˧ t͡sʰiʔ˥ , ɪɲ˥˧ zi˩˧ . zi˩˧ wɑ̃˩˧ ɲjø˩˧ t͡sɛ̃˥˧ sɑ̃˥˧ zɿ˩˧ ku˥˧ t͡sʰəɲ˥˧ wɑ̃˩˧ ɲjoʔ˩˨ su˧˦ fu˧˦ , dɛ˩˧ lɪɲ˩˧ fɑ̃˥˧ su˧˦ si˥˧ . ø˥˧ jø˩˧ wu˨ ji˦ t͡sʰəʔ˥ , t͡sɿ˥˧ sɿ˥˧ jɤ˩˧ doŋ˩˧ zɛ˩˧ . jɤ˩˧ jaʔ˩˨ zɿ˩˧ t͡sɿ˥˧ t͡sʰiʔ˥ , ɪɲ˥˧ zɿ˩˧ . ɦø˨ y˦ mɛ̃˨ hu˦ ɦɛ̃˩˧ mɛ̃˨ hu˦ sø˥˧ yəɲ˩˧ oʔ˥ , jiʔ˩˨ koʔ˥ jɤ˩˧ pʰiʔ˥ zɛ˩˧ . d͡ʑyəɲ˩˧ ɦɛ̃˩˧ səɲ˥ koʔ˧˩ ji˩˧ , paʔ˥ sɤ˧˦ mɑ̃˨ foŋ˦ ti˥˧ .
赣语维基百科是维基百科协作计划个赣语（江西话）版本，勒2008年5月27号正式成立。计划成立个辰光，主要推动人侪表示只要好让赣语维基发展，愿意学习新个书写系统（也就是赣语白话字），必过，乃朝赣语维基百科事实丄只有得汉字条目。2009年3月份，赣语维基百科启用繁简转换功能。	kø˧˦ ɲy˩˧ vi˩˧ t͡ɕi˥˧ paʔ˥ kʰu˧˩ zɿ˩˧ vi˩˧ t͡ɕi˥˧ paʔ˥ kʰu˧˩ jaʔ˨ t͡soʔ˦ t͡ɕi˥ ɦo˧˩ ɦəʔ˩˨ kø˧˦ ɲy˩˧ kɑ̃˥ si˧˩ wa˩˧ pɛ˥ pəɲ˧˩ , ləʔ˩˨ ɲi˨ lɪɲ˦ lɪɲ˩˧ paʔ˥ ɲi˧˩ ŋ̍˩˧ joʔ˩˨ ɲi˨ zəʔ˦ t͡sʰiʔ˦ ɦɔ˩˧ t͡səɲ˥ səʔ˧˩ zəɲ˨ liʔ˦ . t͡ɕi˥ ɦo˧˩ zəɲ˨ liʔ˦ ɦəʔ˩˨ zəɲ˨ kwɑ̃˦ , t͡sɿ˥ jɔ˧˩ tʰɛ˥ doŋ˧˩ zəɲ˩˧ zɛ˩˧ pjɔ˥ zɿ˧˩ t͡səʔ˥ jɔ˧˩ hɔ˧˦ ɲjɛ̃˩˧ kø˧˦ ɲy˩˧ vi˩˧ t͡ɕi˥˧ faʔ˥ t͡sø˧˩ , ɲjø˨ i˦ ɦoʔ˨ ziʔ˦ sɪɲ˥˧ ɦəʔ˩˨ sɿ˥ sja˧˩ ɕi˥ tʰoŋ˧˩ ɦa˨ zjɤ˦ zɿ˩˧ kø˧˦ ɲy˩˧ baʔ˨ wa˦ zɿ˩˧ , piʔ˥ ku˧˦ , nɛ˨ t͡sɔ˦ kø˧˦ ɲy˩˧ vi˩˧ t͡ɕi˥˧ paʔ˥ kʰu˧˩ zɿ˨ zəʔ˦ zɑ̃˩˧ t͡səʔ˥ jɤ˧˩ təʔ˥ hø˥ zɿ˧˩ djɔ˨ moʔ˦ . ɲi˨ lɪɲ˦ lɪɲ˩˧ t͡ɕjɤ˥ ɲi˧˩ sɛ˥˧ joʔ˨ vəɲ˦ , kø˧˦ ɲy˩˧ vi˩˧ t͡ɕi˥˧ paʔ˥ kʰu˧˩ t͡ɕʰi˥ joŋ˧˩ vɛ˩˧ t͡ɕi˧˦ t͡sø˥ wø˧˩ koŋ˥ nəɲ˧˩ .
上海地铁，亦称上海轨道交通。伊最早是由轨道交通1号线勒拉1993年正式运营，成为中国大陆第三個开通个城市轨交系统（比北京搭仔天津开来晏）。当中11号线可以去到江苏省苏州市昆山市，所以上海地铁貤是中国头一個跨省运营个城市轨道交通系统。	zɑ̃˨ hɛ˦ di˨ tʰiʔ˦ , jiʔ˩˨ t͡sʰəɲ˥˧ zɑ̃˨ hɛ˦ kwɛ˥ dɔ˧˩ kɔ˥ tʰoŋ˧˩ . ji˩˧ t͡sø˥ t͡sɔ˧˩ zɿ˩˧ jɤ˩˧ kwɛ˥ dɔ˧˩ kɔ˥ tʰoŋ˧˩ iʔ˥ ɦɔ˩˧ si˧˦ ləʔ˩˨ ʔla˥˧ iʔ˥ t͡ɕjɤ˥ t͡ɕjɤ˧˩ sɛ˥ ɲi˧˩ t͡səɲ˥ səʔ˧˩ yəɲ˨ jɪɲ˦ , zəɲ˨ wɛ˦ t͡soŋ˥ koʔ˧˩ du˨ loʔ˦ di˨ sɛ˦ ku˦ kʰɛ˥ tʰoŋ˧˩ ɦəʔ˩˨ zəɲ˨ zɿ˦ kwɛ˧˦ kɔ˥˧ ɕi˥ tʰoŋ˧˩ pi˧˦ poʔ˥ t͡ɕɪɲ˧˩ taʔ˥ t͡sɿ˧˩ tʰi˥ t͡sɪɲ˧˩ kʰɛ˥ lɛ˧˩ i˧˦ . tɑ̃˥ t͡soŋ˧˩ zəʔ˨ iʔ˦ ɦɔ˩˧ si˧˦ kʰu˥ i˧˩ t͡ɕʰi˥ tɔ˧˩ t͡ɕjɛ̃˥ su˧ sɛ̃˧˩ su˥ t͡sɤ˧ zɿ˧˩ kʰwəɲ˥ sɛ˧˩ zɿ˩˧ , su˥ i˧˩ zɑ̃˨ hɛ˦ di˨ tʰiʔ˦ ji˩˧ zɿ˩˧ t͡soŋ˥ koʔ˧˩ dɤ˩˧ iʔ˥ ɦəʔ˧˩ kʰo˥ sɛ̃˧˩ yəɲ˨ jɪɲ˦ ɦəʔ˩˨ zəɲ˨ zɿ˦ kwɛ˥ dɔ˧˩ kɔ˥ tʰoŋ˧˩ ɕi˥ tʰoŋ˧˩ .
1922年，讓位皇帝溥儀結婚朞，渠堂哥溥佳一部腳踏車送畀渠。有大臣猴咄溥佳，講弗應該畀箇危險个物事畀皇帝。不過溥儀朆恤著大臣个反對，十把日功夫便要得踏腳踏車爻，成為中國歷史上唯一一個踏腳踏車个皇帝。聽講，溥儀早時為踏腳踏車畀皇宮裏全部个地栿頭都拆爻。	iʔ˥ t͡ɕjɤ˧˦ ɲi˨ ɲi˦ ɲi˩˧ , ɲjɛ̃˨ wɛ˦ wɑ̃˨ ti˦ pʰu˥ ɲi˧˩ t͡ɕiʔ˥ hwəɲ˧˩ t͡ɕi˥˧ , d͡ʑy˩˧ dɑ̃˩˧ ku˥˧ pʰu˧˦ t͡ɕja˥˧ iʔ˥ bu˧˩ t͡ɕjaʔ˥ daʔ˧˩ t͡sʰo˥˧ soŋ˧˦ pi˧˦ d͡ʑy˩˧ . jɤ˨ du˦ zəɲ˩˧ ɦɤ˩˧ təʔ˥ pʰu˧˦ t͡ɕja˥˧ , t͡ɕjɛ̃˧˦ vəʔ˩˨ ɪɲ˥ kɛ˧˩ pi˧˦ ɡəʔ˩˨ wɛ˨ ɕi˦ ɦəʔ˩˨ məʔ˨ zɿ˦ pi˧˦ wɑ̃˨ ti˦ . pəʔ˥ ku˧˩ pʰu˥ ɲi˧˩ vəɲ˩˧ ɕjoʔ˥ t͡sɿ˧˦ da˨ zəɲ˦ ɦəʔ˩˨ fɛ˥ tɛ˧˩ , zəʔ˩˨ pa˧˦ zəʔ˩˨ koŋ˥ fu˧˩ bi˩˧ jɔ˧˦ təʔ˥ daʔ˩˨ t͡ɕjaʔ˥ daʔ˧˩ t͡sʰo˥˧ jɔ˩˧ , zəɲ˩˧ wɛ˩˧ t͡soŋ˥ koʔ˧˩ liʔ˨ sɿ˦ zɑ̃˩˧ vi˨ iʔ˦ iʔ˥ ɦəʔ˧˩ daʔ˩˨ t͡ɕjaʔ˥ daʔ˧˩ t͡sʰo˥˧ ɦəʔ˩˨ wɑ̃˨ ti˦ . tʰɪɲ˥ kɑ̃˧˩ , pʰu˥ ɲi˧˩ t͡sɔ˧˦ zɿ˩˧ wɛ˩˧ daʔ˩˨ t͡ɕjaʔ˥ daʔ˧˩ t͡sʰo˥˧ pi˧˦ wɑ̃˨ koŋ˦ li˩˧ zi˨ bu˦ ɦəʔ˩˨ di˩˧ dɤ˩˧ tu˥˧ t͡sʰaʔ˥ jɔ˩˧ .
莉斯贝丝·“莉比”·特里克特（，），原本姓伦顿（），澳大利亚个游泳运动员，1985年1月28号生勒勒昆士兰州。勒2008年个北京奥林匹克运动会里向伊得仔一只接力个金牌，搭仔一只个人100米蛙泳个银牌。	li˩˧ sɿ˥˧ pɛ˧˦ sɿ˥˧ li˩˧ pi˧˦ dəʔ˨ li˦ kʰəʔ˥ dəʔ˩˨ , ɲjø˨ pəɲ˦ sɪɲ˧˦ ləɲ˩˧ təɲ˥˧ , ɔ˥ du˧ li˧ ja˧˩ ɦəʔ˩˨ jɤ˨ joŋ˦ yəɲ˨ doŋ˦ jø˦ , iʔ˥ t͡ɕjɤ˧˦ paʔ˥ ŋ̍˧˩ ɲi˩˧ iʔ˥ joʔ˩˨ ɲi˨ zəʔ˦ paʔ˦ ɦɔ˩˧ sɛ̃˥˧ ləʔ˩˨ ləʔ˩˨ kʰwəɲ˥˧ zɿ˩˧ lɛ˨ t͡sɤ˦ . ləʔ˩˨ ɲi˨ lɪɲ˦ lɪɲ˩˧ paʔ˥ ɲi˧˩ ɦəʔ˩˨ poʔ˥ t͡ɕɪɲ˧˩ ɔ˥ lɪɲ˧ pʰiʔ˧ kʰəʔ˧˩ yəɲ˨ doŋ˦ kʰwɛ˦ li˩˧ ɕjɛ̃˧˦ ji˩˧ təʔ˥ t͡sɿ˧˩ iʔ˥ t͡səʔ˧˩ t͡siʔ˥ liʔ˧˩ ɦəʔ˩˨ t͡ɕɪɲ˥ ba˧˩ , taʔ˥ t͡sɿ˧˩ iʔ˥ t͡səʔ˧˩ ɦəʔ˨ zəɲ˦ iʔ˥ paʔ˧˩ mi˩˧ wa˥˧ joŋ˥˧ ɦəʔ˩˨ ɲɪɲ˨ ba˦ .
印度尼西亚、瑙鲁、基里巴斯、厄瓜多尔（是以赤道命名个国家）、哥伦比亚、巴西、加蓬、刚果共和国、刚果民主共和国、乌干达、卢旺达、肯尼亚、索马里、马尔代夫、新加坡	ɪɲ˥ du˧ ɲi˧ si˧ ja˧˩ , nɔ˩˧ lu˩˧ , t͡ɕi˥˧ li˩˧ pa˥ sɿ˧˩ , ŋəʔ˨ kwa˦ tu˦ əl˦ zɿ˩˧ i˥˧ t͡sʰaʔ˥ dɔ˧˩ mɪɲ˨ mɪɲ˦ ɦəʔ˩˨ koʔ˥ ka˧˩ , ku˥ ləɲ˧ pi˧ ja˧˩ , pa˥ si˧˩ , ka˥ boŋ˧˩ , kɑ̃˥ ku˧˩ ɡoŋ˨ wu˦ koʔ˦ , kɑ̃˥ ku˧˩ mɪɲ˨ t͡sɿ˦ ɡoŋ˨ wu˦ koʔ˦ , u˥ kø˧ daʔ˧˩ , lu˨ wɑ̃˦ daʔ˦ , kʰəɲ˥ ɲi˧ ja˧˩ , soʔ˥ ma˧ li˧˩ , ma˨ əl˦ dɛ˦ fu˦ , sɪɲ˥ ka˧ pʰu˧˩
王菀之（），1979年6月18号生，乃歇是香港个女歌手。 伊本名「王爱之」，上小学个辰光，因本名搭「艾滋病」音同，箇咾畀姆妈改成「菀之」。菀之生勒一个欢喜音乐个家庭，父母侪是业餘歌唱家，一个唱男高音，一个唱女高音，伊是基督徒。	wɑ̃˩˧ wø˧˦ t͡sɿ˥˧ , iʔ˥ t͡ɕjɤ˧˦ t͡sʰiʔ˥ t͡ɕjɤ˥ ɲi˧˩ loʔ˩˨ joʔ˩˨ zəʔ˨ paʔ˦ ɦɔ˩˧ sɛ̃˥˧ , ʔnɛ˥˧ ɕiʔ˥ zɿ˩˧ ɕjɛ̃˥ kɑ̃˧˩ ɦəʔ˩˨ ɲy˩˧ ku˥ sɤ˧˩ . ji˩˧ pəɲ˥ mɪɲ˧˩ wɑ̃˩˧ ɛ˧˦ t͡sɿ˥˧ , zɑ̃˩˧ sjɔ˥ ɦoʔ˧˩ ɦəʔ˩˨ zəɲ˨ kwɑ̃˦ , ɪɲ˥˧ pəɲ˥ mɪɲ˧˩ taʔ˥ ŋɛ˨ t͡sɿ˦ bɪɲ˦ ɪɲ˥˧ doŋ˩˧ , ɡəʔ˩˨ lɔ˩˧ pi˧˦ ʔm̩˥˧ ʔma˥˧ kɛ˥ zəɲ˧˩ wø˧˦ t͡sɿ˥˧ . wø˧˦ t͡sɿ˥˧ sɛ̃˥˧ ləʔ˩˨ iʔ˥ ɦəʔ˧˩ hwø˥ ɕi˧˩ ɪɲ˥ jaʔ˧˩ ɦəʔ˩˨ t͡ɕja˥ dɪɲ˧˩ , vu˨ ʔmu˦ zɛ˩˧ zɿ˩˧ ɲiʔ˩˨ y˩˧ ku˥ t͡sʰɑ̃˧ ka˧˩ , iʔ˥ ɦəʔ˧˩ t͡sʰɑ̃˧˦ nø˩˧ kɔ˥ ɪɲ˧˩ , iʔ˥ ɦəʔ˧˩ t͡sʰɑ̃˧˦ ɲy˩˧ kɔ˥ ɪɲ˧˩ , i˥ zɿ˧˩ t͡ɕi˥ toʔ˧ du˧˩ .
多年来，新州政府搭大企业侪谈到决策要使帕克斯成为一只“内陆港口” 。 帕克斯地区机场将变得大交关。 这将成为一个起点，货物从其他国家运来澳大利亚，要发送到新南威尔士州别个地方，维克多利亚州搭仔昆士兰州。	tu˥ ɲi˧˩ lɛ˩˧ , sɪɲ˥˧ t͡sɤ˥ t͡səɲ˧ fu˧˩ taʔ˥ du˩˧ t͡ɕʰi˥ ɲiʔ˧˩ zɛ˩˧ dɛ˨ tɔ˦ t͡ɕjoʔ˥ t͡sʰaʔ˧˩ jɔ˧˦ sɿ˧˦ pʰaʔ˥ kʰəʔ˥ sɿ˧˩ zəɲ˨ wɛ˦ iʔ˥ t͡səʔ˧˩ nɛ˨ loʔ˦ kɑ̃˥ kʰɤ˧˩ . pʰaʔ˥ kʰəʔ˥ sɿ˧˩ di˨ t͡ɕʰy˦ t͡ɕi˥ zɛ̃˧˩ t͡sjɛ̃˥˧ pi˥ təʔ˧˩ du˩˧ kɔ˥˧ kwɛ˥˧ . t͡səʔ˥ t͡sjɛ̃˥˧ zəɲ˨ wɛ˦ iʔ˥ ɦəʔ˧˩ t͡ɕʰi˥ ti˧˩ , hu˥ məʔ˧˩ zoŋ˩˧ d͡ʑi˨ tʰa˦ koʔ˥ ka˧˩ yəɲ˩˧ lɛ˩˧ ɔ˥ du˧ li˧ ja˧˩ , jɔ˧˦ faʔ˥ soŋ˧˩ tɔ˧˦ sɪɲ˥˧ nø˩˧ wɛ˥ əl˧ zɿ˧˩ t͡sɤ˥˧ bəʔ˩˨ ɦəʔ˩˨ di˨ fɑ̃˦ , vi˩˧ kʰəʔ˥ tu˥ li˧˩ ja˧˦ t͡sɤ˥˧ taʔ˥ t͡sɿ˧˩ kʰwəɲ˥˧ zɿ˩˧ lɛ˨ t͡sɤ˦ .
