# Czech LOANWORD lexicon — word<TAB>IPA, for words the native rules mis-derive (di/ti/ni non-palatalization
# in loans: stadion, studie, technik; loanword long í; foreign names). kaikki.org Wiktionary Czech (CC-BY-SA),
# stress re-placed to our convention (ˈ before the stressed vowel). Regen: tools/gen/build-cs-kaikki-dict.mts.
administrativa	ˈadmɪnˌɪstratˌɪva
administrativní	ˈadmɪnˌɪstratˌɪvɲiː
administrátor	ˈadmɪnˌɪstraːtor
aerolinie	ˈaɛrˌolɪnˌɪjɛ
aktiv	ˈaktɪf
aktivista	ˈaktɪvˌɪsta
aktivistka	ˈaktɪvˌɪstka
aktivita	ˈaktɪvˌɪta
aktivní	ˈaktɪvɲiː
aktivně	ˈaktɪvɲɛ
aktivovat	ˈaktɪvˌovat
akustický	ˈakustˌɪt͡skiː
alternativa	ˈaltɛrnˌatɪva
alternativní	ˈaltɛrnˌatɪvɲiː
amnestie	ˈamnɛstˌɪjɛ
analytický	ˈanalˌɪtɪt͡skiː
analytik	ˈanalˌɪtɪk
animace	ˈanɪmˌat͡sɛ
antikoncepce	ˈantɪkˌont͡sɛpt͡sɛ
antimonopolní	ˈantɪmˌonopˌolɲiː
argentinský	ˈarɡɛntˌɪnskiː
atletický	ˈatlɛtˌɪt͡skiː
atletika	ˈatlɛtˌɪka
atraktivní	ˈatraktˌɪvɲiː
bestie	bˈɛstɪjɛ
centimetr	t͡sˈɛntɪmˌɛtr̩
ceremoniál	t͡sˈɛrɛmˌonɪjaːl
certifikát	t͡sˈɛrtɪfˌɪkaːt
charakteristický	xˈaraktˌɛrɪstˌɪt͡skiː
charakteristika	xˈaraktˌɛrɪstˌɪka
charismatický	xˈarɪsmˌatɪt͡skiː
charitativní	xˈarɪtˌatɪvɲiː
chlor	xlˈoːr
chronický	xrˈonɪt͡skiː
cyklistický	t͡sˈɪklɪstˌɪt͡skiː
cyklistika	t͡sˈɪklɪstˌɪka
definice	dˈɛfɪnˌɪt͡sɛ
dekorativní	dˈɛkorˌatɪvɲiː
demokratický	dˈɛmokrˌatɪt͡skiː
destruktivní	dˈɛstruktˌɪvɲiː
detektiv	dˈɛtɛktɪf
detektivka	dˈɛtɛktˌɪfka
detektivní	dˈɛtɛktˌɪvɲiː
diabetes	dˈɪjabˌɛtɛs
diagnóza	dˈɪjaɡnˌoːza
diagram	dˈɪjaɡram
dialog	dˈɪjalok
diamant	dˈɪjamant
diametrálně	dˈɪjamˌɛtraːlɲɛ
diecéze	dˈɪjɛt͡sˌɛːzɛ
dieta	dˈɪjɛta
dietní	dˈɪjɛtɲiː
diety	dˈɪjɛtɪ
diferenciální	dˈɪfɛrˌɛnt͡sɪjˌaːlɲiː
digitalizace	dˈɪɡɪtˌalɪzˌat͡sɛ
digitální	dˈɪɡɪtˌaːlɲiː
diktatura	dˈɪktatˌura
diktovat	dˈɪktovat
diktátor	dˈɪktaːtor
dilema	dˈɪlɛma
dimenze	dˈɪmɛnzɛ
diplom	dˈɪplom
diplomacie	dˈɪplomˌat͡sɪjɛ
diplomat	dˈɪplomat
diplomatický	dˈɪplomˌatɪt͡skiː
dirigent	dˈɪrɪɡɛnt
disciplinární	dˈɪst͡sɪplˌɪnaːrɲiː
disciplína	dˈɪst͡sɪplˌiːna
disident	dˈɪsɪdɛnt
disk	dˈɪsk
diskriminace	dˈɪskrɪmˌɪnat͡sɛ
diskrétní	dˈɪskrɛːtɲiː
diskuse	dˈɪskusɛ
diskusní	dˈɪskusɲiː
diskutabilní	dˈɪskutˌabɪlɲiː
diskutovat	dˈɪskutˌovat
diskuze	dˈɪskuzɛ
dispečer	dˈɪspɛt͡ʃɛr
displej	dˈɪsplɛj
disponovat	dˈɪsponˌovat
dispozice	dˈɪspozˌɪt͡sɛ
distribuce	dˈɪstrɪbˌut͡sɛ
divize	dˈɪvɪzɛ
diář	dˈɪjaːr̝̊
dramaticky	drˈamatˌɪt͡skɪ
dramatická	drˈamatˌɪt͡skaː
dramatický	drˈamatˌɪt͡skiː
dramatik	drˈamatɪk
drasticky	drˈastɪt͡skɪ
dynastie	dˈɪnastˌɪjɛ
edice	ˈɛdɪt͡sɛ
editor	ˈɛdɪtor
editovat	ˈɛdɪtˌovat
efektivita	ˈɛfɛktˌɪvɪta
efektivní	ˈɛfɛktˌɪvɲiː
efektivního	ˈɛfɛktˌɪvɲiːɦo
efektivním	ˈɛfɛktˌɪvɲiːm
efektivně	ˈɛfɛktˌɪvɲɛ
efektivnější	ˈɛfɛktˌɪvɲɛjʃiː
elektronický	ˈɛlɛktrˌonɪt͡skiː
elektronika	ˈɛlɛktrˌonɪka
elektrotechnika	ˈɛlɛktrˌotɛxnˌɪka
emotivní	ˈɛmotˌɪvɲiː
empatie	ˈɛmpatˌɪjɛ
encyklopedie	ˈɛnt͡sɪklˌopɛdˌɪjɛ
energetický	ˈɛnɛrɡˌɛtɪt͡skiː
entity	ˈɛntɪtɪ
erotický	ˈɛrotˌɪt͡skiː
erotika	ˈɛrotˌɪka
estetický	ˈɛstɛtˌɪt͡skiː
etický	ˈɛtɪt͡skiː
etika	ˈɛtɪka
expedice	ˈɛkspɛdˌɪt͡sɛ
expediční	ˈɛkspɛdˌɪt͡ʃɲiː
faktický	fˈaktɪt͡skiː
fantastický	fˈantastˌɪt͡skiː
fašistický	fˈaʃɪstˌɪt͡skiː
festival	fˈɛstɪval
fiktivní	fˈɪktɪvɲiː
filharmonie	fˈɪlɦarmˌonɪjɛ
florbal	flˈoːrbal
flotila	flˈotɪla
genetický	ɡˈɛnɛtˌɪt͡skiː
genetika	ɡˈɛnɛtˌɪka
geniální	ɡˈɛnɪjˌaːlɲiː
gotický	ɡˈotɪt͡skiː
gramatiku	ɡrˈamatˌɪku
génius	ɡˈɛːnɪjus
harmonický	ɦˈarmonˌɪt͡skiː
harmonie	ɦˈarmonˌɪjɛ
humanitní	ɦˈumanˌɪtɲiː
humanitární	ɦˈumanˌɪtaːrɲiː
hypoteticky	ɦˈɪpotˌɛtɪt͡skɪ
identický	ˈɪdɛntˌɪt͡skiː
identifikace	ˈɪdɛntˌɪfɪkˌat͡sɛ
identifikovat	ˈɪdɛntˌɪfɪkˌovat
identifikátor	ˈɪdɛntˌɪfɪkˌaːtor
identita	ˈɪdɛntˌɪta
idiot	ˈɪdɪjot
imunita	ˈɪmunˌɪta
imunitní	ˈɪmunˌɪtɲiː
indicie	ˈɪndɪt͡sˌɪjɛ
indický	ˈɪndɪt͡skiː
indikátor	ˈɪndɪkˌaːtor
individuální	ˈɪndɪvˌɪduˌaːlɲiː
indián	ˈɪndɪjaːn
indiánský	ˈɪndɪjˌaːnskiː
informatika	ˈɪnformˌatɪka
ingredience	ˈɪŋɡrɛdˌɪjɛnt͡sɛ
iniciativ	ˈɪɲɪt͡sˌɪjatɪf
iniciativa	ˈɪnɪt͡sˌɪjatˌɪva
inovativní	ˈɪnovˌatɪvɲiː
instinkt	ˈɪnstɪŋkt
instituce	ˈɪnstɪtˌut͡sɛ
institucionální	ˈɪnstɪtˌut͡sɪjˌonaːlɲiː
interaktivní	ˈɪntɛrˌaktɪvɲiː
intuitivní	ˈɪntuˌɪtɪvɲiː
investice	ˈɪnvɛstˌɪt͡sɛ
investiční	ˈɪnvɛstˌɪt͡ʃɲiː
ironie	ˈɪronˌɪjɛ
justice	jˈustɪt͡sɛ
kandidatura	kˈandɪdˌatura
kandidovat	kˈandɪdˌovat
kandidát	kˈandɪdaːt
kandidátka	kˈandɪdˌaːtka
kandidátní	kˈandɪdˌaːtɲiː
kardinál	kˈardɪnaːl
kardiovaskulární	kˈardɪjˌovaskˌulaːrɲiː
klimatizace	klˈɪmatˌɪzat͡sɛ
klinický	klˈɪnɪt͡skiː
kognitivní	kˈoɡnɪtˌɪvɲiː
kolektivní	kˈolɛktˌɪvɲiː
kolonie	kˈolonˌɪjɛ
koloniální	kˈolonˌɪjaːlɲiː
komedie	kˈomɛdˌɪjɛ
kompatibilní	kˈompatˌɪbɪlɲiː
komunikace	kˈomunˌɪkat͡sɛ
komunikační	kˈomunˌɪkat͡ʃɲiː
komunikovat	kˈomunˌɪkovat
komunista	kˈomunˌɪsta
komunistický	kˈomunˌɪstɪt͡skiː
komunita	kˈomunˌɪta
kondice	kˈondɪt͡sɛ
kondiční	kˈondɪt͡ʃɲiː
konstruktivní	kˈonstruktˌɪvɲiː
kontinent	kˈontɪnɛnt
kontinentální	kˈontɪnˌɛntaːlɲiː
kontinuální	kˈontɪnˌuaːlɲiː
kontraproduktivní	kˈontraprˌoduktˌɪvɲiː
konzervativní	kˈonzɛrvˌatɪvɲiː
koordinace	kˈoordˌɪnat͡sɛ
koordinační	kˈoordˌɪnat͡ʃɲiː
koordinovat	kˈoordˌɪnovat
koordinátor	kˈoordˌɪnaːtor
kosmetika	kˈosmɛtˌɪka
kreativita	krˈɛatˌɪvɪta
kreativní	krˈɛatˌɪvɲiː
kredit	krˈɛdɪt
kreditní	krˈɛdɪtɲiː
kreditních	krˈɛdɪtɲiːx
kriticky	krˈɪtɪt͡skɪ
kritický	krˈɪtɪt͡skiː
kritik	krˈɪtɪk
kritika	krˈɪtɪka
kritizovat	krˈɪtɪzˌovat
kronika	krˈonɪka
kvalitativní	kvˈalɪtˌatɪvɲiː
kvantitativní	kvˈantɪtˌatɪvɲiː
legislativa	lˈɛɡɪslˌatɪva
