# CMUdict (public domain) → canonical IPA. Per-word pronunciation lexicon: word <TAB> <TAB> IPA.
# The primary English pronunciation source; consumed by src/languages/english/english.ts.
'bout		bˈaᶷt
'cause		kəz
'course		kʰˈɔːɹs
'cuse		kjˈuːz
'em		əm
'frisco		fɹˈɪskoᶷ
'gain		ɡˈɛn
'kay		kʰˈeᶦ
'm		əm
'n		ən
'round		ɹˈaᶷnd
's		ˈɛs
'til		tʰˈɪɫ
'tis		tʰˈɪz
'twas		twˈʌz
a		ə
a's		ˈeᶦz
aaa		tɹˌɪpəlˈeᶦ
aaberg		ˈɑːbɚɡ
aachen		ˈɑːkən
aachener		ˈɑːkənɚ
aaker		ˈɑːkɚ
aalborg		ˈɔːɫbɔːɹɡ
aalburg		ˈæɫbɚɡ
aalen		ˈælən
aaliyah		ɑːlˈiːʲɑː
aalseth		ˈɑːɫsɛθ
aalsmeer		ˈɑːɫsmɪɹ
aalto		ˈɑːɫtoᶷ
aamodt		ˈɑːmət
aancor		ˈɑːŋkɔːɹ
aardema		ɑːɹdˈɛmə
aardvark		ˈɑːɹdvɑːɹk
aardvarks		ˈɑːɹdvɑːɹks
aargh		ˈɑːɹɡ
aarhus		ɑːhˈuːs
aaron		ˈɛɹən
aaron's		ˈɛɹənz
aarons		ˈɛɹənz
aaronson		ˈɛɹənsən
aaronson's		ˈɛɹənsənz
aarti		ˈɑːɹt̬iː
aase		ˈɑːs
aasen		ˈɑːsən
ab		ˈæb
aba		ˌeᶦbiːʲˈeᶦ
ababa		əbˈɑːbə
abacha		ˈæbəkə
aback		əbˈæk
abaco		ˈæbəkʰˌoᶷ
abacus		ˈæbəkəs
abad		əbˈɑːd
abadaka		əbˈæd̬əkə
abadi		əbˈæd̬i
abadie		əbˈæd̬i
abair		əbˈɛɹ
abalkin		əbˈɑːɫkɪn
abalone		ˌæbəlˈoᶷni
abalones		ˌæbəlˈoᶷniz
abalos		ɑːbˈɑːloᶷz
abandon		əbˈændən
abandoned		əbˈændᵻnd
abandoning		əbˈændənɪŋ
abandonment		əbˈændənmənt
abandonments		əbˈændənmənts
abandons		əbˈændənz
abanto		əbˈæntoᶷ
abarca		əbˈɑːɹkə
abare		ɑːbˈɑːɹi
abascal		ˈæbəskəɫ
abash		əbˈæʃ
abashed		əbˈæʃt
abasia		əbˈeᶦʒjə
abate		əbˈeᶦt
abated		əbˈeᶦt̬ᵻd
abatement		əbˈeᶦtmənt
abatements		əbˈeᶦtmənts
abates		əbˈeᶦts
abating		əbˈeᶦt̬ɪŋ
abattoir		ˌæbətwˈɑːɹ
abba		ˈæbə
abbado		əbˈɑːd̬oᶷ
abbas		əbˈɑːs
abbasi		ɑːbˈɑːsi
abbate		ˈɑːbeᶦt
abbatiello		ɑːbɑːt̬iʲˈɛloᶷ
abbe		ˈæbi
abbenhaus		ˈæbənhˌaᶷs
abbett		əbˈɛt
abbeville		ˈæbvɪɫ
abbey		ˈæbi
abbey's		ˈæbiz
abbie		ˈæbi
abbitt		ˈæbɪt
abbot		ˈæbət
abbotstown		ˈæbətstˈaᶷn
abbott		ˈæbət
abbott's		ˈæbəts
abbottstown		ˈæbətstˈaᶷn
abboud		əbˈuːd
abbreviate		əbɹˈiːviʲˌeᶦt
abbreviated		əbɹˈiːviʲˌeᶦt̬ᵻd
abbreviates		əbɹˈiːviʲˌeᶦts
abbreviating		əbɹˈiːviʲˌeᶦt̬ɪŋ
abbreviation		əbɹˌiːviʲˈeᶦʃən
abbreviations		əbɹˌiːviʲˈeᶦʃənz
abbruzzese		ɑːbɹuːtsˈeᶦzi
abbs		ˈæbz
abby		ˈæbi
abc		ˈeᶦbiːsˌiː
abc's		ˈeᶦbiːsˌiːz
abco		ˈæbkoᶷ
abcotek		ˈæbkoᶷt̬ˌɛk
abcs		ˈeᶦbiːsˌiːz
abd		ˌeᶦbiːdˈiː
abdalla		æbdˈælə
abdallah		æbdˈælə
abdel		ˈæbdɛɫ
abdella		æbdˈɛlə
abdicate		ˈæbdəkʰˌeᶦt
abdicated		ˈæbdəkʰˌeᶦt̬ᵻd
abdicates		ˈæbdəkʰˌeᶦts
abdicating		ˈæbdɪkʰˌeᶦt̬ɪŋ
abdication		ˌæbdɪkʰˈeᶦʃən
abdnor		ˈæbdnɚ
abdo		ˈæbdoᶷ
abdollah		æbdˈɑːlə
abdomen		æbdˈoᶷmən
abdominal		æbdˈɑːmənəɫ
abduct		æbdˈʌkt
abducted		æbdˈʌktᵻd
abductee		æbdʌktˈiː
abductees		æbdʌktˈiːz
abducting		æbdˈʌktɪŋ
abduction		æbdˈʌkʃən
abductions		æbdˈʌkʃənz
abductor		æbdˈʌktɚ
abductors		æbdˈʌktɚz
abducts		æbdˈʌkts
abdul		æbdˈuːɫ
abdulaziz		æbdˌuːləzˈiːz
abdulla		ɑːbdˈuːlə
abdullah		æbdˈʌlə
abe		ˈeᶦb
abed		əbˈɛd
abedi		əbˈɛd̬i
abee		əbˈiː
abel		ˈeᶦbəɫ
abela		ɑːbˈɛlə
abelard		ˈæbɪlɚd
abele		əbˈɛɫ
abeles		əbˈɛɫz
abell		ˈeᶦbəɫ
abella		əbˈɛlə
abeln		ˈæbɪɫn
abelow		ˈæbəloᶷ
abels		ˈeᶦbəɫz
abelson		ˈæbɪɫsən
abend		ˈæbɛnd
abendroth		ˈæbɪndɹɔːθ
aber		ˈeᶦbɚ
abercrombie		ˌæbɚkɹˈɑːmbi
aberdeen		ˈæbɚd̬ˌiːn
aberford		ˈeᶦbɚfɚd
aberg		ˈæbɚɡ
aberle		ˈæbɚəɫ
abermin		ˈæbɚmɪn
abernathy		ˈæbɚnˌæθi
abernethy		ˈæbɚnˌɛθi
aberrant		æbˈɛɹənt
aberration		ˌæbɚˈeᶦʃən
aberrational		ˌæbɚˈeᶦʃənəɫ
aberrations		ˌæbɚˈeᶦʃənz
abert		ˈæbɚt
abet		əbˈɛt
abetted		əbˈɛt̬ᵻd
abetting		əbˈɛt̬ɪŋ
abex		ˈeᶦbɛks
abeyance		əbˈeᶦəns
abeyta		ɑːbˈeᶦt̬ə
abhor		æbhˈɔːɹ
abhorred		əbhˈɔːɹd
abhorrence		əbhˈɔːɹəns
abhorrent		æbhˈɔːɹənt
abhors		əbhˈɔːɹz
abiam		ˈeᶦbiʲəm
abiam's		ˈeᶦbiʲəmz
abid		ˈeᶦbɪd
abide		əbˈaᶦd
abided		əbˈaᶦd̬ᵻd
abides		əbˈaᶦdz
abiding		əbˈaᶦd̬ɪŋ
abidjan		æbɪd͡ʒˈɑːn
abie		ˈæbi
abigail		ˈæbəɡˌeᶦɫ
abila		ɑːbˈiːlə
abilene		ˈæbɪlˌiːn
abilities		əbˈɪlᵻt̬ˌiːz
ability		əbˈɪlᵻt̬ˌiː
abimael		ˌæbɪmˈeᶦɫ
abimaels		ˌæbɪmˈeᶦɫz
abingdon		ˈæbɪŋdən
abington		ˈæbɪŋtən
abio		ˈɑːbiʲoᶷ
abiola		ˌɑːbiʲˈoᶷlə
abiola's		ˌɑːbiʲˈoᶷləz
abiomed		eᶦbˈiːʲəmɛd
abiquiu		əbˈɪkjuː
abitibi		ˌæbɪtʰˈiːbi
abitz		ˈæbɪts
abject		ˈæbd͡ʒɛkt
abkhazia		æbkˈɑːzjə
abkhazian		æbkˈɑːziʲən
abkhazians		æbkˈɑːziʲənz
ablate		ʌblˈeᶦt
ablation		ʌblˈeᶦʃən
ablaze		əblˈeᶦz
able		ˈeᶦbəɫ
abled		ˈeᶦbəɫd
abler		ˈeᶦbəlɚ
ables		ˈeᶦbəɫz
ablest		ˈeᶦbəɫst
abloom		əblˈuːm
ablution		əblˈuːʃən
ablutions		əblˈuːʃənz
ably		ˈeᶦbli
abnegation		ˌæbnɛɡˈeᶦʃən
abner		ˈæbnɚ
abney		ˈæbni
abnormal		æbnˈɔːɹməɫ
abnormalities		ˌæbnɔːɹmˈælᵻt̬iz
abnormality		ˌæbnɔːɹmˈælᵻt̬i
abnormally		æbnˈɔːɹməli
abo		ˈɑːboᶷ
abo's		ˈɑːboᶷz
aboard		əbˈɔːɹd
abode		əbˈoᶷd
abohalima		æbəhəlˈiːmə
abolish		əbˈɑːlɪʃ
abolished		əbˈɑːlɪʃt
abolishes		əbˈɑːlɪʃɪz
abolishing		əbˈɑːlɪʃɪŋ
abolition		ˌæbəlˈɪʃən
abolitionism		ˌæbəlˈɪʃənˌɪzəm
abolitionist		ˌæbəlˈɪʃənəst
abolitionists		ˌæbəlˈɪʃənəsts
abominable		əbˈɑːmənəbəɫ
