# Hebrew (he) pronunciation lexicon — skeleton (unvocalized) <TAB> niqqud (vocalized). A LOOKUP layer for the
# Phase-A wordlist: a Hebrew Wikipedia frequency ranking (hewiki dump, CC-BY-SA — ranking only; the niqqud
# content is Phonikud output validated by ReNikud, both CC-BY — see tools/hebrew/build-lexicon.py).
# neural path: a known skeleton renders via phonemizeWord(niqqud) — i.e. through OUR g2p, so it auto-tracks our
# canonical convention (the glottal rule etc.). OOV words + HOMOGRAPHS fall through to the context tagger.
# Built (tools/hebrew/build-lexicon.py): Phonikud's diacritization of the frequency list, VALIDATED where our
# g2p rendering of it agrees with ReNikud (audio-supervised), with homograph skeletons EXCLUDED (left to the
# tagger's context). Net-positive on BOTH referees — human Nakdimon holdout 86.5→87.8, independent gt.tsv
# 64.8→66.7. Eval-validated; the niqqud is a reading only (rendered through our convention, never PK's IPA).
של	שֶׁל
על	עַל
קטגוריה	קָטֵגוֹרְיָה
הוא	הוּא
לא	לֹא
גם	גַּם
היא	הִיא
היה	הָיָה
שיחה	שִׂיחָה
זה	זֶה
בין	בֵּין
יותר	יוֹתֵר
אך	אַך
ישראל	יִשְׂרָאֵל
הברית	הַבְּרִית
יש	יֵשׁ
זו	זוֹ
קישורים	קִישּׁוּרִים
הם	הֵם
חיצוניים	חִיצוֹנִיִּים
הראשון	הָרִאשׁוֹן
הערות	הֶעָרוֹת
אשר	אָשֶׁר
כך	כָּךְ
במהלך	בְּמַהֲלַךְ
אני	אֲנִי
כאשר	כַּאֲשֶׁר
בו	בּוֹ
זאת	זֹאת
רק	רַק
ארצות	אֲרָצוֹת
העולם	הָעוֹלָם
הפניה	הַפְנָיָה
בינואר	בְּיָנוּאָר
שנה	שָׁנָה
שנים	שָׁנִים
הראשונה	הָרִאשׁוֹנָה
בנובמבר	בְּנוֹבֶמְבֶּר
בספטמבר	בְּסֶפְּטֶמְבֶּר
באפריל	בְּאַפְּרִיל
בדצמבר	בְּדֵצֶמְבֶּר
העיר	הָעִיר
פי	פִּי
שמאל	שְׂמֹאל
תאריך	תַּאֲרִיךְ
לפי	לְפִי
בפברואר	בְּפֶבְּרוּאָר
חיים	חַיִּים
מכן	מִכֵּן
אביב	אָבִיב
חלק	חֵלֶק
נולד	נוֹלַד
בישראל	בְּיִשְׂרָאֵל
שלא	שֶׁלֹּא
בה	בָּה
אחת	אַחַת
אותה	אוֹתָהּ
נגד	נֶגֶד
שהוא	שֶׁהוּא
מלחמת	מִלְחֶמֶת
ולא	וְלֹא
זמן	זְמַן
להיות	לִהְיוֹת
המאה	הַמֵּאָה
הרב	הָרַב
שלה	שֶׁלָּהּ
ללא	לְלֹא
באנגלית	בְּאַנְגְּלִית
לי	לִי
השיר	הַשִּׁיר
הסרט	הַסֶּרֶט
חברת	חֶבְרַת
בעקבות	בְּעִקְבוֹת
באמצעות	בְּאֶמְצָעוּת
אדם	אָדָם
אחרים	אֲחֵרִים
שנולדו	שֶׁנּוֹלְדוּ
שונים	שׁוֹנִים
בעיקר	בְּעִיקָּר
השנים	הַשָּׁנִים
זכה	זָכָה
רב	רַב
עוד	עוֹד
מן	מִן
מתוך	מִתּוֹך
יום	יוֹם
אלו	אֵלּוּ
אחרות	אֲחֵרוֹת
יחד	יַחַד
כולל	כּוֹלֵל
בנוסף	בְּנוֹסָף
הן	הֵן
אלא	אֶלָּא
אמריקאים	אָמֵרִיקָאִים
והוא	וְהוּא
משנת	מִשְׁנַת
בהם	בָּהֶם
נוספת	נוֹסֶפֶת
שנות	שְׁנוֹת
תחת	תַּחַת
נוספים	נוֹסָפִים
רבות	רַבּוֹת
ערכים	עֲרָכִים
החברה	הַחֶבְרָה
תפקיד	תַּפְקִיד
הערך	הָעֵרֶךְ
אולם	אוּלָם
מיליון	מִילְיוֹן
דוד	דָּוִד
תוך	תּוֹך
דקות	דַּקּוֹת
במשך	בְּמֶשֶׁךְ
מאז	מֵאָז
המלחמה	הַמִּלְחָמָה
הקבוצה	הַקְּבוּצָה
יורק	יוֹרְק
עצמו	עַצְמוֹ
היסטוריה	הִיסְטוֹרְיָה
ראשון	רִאשׁוֹן
שנת	שְׁנַת
אותם	אוֹתָם
כיום	כַּיּוֹם
מערכת	מַעֲרֶכֶת
לראשונה	לָרִאשׁוֹנָה
כגון	כְּגוֹן
הזה	הַזֶּה
נשים	נָשִׁים
שלהם	שֶׁלָּהֶם
המשפט	הַמִּשְׁפָּט
שונות	שׁוֹנוֹת
נוסף	נוֹסָף
בלבד	בִּלְבַד
היום	הַיּוֹם
סרט	סֶרֶט
הגדול	הַגָּדוֹל
שימוש	שִׁימּוּשׁ
מול	מוּל
השנה	הַשָּׁנָה
שהיא	שֶׁהִיא
להם	לָהֶם
אנשים	אֲנָשִׁים
הכנסת	הַכְּנֶסֶת
כשחקן	כְּשַׂחְקָן
השלישי	הַשְּׁלִישִׁי
למשל	לְמָשָׁל
כאן	כָּאן
גרמניה	גֶּרְמַנְיָה
הממשלה	הַמֶּמְשָׁלָה
האלבום	הָאַלְבּוֹם
מאת	מֵאֵת
שירים	שִׁירִים
בתוך	בְּתוֹך
משתמש	מִשְׁתַּמֵּשׁ
איש	אִישׁ
סוג	סוּג
ועל	וְעַל
הארץ	הָאָרֶץ
מחדש	מֵחָדָשׁ
חדש	חָדָשׁ
צרפת	צָרְפַת
המפלגה	הַמִּפְלָגָה
לעיתים	לְעִיתִּים
ויקיפדיה	וִיקִיפֶּדְיָה
וגם	וְגַם
תמונה	תְּמוּנָה
למרות	לַמְרוֹת
הטוב	הַטּוֹב
הים	הַיָּם
משה	מֹשֶׁה
אישים	אִישִׁים
השם	הַשֵּׁם
הגיע	הִגִּיעַ
מעל	מֵעַל
קבוצת	קְבוּצַת
זכתה	זָכְתָה
במלחמת	בְּמִלְחֶמֶת
העברית	הָעִבְרִית
שלושה	שְׁלוֹשָׁה
קיבל	קִיבֵּל
ולכן	וְלָכֵן
בעוד	בְּעוֹד
מדינה	מְדִינָה
הופעות	הוֹפָעוֹת
תקציר	תַּקְצִיר
צריך	צָרִיך
שמו	שְׁמוֹ
קבוצה	קְבוּצָה
מפקד	מְפַקֵּד
מדינות	מְדִינוֹת
האדם	הָאָדָם
קולנוע	קוֹלְנוֹעַ
נכון	נָכוֹן
כוח	כּוֹחַ
שוב	שׁוּב
סדרת	סִדְרַת
תבנית	תַּבְנִית
החלה	הֵחֵלָּה
מלך	מֶלֶךְ
שימש	שִׁימֵּשׁ
נבחר	נִבְחַר
פרק	פֶּרֶק
ממשלת	מֶמְשֶׁלֶת
הפך	הָפַךְ
כוחות	כּוֹחוֹת
נמצא	נִמְצָא
ים	יָם
קבוצות	קְבוּצוֹת
שהם	שֶׁהֵם
יצחק	יִצְחָק
משרד	מִשְׂרָד
הצבא	הַצָּבָא
דין	דִּין
תרומות	תְּרוּמוֹת
יהיה	יִהְיֶה
המלך	הַמֶּלֶך
האימפריה	הָאִימְפֶּרְיָה
המשחק	הַמִּשְׂחָק
קרב	קְרָב
יוסף	יוֹסֵף
הבריטי	הַבְּרִיטִי
כמעט	כִּמְעַט
דולר	דּוֹלָר
ימים	יָמִים
לב	לֵב
יעקב	יַעֲקֹב
אביו	אָבִיו
שחקן	שַׂחְקָן
ארץ	אֶרֶץ
עדיין	עֲדַיִין
בערך	בְּעֵרֶךְ
בעברית	בְּעִבְרִית
אצל	אֵצֶל
הראשי	הָרָאשִׁי
האחרון	הָאַחֲרוֹן
אזור	אֵזוֹר
רקע	רֶקַע
אלבום	אַלְבּוֹם
הלהקה	הַלַּהֲקָה
הגמר	הַגְּמָר
זהב	זָהָב
החיים	הַחַיִּים
והיא	וְהִיא
מים	מַיִם
ארגון	אִרְגּוּן
למד	לָמַד
הבית	הַבַּיִת
אמריקאי	אָמֵרִיקָאִי
שיר	שִׁיר
מטעם	מִטַּעַם
שיחק	שִׂיחֵק
הבכורה	הַבְּכוֹרָה
בלתי	בִּלְתִּי
זכויות	זְכוּיוֹת
אברהם	אַבְרָהָם
