# Ilocano pronunciation lexicon: word <TAB> IPA. Mined from the STRESS-MARKED referees (kaikki ilo +
# wikipron ilo_latn, both human), normalized to our conventions. Fixes what the rule g2p cannot derive
# from spelling: LEXICAL gliding (garcia→ɡaɾsia stays, kua→kua) + the 6th vowel ⟨e⟩→[ɯ] + lexical stress.
# The shipped phonemizeWord consults this first; phonemizeWordRules (the eval path) bypasses it → NON-CIRCULAR.
'da	dˈa
't	t
'wan	wˈan
-ak	ak
-da	da
-dak	dak
-daka	dakˈa
-dakami	dakamˈi
-dakayo	dakajˈo
-data	datˈa
-datayo	datajˈo
-ka	ka
-kami	kamˈi
-kayo	kajˈo
-ko	ko
-mi	mi
-mo	mo
-na	na
-nak	nak
-naka	nakˈa
-nakami	nakamˈi
-nakayo	nakajˈo
-nata	natˈa
-natayo	natajˈo
-pot	pˈot
-potpot	pˈotpot
-ta	ta
-tayo	tajˈo
-yo	jo
a'n	ʔˈan
aan	ʔˈaan
abagat	ʔabˈaɡat
abaka	ʔabakˈa
abril	ʔabɾˈil
abutra	ʔabˈutɾa
acosta	ʔakˈosta
adal	ʔˈadal
adalem	ʔadˈalɛm
adayo	ʔadajˈo
adda	addˈa
addayo	addˈajo
adhetibo	ʔadhɛtˈibo
adigi	ʔadˈiɡi
adipen	ʔadˈipɛn
adjetivo	ʔadhɛtˈibo
agadal	ʔaɡˈadal
aganak	ʔaɡanˈak
agarak	ʔaɡˈaɾak
agari	ʔaɡˈaɾi
agbatok	ʔaɡbˈatuk
agbulos	ʔaɡbˈulos
agbunag	ʔaɡbˈunaɡ
agcaoili	ʔaɡkawˈili
agdait	ʔaɡdˈaʔit
agdan	ʔaɡdˈan
agek	ʔaɡˈɛk
aggingined	ʔaɡɡiŋinˈɛd
agkatawa	ʔaɡkatˈawa
aglako	ʔaɡlˈako
aglangoy	ʔaɡlaŋˈoj
aglipay	ʔaɡlˈipaj
agong	ʔaɡˈoŋ
agpaoa	ʔaɡpˈawa
agsalud	ʔaɡsˈalud
agsangit	ʔaɡsˈaŋit
agsigarilio	ʔaɡsiɡaɾˈiljo
agtarap	ʔaɡtaɾˈap
agtaray	ʔaɡtaɾˈaj
aguray	ʔaɡˈuɾaj
agus	ʔˈaɡus
aguyek	ʔaɡujˈɛk
agyamanak	ʔaɡjˈamanak
akkub	akkˈub
al-alia	ʔalʔaljˈa
alagad	ʔalaɡˈad
alamano	ʔalamˈano
alcala	ʔalkalˈa
aldao	ʔaldˈao
aldaw	ʔaldˈaw
alibukay	ʔalibukˈaj
alikamen	ʔalikˈamɛn
alingo	ʔalˈiŋo
allasitan	ʔallasitˈan
almidor	ʔalmidˈoɾ
alsem	ʔalsˈɛm
amami	ʔamˈami
ambulansia	ʔambulˈansja
amian	ʔamjˈan
amianan	ʔamjˈanan
amin	ʔˈamin
anak	ʔanˈak
anay	ʔanˈaj
andidit	ʔandˈidit
angep	ʔaŋˈɛp
anges	ʔaŋˈɛp
anggo	ʔaŋɡˈo
angin	ʔˈaŋin
angkas	ʔaŋkˈas
angkat	ʔaŋkˈat
angkit	ʔaŋkˈit
angkla	ʔˈaŋkla
angot	ʔˈaŋut
angseg	ʔaŋsˈɛɡ
ani	ʔˈani
ania	ʔˈanja
aniaman	ʔanjˈaman
anibong	ʔanˈiboŋ
animal	ʔanimˈal
anio	ʔˈanjo
anis	ʔanˈis
anod	ʔˈanod
anyamet	ʔanjˈamɛt
apal	ʔˈapal
apaman	ʔapˈaman
apas	ʔˈapas
apges	ʔapɡˈɛs
apin	ʔˈapin
apo	ʔapˈo
apog	ʔˈapoɡ
apon	ʔˈapon
apoy	ʔapˈoi̯
apro	ʔapɾˈo
apros	ʔapɾˈos
arado	ʔaɾˈado
arak	ʔˈaɾak
aramang	ʔaɾamˈaŋ
aramid	ʔaɾˈamid
arban	ʔaɾbˈan
arbis	ʔaɾbˈis
arem	ʔˈaɾɛm
ari	ʔˈaɾi
ariek	ʔaɾjˈɛk
arimadeng	ʔaɾimadˈɛŋ
arimokamok	ʔaɾimokˈamok
aring-ing	ʔaɾiŋʔˈiŋ
aringay	ʔaɾiŋɡˈaj
ariring	ʔaɾˈiɾiŋ
aririt	ʔaɾiɾˈit
ariwatang	ʔaɾiwˈataŋ
ariwekwek	ʔaɾiwɛkwˈɛk
arked	ʔaɾkˈɛd
arko	ʔˈaɾko
arnged	ʔaɾŋˈɛd
arod	ʔˈaɾod
aroo	ʔaɾoʔˈo
aros	ʔˈaɾus
arsobispo	ʔaɾsobˈispo
artem	ʔaɾtˈɛm
arusadanan	ʔaɾusadˈanan
asang	ʔˈasaŋ
asar	ʔˈasaɾ
asawa	ʔasˈawa
asep	ʔasˈɛp
asi	ʔˈasi
asin	ʔasˈin
asing	ʔˈasiŋ
aso	ʔˈaso
asok	ʔasˈok
aspili	ʔaspilˈi
asping	ʔaspˈiŋ
asug	ʔˈasuɡ
atab	ʔatˈab
atap	ʔˈatap
atep	ʔatˈɛp
atio	ʔˈatjo
atis	ʔˈatis
atok	ʔˈatok
atsuete	at͡ʃˈuɛtɛ
awag	ʔˈawaɡ
awan	ʔawˈan
awar	ʔˈawaɾ
ayat	ʔajˈat
ayaten	ʔajˈatɛn
ayoan	ʔajˈoʔan
ayup	ʔˈajup
azurin	ʔasuɾˈin
baag	baʔˈaɡ
baak	baʔˈak
baaw	bˈaʔaw
baba	babˈa
babai	babˈaʔi
babawi	babˈawi
badang	bˈadaŋ
bado	bˈado
baen	baʔˈɛn
baetan	baˈɛtan
bagaoisan	baɡawˈisan
bagas	baɡˈas
bagay	bˈaɡaj
bagi	bˈaɡi
bagida	bˈaɡida
bagik	bˈaɡik
bagim	bˈaɡim
bagimi	bˈaɡimi
bagina	bˈaɡina
bagis	bˈaɡɛs
bagita	bˈaɡita
bagitayo	bˈaɡitajo
bagius	baɡjˈus
bagiyo	bˈaɡijo
bagkong	baɡkˈoŋ
baguio	baɡjˈo
bagyo	baɡjˈo
bain	baʔˈin
baka	bˈaka
bakag	bakˈaɡ
bakakeng	bakˈakɛŋ
bakal	bˈakal
bakia	bakjˈa
bakir	bˈakiɾ
baknang	baknˈaŋ
bakud	bˈakud
bakun	bˈakun
bakuna	bakˈuna
bakwit	bakwˈit
balang	bˈalaŋ
balaniog	balanjˈoɡ
balasang	balˈasaŋ
balatong	balˈatoŋ
balaw	balˈaw
balay	balˈaj
balbalay	balbalˈaj
bales	bˈalɛs
balete	balˈɛtɛ
baliad	baljˈad
balibad	balˈibad
baligawgaw	baliɡauɡˈau
balik	balˈik
balikas	balikˈas
balinghoy	baliŋhˈoj
balla	ballˈa
balligi	ballˈiɡi
balo	bˈalo
balon	bˈalun
banag	bˈanaɡ
banaoang	banˈawaŋ
banat	bˈanat
bandera	bandˈɛɾa
bandus	bandˈus
bangag	bˈaŋaɡ
bangar	baŋˈaɾ
bangir	bˈaŋiɾ
bangka	bˈaŋka
bangkay	baŋkˈaj
bangking	baŋkˈiŋ
banglo	baŋlˈo
bangued	baŋɡˈɛd
baniaga	banjˈaɡa
banias	banjˈas
bannawag	bannˈawaɡ
bannug	bannˈuɡ
bantay	bantˈaj
bantayan	bantˈajan
bao	baʔˈu
bao-angan	bawʔˈaŋan
baon	baˈun
baot	bˈaʔut
bapa	bˈapa
