敵わな	かなわな
か弱い	かよわい
か弱く	かよわく
か弱か	かよわか
か弱け	かよわけ
擽った	くすぐった
擽ら	くすぐら
擽り	くすぐり
擽る	くすぐる
擽れ	くすぐれ
擽ろ	くすぐろ
擽っ	くすぐっ
草臥れ	くたびれ
くっ付か	くっつか
くっ付き	くっつき
くっ付く	くっつく
くっ付け	くっつけ
くっ付こ	くっつこ
くっ付い	くっつい
拘ら	こだわら
拘り	こだわり
拘る	こだわる
拘れ	こだわれ
拘ろ	こだわろ
拘っ	こだわっ
執拗い	しつこい
執拗く	しつこく
執拗か	しつこか
執拗け	しつこけ
だらし無い	だらしない
だらし無く	だらしなく
だらし無か	だらしなか
だらし無け	だらしなけ
怠い	だるい
怠く	だるく
怠か	だるか
怠け	だるけ
詰らな	つまらな
とんでも無い	とんでもない
とんでも無く	とんでもなく
とんでも無か	とんでもなか
とんでも無け	とんでもなけ
蔓延ら	はびこら
蔓延り	はびこり
蔓延る	はびこる
蔓延れ	はびこれ
蔓延ろ	はびころ
蔓延っ	はびこっ
吹っ切れ	ふっきれ
ぶら下がら	ぶらさがら
ぶら下がり	ぶらさがり
ぶら下がる	ぶらさがる
ぶら下がれ	ぶらさがれ
ぶら下がろ	ぶらさがろ
ぶら下がっ	ぶらさがっ
ぶら下げ	ぶらさげ
藻掻か	もがか
藻掻き	もがき
藻掻く	もがく
藻掻け	もがけ
藻掻こ	もがこ
藻掻い	もがい
遣ら	やら
遣り	やり
遣る	やる
遣れ	やれ
遣ろ	やろ
遣っ	やっ
寄越さ	よこさ
寄越し	よこし
寄越す	よこす
寄越せ	よこせ
寄越そ	よこそ
蹌踉めか	よろめか
蹌踉めき	よろめき
蹌踉めく	よろめく
蹌踉めけ	よろめけ
蹌踉めこ	よろめこ
蹌踉めい	よろめい
哀れま	あわれま
哀れみ	あわれみ
哀れむ	あわれむ
哀れめ	あわれめ
哀れも	あわれも
哀れん	あわれん
愛し	いとし
悪い	わるい
悪く	わるく
悪か	わるか
悪け	わるけ
悪賢い	わるがしこい
悪賢く	わるがしこく
悪賢か	わるがしこか
悪賢け	わるがしこけ
握らさ	にぎらさ
握らし	にぎらし
握らす	にぎらす
握らせ	にぎらせ
握らそ	にぎらそ
握り締め	にぎりしめ
握ら	にぎら
握り	にぎり
握る	にぎる
握れ	にぎれ
握ろ	にぎろ
握っ	にぎっ
扱わ	あつかわ
扱い	あつかい
扱う	あつかう
扱え	あつかえ
扱お	あつかお
扱っ	あつかっ
安い	やすい
安く	やすく
安か	やすか
安け	やすけ
安っぽ	やすっぽ
暗い	くらい
暗く	くらく
暗か	くらか
暗け	くらけ
偉い	えらい
偉く	えらく
偉か	えらか
偉け	えらけ
囲わ	かこわ
囲い	かこい
囲う	かこう
囲え	かこえ
囲お	かこお
囲っ	かこっ
囲ま	かこま
囲み	かこみ
囲む	かこむ
囲め	かこめ
囲も	かこも
囲ん	かこん
委ね	ゆだね
威張ら	いばら
威張り	いばり
威張る	いばる
威張れ	いばれ
威張ろ	いばろ
威張っ	いばっ
意気込ま	いきごま
意気込み	いきごみ
意気込む	いきごむ
意気込め	いきごめ
意気込も	いきごも
意気込ん	いきごん
慰め	なぐさめ
易い	やすい
易く	やすく
易か	やすか
易け	やすけ
易し	やさし
し過ぎ	しすぎ
し続け	しつづけ
異なら	ことなら
異なり	ことなり
異なる	ことなる
異なれ	ことなれ
異なろ	ことなろ
異なっ	ことなっ
移さ	うつさ
移し	うつし
移す	うつす
移せ	うつせ
移そ	うつそ
移ら	うつら
移り	うつり
移る	うつる
移れ	うつれ
移ろ	うつろ
移っ	うつっ
萎え	なえ
萎れ	しおれ
違わ	ちがわ
違い	ちがい
違う	ちがう
違え	ちがえ
違お	ちがお
違っ	ちがっ
育た	そだた
育ち	そだち
育つ	そだつ
育て	そだて
育と	そだと
育っ	そだっ
育て上げ	そだてあげ
溢れ	あふれ
逸らさ	そらさ
逸らし	そらし
逸らす	そらす
逸らせ	そらせ
逸らそ	そらそ
依ら	よら
依り	より
依る	よる
依れ	よれ
依ろ	よろ
依っ	よっ
惹かれ	ひかれ
引き下がら	ひきさがら
