㔢	t͡ɕyəʔ²
㔢死赶活	t͡ɕyəʔ² sz̩⁵³ kæ̃⁵³⁻¹¹ xuaʔ⁵⁴
㔢死趕活	t͡ɕyəʔ² sz̩⁵³ kæ̃⁵³⁻¹¹ xuaʔ⁵⁴
㔢气马爬	t͡ɕyəʔ² t͡ɕʰi⁴⁵ ma⁵³ pʰa¹¹
㔢氣馬爬	t͡ɕyəʔ² t͡ɕʰi⁴⁵ ma⁵³ pʰa¹¹
㞎㞎	pa⁵³ pa⁵³⁻¹¹
㞗	t͡ɕʰiəu¹¹
㞘	tuəʔ²
㞘子	tuəʔ² t͡səʔ³
㧟	kʰuai⁵³
一	iəʔ²
一共	iəʔ² kuŋ⁴⁵
一千	iəʔ²⁻⁵⁴ t͡ɕʰie¹¹
一号	iəʔ² xau⁴⁵
一天到晚	iəʔ²⁻⁵⁴ tʰie¹¹ tau⁴⁵ væ̃⁵³
一搭	iəʔ²⁻⁵⁴ taʔ²
一次	iəʔ² t͡sʰz̩⁴⁵
一百	iəʔ²⁻⁴⁵ pai⁵³
一脚踹	iəʔ²⁻⁵⁴ t͡ɕyəʔ² t͡sʰuai⁴⁵
一腳踹	iəʔ²⁻⁵⁴ t͡ɕyəʔ² t͡sʰuai⁴⁵
一號	iəʔ² xau⁴⁵
一輩子	iəʔ² pei⁴⁵ t͡səʔ⁴
一辈子	iəʔ² pei⁴⁵ t͡səʔ⁴
一黑夜	iəʔ² xəʔ² ie⁴⁵
丁	tiŋ¹¹
七	t͡ɕʰiəʔ²
七月七	t͡ɕʰiəʔ²⁻⁵⁴ yəʔ² t͡ɕʰiəʔ²
七月十五	t͡ɕʰiəʔ²⁻⁵⁴ yəʔ² səʔ⁵⁴⁻² vu⁵³
七窍	t͡ɕʰiəʔ² t͡ɕʰiau⁴⁵
七竅	t͡ɕʰiəʔ² t͡ɕʰiau⁴⁵
万	væ̃⁴⁵
万一	væ̃⁴⁵ iəʔ²
丈	t͡sɒ̃⁴⁵
丈人	t͡sɒ̃⁴⁵ ʐəŋ¹¹
丈母娘	t͡sɒ̃⁴⁵ mu⁵³ niɒ̃¹¹
三	sæ̃¹¹
三心二意	sæ̃¹¹ ɕiŋ¹¹ əɻ⁴⁵ i⁴⁵
三拇指头	sæ̃¹¹ məʔ² t͡səʔ² tʰəu⁴⁵
三拇指頭	sæ̃¹¹ məʔ² t͡səʔ² tʰəu⁴⁵
三番两次	sæ̃¹¹ fæ̃¹¹ liɒ̃⁵³ t͡sʰz̩⁴⁵
三番五次	sæ̃¹¹ fæ̃¹¹ vu⁵³ t͡sʰz̩⁴⁵
三番兩次	sæ̃¹¹ fæ̃¹¹ liɒ̃⁵³ t͡sʰz̩⁴⁵
三言两语	sæ̃¹¹ ie¹¹ liɒ̃⁵³⁻¹¹ y⁵³
三言兩語	sæ̃¹¹ ie¹¹ liɒ̃⁵³⁻¹¹ y⁵³
上	sɒ̃⁴⁵
上下	sɒ̃⁴⁵ ɕia⁴⁵
上來	sɒ̃⁴⁵ lai⁵³
上午	sɒ̃⁴⁵ vu⁵³
上半年	sɒ̃⁴⁵ pæ̃⁴⁵ nie¹¹
上吊	sɒ̃⁴⁵ tiau⁴⁵
上坟	sɒ̃⁴⁵ fəŋ¹¹
上墳	sɒ̃⁴⁵ fəŋ¹¹
上头	sɒ̃⁴⁵ tʰəu⁵³
上学	sɒ̃⁴⁵ ɕyəʔ⁵⁴
上學	sɒ̃⁴⁵ ɕyəʔ⁵⁴
上当	sɒ̃⁴⁵ tɒ̃⁴⁵
上来	sɒ̃⁴⁵ lai⁵³
上海	sɒ̃⁴⁵ xai⁵³
上火	sɒ̃⁴⁵ xuɤ⁵³
上當	sɒ̃⁴⁵ tɒ̃⁴⁵
上粪	sɒ̃⁴⁵ fəŋ¹¹
上糞	sɒ̃⁴⁵ fəŋ¹¹
上联	sɒ̃⁴⁵ lye¹¹
