jeg	ˈjæɪ
det	ˈdeː
er	ˈæːɾ
du	ˈdʉː
ikke	ˈɪkə
en	ˈeːn
og	ˈoːɡ
i	ˈiː
har	ˈhɑːɾ
vi	ˈʋiː
på	ˈpoː
å	ˈoː
til	ˈtɪl
deg	ˈdæɪ
med	ˈmeː
meg	ˈmæɪ
han	ˈhɑn
for	ˈfɔɾ
hva	ˈʋɑː
som	ˈsɔm
at	ˈɑt
så	ˈsoː
kan	ˈkɑn
de	ˈdiː
den	ˈdɛn
var	ˈʋɑːɾ
vil	ˈʋɪl
om	ˈɔm
av	ˈɑːʋ
men	ˈmɛn
skal	ˈskɑl
et	ˈɛt
ja	ˈjɑː
her	ˈhæːɾ
hun	ˈhʊn
bare	ˈbɑːɾə
dette	ˈdɛtə
dere	ˈdeːɾə
må	ˈmoː
noe	ˈnuːə
nei	ˈnæɪ
vet	ˈʋeːt
nå	ˈnoː
ham	ˈhɑm
min	ˈmɪn
ut	ˈʉːt
kom	ˈkɔm
da	ˈdɑː
din	ˈdɪn
oss	ˈɔs
ha	ˈhɑː
gjør	ˈjøːɾ
hvor	ˈʋʊɾ
fra	ˈfɾɑː
være	ˈʋæːɾə
noen	ˈnuːən
der	ˈdæːɾ
dem	ˈdɛm
igjen	ɪˈjɛn
se	ˈseː
ta	ˈtɑː
ville	ˈʋɪlə
kommer	ˈkɔməɾ
alle	ˈɑlə
går	ˈɡoːɾ
alt	ˈɑlt
tror	ˈtɾuːɾ
hvorfor	ˈʋʊɾfɔɾ
hvordan	ˈʋʊɖɑn
få	ˈfoː
gjøre	ˈjøːɾə
hvis	ˈʋɪs
opp	ˈɔp
seg	ˈsæɪ
ingen	ˈɪŋən
hadde	ˈhɑdə
sa	ˈsɑː
bra	ˈbɾɑː
henne	ˈhɛnə
får	ˈfoːɾ
når	ˈnɔɾ
blir	ˈbliːɾ
takk	ˈtɑk
gå	ˈɡoː
eller	ˈɛləɾ
bli	ˈbliː
si	ˈsiː
ser	ˈɛsəɾ
hvem	ˈʋɛm
la	ˈlɑː
hei	ˈhæɪ
litt	ˈlɪt
inn	ˈɪn
etter	ˈɛtəɾ
ble	ˈbleː
denne	ˈdɛnə
kanskje	ˈkɑnʃə
tilbake	tɪlˈbɑːkə
aldri	ˈɑldɾɪ
vel	ˈʋɛl
ok	ˈuːˈkoː
skulle	ˈskʊlə
jo	ˈjuː
trenger	ˈtɾɛŋəɾ
to	ˈtuː
sier	ˈsiːəɾ
kunne	ˈkʊnə
vært	ˈʋæʈ
mer	ˈmeːɾ
også	ˈɔɡˌsoː
før	ˈføːɾ
over	ˈoːʋəɾ
man	ˈmɑn
tar	ˈtɑːɾ
mye	ˈmyːə
selv	ˈsɛl
god	ˈɡuː
gi	ˈjiː
nok	ˈnɔk
mitt	ˈmɪt
hans	ˈhɑns
sammen	ˈsɑmən
gjorde	ˈjuːɾə
dag	ˈdɑːɡ
enn	ˈɛn
gang	ˈɡɑŋ
andre	ˈɑndɾə
vær	ˈʋæːɾ
fikk	ˈfɪk
ned	ˈnɛd
sett	ˈsɛt
mine	ˈmiːnə
greit	ˈɡɾæɪt
siden	ˈsiːdn
ditt	ˈdɪt
helt	ˈhɛlt
mot	ˈmuːt
år	ˈoːɾ
faen	ˈfɑːn
hele	ˈheːlə
deres	ˈdeːɾəs
snakke	ˈsnɑkə
komme	ˈkɔmə
godt	ˈɡɔt
ved	ˈʋeː
fordi	fɔˈɖiː
gjort	ˈjʊʈ
dra	ˈdɾɑː
rett	ˈɾɛt
liker	ˈliːkəɾ
mann	ˈmɑn
folk	ˈfɔlk
alltid	ˈɑltɪd
mener	ˈmeːnəɾ
mange	ˈmɑŋə
dine	ˈdiːnə
sånn	ˈsɔn
sant	ˈsɑnt
ting	ˈtɪŋ
tok	ˈtuːk
vent	ˈʋɛnt
vår	ˈʋoːɾ
hjem	ˈjɛm
tre	ˈtɾeː
finne	ˈfɪnə
unnskyld	ˈʊnˌʃʏl
beklager	bəˈklɑːɡəɾ
veldig	ˈʋɛldɪ
hold	ˈhɔl
burde	ˈbʊɖə
tid	ˈtiːd
