آئي	aːiː
آئينو	aːiːnoː
آئيويٽا	aːiːʋeːʈaː
آئٺو	aːɪʈʰoː
آئٽڻ	aːʊʈəɳʊ
آئڙڻ	aːʊɽəɳʊ
آب	aːbʊ
آبائتو	aːbaːɪt̪oː
آباد	aːbaːd̪ʊ
آبادي	aːbaːd̪iː
آباسي	aːbaːsiː
آبخورو	aːbxoːɾoː
آبشار	aːbʃaːɾə
آبشارَ	aːbəʃaːɾə
آبنوس	aːbnuːsʊ
آبي	aːbiː
آت	aːt̪ʊ
آتارڻ	aːt̪aːɾəɳʊ
آتسباجي	aːt̪əsbaːd͡ʒiː
آتو	aːt̪oː
آتڻ	aːt̪əɳʊ
آج	aːd͡ʒʊ
آجار	aːd͡ʒaːɾʊ
آجارائي	aːd͡ʒaːɾəiː
آجاري	aːd͡ʒaːɾiː
آجج	aːd͡ʒʊd͡ʒʊ
آجو	aːd͡ʒoː
آجيگر	aːd͡ʒiːɡəɾʊ
آجڪو	aːd͡ʒɪkoː
آد	aːd̪ɪ
آدئو	aːd̪əuː
آداب	aːd̪aːbʊ
آدر	aːd̪əɾʊ
آدمي	aːd̪əmiː
آدي	aːd̪iː
آر	aːɾə
آراستو	aːɾaːst̪oː
آرام	aːɾaːmʊ
آرامي	aːɾaːmiː
آرانڀو	aːɾaːmbʰoː
آراڌڻ	aːɾaːd̪ʰəɳʊ
آراڙو	aːɾaːɽoː
آرتي	aːɾət̪iː
آرجا	aːɾd͡ʒaː
آرس	aːɾɪsʊ
آرسائتو	aːɾɪsaːɪt̪oː
آرسائڻ	aːɾsaːɪɳʊ
آرسي	aːɾsiː
آرنڀ	aːɾəmbʰʊ
آرنڀڻ	aːɾəmbʰəɳʊ
آرو	aːɾoː
آروبلو	aːɾoːbəloː
آروپار	aːɾoːpaːɾɪ
آروڙو	aːɾoːɽoː
آروڙڻ	aːɾoːɽəɳʊ
آريٺو	aːɾiːʈʰoː
آرپار	aːɾpaːɾɪ
آرڪم	aːɾkəmʊ
آزاد	aːzaːd̪ʊ
آزمائڻ	aːzmaːɪɳʊ
آزمدو	aːzmʊd̪oː
آس	aːsə
آسا	aːsaː
آسائتو	aːsaːɪt̪oː
آسائو	aːsaːuː
آسات	aːsət̪ɪ
آسامي	aːsaːmiː
آساپري	aːsaːpʊɾiː
آستين	aːst̪iːnə
آسر	aːsəɾə
آسرو	aːsɪɾoː
آسمان	aːsmaːnʊ
آسماني	aːsmaːniː
آسودو	aːsuːd̪oː
آسيس	aːsiːsə
آسٿانو	aːst̪ʰaːnoː
آسگنڌ	aːsɡənd̪ʰʊ
آسڻ	aːsəɳʊ
آفيس	aːfiːs
آفيم	aːfiːmʊ
آفيمي	aːfiːmiː
آل	aːlə
آلائڻ	aːlaːɪɳʊ
آلاپ	aːlaːpʊ
آلاپڻ	aːlaːpəɳʊ
آلس	aːlɪsʊ
آلسائتو	aːlɪsaːɪt̪oː
آلسائڻ	aːlɪsaːɪɳʊ
آلسي	aːlɪsiː
آلسيپنڙو	aːlɪsiːpɪɳɽoː
آلو	aːloː
آلوڀولو	aːloːbʰoːloː
آلڙ	aːlʊɽʊ
آلڙڻ	aːlʊɽəɳʊ
آماس	aːmaːsʊ
آماسجڻ	aːmaːsɪd͡ʒəɳʊ
آمو	aːmoː
آمي	aːmiː
آمڙي	aːmɪɽiː
آمڻ	aːmɪɳʊ
آنر	aːnɪɾʊ
آنندي	aːnənd̪iː
آنو	aːnoː
آنورو	aːnuːɾoː
آني	aːniː
آنٽ	aːɳʈə
آنٽو	aːɳʈoː
آنچي	aːɲt͡ʃiː
آنچيڦول	aːɲt͡ʃiːpʰuːlə
آنڊو	aːɳɖoː
آنڌارو	aːnd̪ʰaːɾoː
آنڌاري	aːnd̪ʰaːɾiː
آنڪ	aːŋkə
آنڪار	aːŋkaːɾə
آنڪارڻ	aːŋkaːɾəɳʊ
آنڪر	aːŋkəɾə
آنگاس	aːŋɡaːsʊ
آنگاسي	aːŋɡaːsiː
آها	aːhaː
آهت	aːhət̪ʊ
آهتي	aːhət̪iː
آهر	aːhəɾə
آهري	aːhɪɾiː
آهرڻ	aːhəɾəɳʊ
آهه	aːhə
آهو	aːhuː
آهوئي	aːhoːiː
