# Sawndip glyph → Standard-Zhuang reading (Latin). Built by tools/zhuang-sawndip/build-sawndip.ts from the
# kaikki Zhuang extract. Polyphonic glyphs use a most-common default (most senses); routed through the za engine.
〇	lingz
㐲	da
㐵	hawq
㐸	ged
㐻	nax
㐿	fwngz
㑂	bing
㑚	nax
㑝	lungz
㑣	lumj
㕤	gou
㕶	aj
㕷	bak
㖇	lawz
㖒	gyaeq
㖟	couh
㖦	dongx
㗕	gangj
㗢	doengh
㗩	cup
㘨	ndoi
㜆	meh
㜖	sau
㜥	maiq
㝵	daeg
㟖	rungh
㡾	haenz
㤖	ningq
㤙	aen
㥍	gik
㥛	gik
㧅	mid
㧚	vax
㧫	lawh
㧹	daek
㧾	vut
㩏	moeb
㩐	raemj
㩙	sai
㪷	gyaeuj
㫖	gwnz
㫨	ngoenz
㬈	ninz
㬴	gumq
㭑	faex
㮽	mbonq
㲴	heiq
㲺	cit
㲽	saenz
㳍	mboq
㳏	saw
㳠	dah
㵋	myaiz
㶬	maet
㷲	coemh
㷵	ndaep
㹴	gaeng
㹹	gaeng
㹽	cenh
㿍	naiq
䀓	ndaem
䂝	rin
䂩	rin
䅭	beng
䆀	ndaem
䊈	meiq
䋏	cag
䋠	buh
䌇	cag
䎙	mbin
䏕	imq
䏟	biz
䏢	biz
䏧	noh
䏩	hoz
䐏	cieng
䒟	ranz
䒡	hing
䒵	hau
䕃	aemq
䖩	bid
䗂	guk
䙀	baengz
䚸	gaej
䛲	mieng
䝬	cawx
䟓	din
䟔	baeu
䟹	baeu
䠄	din
䠊	byaij
䡜	loek
䢏	daeuj
䢙	bae
䣂	lawz
䤣	fuj
䦦	imq
䧟	haemz
䭾	ma
䰾	bya
䱉	gvej
䱋	gungq
䲸	gaeq
䴃	yiuh
䶸	aux
一	hix
丁	din
丄	gwnz
丅	laj
下	yah
不	mbouj
丕	bae
丙	bingj
丧	sang
个	guh
中	cungq
串	congh
主	cawj
乃	naiq
久	gyaeuj
么	ma
乍	cax
乐	rox
乔	giuh
乙	iet
乜	maet
九	gyaeuj
乞	haet
了	ndeu
二	ngeih
云	vunz
五	haj
井	cingj
亘	gangj
亟	gik
交	gyau
亥	hai
亦	hix
亷	liemz
仂	lwg
仃	daengz
仆	boh
仇	couh
介	gaiq
仔	sai
他	da
仛	doj
仝	doengz
仡	haet
代	daiq
令	linx
以	hix
仦	neux
仨	cam
仪	ngeix
仫	moq
仲	cungq
仳	beix
份	faenh
仿	fangz
伓	boux
伕	boux
伖	youx
众	gyoengq
伝	vunz
伢	Yaej
伩	din
伷	youx
伺	saeq
伻	biengz
佅	moiz
佈	boh
佊	beix
位	gyaeuj
低	ndei
何	hoz
佚	de
佛	baed
作	soh
你	neix
佬	laux
佲	mwngz
佺	cienz
使	sij
侁	fangz
侅	ae
來	lai
侕	lawz
供	gungx
依	iq
侣	lawz
侩	vunz
侬	nuengx
侮	moiz
俌	boux
俏	sau
俐	lij
保	mbouj
俪	ndei
修	sou
俵	biuj
倀	cangz
倌	Gun
倫	raen
倱	vunz
倸	sai
偉	viz
偘	daemq
偲	sai
偶	ngaeuz
偷	dou
偻	raeuz
傃	soh
傍	biengz
傲	au
傾	gingj
僂	raeuz
僓	bengz
僜	daemq
僯	lumj
儂	nuengx
儉	gemh
儱	lungz
兀	ek
公	goeng
六	loek
兰	ranz
共	gangj
其	gyaez
内	neix
冇	mbouj
冐	mauh
冗	caem
农	nuengx
冲	congh
况	luengq
凌	nding
减	gemj
凟	nduk
几	gij
凢	fangz
凷	gumz
凸	doed
凹	gumz
刁	ndeu
刄	cienz
分	baenz
则	caeg
刚	gangj
初	coh
利	rwz
刮	gvak
刵	gvej
刹	gaj
則	saek
剥	bag
力	lij
加	gaj
助	soh
勒	lwg
動	doengh
勤	gwnz
勾	gou
勿	fwed
化	vah
北	bak
十	cib
卒	caeg
南	namh
卜	boh
卟	boux
卡	gaj
卦	gvaq
卩	boux
厚	haeux
去	hawq
厾	mbin
友	youx
双	song
受	couh
叟	sou
古	go
句	gou
只	cij
叭	bat
可	gaj
台	dai
右	yaeuj
司	saeq
叻	lwg
吃	haet
各	gag
吆	moq
吉	gik
吊	ndeu
同	doengh
名	mwngz
后	haeux
吓	caz
吔	hix
吕	lawz
吖	aj
吗	maz
吜	naeuz
吝	ningq
吤	gaiq
否	mbouj
吧	bak
吩	fwen
吪	raq
启	gij
吽	naeuz
呅	baenz
呆	ngaiz
呇	mboq
呈	cingz
呐	noix
呠	mbonq
呤	linx
呦	youq
呫	cienh
呯	bengz
味	feih
呴	coenz
呵	aj
呶	naeuz
呺	heuh
呿	hawq
咄	cit
咕	goj
咘	mboq
咙	rongx
咛	ningq
咟	bak
咧	naeuz
咰	coenz
咵	gvaq
咹	aen
咺	haemz
品	bwn
哂	sae
哃	gyoengq
哄	gungx
哆	da
哉	sai
哎	ae
哏	gwn
哑	aj
哖	ninz
哘	hangz
哜	gyae
哣	raeuq
哪	nax
哫	cup
哭	guh
哺	boux
哽	gwn
唅	hamz
唆	sou
唎	reih
唐	dangz
唡	rengx
啃	gwn
啉	lumz
啌	hong
啐	sik
啖	duemh
啡	feih
啦	raq
啨	heuj
啰	ra
喇	laj
喏	rox
喑	imq
喔	ok
喼	goep
喽	naeuz
嗄	raq
嗏	caz
嗐	haih
嗙	biengz
嗬	o
嗵	dongx
嗷	au
嗼	moq
嘔	aeu
嘘	hawq
嘚	daek
嘟	duz
嘡	dongh
嘪	maiq
嘭	bengz
嘵	heuh
嘿	ndaep
噂	son
噇	dongx
噉	gamj
噢	aux
噫	iq
噻	saek
嚕	rox
嚟	raez
囚	gyan
回	hoiz
因	aen
团	duenz
园	ruenz
图	duz
土	doq
圡	doj
圤	bo
在	caiq
地	deih
圿	gaiq
坂	mbanj
坉	doem
坛	daemz
坟	faenz
坡	bo
坤	roen
坵	you
坽	lingq
坾	ndaem
垌	doengh
垎	loh
垑	doj
垚	doem
垛	doj
垜	duh
垟	ciengz
垠	haenz
垣	haenz
垬	gungx
垷	gemh
埃	ngaiz
埬	dongh
堆	ndoi
堕	doek
塇	suen
塝	mieng
塳	gumz
塻	moh
墑	dieg
墓	moq
墘	gemh
墪	doem
墰	daemz
壬	nyaemz
夕	sik
夠	gaeu
夤	ywnz
大	da
太	daiq
夫	fouj
夭	heu
头	dou
奈	naiq
奚	gyae
奥	aeu
奧	au
奴	noh
她	da
如	hix
妑	baj
妖	dah
妸	a
姆	meh
姓	nuengx
娋	sau
娜	nax
娝	mbwk
媄	ndei
嬻	maiq
字	saw
孙	saemq
孟	mwngz
孨	byaij
孫	suen
孬	yaez
安	aen
宏	hung
宣	son
宾	baenz
寅	saenz
富	fouj
審	soemj
寬	fwen
尔	lawz
尞	ndeu
尤	couh
就	couh
尼	neix
居	gawq
屋	ok
屏	bingz
岑	gumz
岜	bya
岳	doek
岽	ndoeng
峝	doengh
峴	gemh
崠	ndoeng
崩	baengz
崬	ndoeng
嶮	gemh
己	geij
巴	baj
巾	gwn
布	boux
师	sai
帋	ceij
帒	daiq
帝	ndaej
帳	cangz
常	cangz
幼	youq
庅	ma
床	congz
庚	geng
府	fouj
度	duz
庲	ma
康	gangj
廸	dwk
开	gai
弄	luengq
弓	gungx
张	cieng
彩	sai
彭	bengz
彼	beix
往	nuengx
待	daih
很	hwnj
徒	duz
得	doek
微	feiz
德	saek
忐	gwnz
忑	laj
忥	heiq
快	gvai
忻	hwnj
忽	vut
怉	baeu
怕	bag
总	cungq
恄	gik
恒	hwnj
恨	haenz
恩	aen
息	sik
恳	hwnj
恶	ok
悔	hoiq
悶	maenz
惀	lumz
情	cingz
愾	heiq
慌	hong
慕	moq
慮	lawh
憶	aek
戈	gou
戊	fouh
戒	gaiq
戾	ndaej
所	soh
扒	bag
打	daj
托	doq
扢	haet
扣	gaeu
执	ndaem
扳	mbanj
扶	boh
批	bae
找	cauj
抆	faenz
把	baz
抙	fwngz
护	lawz
抦	beng
抧	cij
抻	saenz
抾	fat
拉	ra
拍	bak
拔	bat
拜	baih
拞	yaeuj
拸	doq
拼	beng
挂	gvaq
指	cij
挭	aemq
挽	mbanj
捆	hoenx
捠	beng
捩	ndaej
捪	hoenx
捹	byoengq
掁	ciengh
掍	hoenx
排	baih
控	hong
措	sik
提	dwg
揩	gaej
揾	hoenx
搐	cuk
搥	loih
摇	yiuh
摓	fwngz
摩	mwz
摳	aeu
摸	moq
撥	fwed
擂	loih
擏	gingq
擗	bag
擙	aeu
擴	gveng
攄	lawh
收	sou
改	gaiq
放	fangz
故	goj
敖	au
敗	baih
敢	gamj
数	sou
文	faenz
斈	hak
斌	vunz
斗	daeuj
斫	rin
日	hix
旬	coenz
昋	ngoenz
昔	sik
昙	ngoenz
昧	meiq
昽	rongh
晃	rongh
晄	rongh
晋	raeuz
晏	ngoenz
晚	mbanj
暮	moq
曪	lab
朒	noh
朖	ndang
朗	ndang
木	moeb
未	feih
朳	bat
朾	daengq
杀	cax
杜	dou
条	diuz
東	ndoeng
松	song
板	mbanj
极	gik
枆	bwn
枇	faex
林	lumj
枙	ek
枯	guh
架	gag
柈	mbonq
柊	dongh
某	mou
查	caz
柩	gouh
柫	faex
柮	nduk
柯	go
柱	cawx
柳	gyaeuj
栏	ranz
格	gag
桑	sang
桧	oij
桩	congz
桹	diengz
梇	nduk
梈	heng
梡	suen
梨	raez
梪	daeuq
梶	faex
棐	faex
棑	faex
椚	mbonq
椛	va
楂	caz
楦	suen
楷	gyoij
榃	daemz
榜	biengz
榢	gyaq
模	mak
橦	ndoeng
檂	ndoeng
檑	lawz
檒	rumz
櫳	loengx
欢	fwen
欣	raen
歌	fwen
歐	aeu
歡	fwen
止	cij
正	cieng
歪	faiq
歲	saeq
歹	dai
殆	dai
殭	geng
民	maenz
気	heiq
氪	gaek
氿	laeuj
汏	dah
汒	mieng
江	gangj
汫	cingj
汭	nae
汼	ngaeuz
汾	fwn
沃	ok
沋	youz
沌	daemz
沥	lwed
沨	rumz
沪	ruz
沸	fai
沽	gyu
泏	cit
法	fangz
泞	ndaengq
泩	soemj
洛	loq
洣	mok
洪	hung
洫	lwed
洸	romh
洺	mieng
洽	raq
派	byaij
浉	sai
浗	gyu
浞	nduk
浢	daeuh
浬	rij
浰	rij
海	hai
涻	ceh
淋	lumj
淐	gyau
淥	lueg
淩	raengz
淰	raemx
淶	raiq
渄	fai
測	saek
港	gangj
湃	fai
湊	caeuq
湳	ndaem
溇	laeuj
溏	daemz
溺	ngieg
滂	mieng
滕	daengz
漠	mok
漭	mieng
潧	raengz
潭	daemz
澳	aeu
瀋	soemj
瀞	cengh
瀬	raiq
灰	hoiq
炁	heiq
炓	daeuh
炥	feiz
炩	ndaep
炪	cit
炷	cawj
点	diemj
烙	ndat
焛	nding
煰	coemh
燖	coemh
燵	ndat
爹	de
牰	ngaeuz
特	dwg
犩	vaiz
犳	beuq
犸	ma
犾	raeuq
狃	nou
狍	beuq
狑	linh
狢	guk
独	duz
狳	cwz
獁	ma
獏	moz
獜	linh
王	vuengz
玖	gyaeuj
瓜	gva
甚	saemq
甫	boux
甬	doeng
甭	vut
由	lawz
甲	gyap
申	saen
界	gaiq
疓	naiq
疜	raq
痎	ae
痕	haenz
癸	gveiq
登	ndaeng
白	beg
的	dwk
皆	gai
皓	hau
皮	beix
皷	gyong
盃	boi
盆	baenz
盍	gaiq
盖	gaiq
盟	mieng
相	siengj
眆	fangz
眉	miz
眝	ninz
眠	ninz
眵	loq
睔	ninz
瞙	mok
石	sik
砙	vax
砛	rin
砟	sa
砩	boed
砰	bingz
砱	ndaengq
破	bag
硍	haenz
硧	doengj
碄	rin
碇	ndaengq
碍	ngaiz
碒	rin
磊	rin
磌	rin
磨	moz
磷	rin
礼	ndaej
社	cax
祖	couh
神	saenz
禮	lij
移	riz
穷	gyoengq
空	hung
突	doed
竜	lungz
竟	gingq
笈	gyaep
笠	doek
笨	bwn
笼	rongz
等	daengq
筘	gaeu
筛	sai
筤	rieng
箭	cenh
篤	doek
粉	faen
粒	ceh
粦	linh
糇	haeux
糢	mok
紌	rongz
素	soh
索	soh
累	ndaej
絈	baengz
給	gaej
絯	haiz
緦	sai
練	linx
繃	baengz
纳	nag
经	gingj
综	coeng
罗	rox
罡	gangj
罧	lumz
群	gwnz
羽	fwed
習	cup
老	laux
而	ra
耐	naiq
耕	gaeng
耗	hau
耢	rauq
耦	ngaeuz
耳	ngeix
聏	rwz
肐	hwet
肣	gumq
肥	feiz
肧	bwt
肫	daengz
肭	ndw
胇	baed
胎	dai
胚	biz
胡	hoz
胢	hoz
胩	ga
胬	noh
胴	dungx
胹	aek
胻	hangz
能	ninz
脌	ninz
脢	mbei
腊	lab
腛	uk
腮	sai
腾	daengz
膉	aek
膙	geng
臆	aek
舐	riz
舻	ruz
艅	ruz
艮	ngoenz
良	rengx
色	saek
艽	gaeu
艿	ndaij
芪	mbouj
芶	gaeu
芿	nyaengq
苏	sou
苒	ranz
苝	byaek
苟	gyaeuj
苠	maenz
苩	byaek
茏	ndoeng
茗	maenz
茶	caz
草	cauj
荳	duh
荷	o
莂	biek
莫	mok
菏	oij
萊	ndaij
萌	mwngz
萗	coeng
葶	diengz
蒙	mungz
蒮	gyoij
蕩	dangq
藏	cangz
藟	ndoi
虵	gvej
虽	saeq
蚅	ngwz
蚆	bya
蚓	ndwen
蚜	a
蚫	baeu
蛆	gvej
蛌	gvej
蛟	gyau
蛥	doq
蛲	nyauh
蛳	sae
蝈	goep
蝞	maet
蝫	gvej
蝰	gvej
蝳	nduk
蝻	nuem
蝾	nyungz
螝	gvej
螺	rwi
蟆	moed
行	hangz
衖	luengq
街	gai
裸	loq
西	sae
規	gvaeh
解	gaiq
訌	gangj
訰	coenz
許	hawj
訶	goj
詁	goj
該	gai
詷	dongx
誾	gangj
諃	lumz
講	gangj
譄	daengq
譐	son
讧	gangj
讲	gangj
询	coenz
请	cingj
谷	guk
豆	daeuh
貧	baenz
費	faex
賊	caeg
賒	saw
賢	henz
贝	bae
赫	hak
趟	dangq
趿	gyaep
跏	ga
跒	ok
跤	nyauj
路	loq
跿	byaij
蹺	nyauj
躴	ndang
躺	ndang
軍	Gun
軻	ga
輸	saw
辛	saen
辰	saenz
辳	ndoeng
迍	daemq
迓	raq
远	gyae
迼	gyae
追	gyae
适	swiz
逊	son
途	duz
逗	dawh
造	caux
逢	fwngz
逻	ra
逼	mbwk
遀	swiz
邁	maiq
那	naj
邱	gyaeuj
郝	hak
都	dou
酉	youx
酲	cingz
酶	meiq
里	lij
針	cim
鈇	fouj
鈲	gva
鈷	gu
鈸	bat
鈼	gvak
鉅	gawq
鉗	gamj
鉲	cax
銃	cungq
銜	hamz
錛	bwn
錢	cenh
鍅	faz
鎅	gaiq
鎈	cax
鐔	gumz
鐴	bag
针	caem
长	ciengz
門	mwngz
閑	henz
閒	henz
閧	gumz
门	maenz
闲	henz
防	fangz
阾	lingq
陇	rungh
陈	coenz
限	haenz
隆	lungz
隨	swiz
雙	song
雫	laj
雬	mok
雰	fwn
雷	lawz
露	loq
靘	heu
鞏	gyong
韦	viz
韮	giux
音	yaem
項	hangz
飪	imq
餀	ngaiz
饃	mok
馗	gyaeuj
香	rieng
馬	max
駡	ma
马	max
驮	dah
骨	guh
骼	ndok
骾	gangj
魂	roen
魩	fw
魮	fw
魯	rox
魻	gyaep
鮄	fw
鮅	fw
鮑	baeu
鯁	gangj
鯕	geiz
鱗	linh
鱙	nyauh
鳮	gij
鴁	yiuh
鴓	bit
鵦	roeg
鵶	a
麻	ma
黎	reih
黑	ndaem
黔	ndaem
黯	ndaem
鼕	gyong
龙	lungz
鿬	rin
𠀃	ningq
𠀱	-boux
𠁦	cungq
𠇑	boh
𠈅	sou
𠈵	lungz
𠉑	sou
𠉱	fangz
𠋦	moiz
𠌇	ndang
𠌧	nax
𠎊	saemq
𠒋	hung
𠚼	faenz
𠛈	fouj
𠛋	bag
𠛳	haih
𠠟	liemz
𠡏	lix
𠮟	cit
𠮩	ndeu
𠮵	cangz
𠮹	gyaez
𠮿	cam
𠯈	da
𠯘	fwen
𠯿	nduk
𠰢	mbonq
𠰷	lo
𠰺	yaez
𠱜	coenz
𠱴	cienz
𠱷	mwngz
𠱹	doq
𠱺	hamz
𠲅	saek
𠲔	cik
𠲖	iq
𠲡	heuj
𠲢	ndeu
𠲰	coenz
𠳀	dongx
𠳐	bengz
𠴌	bengz
𠴘	son
𠵫	angq
𠶛	gingj
𠶥	humz
𠷯	miz
𠸋	gu
𠸍	moq
𠸪	loq
𠸳	raeuq
𠹀	son
𠺢	gyaq
𠺣	bak
𠻗	riz
𠻞	gangj
𠼇	raeuq
𠼔	cangz
𠼯	hawj
𠼲	deih
𠾡	daengq
𠾦	beix
𡀂	raez
𡁮	ok
𡂷	fwen
𡃤	lai
𡆂	coenz
𡉁	ndoi
𡉫	doem
𡉿	moek
𡊉	moh
𡊜	guh
𡊡	you
𡊵	rin
𡋱	luengq
𡌅	baed
𡌈	naz
𡍀	fangz
𡍸	daemq
𡍹	baih
𡎎	haet
𡎜	namh
𡏋	bo
𡏯	baih
𡏷	daemq
𡗯	baenz
𡗶	gwnz
𡘙	hung
𡚦	ced
𡚭	baz
𡚻	dah
𡛀	youx
𡛕	daiq
𡛰	cij
𡟺	yah
𡠻	sau
𡥧	lai
𡧳	sai
𡨴	ningq
𡱍	haex
𡱏	haex
𡵟	bya
𡶪	gamj
𡸮	lueg
𡽗	gemh
𢆓	gumh
𢊬	lumj
𢖱	naiq
𢗨	raemx
𢘠	baeg
𢘣	baeg
𢛓	lumz
𢛳	dwk
𢜩	hamz
𢝧	hwnj
𢟋	gyaez
𢟎	doek
𢠼	maiq
𢩪	riuj
𢩹	ha
𢪖	fwngz
𢪘	fwngz
𢪝	beng
𢪱	vut
𢫈	guh
𢫗	bag
𢫝	gingq
𢫣	baek
𢫦	bag
𢫻	vut
𢬘	saek
𢯦	raiz
𢯩	saek
𢰽	gyaep
𢱋	doq
𢲑	riuj
𢴩	vut
𢵱	hai
𢵸	haet
𢶣	daep
𣆥	rongh
𣍨	ndw
𣍻	hoz
𣎚	hwet
𣏥	loek
𣐄	congz
𣐎	ek
𣐡	maenz
𣐳	sij
𣑶	faex
𣑻	ninz
𣔉	faex
𣕧	gyaq
𣖋	faiq
𣘁	go
𣘸	ndaem
𣚒	caz
𣚡	faex
𣛆	daengq
𣬞	bwn
𣭈	bit
𣭜	fwed
𣮡	bwn
𣮤	coeng
𣰨	bwn
𣱖	heiq
𣱛	heiq
𣲙	raemx
𣲣	ngieg
𣲩	bya
𣳓	raq
𣳢	fai
𣴃	haex
𣵡	hawq
𣶯	mieng
𣷹	dem
𣻳	gingj
𣼱	ngaeuz
𣼷	lwed
𤆤	coemh
𤆬	mauh
𤆵	feiz
𤇝	feiz
𤇥	ndat
𤇪	coemh
𤊥	nding
𤊧	cit
𤊬	feiz
𤌄	cawj
𤎶	feiz
𤘢	vaiz
𤘹	vaiz
𤙛	cwz
𤚉	cwz
𤜄	vaiz
𤜽	nag
𤝖	mou
𤝱	nyaen
𤞞	guk
𤞦	mui
𤞼	linh
𤟛	doq
𤠶	nyaen
𤡑	beuq
𤡸	ciengh
𤤆	dinj
𤥏	nyawh
𤬪	vax
𤷈	naiq
𤷟	raq
𤿌	beix
𥃨	moeb
𥅂	da
𥈧	gaeuj
𥎵	rox
𥐙	bat
𥑀	caem
𥑁	bya
𥑇	duix
𥑠	gamj
𥑮	gyu
𥓝	dongh
𥔶	geng
𥕣	daep
𥕵	gamj
𥦌	rongz
𥦗	cueng
𥫫	doek
𥭽	cuk
𥳳	dawh
𥸬	miz
𥸹	faen
𥸽	heiq
𥻡	meiq
𥻵	ceiz
𥿠	buh
𦀨	na
𦁧	muengx
𦁺	muengx
𦍕	yiengz
𦕗	rwz
𦘭	din
𦘱	aemq
𦘲	mbaq
𦙖	ndwen
𦙜	aek
𦙦	sim
𦙫	cieng
𦙭	dungx
𦙶	hoz
𦚡	hwet
𦛨	lauz
𦜘	cij
𦞂	daep
𦟊	mbei
𦟐	mbaq
𦟟	mbaq
𦡯	daep
𦨍	dengx
𦬎	yw
𦭈	va
𦮲	ndaej
𦳘	caz
𦵽	rong
𦹵	gouh
𦺥	gyu
𧈭	ngwz
𧉂	ndwen
𧉈	baeu
𧉩	baeu
𧉭	nou
𧊅	gvej
𧊚	doengz
𧊶	doq
𧋄	gungq
𧋉	guk
𧋶	moed
𧌀	ndwen
𧍋	daek
𧍔	nyauh
𧍛	nyungz
𧍡	daek
𧏻	bid
𧐖	ndwen
𧒀	fw
𧒽	rwi
𧖩	lwed
𧙛	buh
𧙜	ae
𧛷	sai
𧜞	mbonq
𧥣	gangj
𧥵	gangj
𧥸	naeuz
𧨖	gangj
𧯃	gamj
𧯾	gyong
𧸃	bengz
𧹙	nding
𧻿	daeuj
𧿬	din
𧿯	hwnj
𨁏	baeu
𨁚	ruenz
𨂐	byaij
𨂷	riz
𨃅	byaij
𨃬	gyae
𨆢	riz
𨈒	aemq
𨉰	ndang
𨐡	haemz
𨑗	hwnj
𨑜	laj
𨑨	ngoenz
𨒑	gyae
𨒗	yungh
𨒙	naek
𨖇	cienz
𨢇	laeuj
𨥾	bengz
𨥿	geuz
𨦅	cax
𨦙	rek
𨩨	cax
𨱥	dinj
𨳚	gyoengq
𨳿	rog
𨶯	ndaem
𨸁	muengx
𩀍	ngaeuz
𩄻	mok
𩇭	feiz
𩈔	naj
