afrikaander	afrikɑːndər
afrikaans	afrikɑ̃ːs
afrikaner	afrikɑːnər
amerika	amiərəka
amerikaner	amiərikɑːnər
andré	andrəi
blignault	bləχnœut
botha	buəta
brasilië	brazɪliə
charlize	ʃarliz
cilliers	səljeə
coetzee	kutseə
engels	ɛ̃ŋəls
fouché	fuʃeə
fourie	furi
francois	franswa
grové	χruveə
hauptfleisch	ɦoəflis
here	ɦiərə
joubert	jubæːr
katoliek	katuəlik
kruger	kryjər
labuschagne	labuskaχnə
laubscher	lœupʃər
lesotho	ləsutu
malherbe	malɦɛrbə
marais	marɛː
masedonië	mɑsəduənijə
meintjes	məinkis
naudé	nœudeə
navo	nɑːfoə
nigeries	niχiəris
nortje	nɔrkeə
poetin	putɪn
pretoria	prətuəria
schuster	ʃustər
schutte	skœətə
swede	swiədə
terblanche	tərblaːnʃ
theo	tiu
theron	trɔn
visagie	fəsaːχi
viviers	vəvəjeə
wilhelm	vəlɦɛləm
