# af-rcrl-lexicon.tsv — shipped Afrikaans pronunciation lexicon (word -> canonical IPA).
# RCRL Afrikaans Pronunciation Dictionary v1.4.1 (CTexT / North-West University) via ttslab/za_lex.
# CC BY-SA 2.5 ZA. Built by tools/afrikaans/build_af_lexicon.ts. Sidecar: af-rcrl-lexicon.PROVENANCE.md
# SHIPPED PATH ONLY — phonemizeWordRules (what the eval scores) does not consult this.
# 24914 entries.
aah	ɑː
aaklige	ˈɑːkləχə
aalmoese	ˈɑːlmusə
aaltjie	ˈɑːlki
aalwyne	ˈɑːlvəinə
aambeie	ˈɑːmbəiə
aan't	ˈɑːnt
aanbetref	ˈɑːnbətrɛf
aanbeveel	ˈɑːnbəfiəl
aanbevelend	ˈɑːnbəfiələnt
aanbeveling	ˈɑːnbəfiələŋ
aanbevelinge	ˈɑːnbəfiələŋə
aanbevelings	ˈɑːnbəfiələŋs
aanbevole	ˈɑːnbəfulə
aanbidders	ɑːnbˈədərs
aanbidding	ɑːnbˈədəŋ
aanbied	ˈɑːnbit
aanbieder	ˈɑːnbidər
aanbieders	ˈɑːnbidərs
aanbieding	ˈɑːnbidəŋ
aanbiedinge	ˈɑːnbidəŋə
aanbiedings	ˈɑːnbidəŋs
aanbiedingsmetodes	ˈɑːnbidəŋsmətuədəs
aanbiedingswyse	ˈɑːnbidəŋsvəisə
aanblaas	ˈɑːnblɑːs
aanbly	ˈɑːnbləi
aanbod	ˈɑːnbɔt
aanbodkromme	ˈɑːnbɔtkrɔmə
aanbou	ˈɑːnbœu
aanbouing	ˈɑːnbœuəŋ
aanbreek	ˈɑːnbriək
aanbring	ˈɑːnbrəŋ
aandadig	ɑːndˈɑːdəχ
aandadigheid	ɑːndˈɑːdəχɦəit
aandag	ˈɑːndaχ
aande	ˈɑːndə
aandeel	ˈɑːndiəl
aandeelhouding	ˈɑːndiəlɦœudəŋ
aandeelhoudings	ˈɑːndiəlɦœudəŋs
aandeelhouer	ˈɑːndiəlɦœuər
aandeelhouers	ˈɑːndiəlɦœuərs
aandeelhouersbelang	ˈɑːndiəlɦœuərsbəlaŋ
aandeelmark	ˈɑːndiəlmark
aandeelmarkte	ˈɑːndiəlmarktə
aandeelprys	ˈɑːndiəlprəis
aandeelpryse	ˈɑːndiəlprəisə
aandele	ˈɑːndiələ
aandelebeleggings	ˈɑːndiələbəlɛχəŋs
aandelebeurs	ˈɑːndiələbøːrs
aandelebeurse	ˈɑːndiələbøːrsə
aandelefonds	ˈɑːndiələfɔnts
aandelekapitaal	ˈɑːndiələkapitɑːl
aandelemakelaar	ˈɑːndiələmɑːkəlɑːr
aandelemark	ˈɑːndiələmark
aandelemarkte	ˈɑːndiələmarktə
aandeleportefeulje	ˈɑːndiələpɔrtəfyljə
aandelepryse	ˈɑːndiələprəisə
aandelesertifikate	ˈɑːndiələsɛrtifikɑːtə
aandeletransaksies	ˈɑːndiələtransaksis
aandeletrusts	ˈɑːndiələtrœsts
aandenking	ɑːndˈɛŋkəŋ
aandenkings	ɑːndˈɛŋkəŋs
aandete	ˈɑːntiətə
aandetes	ˈɑːntiətəs
aandjie	ˈɑːiŋki
aandlug	ˈɑːntlœχ
aandoen	ˈɑːndun
aandoening	ˈɑːndunəŋ
aandra	ˈɑːndrɑː
aandrang	ˈɑːndraŋ
aandring	ˈɑːndrəŋ
aandrood	ˈɑːntruət
aandryf	ˈɑːndrəif
aandrywing	ˈɑːndrəivəŋ
aandster	ˈɑːntstər
aandui	ˈɑːndœy
aanduidend	ɑːndˈœydənt
aanduider	ˈɑːndœydər
aanduiders	ˈɑːndœydərs
aanduiding	ˈɑːndœydəŋ
aanduidinge	ˈɑːndœydəŋə
aanduidings	ˈɑːndœydəŋs
aanduidinkie	ˈɑːndœydəŋki
aandurf	ˈɑːndœrf
aaneen	ɑːnˈiən
aaneenflansing	ɑːnˈiənflansəŋ
aaneenlopend	ɑːniənlˈuəpənt
aaneenlopende	ɑːniənlˈuəpəndə
aaneensluiting	ɑːnˈiənslœytəŋ
aangaande	ˈɑːnχˈɑːndə
aangebied	ˈɑːnχəbit
aangebly	ˈɑːnχəbləi
aangebode	ˈɑːnχəbuədə
aangebore	ˈɑːnχəbuərə
aangebou	ˈɑːnχəbœu
aangebreek	ˈɑːnχəbriək
aangebring	ˈɑːnχəbrəŋ
aangedaan	ˈɑːnχədɑːn
aangedik	ˈɑːnχədək
aangedoen	ˈɑːnχədun
aangedra	ˈɑːnχədrɑː
aangedraai	ˈɑːnχədrɑːi
aangedrewe	ˈɑːnχədriəvə
aangedring	ˈɑːnχədrəŋ
aangedryf	ˈɑːnχədrəif
aangedui	ˈɑːnχədœy
aangeduide	ˈɑːnχədœydə
aangedurf	ˈɑːnχədœrf
