# Egyptian Arabic (arz) SHORT-VOWEL / vocalization lexicon — bare word ⇥ canonical Egyptian IPA, mined from
# kaikki Egyptian Arabic (Wiktionary, CC BY-SA). REBUILT 2026-07-18 from the kaikki Egyptian IPA: correct ج→ɡ,
# ق→ʔ, plain s, majhūl o/e KEPT (the value the abjad g2p can't recover), narrow marks stripped + æ/ɪ/ʊ/ɾ/ɜ/ə/ɛ →
# broad a/i/u/r/e, gemination→length Cː, affricate ties, stress on the nucleus. The prior 554 had MSA artifacts
# (d͡ʒ for ج, spurious sˤ). Shipped refinement for FLEURS arz (eval stays rule-only, non-circular).
آسف	ˈaːsif
آه	ˈaː
أباجورة	ʔabaʒˈoːra
أبدع	ʔˈabdaʕ
أبريل	abrˈiːl
أبطل	ʔˈabtˤal
أبيب	ʔabˈiːb
أثبت	ʔˈasbat
أجر	ʔˈaɡr
أجزاخانة	ʔaɡzaxˈaːna
أجزة	ʔˈaɡza
أجزجي	ʔaɡzˈaɡi
أراجوز	ʔaraɡˈoːz
أربعة	arbˈaʕa
أربعتاشر	arˤbaʕtˈaːʃarˤ
أربعين	ʔarbiʕˈiːn
أرض	ʔˈardˤ
أرضية	ʔardˤˈejːa
أرنب	ʔˈarnab
أسانسير	ʔasansˈeːr
أستيكة	astˈiːka
أسد	ʔˈasad
أصر	ʔˈasˤarː
أغسطس	aɣˈosˤtˤosˤ
أكتوبر	oktˈoːbar
أكرة	ʔˈukra
أكل	ʔˈakal
ألف	ʔˈalːif
ألفين	ʔalfˈeːn
ألو	ʔalˈoː
أم	ʔˈumː
أمتع	ˈamtaʕ
أمشير	ʔamʃˈiːr
أمير	ʔamˈiːr
أنا	ˈana
أنا ما بتكلمش إنجليزي	ʔanaːmabatkalːimʃinɡilˈiːzi
أنا مبتكلمش عربي	ʔanˈaːmabatkalːimʃʕarabi
أنبا	ˈamba
أنهي	ʔˈanhi
أوتوبيس	ʔotubˈiːs
أوضة	ʔˈoːdˤa
أوضة نوم	ʔoːdˤitnˈoːm
أول	ʔˈawːil
إخوانجي	exwˈanɡi
إدى	ˈidːa
إذا	ˈiza
إسكندرية	iskindirˈijːa
إن	ʔˈin
ا	ʔˈalif
اب	ˈabː
ابتسم	ibtˈasam
ابو	ˈabu
ابو دقيق	ʔabodʔˈiːʔ
ابو شبت	ʔabuʃˈabat
ابو قردان	abuʔˈerdaːn
ات	ˈaːt
اتبسط	itbˈasatˤ
اتبقى	itbˈaʔːa
اتجوز	itɡˈawːiz
اتسرق	itsˈaraʔ
اتعلم	ʔitʕˈalːim
اتكلم	ʔitkˈalːim
اتمتع	ʔitmˈatːaʕ
اتمجد	ʔetmˈaɡːed
اتمنى	itmˈanːa
اتناشر	itnˈaːʃarˤ
اتنين	itnˈeːn
اتيكيت	ʔetikˈeːt
احا	ˈaħːa
احتاج	iħtˈaːɡ
احتجاج	ʔeħteɡˈaːɡ
احنا	ˈeħna
اخ	ʔˈaχ
ازاى	ezːˈaːj
ازاي	ezːˈaːj
استاذ	ʔustˈaːz
استاكوزا	estakˈoːza
استحمى	istaħˈamːa
استخدم	istˈaxdim
استريح	istarˈajːaħ
استعمل	istˈaʕmil
استغرب	istˈaɣrab
استمتع	ʔistˈamtiʕ
اسكندريه	iskindirˈijːa
اشترى	iʃtˈara
اشتغل	iʃtˈaɣal
افتكر	iftˈakar
افندم	ʔafˈandem
افندي	afˈandi
اقول تور، يقول احلبوه	ʔaʔuːltoːryiʔuːluːʔiħlibˈuːh
ال	ˈi
الة مزيكا	ˈaːlatmazˈziːka
الجزاير	elɡazˈaːjer
السلام عليكوا	isːalˈaːmoʕaˈleːko
القاهرة	elqˈaːhera
الله	ʔaɫɫˈaːh
الله يسهلك	ʔalˤːahyisahːˈilːak
اللي	ˈilːi
المجر	elmˈaɡar
النهارده	inːahˈarda
امبارح	imbˈaːreħ
امتحان	imtiħˈaːn
امتى	ˈemta
ان	ˈenːe
انت	ˈenta
انتخب	ʔintˈaxab
انتوا	ˈentu
انتي	ˈenti
اوتوبيس	ʔotubˈiːs
اوتوجراف	otˈoɡraf
اوكوليله	ʔukulˈeːle
اونطة	ʔawˈantˤa
ايد	ˈiːd
ايه	ʔˈeː
ايون	ʔojˈon
ايوه	ˈajwa
ب	bˈe
بؤنه	baʔˈuːna
باب	bˈaːb
بابه	bˈaːba
باس	bˈaːs
باشا	bˈaːʃa
باط	bˈaːtˤ
باع	bˈaːʕ
بالطو	bˈalˤtˤu
بان	bˈaːn
بانجو	bˈanɡo
بانيو	bˈanju
بتاع	bitˈaːʕ
بجد	bˈiɡadː
بحبك	baħˈebːak
بحلق	bˈaħlaʔ
بدروم	badrˈuːm
بدرون	badrˈuːn
برتقان	bortoʔˈaːn
برمهات	baramhˈaːt
برموده	baramˈuːda
برنيطة	burnˈeːtˤa
برواز	birwˈaːz
بروباجاندا	brubaːɡaːndˈaː
بروز	bˈarwez
بشنس	bˈaʃans
بص	bˈasˤː
بطاطس	batˤˈaːtˤis
بطريق	batˤrˈiːq
بق	bˈuʔː
بقدونس	baʔdˈuːnis
بقى	bˈaʔa
بكالوريا	bakalˈorja
بكرة	bˈokra
بلد	bˈalad
بلطجي	baltˤˈaɡi
بلغ	bˈalːaɣ
بلكونة	balakˈoːna
بنت	bˈint
بنسة	bˈinsa
بنش	bˈenʃ
بنطلون	bantˤalˈoːn
بنى ادم	baˌniʔˈaːdam
بني آدم	baniʔˈaːdam
بنيش	benˈiːʃ
بوية	bˈoːja
بير	bˈiːr
