# Burmese pronunciation lexicon (the 🟡→✅ lexical layer) — undiacritized word ⇥ canonical IPA, for words the
# rule g2p gets wrong (lexical rime, colloquial, Pali gemination, loanword ⟨ရ⟩→ɹ). Mined from the kaikki gold
# (Wiktionary, CC-BY-SA) by tools/build-my-dict.ts; tone diacritics converted to our Chao letters. Applied in
# burmese.ts (an exact-word override before the g2p rules); OOV words keep the rule reading.
ကကတစ်	ka˥ˀɡədɪʔ
ကကုသန်	ka˥ˀku˥ˀθa˨ɴ
ကကုသန်ဘုရား	ka˥ˀku˥ˀθa˨ɴpʰəja˥˩
ကကြီး	ka˥ˀd͡ʑi˥˩
ကကွက်	ka˥ˀɡwɛʔ
ကချေသည်	ka˥ˀd͡ʑe˨ðe˨
ကင်ပွန်းတပ်	kəmʊ˥˩ɴdaʔ
ကင်ဘာရာ	kɪ˨ɴba˨ɹa˨
ကင်မရာ	kɪ˨ɴməɹa˨
ကင်မရွန်း	kɪ˨ɴma˥ˀɹʊ˥˩ɴ
ကင်းခြေများ	kɪ˥˩ɴt͡ɕi˨mja˥˩
ကင်းထောက်လေယာဉ်	kɪ˥˩ɴdaʊʔle˨jɪ˨ɴ
ကစ္ဆပနဒီ	kɪʔsʰa˥ˀpənədi˨
ကဆုန်လပြည့်နေ့	kəsʰo˨ʊɴla˥ˀpji˥ˀne˥ˀ
ကတညုတ	kətɪ˨ɴɲu˥ˀta˥ˀ
ကတည်းက	ɡədɛ˥˩ɡa˥ˀ
ကတ္တီပါ	ɡədi˨ba˨
ကတ်ကြေး	kaʔt͡ɕi˥˩
ကတ်ကြေးကိုက်	kaʔt͡ɕi˥˩kaɪʔ
ကထာန	məha˨kətʰa˨na˥ˀ
ကဒ်	ka˨d
ကနေဒါ	ka˥ˀne˨da˨
ကန့်လန့်ကာ	kələɡa˨
ကန်စွန်း	ɡəzʊ˥˩ɴ
ကန်စွန်းဥ	ɡəzʊ˥˩ɴʔu˥ˀ
ကန်တော့	ɡədɔ˥ˀ
ကန်တော့ပွဲ	ɡədɔ˥ˀbwɛ˥˩
ကန်ထရိုက်	ka˨ɴtʰəɹaɪʔ
ကပိလဝတ်	kəpi˥ˀla˥ˀwʊʔ
ကပြား	ka˥ˀbja˥˩
ကပွဲရုံ	ka˥ˀbwɛ˥˩jo˨ʊɴ
ကဘီလူး	ka˥ˀbəlu˥˩
ကဘူးလ်	ka˥ˀbu˥˩
ကမန်	ka˥ˀma˨ɴ
ကမ္ပည်း	ɡəbji˥˩
ကမ္ပည်းထိုး	ɡəbji˥˩tʰo˥˩
ကမ္ဗလာ	ɡəbəla˨
ကမ္ဗောဇရဋ္ဌ	ka˨ɴbɔ˥˩za˥ˀjaʔtʰa˥ˀ
ကမ္ဘာ	ɡəba˨
ကမ္ဘာကျော်	ɡəba˨d͡ʑɔ˨
ကမ္ဘာဂြိုဟ်	ɡəba˨d͡ʑo˨
ကမ္ဘာစစ်	ɡəba˨sɪʔ
ကမ္ဘာဖလား	ɡəba˨pʰəla˥˩
ကမ္ဘာရန်	ɡəba˨ja˨ɴ
ကမ္ဘာလုံး	ɡəba˨lo˥˩ʊɴ
ကမ္ဘာလုံးခြမ်း	ɡəba˨lo˥˩ʊɴd͡ʑa˨ɴ
ကမ္ဘာလှည့်ခရီးသည်	ɡəba˨l̥ɛ˥ˀkʰəji˨ðe˨
ကမ္ဘာ့ဖလား	ɡəba˥ˀpʰəla˥˩
ကမ္မဝါ	ka˨ɴma˥ˀwa˨
ကမ္မဝါစာ	ka˨ɴma˥ˀwa˨sa˨
ကရကဋ်	kəɹa˥ˀkaʔ
ကရက်	ka˥ˀɹɛʔ
ကရစ်ကက်	kəɹɪʔkɛʔ
ကရမက်	kəɹəmɛʔ
ကရဝိက်	kəɹa˥ˀweɪʔ
ကရဝေး	kəɹəwe˥˩
ကရဝေးရွက်	kəɹəwe˥˩jwɛʔ
ကရာတေး	kəɹa˨te˥˩
ကရိန်း	kəɹe˥˩ɪɴ
ကလိုရင်း	kəlo˨ɹɪ˥˩ɴ
ကလေး	kʰəle˥˩
ကလျာ	kələja˨
ကလျာဏမိတ္တ	kələja˨na˥ˀmeɪʔta˥ˀ
ကလျာဏီ	kələja˨ni˨
ကာကွယ်	ka˨ɡwɛ˨
ကာကွယ်ဆေး	ka˨ɡwɛ˨ze˥˩
ကာကွယ်ရေး	ka˨ɡwɛ˨je˥˩
ကာကွယ်ရေးဦးစီးချုပ်	ka˨ɡwɛ˨je˥˩ʔu˥˩zi˥˩d͡ʑoʊʔ
ကာဂစ်စတန်	kəɡɪʔsəta˨ɴ
ကာဂျစ္စတန်	kəd͡ʑɪʔsəta˨ɴ
ကာမသုတ်	ka˨ma˥ˀθoʊʔ
ကာယ	kəja˥ˀ
ကာယဆရာ	ka˨ja˥ˀsʰəja˨
ကာယပညာ	ka˨ja˥ˀpjɪ˨ɴɲa˨
ကာရန်	kəja˨ɴ
ကာရာအိုကေ	ka˨ɹa˨ʔo˨ke˨
ကာလသားရောဂါ	ka˨la˥ˀθa˥˩jɔ˥˩ɡa˨
ကာလာမသုတ်	ka˨la˨ma˥ˀθoʊʔ
ကား	ɡa˥˩
ကိစ္စ	keɪʔsa˥ˀ
ကိစ္စမရှိပါဘူး	keɪʔsa˥ˀməʃi˥ˀpa˨bu˥˩
ကိစ္စမရှိဘူး	keɪʔsa˥ˀməʃi˥ˀbu˥˩
ကိတ်ဗာဒီ	keɪʔbədi˨
ကိမိလဗေဒ	ki˥ˀmi˥ˀla˥ˀbe˨da˥ˀ
ကိရိယာ	kəɹi˥ˀja˨
ကိုမိုရို	ko˨mo˨ɹo˨
ကိုယ့်ဥမှဥထင်	ko˥ˀjʔu˥ˀm̥a˥ˀʔu˥ˀtʰɪ˨ɴ
ကိုယ်စားလှယ်	ko˨zəlɛ˨
ကိုယ်စားလှယ်အဖွဲ့	ko˨jzəl̥ɛ˨ʔəpʰwɛ˥ˀ
ကိုယ်တွေ့	ko˨jdwe˥ˀ
ကိုယ်ပိုင်	ko˨jba˨ɪɴ
ကိုယ်ရည်သွေး	ko˨jje˨θwe˥˩
ကိုယ်ဝန်ဆောင်	ko˨jwʊ˨ɴsʰa˨ʊɴ
ကိုယ်ဝန်ရှိ	ko˨jwʊ˨ɴʃi˥ˀ
ကိုရမ်ကျမ်း	ko˨ɹa˨ɴt͡ɕa˥˩ɴ
ကိုရိုနာဗိုင်းရပ်စ်	ko˨ɹo˨na˨ba˥˩ɪɴɹaʔs
ကိုရီးယား	ko˨ɹi˥˩ja˥˩
ကိုလိုနီခေတ်	ko˨lo˨ni˨kʰɪʔ
ကိုးကွယ်	ko˥˩ɡwɛ˨
ကီလိုဂရမ်	ki˨lo˨ɡəɹa˨ɴ
ကုဋေ	ɡəde˨
ကုန်ကျစရိတ်	ko˨ʊɴt͡ɕa˥ˀzəjeɪʔ
ကုန်စည်ပြပွဲ	ko˨ʊɴzi˨pja˥ˀbwɛ˥˩
ကုန်ထုတ်သမဝါယမ	ko˨ʊɴtʰoʊʔθəma˥ˀwa˨jəma˥ˀ
ကုန်သည်	ko˨ʊɴðe˨
ကုန်သည်ကြီး	ko˨ʊɴðe˨d͡ʑi˥˩
ကုန်သည်များအသင်း	ko˨ʊɴðe˨mja˥˩ʔəθɪ˥˩ɴ
ကုန်သွယ်ရေး	ko˨ʊɴθwɛ˨je˥˩
ကုန်သွယ်ရေးသမဂ္ဂ	ko˨ʊɴθwɛ˨je˥˩ða˥ˀmɛʔɡa˥ˀ
ကုန်းဘောင်ခေတ်	ko˥˩ʊɴba˨ʊɴkʰɪʔ
ကုမုဒ	ku˥ˀmoʊʔda˥ˀ
ကုလသမဂ္ဂ	ku˥ˀla˥ˀθa˥ˀmɛʔɡa˥ˀ
ကုလား	kəla˥˩
ကုလားတန်	kələda˨ɴ
ကုလားထိုင်	kələtʰa˨ɪɴ
ကုလားနို့	kələno˥ˀ
ကုလားပဲ	kələpɛ˥˩
ကုလားဖြူ	kələpʰju˨
ကုလားအုတ်	kələʔoʊʔ
ကုလားအော်	kələʔɔ˨
ကုသိုလ်	ku˥ˀθo˨
ကုသိုလ်ကောင်းမှု	ku˥ˀðo˨ka˥˩ʊɴm̥u˥ˀ
ကုသိုလ်ကံ	ku˥ˀðo˨ɡa˨ɴ
ကုသိုလ်ရှင်	ku˥ˀθo˨ʃɪ˨ɴ
ကုံကုမံ	ɡo˨ʊɴɡəma˨ɴ
ကူးတို့	ɡədo˥ˀ
ကူးတို့ဆိပ်	ɡədo˥ˀzeɪʔ
ကူးသန်းရောင်းဝယ်ရေး	ku˥˩θa˥˩ɴja˥˩ʊɴwɛ˨je˥˩
ကောင်မငယ်	ka˨ʊɴma˥ˀŋɛ˨
ကောင်မလေး	ka˨ʊɴma˥ˀle˥˩
ကောဋိပကောဋိ	kɔ˥˩di˥ˀpa˥ˀkɔ˥˩di˥ˀ
ကောဏဂုံဘုရား	kɔ˥˩nəɡo˨ʊɴpʰəja˥˩
ကောဏ္ဍည	kɔ˥˩dɪ˨ɴɲa˥ˀ(or)kʊ˥˩ɴdɪ˨ɴɲa˥ˀ
ကောဏ္ဍညဘုရား	kɔ˥˩dɪ˨ɴɲa˥ˀpʰəja˥˩
ကော့စတာရီကာ	kɔ˥ˀsəta˨ɹi˨ka˨
ကော်ပီသီချင်း	kɔ˨pi˨θət͡ɕʰɪ˥˩ɴ
ကံကြမ္မာ	ka˨ɴt͡ɕəma˨
ကံ့ကော်	ɡa˥ˀɴɡɔ˨
ကျင်စွယ်	t͡ɕɪ˨ɴzwɛ˨
ကျင်လည်	t͡ɕɪ˨ɴlɛ˨
ကျစ်လျစ်	t͡ɕɪʔlɪʔ
ကျဆင်း	t͡ɕa˥ˀsʰɪ˥˩ɴ
ကျဆုံး	t͡ɕa˥ˀsʰo˥˩ʊɴ
ကျန်းမာရေးပညာ	t͡ɕa˥˩ɴma˨je˥˩pa˥ˀɲa˨
ကျရှုံး	t͡ɕa˥ˀʃo˥˩ʊɴ
ကျားကျားလျားလျား	t͡ɕa˥˩d͡ʑa˥˩ja˥˩ja˥˩
ကျားလက်သည်း	t͡ɕa˥˩lɛʔθɛ˥˩
ကျားသစ်	t͡ɕəθɪʔ
ကျိန္တလီ	t͡ɕe˨ɪɴta˥ˀli˨
ကျိုက်မရော	t͡ɕaɪʔməɹɔ˥˩
ကျောက်ခေတ်	t͡ɕaʊʔkʰɪʔ
ကျောင်းသားသမဂ္ဂ	t͡ɕa˥˩ʊɴða˥ˀmɛʔɡa˥ˀ
ကျေးဇူးပြု၍	t͡ɕe˥˩zu˥˩pju˥ˀjwe˥ˀ
ကျေးဇူးသိ	kjeiuthi
ကျွန်မတို့	t͡ɕʊ˨ɴma˥ˀdo˥ˀ
ကျွန်ုပ်	t͡ɕənoʊʔ
ကျွန်းဆွယ်	t͡ɕʊ˥˩ɴzwɛ˨
ကျွမ်း	t͡ɕwa˥˩ɴ
ကျွမ်းကျင်သူ	t͡ɕwa˥˩ɴt͡ɕɪ˨ɴðu˨
ကြက်သီးထ	t͡ɕɛʔθe˥˩ɪɴtʰa˥ˀ
ကြက်သီးမွေးညင်းထ	t͡ɕɛʔθe˥˩ɪɴmwe˥˩ɲɪ˥˩ɴtʰa˥ˀ
ကြက်သွန်ဖြူ	t͡ɕɛʔθʊ˨ɴbju˨
ကြည်ဖြူ	t͡ɕi˨bju˨
ကြမ္မာ	t͡ɕəma˨
ကြမ္မာဒိုက်	t͡ɕəma˨daɪʔ
ကြမ်းပိုး	d͡ʑəbo˥˩
ကြမ်းပြင်	ɡəbjɪ˨ɴ
ကြယ်တံခွန်	t͡ɕɛ˨dəɡʊ˨ɴ
ကြာသပတေးဂြိုဟ်	t͡ɕa˨ðəbəde˥˩d͡ʑo˨
ကြိယာ	kəɹi˥ˀja˨
ကြိယာဝိသေသန	kəɹi˥ˀja˨wi˥ˀθe˨θəna˥ˀ
ကြိုဆိုပါ၏	t͡ɕo˨zo˨ba˨ʔi˥ˀ
ကြိုးကြာ	d͡ʑo˥˩d͡ʑa˨
ကြီးတော်	d͡ʑi˥˩dɔ˨
ကြောင့်	d͡ʑa˥ˀʊɴ
ကြေးချွတ်ဆေး	d͡ʑe˥˩t͡ɕʰʊʔsʰe˥˩
ကြံ့လျော်	t͡ɕa˥ˀɴʃɔ˨
ကြွက်	t͡ɕwɛʔ
ကြွက်နို့	t͡ɕwɛʔno˥ˀ
ကြွက်သား	t͡ɕwɛʔθa˥˩
ကြွယ်	t͡ɕwɛ˨
ကြွယ်ဝ	t͡ɕwɛ˨wa˥ˀ
ကွက်	kwɛʔ
ကွက်ကွက်ကွင်းကွင်း	kwɛʔkwɛʔkwɪ˥˩ɴɡwɪ˥˩ɴ
ကွင်းစ	ɡwɪ˥˩ɴza˥ˀ
ကွင်းထိုးဖိနပ်	ɡwɪ˥˩ɴdo˥˩pʰənaʔ
ကွင်းပိတ်	ɡwɪ˥˩ɴbeɪʔ
ကွင်းလျှော	ɡwɪ˥˩ɴʃɔ˥˩
ကွန်ကရစ်	kʊ˨ɴɡəɹɪʔ
ကွန်ဂရက်	kʊ˨ɴɡəɹɛʔ
ကွန်ပျူတာသိပ္ပံပညာ	kʊ˨ɴpju˨ta˨ðeɪʔpa˨ɴpjɪ˨ɴɲa˨
ကွန်ဖက်ဒရေးရှင်း	kʊ˨ɴpʰɛʔdəɹe˥˩ʃɪ˥˩ɴ
ကွန်ဖရင့်	kʊ˨ɴpʰəɹɪ˥ˀɴ
ကွမ်ရင်	kwa˨ɴjɪ˨ɴ
ကွမ်ရင်မယ်တော်	kwa˨ɴjɪ˨ɴmɛ˨dɔ˨
ကွမ်းရွက်ပင်	kʊ˥˩ɴjwɛʔpɪ˨ɴ
ကွယ်	kwɛ˨
ကွယ်လွန်	kwɛ˨lʊ˨ɴ
ကွယ်ဝှက်	kwɛ˨ʍɛʔ
ကွာစေ့	kwa˨si˥ˀ
ကွဲပြား	kwɛ˥˩bja˥˩
ကဿပ	kaʔθəpa˥ˀ
ကဿပဘုရား	kaʔθəpa˥ˀpʰəja˥˩
ခက်ရင်း	kʰəjɪ˥˩ɴ
ခကွေး	kʰa˥ˀɡwe˥˩
ခခွေး	kʰa˥ˀɡwe˥˩
ခင်ဗျာ	kʰəmja˨
ခဏခဏ	kʰəna˥ˀkʰəna˥ˀ
ခရစ္စမတ်	kʰəɹɪʔsəmaʔ
ခရစ်	kʰəɹɪʔ
ခရစ်တော်	kʰəɹɪʔtɔ˨
ခရစ်ယာန်	kʰəɹɪʔja˨n
ခရိုင်းမီးယား	kʰəɹa˥˩ɪɴmi˥˩ja˥˩
ခရိုနီ	kʰəɹo˨ni˨
ခရိုမီယမ်	kʰəɹo˨mi˨ja˨ɴ
ခရိုအေးရှား	kʰəɹo˨ʔe˥˩ʃa˥˩
ခရီးသည်	kʰəji˥˩ðe˨
ခရီးသွား	kʰa˥ˀji˥˩θwa˥˩
ခရီးသွားအေဂျင်စီ	kʰa˥ˀji˥˩θwa˥˩ʔe˨d͡ʑɪ˨ɴsi˨
ခါးပတ်	ɡəbaʔ
ခုခံအားကျရောဂါ	kʰu˥ˀɡa˨ɴʔa˥˩t͡ɕa˥ˀjɔ˥˩ɡa˨
ခုနစ်	kʰʊ˨ɴn̥ɪʔ
ခုနစ်လ	kʰʊ˨ɴn̥əla˥ˀ
ခုံတန်းလျား	kʰo˨ʊɴta˥˩ɴja˥˩
ခုံရှည်	kʰo˨ʊɴʃe˨
ခေတ္တ	kʰɪʔta˥ˀ
ခေတ်	kʰɪʔ
ခေတ်ပြိုင်	kʰɪʔpja˨ɪɴ
ခေမာရဋ္ဌ	kʰe˨ma˨jətʰa˥ˀ
ခေါင်ရည်	kʰa˨ʊɴje˨
ခေါင်း	ɡa˥˩ʊɴ
ခေါင်းကိုက်	ɡa˥˩ʊɴkaɪʔ
ခေါင်းဆောင်	ɡa˥˩ʊɴsʰa˨ʊɴ
ခေါင်းညိတ်	ɡa˥˩ʊɴɲeɪʔ
ခေါင်းပေါင်း	ɡa˥˩ʊɴba˥˩ʊɴ
ခေါင်းဖြီး	ɡa˥˩ʊɴpʰi˥˩
ခေါင်းမူး	ɡa˥˩ʊɴmu˥˩
ခေါင်းလျှော်ရည်	ɡa˥˩ʊɴʃɔ˨je˨
ခေါင်းအုံး	ɡa˥˩ʊɴʔo˥˩ʊɴ
ခေါပျဉ်	kʰɔ˥˩bjɪ˨ɴ
ခဲဖျက်	kʰɛ˥˩bjɛʔ
ချက်သမ္မတနိုင်ငံ	t͡ɕʰɛʔθəməda˥ˀna˨ɪɴŋa˨ɴ
ချင်းသုပ်	d͡ʑɪ˥˩ɴðoʊʔ
ချဉ်ဖတ်တည်	t͡ɕʰɪ˨ɴbaʔtɛ˨
ချဒ်	t͡ɕʰa˨d
ချပ်	d͡ʑaʔ
ချယ်ရီ	t͡ɕʰɛ˨ɹi˨
ချားလ်	t͡ɕʰa˥˩l
ချိတ်	d͡ʑeɪʔ
ချို	d͡ʑo˨
ချိုင့်ဝှမ်း	d͡ʑa˥ˀɪɴʍa˥˩ɴ
ချိုင်း	d͡ʑa˥˩ɪɴ
ချိုင်းထောက်	d͡ʑa˥˩ɪɴdaʊʔ
ချေး	t͡ɕʰi˥˩
ချေးငွေ	t͡ɕʰi˥˩ŋwe˨
ခြတောင်ပို့	t͡ɕʰa˥ˀta˨ʊɴbo˥ˀ
ခြေသည်း	t͡ɕʰe˨ðe˥˩
ခွ	kwa˥ˀ
ခွက်	kʰwɛʔ
ခွက်ခွင်း	kʰwɛʔkʰwɪ˥˩ɴ
ခွကျ	ɡwa˥ˀt͡ɕa˥ˀ
ခွင်	ɡwɪ˨ɴ
ခွစာ	ɡwa˥ˀza˨
ခွဆုံ	ɡwa˥ˀzo˨ʊɴ
ခွေးမသား	kʰwe˥˩ma˥ˀða˥˩
ခွေးရူးပြန်ရောဂါ	kʰwe˥˩ju˥˩bja˨ɴjɔ˥˩ɡa˨
ခွေးသူတောင်းစား	kʰwe˥˩ðəda˥˩ʊɴza˥˩
ခွဲစိတ်ကုပညာ	kʰwɛ˥˩seɪʔku˥ˀpjɪ˨ɴɲa˨
ဂငယ်	ɡa˥ˀŋɛ˨
ဂငယ်ကွေ့	ɡa˥ˀŋɛ˨ɡwe˥ˀ
ဂဏန်းတွက်စက်	ɡəna˥˩ɴtwɛʔsɛʔ
ဂန္ထဗေဒ	ɡa˨ɴtʰa˥ˀbe˨da˥ˀ
ဂန္ဓာရ	ɡa˨ɴda˨ɹa˥ˀ
ဂရင်းလန်	ɡəɹɪ˥˩ɴla˨ɴ
ဂရပ်	ɡəɹaʔ
ဂရပ်ဖစ်	ɡəɹaʔpʰɪʔ
ဂရမ်	ɡəɹa˨ɴ
ဂရိ	ɡəɹi˥ˀ
ဂရိတ်ဗြိတိန်	ɡəɹeɪʔbəɹi˥ˀte˨ɪɴ
ဂရုသံ	ɡəɹu˥ˀða˨ɴ
ဂါရဝပြု	ɡa˨jəwa˥ˀpju˥ˀ
ဂိမှာန်	ɡe˨ɪɴm̥a˨ɴ
ဂိရိမေခလာ	ɡi˥ˀɹi˥ˀme˨kʰəla˨
ဂိုဏ်းထောက်	ɡo˥˩ndaʊʔ
ဂိုဏ်းအုပ်	ɡo˥˩nʔoʊʔ
