aabenraa	ɔbmˈʁɔ
aalborg	ɔlbɔr
aarhus	ɔrhus
ab	ab
abbed	ˈɑbeð
abbedi	abedi
abbedisse	abedisə
abc	abese
abe	abə
abebrødtræ	ˈɑbəˌbʁœdˌtʁɛ
abehus	ˈæbəˌhus
abeløjer	ˈɑbəˌløjɐ
abildgård	ˈɑbildˌɡɔr
abonnement	abonəmanɡ
abort	abʌɐt
abrikos	abrikos
abrikostræ	ˈɑbrikosˌtʁɛ
absolut	ɑbsoˈlud
absolution	ɑbsoluˈɕon
absorbere	ɑbsɒˈbeʌ
abstrakt	abstrakt
absurd	absurd
abyssinier	ɑpyˈsinjɐ
accent	ɑɡˈsɑŋ
accenten	ɑɡˈsɑŋŋ
accentens	ɑɡˈsɑŋŋs
accenter	ɑɡˈsɑŋɐ
accenterne	ɑɡˈsɑŋɐnə
accenternes	ɑɡˈsɑŋɐnəs
accenters	ɑɡˈsɑŋɐs
accents	ɑɡˈsɑŋs
acceptabel	aksɛptabəl
acetat	asəˈtæd
acetone	asətonə
achilles	aˈkiləs
achilleus	aˈkilœws
ad	að
adel	ˈæðəl
adgang	ˈaðˌɡɑŋ
adgangskode	adɡanɡskodə
adhd	ˈɛˈteˈhɔˈte
adjektiv	ˈaðjɛɡˌtiw
adjunkt	aðˈjɔŋd
adjø	adjø
adr	adər
adresse	adrɛsə
advare	advarə
advarsel	advarsəl
advent	advɛnt
adverbium	adˈvɛrbjɔm
advokat	aðvoˈkad
ae	aə
aerodynamik	ˈɛʁɔtynæmik
af	a
afart	ˈɑʊˌɑd
afbede	ˈawˌbeðə
afbigt	ˈɑwˌbiɡd
afbilde	avbelə
afbildning	avbilnenɡ
afbryde	ˈɑwˌbʁyðə
afdød	ˈɑwˌtøð
afføre	ˈɑwˌføʌ
afføring	avførenɡ
afgift	ˈɑwˌɡifd
afgrund	ˈauˌɡʁɔn
afgøre	ˈɑwˌɡɶɐ
afgørende	ˈavˌɡœrənə
afhold	ˈɑwˌhʌld
afholde	ˈɑwˌhʌlə
afholdende	ˈɑwˌhʌlənə
afholdenhed	ˈɑwˌhʌlənˌheð
afholder	ˈɑwˌhʌldɐ
afholdes	ˈɑwˌhʌləs
afholdt	ˈɑwˌhʌld
afholdte	ˈɑwˌhʌldə
afholdtes	ˈɑwˌhʌldəs
afhænge	ˈɑwˌhɛŋə
afklæde	ˈɑwˌklɛðə
aflad	ˈɑwˌlað
aflede	avleðə
afledt	avlet
afledte	avletə
aflevere	ˈɑʊleˌʋeɐ
aflevering	avleverenɡ
aflive	ˈɑʊliʋə
aflyd	ˈɑʊˌløð
aflyse	avlysə
afløb	avløb
afmagt	avmakt
afpresning	avprɛsnsnɡ
afrikaner	afriˈkanər
afrikansk	afrikansk
afrodisiakum	afrodisiakɔm
afrodite	ɑfʁoˈdidə
afsked	ˈɑʊˌsɡeðˠ
afskovning	ˈɑwˌsɡɒwneŋ
afskrift	avskreft
afskyelig	avskyəli
afslutte	ˈɑʊˌsludə
afstand	avstan
afstemning	avstɛmnenɡ
aftale	avtalə
aften	ˈaftən
aftener	ˈɑfdənɐ
aftenerne	ˈɑfnɐnə
aftensmad	ˈaftənsˌmað
aftes	ˈɑfdəs
aftnen	ˈɑfdənən
aftner	ˈɑfdənɐ
aftnerne	ˈɑfnɐnə
aftægt	ˈɑwˌtɛɡd
afvige	avviə
afvise	avvisə
age	aɣə
agentur	aɡɛnˈtuɐ
ager	aɣər
agere	aˈɡeʌ
ageren	aˈɡeʌn
agern	aɣərn
agnat	ɑɡˈnæd
agnatisk	ɑɡˈnætisɡ
agoni	aɡoˈni
agora	aɡoˈʁɑ
agt	ˈɑɡd
agte	ˈɑɡdə
agurk	aˈkuɐk
ah	ɛ
ahornsirup	ˈahoɐnˌsiʁɔb
ajour	asjur
akillessene	akiləssenə
akkumulator	akumulatər
akkumulatorer	akumulatorər
akkumulere	akumulerə
akkusativ	akusativ
aks	aks
aksel	aksəl
akt	ˈɑɡd
aktie	ˈɑɡɕə
aktionær	ɑɡɕoˈnɛɐ
aktiv	aktiv
aktivist	aktivist
al	al
albatros	ˈalbaˌtʁʌs
albue	ˈalˌbuə
album	albɔm
albumin	albumin
aldrig	aldri
aldring	ˈælʁeŋ
alen	ˈæln
alene	ˈælenə
alenlang	alənlanɡ
alfahan	alfahan
alfons	alˈfɔns
algoritme	alɡoˈʁidmə
alk	ˈalɡ
alle	alə
allegori	aləɡoˈʁi
allegorisk	aləˈɡoɐisɡ
allesammen	aləsamən
allike	aləkə
allokering	alokerenɡ
allé	aˈle
almen	almen
almennyttig	almennøti
almindelighed	alˈmenəliˌheð
almue	ˈalˌmuə
alpaka	alˈpɑɡa
alskens	alskəns
altan	altan
alter	ˈaldɐ
altergang	ˈaldɐˌɡɑŋ
altid	altid
alting	altenɡ
altruistisk	altruistisk
aluminium	aluminjɔm
alverden	alvɛrdən
alvor	ˈalˌʋɒ
alvorlig	alvɔrli
alvorligt	alvɔrlit
amager	ˈɑmɑər
amagerkaner	ɑmɑˈkænɐ
amalie	amaljə
amanuensis	amanuˈɛnsis
ambitiøs	ambisjøs
ambolt	ambɔlt
ambra	ambra
ambulance	ɑmbuˈlɑŋsə
amerika	aˈmerika
amerikaner	amɛrikanər
ametyst	ɑməˈtysd
ammonium	aˈmonjɔm
amnesi	amnəsi
amt	amt
an	ˈan
analog	anaˈlo
analogi	analoˈɡi
analsex	analsɛks
analytisk	analytisk
ananas	ˈananas
anciennitet	anɡsjənitet
and	an
andefedt	ˈanəˌfed
andel	ˈanˌdel
andemad	anəmad
anden	ˈanən
anderledes	ˈɑnɐˌleðəs
anders	ˈɑnɐs
andersen	ˈɑnɐsn
andet	ˈænəð
andre	andrə
andrik	andrek
androide	androidə
anerkende	anɐˈkɛnə
anfange	anfaŋə
anglofil	anɡlofil
angreb	ˈanˌɡʁɛb
angribe	ˈanˌɡʁibə
angriber	anɡribər
angstskrig	ˈɑŋsdˌsɡʁi
anholde	anhɔlə
anholdelse	anhɔləlsə
animere	aniˈmeʌ
anke	anɡə
ankomst	ˈanˌkʌmsd
anmeldelse	ˈanˌmɛləlsə
anmode	anmoðə
annektering	anɛɡˈteɐeŋ
anordne	anɔrdnə
anordning	anɔrdneŋ
ansat	ansat
ansatte	ansatə
ansattes	ansatəs
anse	ˈanˌse
anseelse	ˈanˌseəlsə
anselig	anˈseli
anser	ˈanˌseɐ
anset	ˈanˌsed
ansete	ˈanˌsedə
ansigt	ˈanˌseɡd
ansjos	anˈɕos
anstand	anstand
ansvar	ansvar
ansvarlig	anˈsvɑli
anså	ˈanˌsɔ
ansætte	ansɛtə
antage	anta
antipartikel	antipartikəl
antipati	antipaˈti
antisemitisme	ˈantisemiˌtismə
antropomorf	antropomɔrf
antyder	ˈanˌtyðˠɐ
antydning	antydnenɡ
anæstesi	anɛstəsi
aorist	ɑoˈʁisd
apanage	apanasjə
aphrodite	ɑfʁoˈdidə
apokalypse	apokaˈlybsə
apollon	aˈpʌlʌn
apoptose	ɑpʌbˈtosə
apostrof	apostrɔf
apoteker	apotekər
apparat	aparat
appellere	ɑbəˈleʌ
appelsin	ɑblˈsin
appelsinhud	ɑbəlˈsinˌhud
appelsinjuice	ɑblˈsinˌdjus
appendiks	aˈpɛndiɡs
april	aˈpʁil
aprilsnar	aprilsnar
apropos	apropo
ar	ɑr
ara	ara
araber	arabər
