# German loanword consonant corrections — word<TAB>consonant-ordinal+target,… (0-based CONSONANT index →
# target). Generated by tools/gen/build-de-consonant.mts from the kaikki German extract, ONLY for consonants
# where kaikki differs from ours along a known loan pair (v→f/f→v, s→z/z→s, x→ç/k, k→ç, ŋ→n) — the lexical
# native-vs-loanword split (November → …v…, Safe → s…) no rule captures.
aalmolch	3ç
aalräucherei	2ç
aalräuchereien	2ç
abenteuerdurstigste	7ç
abenteuerdurstigstem	7ç
abenteuerdurstigsten	7ç
abenteuerdurstigster	7ç
abenteuerdurstigstes	7ç
abenteuerhungrigste	6ç
abenteuerhungrigsten	6ç
abenteuerhungrigster	6ç
abenteuerhungrigstes	6ç
abenteuersüchtigste	6ç
abenteuersüchtigstem	6ç
abenteuersüchtigsten	6ç
abenteuersüchtigster	6ç
abenteuersüchtigstes	6ç
abkapseln	3s
abknipsen	4s
ablenkungsmanöver	8v
abluchsen	2k,3s
abmurksen	4s
absage	1s
absandeln	1s
absaugen	1s
absence	1s
absolventin	1s,3v
absolvieren	3v
abwechseln	3s
achaier	0ç
achenbach	0ç
achenbacher	0ç
achenbacherin	0ç
achenbacherinnen	0ç
achenbachers	0ç
achenbachs	0ç
achse	0k,1s
achsel	0k,1s
achselhöhle	0k,1s
achselklappe	0k,1s
achselstück	0k,1s
achselzucken	0k,1s
achselzuckend	0k,1s
achsenmacht	0k,1s
achsenzeit	0k,1s
achtundachtzigste	7ç
achtunddreißigfach	6ç
achtundfünfzigfach	9ç
achtundfünfzigfacher	9ç
achtundfünfzigste	9ç
achtundneunzigste	8ç
achtundsechzigste	8ç
achtundsiebzigste	8ç
achtundvierzigfach	8ç
achtundvierzigfacher	8ç
achtundvierzigste	8ç
achtundvierzigstel	8ç
achtundvierzigstels	8ç
achtundvierzigstens	8ç
achtundvierzigster	8ç
achtundvierzigstündig	8ç
achtundvierzigstündiger	8ç
achtundvierzigtägig	8ç
achtundvierzigwöchig	8ç
achtundzwanzigfach	10ç
achtundzwanzigfacher	10ç
achtundzwanzigste	10ç
achtundzwanzigstel	10ç
achtundzwanzigstels	10ç
achtundzwanzigstens	10ç
achtundzwanzigstündig	10ç
achtundzwanzigstündiger	10ç
achtzehnköpfig	3n
achtzehnköpfiger	3n
achtzigprozentig	3ç
achtzigtägig	3ç
achtzigtägiger	3ç
adamsapfel	2s
adjektive	4v
adjunkt	2n
advent	1v
advente	1v
adventen	1v
adventes	1v
adventismus	1v
adventkalender	1v
adventkranz	1v
advents	1v
adventskalender	1v
adventskalendern	1v
adventskalenders	1v
adventskranz	1v
adventszeit	1v
adverbialbestimmung	1v
adverbialsatz	1v
adverbs	1v
aggressivität	3v
aktivator	2v
aktive	2v
aktiven	2v
aktivieren	2v
aktivierungsgutschein	2v
aktivist	2v
aktivisten	2v
aktivistin	2v
aktivistinnen	2v
aktivität	2v
alchemie	1ç
alchemist	1ç
alchimie	1ç
algarve	3v
algenkundler	2n
algenkundlerin	2n
algenkundlers	2n
algier	1ʒ
alkoven	2v
allerheiligstes	3ç
altenkirchenerin	2n
altenkirchens	2n
alternative	5v
altersaufbaus	2s
altersaufbauten	2s
altprovenzalisch	4v
alveolar	1v
alveolare	1v
ambivalent	2v
ambivalenz	2v
amtsanmaßung	2s
amtsantritt	2s
amtseid	2s
amtseinführung	2s
analsex	2s
anarchie	2ç
anarchisch	2ç
anarchischer	2ç
anchovis	2v
angebotsüberhang	4s
anknipsen	4s
anlagevolumen	3v
anregungsarm	4s
ansandeln	1s
anschauungsunterricht	3s
ansteckungsausbreitung	5s
anstupsen	4s
antiviral	2v
anwachsen	2k,3s
anzeigenkampagne	4n
anzeigenkampagnen	4n
anzeigenkunde	4n
apanage	2ʒ
apfelbäumchen	5ç
apfelweinessigs	6ç
apokalypse	4s
appellativum	3v
aprikosenkern	4n
aprikosenkonfitüre	4n
aquavit	2v
arachidonsäure	1ç
arasittich	1s
arbeitsamt	3s
arbeitsaufwändig	3s
arbeitsaufwändigen	3s
arbeitsaufwändigste	3s,8ç
arbeitsaufwändigstem	3s,8ç
arbeitsaufwändigsten	3s,8ç
arbeitsaufwändigster	3s,8ç
arbeitsaufwändigstes	3s,8ç
arbeitseinstellung	3s
arbeitseinstellungen	3s
archaikum	1ç
archaisch	1ç
archaisieren	1ç
arche	1ç
archetyp	1ç
archipel	1ç
archiphonem	1ç
architekt	1ç
architektin	1ç
architektonisch	1ç
architektur	1ç
architrav	1ç
archiv	1ç
archivar	1ç,2v
archivarin	1ç,2v
archivarinnen	1ç,2v
archive	1ç,2v
archäologie	1ç
archäologin	1ç
archäologisch	1ç
archäopteryx	1ç
ardennenoffensive	7v
argusauge	2s
aronstabgewächse	8s
aronstabgewächses	8s
arrivieren	1v
artikulationsart	7s
artikulationsort	7s
asexuell	0s
asservatenkammer	2v,4n
assi	0z
asternsträußchen	7ç
attraktivität	4v
aubergine	2ʒ
audiovisuell	1v
aufenthaltsort	6s
aufganseln	3s
auftragsarbeit	4s
aufwachsen	2k,3s
aufwendigsten	4ç
aufwuchs	2k
aufwuchsen	2k,3s
aufwuchsest	2k,3s
aufwändigsten	4ç
aufwüchsen	3s
aufwüchsest	3s
ausbrecherkönigs	6ç
auseinanderdividieren	5v
auseinanderzudividieren	7v
ausgangsimpedanz	3s
ausgangsimpedanzen	3s
ausleuchtung	2ç
ausreisevisum	3v
ausschnapsen	4s
ausschüttungsintervall	4s,7v
austragungsort	5s
austricksen	4s
auswachsen	2k,3s
auswechseln	3s
auswechselspieler	3s
auswechselspielerin	3s
ausweichmanöver	5v
autobahnknotens	2n
auxiliarverb	4v
ave	0v
aventüre	0v
averbal	0v
aversion	0v
avestisch	0v
avirulent	0v
aviso	0v,1s
aviär	0v
avocado	0v
avocadosaft	0v
babsi	2s
babybäuche	3ç
babybäuchen	3ç
babysitter	2s
backoffices	4z
backpulver	4v
backpulvers	4v
bagage	2ʒ
baklava	3v
bakterienkunde	4n
bakterienkundler	4n
bakterienkundlerin	4n
bakterienkundlerinnen	4n
bakterienkundlers	4n
ballwechsel	4s
bananenkuchens	3n
barchat	2ç
barchend	2ç
barchent	2ç
barchet	2ç
barockarchitektur	4ç
baseball	1s
baseballer	1s
baseballerin	1s
baseballspiel	1s
baseballspiele	1s
baseballspielen	1s
baseballspieler	1s
baseballspieles	1s
baseballspiels	1s
basecap	1s
basecaps	1s
basically	1s
basics	1s
basler	1z
bauersachs	2k
beabsichtigen	2s
bedeutungsentlehnung	4s
befähigt	2ç
begutachtungsausschuss	6s
begutachtungsausschusses	6s
begutachtungsausschuß	6s
begutachtungsausschüsse	6s
begünstigte	5ç
begünstigten	5ç
begünstigter	5ç
behorchen	3ç
beichte	1ç
beichtkind	1ç
beichtstuhl	1ç
beichtvater	1ç
beidseitig	2s
beisl	1z
belarusisch	3s
beletage	3ʒ
beleuchten	2ç
beleuchtung	2ç
beleuchtungskörper	2ç
berechtigt	4ç
berechtigte	4ç
berechtigten	4ç
bergmolch	5ç
bergmolche	5ç
bergpredigt	6ç
berufsabschlüsse	3s
berufsausbildungen	3s
berüchtigt	4ç
berührungsangst	4s
besachwaltern	1s
beschäftigter	4ç
beschäftigungswachstum	8k
besiegeln	1s
bestseller	3s
bestwigs	4ç
beteiligte	3ç
beteiligter	3ç
beverungen	1v
bevollmächtigte	6ç
bevollmächtigten	6ç
bevollmächtigter	6ç
beweihräucherer	3ç
beweihräuchern	3ç
bezirksamt	5s
biarchie	2ç
biedenkopf	2n
bienenwachs	4k
bienenwachskerze	4k
bienenwachskerzen	4k
biliverdin	2v
bindevokal	3v
biochemie	1ç
biochemikerin	1ç
biodiversität	2v
biopsie	2s
biopsien	2s
bischofsärmels	3s
bivalent	1v
blamage	3ʒ
blaufuchs	3k
blaufuchsfell	3k
blaukopfsittich	5s
blaulatzsittich	5s
blausäurekapsel	6s
blechbüchse	5s
blechbüchsen	5s
blumenvase	4v
blumenvasen	4v
blutkonserve	7v
blütenachse	4k,5s
blütenachsen	4k,5s
bockshornklee	5n
bodenoffensive	6v
bolivianer	2v
bolivianerin	2v
bolivianisch	2v
bolivien	2v
bombenkrater	3n
bosnienkrieg	3n
botsuana	2s
botsuanisch	2s
bourgeoisie	2ʒ
bovist	1v
brachse	2k,3s
bratislava	5v
braunkehlchen	2n
brausebad	2s
brausepulver	5v
brausepulvers	5v
bravourleistung	2v
bravourös	2v
breve	2v
brevier	2v
briefwechsel	5s
bronchial	3ç
bronchie	3ç
bronchitis	3ç
brunnenkresse	3n
bruttogewinnmarge	8ʒ
bruttomarge	5ʒ
bräuche	2ç
bräuchen	2ç
brünstigste	5ç
brünstigstem	5ç
brünstigsten	5ç
brünstigster	5ç
brünstigstes	5ç
buchs	1k
buchsbaum	1k
buchse	1k,2s
budgetieren	2ʒ
bugsieren	2s
bugsierer	2s
bummerlsalat	3s
bundestagsabgeordnete	6s
bundestagsabgeordneter	6s
busenhalter	1s
buserer	1s
bärenkopfs	2n
bäuche	1ç
bäuchlings	1ç
bäumchen	2ç
böigste	1ç
böigstem	1ç
böigsten	1ç
böigster	1ç
böigstes	1ç
börsenkrach	3n
bösartig	1s
büchsenfagottes	2s
büchsenkugel	2s
büchsenlauf	2s
büchsenlicht	2s
büchsenmacher	2s
büchsennahrung	2s
büchsenöffner	2s
büseln	1s
cadaverin	2v
cadmiumhaltigste	7ç
cadmiumhaltigstem	7ç
cadmiumhaltigsten	7ç
cadmiumhaltigster	7ç
cadmiumhaltigstes	7ç
caravan	2v
cartesiusens	4s
charakterlosigkeit	5s
charge	2ʒ
chargieren	2ʒ
charmeoffensive	6v
charon	0ç
chauvi	1v
chauvinist	1v
chauvispruch	1v
chrisam	0ç
chrisma	0ç
claviform	2v
clever	2v
coronaviren	3v
coronavirus	3v
cottbuser	3s
courage	2ʒ
couragiert	2ʒ
cover	1v
covere	1v
covern	1v
covernd	1v
coverst	1v
covert	1v
coverte	1v
coverten	1v
covertest	1v
covertet	1v
cremigsten	3ç
crevette	2v
crivitz	2v
dachs	1k
dachswelpe	1k
dankesrede	1n
datenverarbeitungsanlagen	9s
david	1v
davidstern	1v
dazwischenkommen	5n
deaktivieren	3v
debitorenkonto	4n
dechsel	2s
defensio	3s
defensive	4v
deichsel	2s
delogieren	2ʒ
dendrochronologie	4k
denise	2s
denkungsart	4s
derivatem	2v
derivatemarkt	2v
desavouieren	1s,2v
desfallsig	4s
desillusionierend	1s
desillusioniert	1s
desillusionierung	1s
desinfektion	1s
desinfektionen	1s
desinformation	1s
desinformationskampagne	1s
desinformationskampagnen	1s
desinvestition	1s,3v
desodorieren	1s
desoxyribonukleinsäure	1s
desoxyribonukleinsäuren	1s
devalvation	1v,3v
deverbativ	1v
deviant	1v
devise	1v
devisenabfluss	1v
devisenabflusses	1v
devisenabflüsse	1v
devisenausgabe	1v
devisenkonto	1v
devisenkurs	1v
devisenmarkt	1v
devisenzufluss	1v
devisenzuflusses	1v
devisenzuflüsse	1v
devon	1v
devot	1v
dickblattgewächse	8s
dickblattgewächses	8s
dickbäuchig	3ç
diminutive	4v
diminutivem	4v
diminutives	4v
dinkeldörte	1n
diplomatenkoffer	5n
dipsomane	2s
direktinvestition	5v
divergent	1v
divergieren	1v
divers	1v
diversifizieren	1v
diversion	1v
diversität	1v
dividendenanspruch	1v
