# German vowel length corrections — word<TAB>ord+L|S,… (nucleus ordinal + long/short). From kaikki.
aachener	1S
aachenerin	1S,2S,3S
aalartig	1L
aalener	1S
aalenerin	1S,2S,3S
aalenerinnen	1S,2S
aalräucherei	2S
aalräuchereien	2S
aargauerin	2S,3S
aargauerinnen	2S
aaron	1S
aasjägerei	2S
abaka	0S
abakus	1S,2S
abalienieren	1S,2S
abalone	1S
abart	0S,1L
abartigkeit	1L
abartung	1L
abasie	1S
abaton	0L,1S,2S
abbaggerung	2S
abbasidische	1S
abbaubarkeit	2L
abbauprodukt	2S
abbauprozess	2S
abbekommen	1S
abberufen	1S
abberufung	1S
abbestellerin	3S,4S
abbezahlen	1S
abbezahlt	1S
abbezahlung	1S
abbildungstechnologie	4S,5S
abbrecherin	2S,3S
abbrecherinnen	2S
abdirigieren	1S,2S
abdomina	2S,3S
abdominal	1S,2S
abendbrot	0L
abendessen	0L
abendgrauen	0L
abendkasse	0L
abendkleider	0L
abendlied	0L
abendluft	0L
abendmahlzeit	0L
abendrot	0L
abends	0L
abendstimmung	0L
abenteuer	0L
aberglaube	0L
abergläubisch	0L
aberhundert	0L
aberwitz	0L
aberwitzig	0L
abessinien	3S
abfahrbereit	2S
abfahrtbereit	2S
abfallbehälter	2S
abfallbehälters	2S
abfasserin	2S,3S
abfasserinnen	2S
abfertigen	2S
abfertigung	2S
abfertigungsgebäude	2S,4S
abfertigungsgebühren	2S,4S
abfertigungsschalter	2S
abfeuerung	2S
abflugbereich	2S
abflugbereiche	2S
abflugbereiches	2S
abflugbereichs	1L,2S
abflugs	1L
abfragerin	2S,3S
abgasfahne	1L
abgasskandal	1L
abgassonderuntersuchung	1L,3S,6L
abgassonderuntersuchungen	1L,3S,6L
abgasstrahl	1L
abgasstrom	1L
abgearbeitet	1S
abgebissen	1S
abgedreht	2L
abgefeimt	1S
abgefeimtheit	1S
abgefuckt	1S
abgefüllt	1S
abgehackt	1S
abgehackter	1S
abgehacktesten	1S
abgekühlt	1S
abgelöst	1S
abgemacht	1S
abgemagert	1S
abgeneigt	1S
abgenutzt	1S
abgeordneter	1S,3S
abgepackt	1S
abgerockt	1S
abgesandt	1S
abgesandte	1S
abgesandter	1S
abgesang	1S
abgeschrägt	2L
abgeschrägte	2L
abgeschrägten	2L
abgeschrägtes	2L
abgesehen	1S
abgesendet	1S
abgewinnen	1S
abgewöhnen	1S
abgezockt	1S
abgeändert	1S
abguß	1S
abgötterei	2S
abheberin	2S,3S
abholerin	2S,3S
abholerinnen	2S
abhörerin	2S,3S
abhörerinnen	2S
abhörgeräte	1L,2S
abhörgerätes	1L,2S
abhörgeräts	1L,2S,3L
abi	0S,1S
abisolierzange	1S,2S
abitur	1S
abiturient	1S,2S,3S
abiturieren	1S,2S
abklärerin	2S,3S
abkürzungsverzeichnis	5S
ablativ	1S
ablaufdatum	3S
ableitungsmorphem	4L
ablenkungsmanöver	3S
ablenkungstaktik	4S
abmagerung	2S
abmagerungskur	2S
abmäherin	2S,3S
abmäherinnen	2S
abnormität	2S
abo	0S,1S
abonniererin	3S,4S
abonniererinnen	3S
aboral	1S
abort	0S
abputzerin	2S,3S
abraham	0L,1S,2S
abrasiv	1S
abreagieren	1S,2S
abreisserin	2S,3S
abreißerin	2S,3S
abreißerinnen	2S
abreißkalender	2S
abrissparty	2L,3S
abräumerin	2S,3S
abrüstungskonferenz	4S
absatzstrategie	2S,3S
absatztaktik	3S
abschiedsvorstellung	2L
abschießerin	2S,3S
abschießerinnen	2S
abschleiferin	2S,3S
abschliesserin	2S,3S
abschließerin	2S,3S
abschließerinnen	2S
abschlußkundgebung	1S
abschneiderin	2S,3S
absenderin	2S,3S
absendete	2S
absendetest	2S
absendetet	2S
absetzbetrags	3L
absicherer	2S
absicherung	2S
absicherungsstrategie	2S,4S,5S
absolut	1S
absolutadjektiv	1S
absolutheit	1S,2L
absolutismus	1S,2S,4S
absolventin	3S
abspielgerät	2S
absteigerin	2S,3S
absteigerinnen	2S
abstinent	1S
abstinenz	1S
abstrahieren	1S
abstraktum	2S
absucherin	2S,3S
absucherinnen	2S
absurdität	2S
abtreibungsbefürworter	3S,4L
abtreibungsbefürworterin	3S,4L,6S,7S
abtreibungsgegner	3L
abtreibungsgegnerin	3L,4S,5S
abtreibungsgesetz	3S
abtretbar	1L
abulie	1S
abwanderung	2S
abwasseranlage	2S
abwasserkanal	3S
abwasserreinigung	4S
abwehrbereit	2S
abwehrmechanismus	3S,5S
abwehrspieler	1S
abwehrspielerin	1S,3S,4S
abweichlerin	2S,3S
abwerten	1L
abwertung	1L
abwrackprämie	3S
abzureichern	1S
abzüglich	1L
abänderer	2S
abänderung	2S
abänderungen	2S
abänderungsantrag	2S
abänderungsklage	2S
abänderungsvorschlag	2S
abänderungsvorschlages	2S
abänderungsvorschlags	2S,5L
abänderungsvorschläge	2S
accum	1S
acetaldehyd	0S,3S,4S
acetat	0S,1S
aceton	0S,1S
acetyl	0S,1S
acetylcholin	0S,1S,2L,3S
acetylcholins	0S,1S,2L,3S,4L
acetylen	0S,1S,2S,3L
acetylgruppe	0S,1S
acetylgruppen	0S,1S
acetylieren	0S,1S,2S
acetyls	0S,1S,2L
acetylsalicylsäure	0S,1S,2L,3S,4S,5L
acetylsäure	0S,1S,2L
achatschnecke	1L
achernerin	2S,3S
achernerinnen	2S
achteckige	2S
achteckigem	2S
achteckiger	2S
achteckiges	2S
achteckpyramide	2S,3S
achteckpyramiden	2S,3S
achterer	1S
achtjähriger	2S
achtköpfiger	2S
achtminütig	1S
achtprozentig	1S
achtsprachig	1L
achtunddreißigjährige	5S
achtunddreißigjähriger	5S
achtunddreißigminütig	4S
achtunddreißigminütiger	4S,6S
achtunddreißigstündiger	5S
achtundfünfzigjähriger	5S
achtundvierzig	2S
achtundvierzigeck	2S,3S
achtundvierzigecke	2S,3S
achtundvierzigeckes	2S,3S
achtundvierzigeckig	2S,3S
achtundvierzigecks	2S,3S
achtundvierzigfach	2S
achtundvierzigfacher	2S
achtundvierzigjährig	2S
achtundvierzigjährige	2S,5S
achtundvierzigjähriger	2S,5S
achtundvierzigköpfig	2S
achtundvierzigmal	2S
achtundvierzigminütig	2S,4S
achtundvierzigminütiger	2S,4S,6S
achtundvierzigmonatig	2S,5S
achtundvierzigste	2S
achtundvierzigstel	2S
achtundvierzigstels	2S
achtundvierzigster	2S
achtundvierzigstündig	2S
achtundvierzigstündiger	2S,5S
achtundvierzigtägig	2S
achtundvierzigwöchig	2S
achtundzwanzigecke	3S
achtundzwanzigeckes	3S
achtundzwanzigeckig	3S
achtundzwanzigecks	3S
achtundzwanzigjährige	5S
achtundzwanzigjähriger	5S
achtundzwanzigköpfiger	5S
achtundzwanzigminütig	4S
achtundzwanzigminütiger	4S,6S
achtundzwanzigstündiger	5S
achtundzwanzigtägiger	5S
achtundzwanzigwöchiger	5S
achtwertig	1L
achtzehneck	1L
achtzehnecke	1L
achtzehneckes	1L
achtzehneckig	1L
achtzehneckiger	1L,3S
achtzehnfach	1L
achtzehnfacher	1L
achtzehnjährige	3S
achtzehnjähriger	3S
achtzehnköpfiger	3S
achtzehnmal	1L
achtzehnminütig	2S
achtzehntägiger	3S
achtzigecks	1S
achtzigminütig	2S
achtzigprozentig	2S
achtzigtägiger	3S
acidität	0S,1S,2S
acrylfarbe	1L
acrylglas	1L
adabei	1S
adam	1S
adamec	0S,1S
adametz	0S,1S
adaptieren	0S
additiv	1S
ade	0S,1L
adele	0S
adelig	1S
adelung	1S
adelungen	1S
adenau	1S
adenauer	1S
adenauerin	1S,3S,4S
adenauers	1S
adenaus	1S
adenin	0S,1S
adenom	0S,1S
adenosintriphosphat	0S,1S,2S,3L,4L
adidas	0S,1S,2S
adige	1S
adilette	0S,1S
adipös	0S,1S
adjutant	1S
adlatus	2S
adler	0L
adlerartig	0L
adlerauge	0L,1S
adlerfarn	0L
adlerfarne	0L
adlerfarnes	0L
adlerfarns	0L
adlerhorst	0L
adlerjunges	0L
adlernase	0L
adlernest	0L
adlernester	0L
adlernestes	0L
adlernests	0L
adlers	0L
adlig	0L
adliger	0L,1S
adlwang	0L
adlwanger	0L
adlwangerin	0L,2S,3S
adlwangerinnen	0L,2S
adlwangers	0L
adlwangs	0L
administrativ	1S,3S
administrieren	1S
admiral	1S
adobe	0S
adoptieren	0S
adrenalin	1S,2S
adressbuch	2L
adria	0L,1S,2S
adrian	0L,1S
adriane	1S
adrianen	1S
adrians	1S,2L
adriatisch	1S
adriatische	1S
adriatischer	1S
adriatisches	1S
adventismus	3S
adventkalender	2S
adventskalender	2S
adventskalendern	2S
adventskalenders	2S
advokat	1S
adäquat	0S,1S
ae	1L
aerobier	0S,1S,3S
aerobiern	0S,1S,3S
aerobiologie	0S,1S,2S,3S,4S,5S
aerodynamik	0S,1S,2S,3S,5S
aerodynamisch	0S,1S,2S,3S
aerophobie	0S,1S,3S
aeroplan	0S,1S
aerosolbombe	0S,1S,2S,3L
affinität	1S,2S
affirmativ	2S
affrikate	1S
afrika	1S,2S
afrikaans	1S
afrikaner	1S
afrodeutsche	0L
afrodeutscher	0L
agape	0S
agathe	0S,1L
agenda	0S,2S
agende	0S
agentin	0S,2S
agentinnen	0S
agentur	0S
agglutinierend	1S,2S
agglutinierende	1S,2S
aggressivität	2S,3S
agil	0S
agile	0S
agilität	0S,1S,2S
agioteur	0S,1S,2S
agitieren	0S,1S
agnes	0L
agnostiker	2S
agnostikerin	2S,3S,4S
agon	0S
agonal	0S,1S
agoraphobie	0S,1S,3S
agrammatismus	2S,4S
agrarbiologie	1L,2S,3S,4S
agrargemeinschaft	1L,2S
agrargesellschaft	1L,2S
agrarpolitik	1L,2S,3S
agrarökologie	2S,3S,4S
agrobiologie	0L,1S,2S,3S,4S
aha	0S,1S
ahistorisch	0S
ahlener	1S
ahlenerin	1S,2S,3S
ahlenerinnen	1S,2S
ahleners	1S
ahmadinedschad	0S,1S,2S
ahmed	0S
ahnin	1S
ahrdorferin	2S,3S
ahrdorferinnen	2S
ahrensburgerin	3S,4S
ahrensburgerinnen	3S
ahrweilerin	2S,3S
aiblingerin	2S,3S
aiblingerinnen	2S
aichacherin	2S,3S
aichacherinnen	2S
aimbot	1S
aioli	2S
airbag	1S
ajax	1S
akademie	0S,1S,2S
akademieausgabe	0S,1S,2S
akademiker	0S,1S,3S
akarnanien	0S,3S
akarnaniens	0S,3S
akelei	0S,1S
akklamieren	1S
akklimatisieren	1S,2S,3S
akkordeon	2S,3S
akkordeonspieler	2S,3S
akkordeonspielerin	2S,3S,5S,6S
