અખાદ્ય	əkʰˈad̪jə
અગણિત	ˈəɡəɳit̪
અણગમતું	əɳəɡˈəmt̪ũ
અણસણ	ˈəɳəsəɳ
અથવા	ˈət̪ʰəʋa
અદરક	ˈəd̪əɾək
અનારકળી	ənˈaɾkəɭi
અન્ય	ˈənjə
અબલખ	ˈəbələkʰ
અમ્લ	ˈəmlə
અયોગ્ય	əjˈoɡjə
અરડૂસી	ˈəɾəɽusi
અરબસ્તાન	əɾəbˈəst̪an
અરમાન	ˈəɾəman
અરસલાન	ˈəɾsəlan
અલયસા	ˈəljəsa
અવતરવું	əʋət̪ˈəɾʋũ
અવયવીકરણ	əʋəjəʋˈikɾəɳ
અશ્વ	ˈəʃʋə
અષ	ˈəʂə
અષ્ટકોણ	ˈəʂʈkoɳ
અસબાબ	ˈəsəbab
અસ્તરો	ˈəst̪ɾo
અહમદનગર	əɦmˈəd̪nəɡəɾ
આઇસક્રીમ	aˈiskɾim
આંગળી	ˈãŋɡɭi
આડત્રીસ	ˈaɽt̪ɾis
આતશકદેહ	at̪əʃˈəkd̪eɦ
આપણે	ˈapəɳe
આબોહવા	ˈaboɦəʋa
આમલી	ˈaməli
આમુદરિયા	ˈamud̪əɾija
આયખું	ˈajəkʰũ
આરોગ્ય	aɾˈoɡjə
આર્ય	ˈaɾjə
ઉતાવળિયું	ˈut̪aʋəɭijũ
ઉદાહરણ	ˈud̪aɦəɾəɳ
ઉપનામ	ˈupənam
ઉપનિષદ	ˈupəniʂəd̪
ઉપલબ્ધ	upəlˈəbd̪ʱ
ઉંબરો	ˈũmbɾo
ઊગવું	ˈuɡəʋũ
એકત્રીસ	ˈekt̪ɾis
એકાદશી	ˈekad̪əʃi
એહસાન	ˈeɦəsan
ઓગણત્રીસ	oɡˈəɳt̪ɾis
કરડવું	kˈəɾɽʋũ
કર્ણાવતી	kˈəɾɳaʋət̪i
કર્મ	kˈəɾmə
કાપડિયા	kˈapəɽija
કાંબળી	kˈãmbɭi
કાંબળો	kˈãmbɭo
કાર્ય	kˈaɾjə
કુરતની	kˈuɾt̪əni
કૃષ્ણ	kɾˈuʂɳə
કેટલોગ	kˈeʈəloɡ
કેંદ્ર	kˈẽn̪d̪ɾə
કોયલો	kˈojəlo
કોહળું	kˈoɦəɭũ
ક્રિયાવિશેષણઅવ્યય	kɾijaʋiʃeʂɳˈəʋjəjə
ક્ષત્રિય	kʂˈət̪ɾijə
ક્ષેત્ર	kʂˈet̪ɾə
ખ્રિસ્તીકરણ	kʰɾˈist̪ikəɾəɳ
ગણપતિ	ɡˈəɳəpət̪i
ગર્ભવતી	ɡˈəɾbʱəʋət̪i
ગાંધીનગર	ɡˈãn̪d̪ʱinəɡəɾ
ગીતશાસ્ત્ર	ɡit̪ʃˈast̪ɾə
ગોરપદું	ɡˈoɾpəd̪ũ
ગ્રીષ્મ	ɡɾˈiʂmə
ટૂથબ્રશ	ʈˈut̪ʰbɾəʃ
ડાયરી	ɖˈajəɾi
ડુંગળી	ɖˈũŋɡɭi
ઢીંગલી	ɖʱˈĩŋɡli
તરાપો	t̪ɾˈapo
તામ્ર	t̪ˈamɾə
તુર્કમેનિસ્તાન	t̪ˈuɾkmenist̪an
દએવ	d̪ˈəeʋə
દફનક્રિયા	d̪əpʰˈənkɾija
દારેસલામ	d̪ˈaɾesəlam
દેહધર્મ	d̪eɦd̪ʱˈəɾmə
દોહિત્ર	d̪oɦˈit̪ɾə
ધર્મ	d̪ʱˈəɾmə
ધૂય	d̪ʱˈujə
નગરહવેલી	nəɡˈəɾɦəʋeli
નગ્ન	nˈəɡnə
નરેન્દ્ર	nəɾˈend̪ɾə
નવલકથા	nəʋˈəlkət̪ʰa
નવાનગર	nˈəʋanəɡəɾ
નિર્ણય	nˈiɾɳəjə
નૃત્ય	nɾˈut̪jə
પત્ર	pˈət̪ɾə
પદ્મ	pˈəd̪mə
પવિત્ર	pəʋˈit̪ɾə
પવિત્રાત્મા	pəʋit̪ɾəˈat̪ma
પાંદડું	pˈãn̪d̪ɽũ
પાવની	pˈaʋəni
પાંસળી	pˈãsəɭi
પુત્ર	pˈut̪ɾə
પુષ્કલાવતી	pˈuʂkəlaʋət̪i
પુષ્પ	pˈuʂpə
પુષ્પપાત્ર	puʂpəpˈat̪ɾə
પૂતળું	pˈut̪əɭũ
પેંગડું	pˈẽŋɡɽũ
પ્રગતિ	pɾˈəɡət̪i
પ્રમાણપત્ર	pɾəmaɳpˈət̪ɾə
પ્રશ્ન	pɾˈəʃnə
પ્રાર્થવું	pɾˈaɾt̪ʰʋũ
ફરાક	pʰɾˈak
ફારગતી	pʰˈaɾɡət̪i
ફેંકવું	pʰˈẽŋkʋũ
ફેંદવું	pʰˈẽn̪d̪ʋũ
બદ્ર	bˈəd̪ɾə
