á	a³¹
â	a⁴⁴
ái	aɪ³¹
âi	aɪ⁴⁴
ak	ak̚¹
am	am⁵³
âm	am⁴⁴
án	an³¹
âng	aŋ⁴⁴
ap	ap̚¹
at	at̚¹
au	au⁵³
âu	au⁴⁴
bîn	pin⁴⁴
cha	t͡sa⁵³
chá	t͡sa³¹
châ	t͡sa⁴⁴
chai	t͡saɪ⁵³
châi	t͡saɪ⁴⁴
chak	t͡sak̚¹
cham	t͡sam⁵³
chám	t͡sam³¹
châm	t͡sam⁴⁴
chan	t͡san⁵³
chán	t͡san³¹
chân	t͡san⁴⁴
chang	t͡saŋ⁵³
cháng	t͡sən³¹
châng	t͡saŋ⁴⁴
chap	sap̚¹
chat	t͡sat̚¹
chau	t͡sau⁵³
cháu	t͡sau³¹
ché	t͡se³¹
chen	t͡sɛn⁵³
chên	t͡sɛn⁴⁴
chep	t͡sʰɔt̚¹
chet	t͡sɛt̚¹
cheu	t͡sau⁵³
chéu	t͡seu³¹
chêu	t͡sau⁴⁴
chha	t͡sʰa⁵³
chhá	t͡sʰa³¹
chhà	t͡sʰa¹¹
chhâ	t͡sʰa⁴⁴
chhai	t͡sʰaɪ⁵³
chhái	t͡sʰaɪ³¹
chhài	t͡sʰaɪ¹¹
chhâi	t͡sʰaɪ⁴⁴
chhak	t͡sʰak̚¹
chham	t͡sʰam⁵³
chhám	t͡sʰam³¹
chhàm	t͡sʰam¹¹
chhâm	t͡sʰam⁴⁴
chhan	t͡sʰan⁵³
chhán	t͡sʰan³¹
chhàn	t͡sʰan¹¹
chhang	t͡sʰaŋ⁵³
chhàng	t͡sʰaŋ¹¹
chhap	t͡sʰap̚¹
chha̍p	t͡sʰap̚⁵
chhat	t͡sʰat̚¹
chha̍t	t͡sʰat̚⁵
chháu	t͡sʰau³¹
chhe	t͡sʰoɪ⁵³
chhèn	t͡sʰɛn¹¹
chhet	t͡sʰɛt̚¹
chhe̍t	t͡sʰɛt̚⁵
chheu	t͡sʰau⁵³
chhèu	t͡sʰau¹¹
chhêu	t͡sʰau⁴⁴
chhi	t͡ɕʰi⁵³
chhí	t͡ɕʰi³¹
chhì	t͡ɕʰi¹¹
chhî	t͡ɕʰi⁴⁴
chhia	t͡ɕʰia⁵³
chhiá	t͡ɕʰia³¹
chhià	ɕia¹¹
chhiâ	t͡ɕʰia⁴⁴
chhia̍k	t͡ɕʰiak̚⁵
chhiam	t͡ɕʰiam⁵³
chhiâm	t͡ɕʰiam⁴⁴
chhiang	t͡ɕʰiaŋ⁵³
chhiáng	t͡ɕʰiaŋ³¹
chhiàng	t͡ɕʰiaŋ¹¹
chhiâng	t͡ɕʰiaŋ⁴⁴
chhiap	t͡ɕʰiap̚¹
chhia̍p	t͡ɕʰiap̚⁵
chhien	t͡ɕʰiɛn⁵³
chhién	t͡ɕʰiɛn³¹
chhièn	t͡ɕʰiɛn¹¹
chhiên	t͡ɕʰiɛn⁴⁴
chhiet	t͡ɕʰiɛt̚¹
chhie̍t	t͡ɕʰiɛt̚⁵
chhìm	t͡ɕʰim¹¹
chhîm	t͡ɕʰim⁴⁴
chhin	t͡ɕʰin⁵³
chhìn	t͡ɕʰin¹¹
chhîn	t͡ɕʰin⁴⁴
chhion	t͡ɕʰiɔn⁵³
chhiòn	t͡ɕʰiɛn¹¹
chhiôn	t͡ɕʰiɔn⁴⁴
chhiong	t͡ɕʰiɔŋ⁵³
chhióng	t͡ɕʰiɔŋ³¹
chhiòng	ɕiɔŋ¹¹
chhiông	t͡ɕʰiɔŋ⁴⁴
chhit	t͡ɕʰit̚¹
chhiu	t͡ɕʰiu⁵³
chhiù	t͡ɕʰiu¹¹
chhiû	t͡ɕʰiu⁴⁴
chhiùng	t͡ɕʰiʊŋ¹¹
chho	t͡sʰau⁵³
chhó	t͡sʰau³¹
chhò	t͡sʰau¹¹
chhô	t͡sʰo⁴⁴
chhoi	t͡sʰoɪ⁵³
chhói	t͡sʰoɪ³¹
chhòi	t͡sʰoɪ¹¹
chhôi	t͡sʰoɪ⁴⁴
chho̍k	t͡sʰɔk̚⁵
chhon	t͡sʰɔn⁵³
chhòn	t͡sʰɔn¹¹
chhôn	t͡sʰɔn⁴⁴
chhong	t͡sʰɔŋ⁵³
chhóng	t͡sʰɔŋ³¹
chhòng	t͡sʰɔŋ¹¹
chhông	t͡sʰɔŋ⁴⁴
chhot	t͡sʰɔt̚¹
chhu	t͡sʰu⁵³
chhú	t͡sʰu³¹
chhù	t͡sʰu¹¹
chhû	t͡sʰz̩⁴⁴
chhṳ	t͡sʰz̩⁵³
chhṳ́	t͡sʰz̩³¹
chhṳ̀	t͡sʰz̩¹¹
chhṳ̂	t͡sʰz̩⁴⁴
chhui	t͡sʰuɪ⁵³
