# Irish (ga) Connacht pronunciation lexicon — generated by tools/gen/build-ga-lexicon.mts (do not hand-edit).
# Oracle-distilled (espeak-ng-portable ga over the 50k corpus), Connacht-normalized vs the wikipron gle
# referee: broad bh/mh vˠ→w, unstressed final -e ɛ→ə, unstressed short i ɪ→ə, spurious break iːə→iː. Only
# consonant+glide-skeleton-matching entries are kept (pins semi-lexical VOWEL QUALITY — io/oi/eo splits —
# without importing a consonant quirk OR an oracle glide the rules omit), THEN referee-gated: any entry the
# wikipron gle referee covers is kept only if it folds to a referee pronunciation, so the lexicon never pulls
# a checkable word away from Connacht ground truth. word<TAB>IPA.
aalborg	ˈaəl̪ˠəbˠəɾˠəɡ
aatá	ˈaət̪ˠˌɑː
abcáis	əbˠkˈɑːⁱʃ
abercorn	əbʲəɾʲkˈɔɾˠən̪ˠ
absalóideach	əbˠsˠəl̪ˠˈoːⁱdʲəx
absolóideach	əbˠsˠəl̪ˠˈoːⁱdʲəx
aburrá	ˈabˠəɾˠˌɑː
abáilte	əbˠˈɑːⁱlʲtʲə
académie	əkədʲˈeːmʲəə
acadóir	əkəd̪ˠˈoːⁱɾʲ
acatáinin	əkət̪ˠˈɑːⁱnʲənʲ
achoimre	ˈaxɔmʲɾʲə
achoimriú	ˈaxɔmʲɾʲuː
achoimrí	ˈaxɔmʲɾʲiː
achtainilít	əxt̪ˠənʲəlʲˈiːtʲ
achtanimíocóis	əxt̪ˠənʲəmʲiːkˈoːⁱʃ
aclaíocht	əkl̪ˠˈiːxt̪ˠ
acnód	əkən̪ˠˈoːd̪ˠ
acsóin	əksˠˈoːⁱnʲ
acu	akˈʊ
acáidis	əkˈɑːⁱdʲəʃ
adanóisín	əd̪ˠən̪ˠˈoːⁱʃiːnʲ
admhaíonn	əd̪ˠwˈiːn̪ˠ
admhaítear	əd̪ˠwˈiːtʲəɾˠ
admhálach	ˈad̪ˠwˌɑːl̪ˠəx
adomnáin	əd̪ˠəmˠn̪ˠˈɑːⁱnʲ
adomnán	ˈad̪ˠəmˠn̪ˠˌɑːn̪ˠ
aeigéach	eːəɟˈeːx
aeinéas	eːənʲˈeːsˠ
aeinéid	eːənʲˈeːdʲ
aeistéitic	eːəʃtʲˈeːtʲəc
