# Toneless Mandarin syllable → canonical segmental IPA — an exhaustive inventory of the pinyin
# syllabary (validated vs wikipron + epitran). Tone letters STRIPPED: the engine appends the Chao
# tone at syllable END (the standard convention). Stress marks DROPPED — Mandarin has no contrastive
# lexical stress; tone (and its absence on neutral-tone syllables) carries prominence. ü syllables +
# syllabic-nasal interjections hand-set.
a	ɑ
ai	aⁱ
an	an
ang	ɑŋ
ao	ɑᵘ
ba	pɑ
bai	paⁱ
ban	pan
bang	pɑŋ
bao	pɑᵘ
bei	peⁱ
ben	pən
beng	pəŋ
bi	pi
bian	piɛn
biang	piɑŋ
biao	pjɑᵘ
bie	piɛ
bin	pin
bing	piŋ
bo	po
bong	poŋ
bu	pu
ca	t͡sʰɑ
cai	t͡sʰaⁱ
can	t͡sʰan
cang	t͡sʰɑŋ
cao	t͡sʰɑᵘ
ce	t͡sʰɤ
cei	t͡sʰeⁱ
cen	t͡sʰən
ceng	t͡sʰəŋ
cha	ʈ͡ʂʰɑ
chai	ʈ͡ʂʰaⁱ
chan	ʈ͡ʂʰan
chang	ʈ͡ʂʰɑŋ
chao	ʈ͡ʂʰɑᵘ
che	ʈ͡ʂʰɤ
chen	ʈ͡ʂʰən
cheng	ʈ͡ʂʰəŋ
chi	ʈ͡ʂʰʐ̩
chong	ʈ͡ʂʰoŋ
chou	ʈ͡ʂʰoᵘ
chu	ʈ͡ʂʰu
chua	ʈ͡ʂʰwɑ
chuai	ʈ͡ʂʰuaⁱ
chuan	ʈ͡ʂʰuan
chuang	ʈ͡ʂʰwɑŋ
chui	ʈ͡ʂʰueⁱ
chun	ʈ͡ʂʰuən
chuo	ʈ͡ʂʰuo
ci	t͡sʰɹ̩
cong	t͡sʰoŋ
cou	t͡sʰoᵘ
cu	t͡sʰu
cuan	t͡sʰuan
cui	t͡sʰueⁱ
cun	t͡sʰuən
cuo	t͡sʰuo
da	tɑ
dai	taⁱ
dan	tan
dang	tɑŋ
dao	tɑᵘ
de	tɤ
dei	teⁱ
den	tən
deng	təŋ
di	ti
dia	tiɑ
dian	tiɛn
diao	tjɑᵘ
die	tiɛ
din	tin
ding	tiŋ
diu	tioᵘ
dong	toŋ
dou	toᵘ
du	tu
duan	tuan
dui	tueⁱ
dun	tuən
duo	tuo
e	ɤ
ei	eⁱ
en	ən
eng	əŋ
er	ər
fa	fɑ
fan	fan
fang	fɑŋ
fei	feⁱ
fen	fən
feng	fəŋ
fiao	fjɑᵘ
fo	fo
fou	foᵘ
fu	fu
ga	kɑ
gai	kaⁱ
gan	kan
gang	kɑŋ
gao	kɑᵘ
ge	kɤ
gei	keⁱ
gen	kən
geng	kəŋ
gong	koŋ
gou	koᵘ
gu	ku
gua	kwɑ
guai	kuaⁱ
guan	kwan
guang	kwɑŋ
gui	kueⁱ
gun	kuən
guo	kuo
ha	xɑ
hai	xaⁱ
han	xan
hang	xɑŋ
hao	xɑᵘ
he	xɤ
hei	xeⁱ
hen	xən
heng	xəŋ
hm	hm̩
hng	hŋ̍
hong	xoŋ
hou	xoᵘ
hu	xu
hua	xwɑ
huai	xuaⁱ
huan	xuan
huang	xwɑŋ
