# Min Nan single-char Han→Tâi-lô SUPPLEMENT — rebuilt from ChhoeTaigi's permissive components
# (台華線頂對照典 CC BY-SA 4.0 > iTaigi CC0; see dict.PROVENANCE.md). Explicit single-char entries first,
# then per-char majority vote over ALL aligned rows incl. mixed Han-Lo (votes>=2, >=60%: 1551;
# sole-attestation fallback: 224), then kaikki Wiktionary Hokkien single-char readings
# (CC-BY-SA, lowest priority; 2124 chars — referee-circularity caveat in dict.PROVENANCE.md).
# The word dict.tsv takes precedence at runtime; this only fills single chars it lacks.
㒒	po̍k
㔂	lân
㖹	pûn
㗆	ki
㚻	ke
㜅	thik
㤉	gê
㧌	mau
㧎	khê
㧒	hiat
㧣	tu
㧾	hut
㨂	tàng
㨑	tsang
㪉	kap
㴘	bāu
㵶	tsuah
㷮	tsau
㼜	iúnn
㾀	khiap
㾗	liōng
㾪	sán
䀁	huî
䀐	siam
䀦	kóo
䀫	khueh
䁪	tsiám
䃎	tá
䃰	tshat
䆀	bái
䇭	ló
䉔	tshuann
䉪	luí
䋎	thīnn
䑩	koo
䕷	bî
䖙	the/thenn
䖳	thē
䘥	kah
䘷	pih
䘼	ńg
䟙	tshih
䟜	la̍p
䠡	tshê/tshuê
䢢	tshiāng
䤝	giang
䫀	kún
䫌	phué
䫐	lìm
䭁	tsiat
䭕	tsiánn
䭞	sio̍h
䲅	kui
一	tsi̍t
丁	ting
七	tshit
万	bi̍k
丈	tiāng
三	sann
上	tsiūnn
下	ē
丌	ki
不	put
丏	bián
丐	kài
丑	thiú
且	tshiánn
丕	phi
世	sè
丘	khu
丙	piánn
丞	sîng
丟	tiu
並	pìng
丨	kún
个	ê
丫	a
中	tiong
丱	kuàn
串	tshǹg
丶	tsú
丸	uân
丹	tan
主	tsú
丼	tôm
丿	phiat
乂	ngāi
乃	nái
久	kú
之	tsi
乍	tsā
乎	hōo
乏	ha̍t
乒	phín
乓	phóng
乖	kuai
乘	sīng
乙	it
乜	Mih
九	káu
乞	khit
也	iā
乩	ki
乳	lú
乾	kuann
亂	luān
亅	kua̍t
了	liáu
予	hōo
事	sū
二	jī
亍	tù
于	î
云	ûn
互	hōo
五	gōo
井	tsénn
亙	kìng
些	sia
亞	a
亟	kik
亠	thiô
亡	bông
亢	khòng
交	kau
亥	hāi
亦	ia̍h
亨	hing
享	hiáng
京	kiann
亭	tîng
亮	liāng
亶	tsinn
人	lâng
什	siánn
仁	jîn
仃	tan
仄	tseh
仆	phak
仇	siû
仉	tsióng
今	kim
介	kài
仍	lîng
仔	á
仕	sū
他	thann
仗	tiāng
付	hù
仙	sian
