㔂甘蔗	lân-kam-tsià
㝗港	láng-káng
㤉𡳞	gê-lān
㧎㧎	khê-khê
㧎空	khê-khang
㧎跤㧎手	khê-kha-khê-tshiú
㧎關	khê-kuan
㧎馬	khê-bé
㧣風	tu-hong
㧣風搢水	tu-hong-tsìnn-tsuí
㨂甲	tàng-kah
㪉紙機	kap-tsuá-ki
㾀屎	khiap-sái
䆀手	bái-tshiú
䆀手仔	bái-tshiú-á
䆀手仔枴	bái-tshiú-á-kuái
䆀才	bái-tsâi
䆀抉	bái-kuat
䆀料	bái-liāu
䆀樣	bái-iūnn
䆀火	bái-hué
䆀甲有賰	bái-kah-ū-tshun
䆀甲有齊勻	bái-kah-ū-tsiâu-ûn
䆀貨	bái-huè
䇭履仔	ló-lí-á
䉪錢	luí-tsînn
䖙倒起腰	the-tó-khí-io
䖳仔	thē-á
䖳仔水	thē-ái-tsúi
䖳魚	thē-hî
䠡街按路	tshê/tshuê-ke/kue-àn-lōo
䢢往	tshiāng-óng
䢢拄䢢拄著	tshiāng-tú-tshiāng-tú-tio̍h
䫐一下	lìm-tsi̍t-ē
一丈差九尺	tsi̍t-tn̄g-tsha-káu-tshioh
一丈槌無留三尺後	tsi̍t-tn̄g-thuî-bô-lâu-sann-tshioh-āu
一丈槌著留三尺後	tsi̍t-tn̄g-thuî-tio̍h-lâu-sann-tshioh-āu
一丈紅	it-tiōng-hông
一下	tsi̍t-ē
一下仔	tsi̍t-ē-á
一下子	tsi̍t-ē-á
一下子囝	tsi̍t-ē-á-kiánn
一下手	tsi̍t-ē-tshiú
一下按呢	tsi̍t-ê-án-ne
一下轉到厝	tsi̍t-ē-tńg-kàu-tshù
一世	it-sè
一世人	tsi̍t-sì-lâng
一个	tsi̍t-ê
一个一个	tsi̍t-ê-tsi̍t-ê
一个人	tsi̍t-ê-lâng
一个人無雙重才	tsi̍t-ê-lâng-bô-siang-tîng-tsâi
一个人無雙頭才	tsi̍t-ê-lâng-bô-siang-thâu-tsâi
一个仔一个	tsi̍t-ê-á-tsi̍t-ê
一个喙若拍磟碡仔	tsi̍t-ê-tshuì-nā-phah-la̍k-ta̍k-á
一个喙若雞母尻川	tsi̍t-ê-tshuì-ná-ke-bó-kha-tshuinn
一个接一个	tsi̍t-ê-tsiap-tsi̍t-ê
一个某較好三个天公祖	tsi̍t-ê-bóo-khah-hó-sann-ê-Thinn-kong-tsóo
一个查某囝允兩个親情	tsi̍t-ê-tsa-bóo-kiánn-ín-nn̄g-ê-tshin-tsiânn
一个紅龜按一个位	tsi̍t-ê-âng-ku-àn-tsi̍t-ê-uī
一个錢拍廿四个結	tsi̍t-ê-tsînn-phah-jia̍p-sì-ê-kat
一串紅	it-tshuàn-hông
一丹好	it-tan-hó
一久仔	it-kú-á
一九九二年	it-kiú-kiú-jī-nî
一九扣	it-kiú-khàu
一五一十	it-gōo-it-tsa̍p
一五二貫七	it-gōo-jī-kuàn-tshit
一人害眾人	tsi̍t-lâng-hāi-tsìng-lâng
一人行一路	tsi̍t-lâng-kiânn-tsi̍t-lōo
一人袂比得一人	tsi̍t-lâng-bē-pí-tit-tsi̍t-lâng
一人講一款	tsi̍t-lâng-kóng-tsi̍t-khuán
一人講一話	tsi̍t-lâng-kóng-tsi̍t-uē
一人逆眾人	tsi̍t-lâng-gi̍k-tsiòng-lâng
一仙五厘	tsi̍t-sián-gōo-lî
一件	tsi̍t-kiānn
一份	tsi̍t-hūn
一來	it-lâi
一例一休	it-lē-it-hiu
一例一歇	tsi̍t-lē-tsi̍t-hioh
一倒水	it-tó-tsuí
一停仔	tsi̍t-thîng-á
一兩工	tsi̍t-nn̄g-kang
一兩日	tsi̍t-nn̄g-ji̍t
一再	it-tsài
一刀見肉	tsi̍t-to-kìnn-bah
一分錢拍二十四个結	tsi̍t-hun-tsînn-phah-jī-tsa̍p-sì-ê-kat
一分鐘	tsi̍t-hun-tsing
一切	it-tshè
一切攏是假影的	It-tshè-lóng-sī-ké-iánn-ê
一切攏是假的	it-tshè-lóng-sī-ké-ê
一列	tsi̍t-lia̍t
一則	it-tsik
一劫過一劫	tsi̍t-kiap-kuè-tsi̍t-kiap
一勞永逸	it-lô-íng-i̍k
一勻一勻	tsi̍t-ûn-tsi̍t-ûn
一匕一中	it-pí-it-tiòng
一匕中	it-pí-tiòng
一千賒毋值八百現	tsi̍t-tshing-sia-m̄-ta̍t-peh-pah-hiàn
一千賒毋達八百現	tsi̍t-tshian-sia-m̄-ta̍t-peh-pah-hiàn
一半工	tsi̍t-puànn-kang
一半擺仔	tsi̍t-puànn-pái-á
一半日	tsi̍t-puànn-ji̍t
一半過仔	tsi̍t-puànn-kuè-á
一卡通	it-khá-thong
一去不回頭	it-khì-p-huê-thâu
一句半句	tsi̍t-kù-puànn-kù
一句講就袂曉話	tsi̍t-kū-kóng-tō-bē-hiáu-uē
一句講都袂曉話	tsi̍t-kù-kóng-to-bē-hiáu-uē
一叫一應	tsi̍t-kiò-tsi̍t-ìng
一向	it-hiòng
一周	tsi̍t-tsiu
一味	it-bī
一喙傳一耳	tsi̍t-tshuì-thuân-tsi̍t-hīnn
一喙掛雙舌	tsi̍t-tshuì-kuà-siang-tsi̍h
一喙氣	tsi̍t-tshuì-khuì
一喙雙頭	tsi̍t-tshuì-siang-thâu
一喙雙頭出	tsi̍t-tshuì-siang-thâu-tshut
一嘴氣	tsi̍t-tshuì-khuì
一四界	tsi̍t-sì-kè
一囷草	tsi̍t-khûn-tsháu
一圈	tsi̍t-khian
一國兩制	It-kok-lióng-tsè
一坵田	tsi̍t-khu-tshân
一垺尿	tsi̍t-pû-jiō
一夥	tsi̍t-hué
一失一得	it-sit-it-tit
一子	tsi̍t-jí
一字平	it-jī-pênn
一字毋捌一劃	tsi̍t-jī-m̄-bat-tsi̍t-ue̍h
一定	it-tīng
一家一家	tsi̍t-ke-tsi̍t-ke
一家口	tsi̍t-ke-kháu
一寡	tsi̍t-kuá
一寡仔	tsi̍t-kuá-á
一寸仔	tsi̍t-tshǹg-á
一對時	tsi̍t-tuì-sî
一尾	it-bué
一尾魚	chı̍t-bóe-hî
一尾魚落鼎	tsi̍t-bué-hî-lo̍h-tiánn
一屑仔	tsi̍t-sut-á
一工	tsi̍t-kang
一工到暗	tsi̍t-kang-kàu-àm
一工貼貼	tsi̍t-kang-tah-tah
一己	it-kí
一帆風順	it-phâng-hong-sūn
一席之地	it-si̍k-tsi-tē
一帶	it-tài
一幅圖	tsi̍t-pak-tôo
一年	tsi̍t-nî
一年半載	it-liân-puàn-tsài
一年換二十四个頭家	tsi̍t-nî-uānn-jī-tsa̍p-sì-ê-thâu-ke
一年迵天	tsi̍t-nî-thàng-thinn
一年透冬	tsi̍t-nî-thàu-tang
一庀仔	tsi̍t-phí-á
一庀庀仔	tsi̍t-phí-phí-á
一床包仔	tsi̍t-sn̂g-pau-á
一度	it-tó
一度一	it-tó-it
一度好	it-tó-hó
一廂情願	it-siong-tsîng-guān
一張眠床	tsi̍t-tiunn-bîn-tshn̂g
一律	it-lu̍t
一得一失	it-tit-it-sit
一徛一畫	tsi̍t-khiā-tsi̍t-uē
