# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# ⚠ LICENCE: GPL-3.0 (per-file fence) — NOT CC-BY-SA like the sibling riders.
# Source: g2p-inversion over espeak-ng dictsource/ps_list (GPL-3.0, Hanif Rahman) + wikipron + kaikki.
# 12535 of 13828 rows are reachable only from the GPL source. Only the SHORT-VOWEL PLACEMENT
# derives from it — espeak's phoneme strings are never copied; the consonants are our g2p's.
# See src/languages/pashto/lexicon.PROVENANCE.md and LICENSES/PROVENANCE.md §4.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
آبخانە	آبخانَە
آبکند	آبکنْد
آسو	آسُو
آيرلنډ	آيرْلنْډ
ابادول	ابادَول
ابت	ابْت
ابتد	ابتَد
ابتدڅخه	ابتدْڅْخه
ابتر	ابتَر
ابترۍ	ابتَرۍ
ابتسم	ابتَسَم
ابتل	ابتَل
ابجد	ابجَد
ابجدو	ابجَدو
ابجدي	ابجَدي
ابجن	ابجَن
ابخوري	ابخُوري
ابد	ابْد
ابدأ	ابدَأ
ابدبه	ابْدْبه
ابدس	ابدَس
ابدسی	ابدَسِی
ابدل	ابدَل
ابدومن	ابدومَن
ابدى	ابدِى
ابدی	ابدِی
ابر	ابْر
ابربل	ابرَبْل
ابرتز	ابرَتْز
ابرتزد	ابرَتْزْد
ابرسېره	ابْرسېره
ابرقدرت	ابرَقْدرَت
ابرقدرتونه	ابرقْدرَتُونه
ابرقدرتې	ابرَقْدرَتې
ابرمی	ابْرمِی
ابروي	ابرَوي
ابرويي	ابرَويي
ابري	ابرَي
ابزرفر	ابزَرفر
ابس	ابْس
ابــش	ابْــش
ابـــد	ابْـــد
ابــــد	ابْــــد
ابل	ابْل
ابلس	ابْلْس
ابلسى	ابْلْسِى
ابللو	ابْللو
ابللي	ابْللي
ابلمونو	ابْلْمُونو
ابليسى	ابليسِى
ابلی	ابلِی
ابن	ابْن
ابنته	ابْنْته
ابند	ابْنْد
ابندونه	ابْنْدُونه
ابنز	ابْنْز
ابو	ابُو
ابوبكر	ابوْبْكر
ابوبکر	ابوْبْکر
ابوبکررض	ابوْبْکررض
ابوبکررضی	ابوْبْکرْرضِی
ابوبکرصدیق	ابوْبْکرْصدیق
ابى	ابِى
ابيو	ابَيو
ابچی	ابچِی
ابکله	ابَکَله
ابی	ابِی
ابیو	ابَیو
ابیوردی	ابَیوردِی
ابېکس	ابېکْس
اتبع	اتْبْع
اتبعني	اتْبْعْني
اتح	اتْح
اتحقیر	اتْحْقیر
اتدرون	اتْدْرُون
اتر	اتْر
اترت	اتْرْت
اتردې	اتْرْدې
اترط	اتْرْط
اترونه	اترُونه
اترى	اترِى
اتريخت	اتريخْت
اتريشى	اتريشِى
اترپردېش	اتْرْپْرْدېش
اترپه	اتْرْپه
اتری	اترِی
اتزمو	اتْزْمو
اتسلمه	اتْسْلْمه
اتش	اتْش
اتشکدې	اتْشْکْدې
اتشی	اتشِی
اتــــــــــ	اتْــــــــــ
اتــــــــــــــــــــــــــــــــــــڼ	اتْــــــــــــــــــــــــــــــــــــڼ
اتــــم	اتْــــم
اتــــڼ	اتْــــڼ
اتـــم	اتْـــم
اتــل	اتْــل
اتــنــده	اتْــنْــده
اتـفـ	اتْـفْـ
اتـل	اتْـل
اتـڼ	اتْـڼ
اتـڼـونـو	اتـڼُـونْـو
اتفق	اتْفْق
اتق	اتْق
اتقصه	اتْقْصه
اتقضين	اتْقْضين
اتقی	اتقِی
اتكړۍ	اتْكْړۍ
اتلر	اتلَر
اتلس	اتَلس
اتلســــم	اتلَسْــــم
اتلسم	اتلَسْم
اتلسمى	اتلَسمِى
اتلسمي	اتلَسمي
اتلسمی	اتلَسمِی
اتلسمې	اتلَسمې
اتلسه	اتْلسه
اتلسو	اتلَسو
اتلسوتنه	اتْلسوتنه
اتلل	اتلَل
اتللم	اتلَلْم
اتلم	اتلَم
اتلمل	اتلَمَل
اتله	اتَله
اتلولى	اتلولِى
اتلولی	اتلولِی
اتلڅه	اتْلْڅه
اتلی	اتلِی
اتم	اتْم
اتمر	اتمَر
اتمرخيل	اتمَرخيل
اتمرڅخه	اتمرْڅْخه
اتمــــــه	اتمْــــــه
اتممت	اتْمْمَت
اتمى	اتمِى
اتمی	اتمِی
اتن	اتْن
اتنفس	اتنَفْس
اتنوگرفیکي	اتنوگرَفیکي
اتنيكى	اتنيكِى
اتنيموبجوپه	اتنيموبَجوپه
اتنيموبجوڅخه	اتنيموبَجوڅخه
اتوسترو	اتوسْتْرو
اتولوبډلوپه	اتولوبْډْلوپه
اتولی	اتولِی
اتومختلفو	اتومُخْتلِفو
اتومخونوکې	اتومخُونوکې
اتومسفيرکې	اتومْسْفيرکې
اتومسفیر	اتومْسْفیر
اتومفسد	اتومفَسْد
اتومى	اتومِى
اتومی	اتومِی
اتونه	اتُونه
اتونو	اتُونو
اتونوم	اتُونوم
اتونومی	اتُونومِی
اتوژبوخبرې	اتوژبُوخْبْرې
اتوکلونو	اتوکلُونو
اتوکلونوپه	اتوکلُونوپه
اتوکښی	اتوکښِی
اتوکی	اتوکِی
اتيتکم	اتيتکَم
اتينی	اتينِی
اتيون	اتَيون
اتيژيكى	اتيژيكِى
اتيژيو	اتيژَيو
اتيژيکی	اتيژيکِی
اتيژی	اتيژِی
اتپون	اتپُون
اتړ	اتْړ
اتړته	اتْړْته
اتړلي	اتْړْلي
اتړو	اتړُو
اتړوته	اتړُوته
اتړونه	اتړُونه
اتړى	اتړِى
اتړکوي	اتْړْکوي
اتړی	اتړِی
اتک	اتْک
اتکأ	اتکَأ
اتکر	اتکَر
اتکل	اتکَل
اتګ	اتْګ
اتگ	اتْگ
اتڼ	اتَڼ
اتی	اتِی
اتیرېدل	اتیرېدَل
اتیژی	اتیژِی
اتیژیکی	اتیژیکِی
اتېژی	اتېژِی
اثر	اثَر
اثربلل	اثَربَلَل
اثرت	اثَرْت
اثرخلكوته	اثرْخْلكوته
اثرخپل	اثَرْخْپل
