# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# Source: g2p-inversion over wikipron + kaikki + (ur) Hindi→Urdu real spellings; CC-BY-SA.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
آبتنی	آبْتنی
آبخست	آبْخست
آبدست	آبْدست
آبروی	آبِرْوی
آبزن	آبزِن
آبستن	آبستِن
آبستنی	آبِسْتنی
آبسنگ	آبْسنگ
آبله	آبِله
آبنبات	آبْنبات
آبکند	آبْکند
آبگرمکن	آبگرْمْکُن
آب‌انبار	آبْ‌انبار
آتش	آتِش
آتشکده	آتشْکده
آتشی	آتِشی
آتشین	آتِشین
آتش‌نشان	آتش‌نِشان
آتش‌پرست	آتشْ‌پرِست
آتنا	آتِنا
آتیه	آتِیه
آجر	آجُر
آختن	آختِن
آخر	آخِر
آخرت	آخِرِت
آخوندک	آخوندِک
آدر	آدِر
آدرس	آدرِس
آدم	آدِم
آدمکش	آدمکُش
آدمی	آدِمی
آذر	آذِر
آذرخش	آذِرِخش
آراستن	آراستِن
آرامش	آرامِش
آرتساخ	آرْتْساخ
آرد	آرِد
آرزو	آرِزو
آرزومند	آرِزومِند
آرزوها	آرِزوها
آرسنیک	آرسِنیک
آرش	آرِش
آرشیدوشس	آرشیدوشِس
آرشیو	آرشْیو
آرنج	آرِنج
آرپژ	آرپِژ
آریا	آرِیا
آریان	آرِیان
آزبست	آزبِست
آزمودن	آزمودِن
آستر	آستِر
آسترالیا	آسْتْرالِیا
آسترلیا	آسْتْرلِیا
آستریلیا	آسْتْریلِیا
آسمان	آسِمان
آسمانرنگ	آسمانْرنگ
آسمانگون	آسِمانگون
آسمان‌خراش	آسمانْ‌خراش
آسودن	آسودِن
آسپرین	آسپِرین
آسیا	آسِیا
آسیاب	آسِیاب
آسیایی	آسِیایی
آشامیدن	آشامیدِن
آشامیدنی	آشامیدِنی
آشفتن	آشفتِن
آشفته	آشُفته
آشنا	آشِنا
آشنایی	آشِنایی
آشپز	آشپِز
آشپزی	آشْپزی
آشکارا	آشِکارا
آشیان	آشِیان
آغازیدن	آغازیدِن
آغشتن	آغشتِن
آغل	آغِل
آفت	آفِت
آفتاب‌پرست	آفتابْ‌پرِست
آفریدن	آفِریدِن
آفرین	آفِرین
آفرینش	آفِرینِش
آفند	آفِند
آلت	آلِت
آلترناتیو	آلتِرناتْیو
آلرژی	آلِرژی
آلش	آلِش
آلفتن	آلفتِن
آلفته	آلُفته
آلودن	آلودِن
آلودگی	آلودِگی
آلیاژ	آلِیاژ
آلیختن	آلیختِن
آمادن	آمادِن
آمارگر	آمارگِر
آماسیدن	آماسیدِن
آماهیدن	آماهیدِن
آمد	آمِد
آمدن	آمِدِن
آمرزیدن	آمرزیدِن
آمستردام	آمْسْتِردام
آمنه	آمِنه
آموختن	آموختِن
آموزش	آموزِش
آمیختن	آمیختِن
آمیزش	آمیزِش
آنجلا	آنجِلا
آنقدر	آنْقدر
آنچنان	آنچُنان
آهیختن	آهیختِن
آپارتمان	آپارتِمان
آپاستروف	آپاسْتْروف
آچمز	آچمِز
آکادمی	آکادِمی
آکج	آکِج
آکندن	آکندِن
آگاهاندن	آگاهاندِن
آگاهیدن	آگاهیدِن
آگندن	آگندِن
اباصلت	اباصِلت
ابتدا	ابْتدا
ابتداء	ابْتداء
ابتلا	ابْتلا
ابتکار	ابْتکار
ابجد	ابجِد
ابد	ابِد
ابدی	ابِدی
ابر	ابِر
ابرش	ابرِش
ابرنجن	ابرنجِن
ابرک	ابرِک
ابریشم	ابریشِم
ابشتن	ابشتِن
ابوبکر	ابوبِکر
ابوظبی	ابوظِبی
اتحاد	اتِحاد
اتر	اتِر
اتصال	اتِصال
اتفاق	اتِفاق
اتم	اتُم
اتمسفر	اتمُسفِر
اتمی	اتُمی
اثاثیه	اثاثِیه
اثبات‌گرا	اثباتْ‌گرا
اثر	اثِر
اثناعشری	اثناعِشِری
اجانب	اجانِب
اجتماع	اجْتماع
اجتماعی	اجْتماعی
اجتناب	اجْتناب
اجل	اجِل
احتراز	احْتراز
احترام	احْترام
احترامات	احْترامات
احتضار	احْتضار
احتلام	احْتلام
احتمال	احْتمال
احتیاج	احْتَیاج
احتیاط	احْتَیاط
احسنت	احْسنت
احمد	احمِد
احمدآباد	احْمدآباد
احمدی‌نژاد	احْمدی‌نِژاد
احمر	احمِر
احمق	احمِق
احمق‌تر	احمق‌تِر
اختر	اختِر
اختراع	اخْتراع
اختراعات	اخْتراعات
اختری	اخْتری
اختصار	اخْتصار
اختصاص	اخْتصاص
اختلاط	اخْتلاط
اختلاف	اخْتلاف
اختلال	اخْتلال
اختیار	اخْتَیار
اختیاری	اخْتَیاری
اخگر	اخگِر
ادب	ادِب
ادبا	ادِبا
ادبی	ادِبی
ادبیات	ادِبِیات
ادرم	ادرِم
ادرنه	ادِرنه
ادلب	ادلِب
ادکلن	ادْکلِن
ارادت	ارادِت
ارادتمند	ارادتْمند
ارامنه	ارامِنه
اربد	اربِد
اربعه	ارْبعه
ارتباط	ارْتباط
ارتجاعی	ارْتجاعی
ارتداد	ارْتداد
ارتدکس	ارْتدِکس
ارتشدار	ارتِشدار
ارتعاش	ارْتعاش
ارتفاع	ارْتفاع
ارتقا	ارْتقا
ارتکاب	ارْتکاب
ارجمند	ارْجمِند
اردبیل	ارْدبیل
اردستان	اردِستان
اردشیر	ارْدشیر
اردن	اردِن
اردک	اردِک
ارزش	ارزِش
ارزشمند	ارزِشْمند
ارزشی	ارزِشی
ارزن	ارزِن
ارزیابی	ارْزیابی
ارزیدن	ارزیدِن
ارس	ارِس
ارسلان	ارْسلان
ارسی	ارِسی
ارش	ارِش
ارشد	ارشِد
ارشک	ارشِک
ارشکی	ارْشکی
ارغند	ارْغند
ارغنون	ارْغنون
ارمغان	ارْمغان
ارمن	ارمِن
ارمنستان	ارْمنِستان
