# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# Source: g2p-inversion over wikipron + kaikki + (ur) Hindi→Urdu real spellings; CC-BY-SA.
# Regenerate: tools/arabic-restorer/invert_harakat.ts --lexicon → tools/arabic-restorer/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
اسر	اسُر
اصفہان	اصْفہان
انملا	انمُلا
بدتمیز	بدْتمیز
بدھوار	بُدھوار
برا	بُرا
بسنت	بسنْت
بسورا	بسُورا
بندوق	بندُوق
بندی	بِندی
بنڈ	بُنْڈ
بوتھا	بُوتھا
بوٹا	بُوٹا
بوہا	بُوہا
بھسوڑی	بھسُوڑی
بھنگڑا	بھنْگڑا
بھنگڑے	بھنْگْڑے
بھونڈ	بھُونْڈ
بھونڈا	بھُونڈا
بھونڈاں	بھُونڈاں
بھونڈو	بھُونڈو
بھٹو	بھُٹو
بیوی	بِیوی
تری	تُری
تساں	تُساں
تسیں	تُسیں
تن	تِن
تند	تنْد
تھک	تھُک
تہاڈا	تُہاڈا
تہمت	تُہمت
جبھ	جِبھ
جت	جِت
جتا	جُتا
جتی	جُتی
جنج	جنْج
جوائی	جَوائی
جھوٹھ	جھُوٹھ
حرف	حرْف
حور	حُور
حیاتی	حَیاتی
خالصہ	خالِصہ
دبئی	دُبئی
ددھ	دُدھ
دلوں	دِلوں
دلچسپ	دِلچسْپ
دن	دِن
دوا	دَوا
دواکھا	دَواکھا
دھموڑی	دھمُوڑی
دھند	دھُنْد
دھنیا	دھنِیا
دھواں	دھُواں
دھپ	دھُپ
دیوا	دِیوا
دیپکا	دیپِکا
زلزلہ	زلْزلہ
زلف	زُلْف
زمیں	زِمیں
ستونگڑا	ستُونْگڑا
سر	سِر
سرائیکی	سِرائیکی
سلو	سلُو
سنجھ	سنْجھ
سنچھر	سنِچھر
سنگھ	سِنْگھ
سنگھئیے	سُنگھئیے
سنگھاں	سُنگھاں
سنگھو	سُنگھو
سنگھی	سُنگھی
سنگھیاں	سُنگھِیاں
سنگھیں	سُنگھیں
سنگھے	سُنگھے
سوار	سَوار
سور	سُور
سورج	سُورج
سٹوری	سْٹوری
سکنجویں	سِکنْجَویں
شاگرد	شاگِرْد
شطونگڑا	شطُونْگڑا
شگر	شُگر
صفت	صِفت
قسمت	قِسمت
لتر	لِتر
لفظ	لفْظ
للی	لُلی
لوں	لُوں
لڈو	لڈُو
ماگھر	ماگھِر
مسکان	مُسکان
مشغول	مشغُول
مصر	مِصر
مل	مُل
ملوک	ملُوک
ملک	مُلک
ملکہ	ملِکہ
منڈا	مُنڈا
منگ	منْگ
موتر	مُوتر
مٹھا	مِٹھا
مٹی	مِٹی
مڈھ	مُڈھ
نال	نالِ
نواں	نَواں
نوں	نُوں
نگھ	نِگھ
نیواں	نِیواں
ول	ولِ
ونگ	ونْگ
وٹاندرا	وٹانْدْرا
ٹرنا	ٹُرنا
ٹنڈا	ٹُنڈا
ٹوٹی	ٹُوٹی
پاسکو	پاسکُو
پدم	پدْم
پنا	پِنا
پنج	پنْج
پنڈ	پِنْڈ
پوجا	پُوجا
پٹھ	پِٹھ
پٹھا	پُٹھا
پڑھائی	پڑَھائی
پھل	پھُل
پھپھی	پھُپھی
چنی	چُنی
چونڈھی	چُونڈھی
چوہا	چُوہا
چٹا	چِٹا
چکڑ	چِکڑ
چھتر	چھِتر
چھنچھر	چھنِچھر
چھنچھن	چھنِچھن
چھٹی	چھُٹی
ڈنگا	ڈِنگا
ڈڈو	ڈڈُو
ڈھلا	ڈھِلا
ڈھڈ	ڈھِڈ
ڈھکواں	ڈھُکواں
کتا	کُتا
کتورا	کتُورا
کتی	کُتی
کرنٹ	کرنْٹ
کلچا	کُلچا
کلی	کُلی
کنڈ	کنْڈ
کنڈی	کُنڈی
کڈا	کِڈا
کڑی	کُڑی
ککڑ	کُکڑ
کھجور	کھجُور
کھرنا	کھُرنا
کھنگھ	کھنْگھ
گراں	گِراں
گنڈھ	گنْڈھ
گوانڈھ	گَوانْڈھ
گوانڈھی	گَوانڈھی
گونگلو	گونْگْلُو
گھنڈ	گھُنْڈ
