آئينو	aːiːnoː
آبشار	aːbʃaːɾə
آرسي	aːɾsiː
آسمان	aːsmaːnʊ
آفيس	aːfiːs
آنو	aːnoː
آنڊو	aːɳɖoː
آچر	aːt͡ʃəɾʊ
آڏواڻي	aːɗʋaːɳiː
آکاڙو	aːkʰaːɽoː
آکڻ	aːkʰəɳʊ
اجازت	ɪd͡ʒaːzət̪ə
اداس	ʊd̪aːs
ارتوار	ərt̪ʋaːr
استاد	ʊst̪aːd̪ʊ
استري	ɪst̪ɾiː
اسو	əsuː
اسي	əsi
اسپتال	ɪspət̪aːl
اسڪول	ɪskuːl
افسوس	əfsoːs
الا	əlaː
الماڙي	əlmaːɽiː
امتحانن	ɪmt̪ɪɦaːnən
اميد	ʊmeːdə
امير	amiːrʊ
انار	ənaːrʊ
اناناس	ənaːnaːs
انب	əmb
انتظار	ɪnt̪ɪzaːɾ
اندر	ənd̪ərʊ
انچلو	ə̃t͡ʃɪloː
انگ	əŋɡʊ
اونهارو	uːnɦaːɾoː
اوڪڻ	oːkəɳʊ
ايمان	imaːnʊ
ايڪتا	eːkt̪aː
اٺ	əʈʰə
اٻاسي	ʊɓaːsiː
اپواس	ʊpʋaːs
اٿڻ	ʊʈʰəɳʊ
اڀو	ʊbʰoː
اڀڻ	ʊbʰəɳʊ
اچڻ	ət͡ʃəɳ
اڇلائڻ	ʊt͡ʃʰɪlaːɪɳʊ
اڇو	ət͡ʃʰo
اڌ	əd̪ʰʊ
اڏام	ʊɗaːm
اڏوهي	ʊɗoːhiː
اک	əkʰ
اکر	əkʰər
اڪيلو	əkeːloː
اگھڻ	ʊɡʰəɳʊ
اڱارو	əŋaːroː
اڱڻ	əŋəɳʊ
اڳي	əɠiː
باسڻ	baːsəɳ
باغ	baːɣ
باغبان	baːɣbaːnʊ
بالٽي	baːlʈiː
باھه	baːhɪ
بت	bʊt̪
بتن	bʊt̪ən
بتي	bət̪iː
برابر	bəraːbərɪ
براهمڻ	bɾaːhəməɳʊ
برف	bərfə
برفي	bəɾfiː
برقعو	bʊɾkoː
بسنت	bəsənt̪ʊ
بصر	bəsəɾɯ
بغل	bəɣəl
بلڪل	bɪlkʊl
بهار	bəɦaːr
بهتر	beːʰt̪əɾ
بوتل	boːt̪əl
بورچيخانو	boːɾt͡ʃiːxaːnoː
تارو	taːroː
تاريخ	t̪aːɾiːx
ترقي	t̪əɾəkiː
تعارف	t̪aːɾʊf
تعليم	t̪əliːm
تفسير	t̪əfsirʊ
تلاءُ	t̪əlaːw
تمام	t̪əmaːm
ته	t̪ə
تهاڙو	t̪ɪhaːɽoː
تو	to
توري	t̪uːɾiː
توڙي	t̪oːɽeː
جانور	d͡ʒaːnʋər
جبل	d͡ʒəbəlʊ
جمعو	d͡ʒʊmoː
جنازو	d͡ʒənaːzoː
جنم	d͡ʒənəm
جنوري	d͡ʒənwəɾiː
جهاز	d͡ʒəɦaːzɯ
جو	d͡ʒoː
جويو	d͡ʒoːjoː
جوڙو	d͡ʒoɽo
جي	d͡ʒeː
جيڪڏهن	d͡ʒeːkəɗɛʰ
جھ	d͡ʒʰeː
حجام	ɦəd͡ʒaːmʊ
حضرت	həzrət̪ʊ
حملو	ɦəmloː
حور	ɦuːɾ
حورن	ɦuːɾʊn
خاندان	xaːnd̪aːn
خدا	xʊd̪aː
خراب	xəraːb
خرمو	xʊɾmoː
خط	xət̪ʊ
خميس	xəmiːsə
خواب	xʋaːb
خوبصورت	xuːbsuːɾət̪
خچر	xət͡ʃəɾ
دروازو	d̪əɾʋaːzoː
دفتر	d̪əft̪ər
دل	d̪ɪl
دلال	d̪əlaːlʊ
دوست	d̪oːst̪
دوستو	d̪oːst̪oː
ديوناگري	d̪eːʋnaːɡɪɾiː
ديوي	d̪eːʋiː
ذات	zaːt̪
رات	raːt̪ɪ
رامائڻ	raːmaːɪɳʊ
راڪس	raːkəsʊ
راڳ	ɾaːɠ
راڻي	raːɳiː
رستو	rəst̪oː
رمضان	ɾəmzaːnʊ
روح	ɾuː
روزو	roːzoː
روشن	ɾoːʃən
رياضي	ɾɪjaːziː
ريت	riːt
رپو	rʊpoː
زال	zaːlə
زبان	zʊbaːnə
زراف	zəɾaːfʊ
زلزلو	zəlzəloː
زمين	zəmiːn
زندگي	zɪndəɡiː
زيتون	zeːt̪uːn
سال	saːlʊ
سالو	saːloː
سالگره	saːlɡɪɾəɦ
ساڙھي	saːɽʰiː
ست	sət̪ə
ستر	sət̪ərɪ
سج	sɪd͡ʒɯ
سحري	səɦɾiː
سرءُ	səraːʊ
سراڻو	sɪɾaːɳoː
سرير	səɾiːɾ
سريش	sʊɾeːʃ
سس	səsʊ
سستو	səst̪oː
سليمان	sʊlɛːmaːn
سمبوسو	səmboːsoː
سمنڊ	səmuɳɖ
سمورو	səmuːroː
سنجهو	səɲd͡ʒʰoː
سنڌ	sɪndʰ
سنڌي	sɪndʰiː
سنگھڻ	sʊŋɡʰəɳ
سهو	səho
سهڻو	sʊhɳoː
سوار	səʋaːrʊ
سوارو	səʋɑːɾoː
سومر	suːmərʊ
سيارو	sɪjaːɾoː
سيرو	siːɾoː
سيٽي	siːʈiː
سيڌو	siːd̪ʰoː
سٺ	səʈʰɪ
سڀ	səbʰ
سگهڻ	səɡʰəɳʊ
شاباس	ʃaːbaːs
شاگرد	ʃaːɡɪɾd̪
شهر	ʃɛɾ
شهرن	ʃɛɾən
شيطان	ʃeːt̪aːn
شڪر	ʃʊkrʊ
صابڻ	saːbʊn
صبح	sʊbʰə
صحيح	səhɪhʊ
صرف	sɪrf
صفحو	səfɦoː
صندوق	sənd̪uːkə
صنم	sənəm
صوف	suːfə
طبيب	t̪əbiːb
عبادت	ɪbaːd̪ət̪
عطر	ət̪ʊɾ
علي	əliː
عورت	ɔːɾət̪
عيد	iːd̪
فائدو	faːɪd̪oː
فرش	fəɾʃ
فقط	fəkət̪
فلسفو	fəlsəfoː
فلم	fɪlm
قانون	qɑːnuːnʊ
قرآن	qʊɾaːn
قلعو	qɪloː
لفافو	lɪfaːfoː
لفظ	ləfz
لفظن	ləfzən
لمحو	ləmɦoː
لهر	ləɦəɾə
لڪشمي	ləkʃmiː
ماءُ	maːu
ماستر	maːst̪əɾʊ
ماسڙ	maːsəɽʊ
مامو	maːmoː
ماني	maːniː
ماڪ	maːkə
محبت	mɔɦɔbət̪
محفوظ	mɛʰfuːz
مستقبل	mʊst̪əkbɪl
مسجد	məsd͡ʒɪd̪
مسلمان	mʊsɪlmaːn
مسيحي	məsiːɦiː
مصلو	mʊsəlloː
معيشت	məiːʃɪt̪ə
ملاقات	mʊlaːqaːt̪
ملڪ	mʊlk
منهنجو	mʊnd͡ʒoː
مني	məniː
مهانگو	məɦaːŋɡoː
مهت	mɛɦɛt̪ɛ
مهرباني	meːɾbaːniː
مهمان	meːɦmaːn
مهينو	məɦiːnoː
مور	moːɾ
موڪل	moːkələ
موڪلڻ	moːkləɳ
ميز	mɛːz
ميوو	meːʋoː
مڇ	mʊt͡ʃʰə
مڇي	mət͡ʃiː
مڏو	mʊɗoː
مڙهڻ	məɽʰəɳʊ
مکڻ	məkʰəɳʊ
نارنگي	naːɾəŋɡiː
نالو	naːloː
نانو	nano
ناني	nani
نانگ	naːŋɡ
ناٽڪ	naːʈək
نخلستان	nəxlɪst̪aːnʊ
نرم	nəɾəm
نقشو	nəkʃoː
نمستي	nəməst̪eː
ننڍو	nəɳɖʰo
نه	nə
نهاري	nɪhɑri
نو	nəwə
نوترو	noːt̪ɾoː
نوي	nəʋe
نوڪري	noːkɾiː
نياڻي	njaːɳiː
نيلام	niːlaːmʊ
نچڻ	nət͡ʃəɳʊ
نڪ	nək
نگر	nəɡərʊ
هاري	ɦaːɾiː
هاٿي	haːt̪ʰiː
هفتو	həftoː
هنداڻو	ɦɪnd̪aːɳoː
هو	huː
هولي	ɦoːliː
هي	hiː
هٿ	hət̪ʰʊ
هڏو	həɗoː
وات	ʋaːt̪
وادي	ʋaːdiː
والد	waːlɪd̪
والدين	ʋaːld̪əjn
واپس	ʋaːpəs
واڍو	ʋaːɖʰoː
ورسپت	ʋɪrəspət̪ɪ
وسپت	ʋɪspət̪ɪ
وقت	ʋəkt̪ʊ
وليمو	wəliːmoː
وهنجڻ	ʋɪɲd͡ʒəɳ
وٺڻ	ʋəʈʰəɳʊ
وڌيڪ	ʋəd̪ʰiːkə
وڏو	ʋəɗo
وڻ	ʋəɳ
ياد	jaːd̪
يارهن	jaːɾɦə̃
يسوع	jəsuː
يهودي	jəɦuːd̪iː
ٻار	ɓaːɾ
ٻلو	ɓɪloː
ٻلي	ɓɪliː
ٻه	ɓə
ٻولي	ɓoːliː
ٻولڻ	ɓoːləɳʊ
ٻيلو	ɓeːloː
ٻيٽ	ɓeʈu
ٻڌر	ɓʊd̪ʰər
ٻڌڻ	ɓʊd̪ʰəɳʊ
ٻڙي	ɓʊɽiː
ٻڪر	ɓəkərʊ
ٻڪرو	ɓəkɪro
ٻڪري	ɓəkriː
ٻہ	ɓa
ٽماٽو	ʈəmaːʈoː
ٽوال	ʈʊʋaːl
ٽوڪرو	ʈokɪro
ٽي	ʈeː
پار	pɑrɪ
پاڪستان	paːkɪstaːn
پاڻ	pəɳə
پاڻي	paːɳiː
پر	pərʊ
پراڻو	pʊraːɳoː
پردو	pərdoː
پرساد	pəɾsaːd̪ʊ
پروگرام	pɾoːɡɾaːmʊ
پرڀو	pɾəbʰuː
پری	pəre
پستو	pɪstoː
پنج	pəɲd͡ʒə
پنو	pənoː
پوءِ	poːj
پونم	puːnəm
پونگڙو	puːŋɡɽoː
پيءُ	piːu
پيئڻ	piːəɳʊ
پين	peːn
پيٽي	peːʈiː
پٺاڻ	pəʈʰaːɳʊ
پٽي	pəʈiː
پپيتو	pəpiːt̪oː
پٿر	pət̪ʰərʊ
پڇڻ	pʊt͡ʃʰəɳʊ
پڙھڻ	pəɽʰəɳʊ
پکي	pəkʰiː
ٿوم	t̪ʰuːm
ٿوڪ	t̪ʰokʊ
ٿيلو	t̪ʰeːloː
ٿڌو	t̪ʰəd̪ʰo
ٿڪڻ	t̪ʰʊkəɳʊ
ڀاءُ	bʰɑu
ڀارت	bʰaratu
ڀاڄائي	bʰaːʄaːiː
ڀت	bʰɪtɪ
ڀريل	bʰərjəlʊ
ڀلو	bʰəlo
ڀنڊار	bʰəɳɖɑrʊ
ڀڳوان	bʰəɠʋaːn
ڄار	ʄarʊ
ڄاڻڻ	ʄɑɳəɳʊ
ڄمڻ	ʄəməɳʊ
ڄنگهه	ʄəŋɡʰə
ڄيٺ	ʄeːʈʰʊ
ڄڀ	ʄɪbʰə
ڄڃ	ʄəɲə
چار	t͡ʃaːɾ
چارو	t͡ʃaːɾoː
چاٻي	t͡ʃaːɓiː
چاچو	t͡ʃaːt͡ʃoː
چتوڻ	t͡ʃɪtəʋəɳʊ
چرڻي	t͡ʃəɾɳiː
چقندر	t͡ʃʊkənd̪əɾʊ
چيرڻ	t͡ʃirəɳʊ
چيٺ	t͡ʃeʈʰə
چٻائڻ	t͡ʃəɓɑɪɳʊ
چٻڻ	t͡ʃəɓəɳʊ
چڪڻ	t͡ʃɪkəɳʊ
چڱو	t͡ʃəŋoː
ڇا	t͡ʃʰaː
ڇاتي	t͡ʃʰaːt̪i
