# Tagalog LOANWORD lexicon (SHIPPED override) — the FOREIGN-SEGMENT loanword class only: Spanish ⟨j⟩→[h]
# (abenojar→abenohaɾ) and soft ⟨c⟩→[s] (abece→abese). Origin-specific (native Tagalog has neither), so pinning
# never touches native words. Built by applying the foreign op to our OWN shipped output (inherits our stress +
# final-ʔ) and keeping it only where all wikipron readings agree AND the op matches the referee. The broader VV/
# glide/hiatus loanword class is NOT mined (same spelling = native [ij]/hiatus-ʔ vs loanword glide → would corrupt
# siya/tao). SHIPPED-only: phonemizeWordRules (the eval) skips it → non-circular.
abece	ʔabˈese
abenojar	ʔabenˈohaɾ
adajar	ʔadˈahaɾ
agoncillo	ʔaɡonsˈiljo
alejandrino	ʔalehandɾˈino
alejandro	ʔalehˈandɾo
apacible	ʔapasˈible
arce	ʔˈaɾse
arcega	ʔaɾsˈeɡa
arcenas	ʔaɾsˈenas
arcilla	ʔaɾsˈilja
arcillas	ʔaɾsˈiljas
arcinas	ʔaɾsˈinas
arrojado	ʔaɾohˈado
bajado	bahˈado
balmaceda	balmasˈeda
barcelona	baɾselˈona
barcenas	baɾsˈenas
bejasa	behˈasa
boljoon	bolhˈoʔon
borja	bˈoɾha
cajucom	kahˈukom
candijay	kandˈihaj
cantalejo	kantalˈeho
castillejos	kastiljˈehos
ce	sˈe
cebu	sˈebu
cembo	sˈembo
centeno	sentˈeno
centino	sentˈino
cepillo	sepˈiljo
cereno	seɾˈeno
cerillo	seɾˈiljo
cerna	sˈeɾna
cesneros	sesnˈeɾos
cornejo	koɾnˈeho
dancel	dˈansel
decena	desˈena
dimacuja	dimakˈuha
docena	dosˈena
dumanjug	dumˈanhuɡ
encinas	ʔensˈinas
garces	ɡˈaɾses
gorriceta	ɡoɾisˈeta
ibajay	ʔibˈahaj
ilijan	ʔilˈihan
jagna	hˈaɡna
jalajala	halahˈala
jalandoni	halandˈoni
jambalos	hambˈalos
jamindan	hamˈindan
jamisola	hamisˈola
jandusay	handˈusaj
jara	hˈaɾa
jaramillo	haɾamˈiljo
jaranilla	haɾanˈilja
jaro	hˈaɾo
jaruda	haɾˈuda
jasaan	hasˈaʔan
jesucristo	hesukɾˈisto
jimenez	himˈenes
jolo	hˈolo
jolongbayan	holoŋbˈajan
jomalig	homˈaliɡ
jonas	hˈonas
jordan	hˈoɾdan
jose	hˈose
josemari	hosemˈaɾi
joson	hˈoson
jota	hˈota
judas	hˈudas
jumarang	humˈaɾaŋ
junsay	hˈunsaj
juntilla	huntˈilja
jurado	huɾˈado
jusay	hˈusaj
jusi	hˈusi
lacerna	lasˈeɾna
lancelot	lansˈelot
limjoco	limhˈoko
lojo	lˈoho
lucena	lusˈena
lucenahin	lusenˈahin
lucero	lusˈeɾo
maceda	masˈeda
macuja	makˈuha
madridejos	madɾidˈehos
magbojos	maɡbˈohos
majaba	mahˈaba
majayjay	mahˈajhaj
malijan	malˈihan
marcela	maɾsˈela
maribojoc	maɾibˈohok
mercedes	meɾsˈedes
mijares	mihˈaɾes
montecillo	montesˈiljo
montejo	montˈeho
montojo	montˈoho
naujan	naʔˈuhan
ojeda	ʔohˈeda
orejudos	ʔoɾehˈudos
pagsanjan	paɡsˈanhan
pajares	pahˈaɾes
pajarillo	pahaɾˈiljo
pajarito	pahaɾˈito
pantoja	pantˈoha
paracelis	paɾasˈelis
pinamungajan	pinamuŋˈahan
racelis	ɾasˈelis
salceda	salsˈeda
salcedo	salsˈedo
spencer	spˈenseɾ
tejada	tehˈada
trece	tɾˈese
tubajon	tubˈahon
