# Thai lexical dictionary — word<TAB>IPA (Chao tone contours ˩˩˦/˨˩/˧/˦˥/˥˩), for irregulars the rules
# can't derive. Ported+converted from espeak-ng-portable data/th/dictionary.jsonl (tone digits→Chao).
กฎบัตร	kˈo˨˩tba˨˩t
กตเวที	kˈa˨˩ta˨˩wˌeː˧tʰiː˧
กมลา	kˈa˨˩ma˦˥lˌaː˧
กร	kˈɔː˧n
กรกฎ	kˈɔː˧ra˦˥kˌo˨˩t
กรกฎาคม	kˈa˨˩ra˦˥kˌa˨˩daː˧kʰˌo˧m
กรงขัง	krˈo˧ŋkʰa˩˩˦ŋ
กรงเล็บ	krˈo˧ŋle˦˥p
กรณี	kˈɔː˧ra˦˥nˌiː˧
กรมธรรม์	krˈo˧mma˦˥tʰˌa˧n
กรรม	kˈa˧m
กรรมกร	kˈa˧mma˦˥kˌɔː˧n
กรรมการ	kˈa˧mma˦˥kˌaː˧n
กรรมวาจก	kˈa˧mma˦˥wˌaː˧t͡ɕo˨˩k
กรรมวิธี	kˈa˧mma˦˥wˌi˦˥tʰiː˧
กรรมสิทธิ์	kˈa˧mma˦˥sˌi˨˩t
กรรมาชีพ	kˈa˧mmaː˧t͡ɕʰˌiː˥˩p
กรรมาธิการ	kˈa˧mmaː˧tʰˌi˦˥kaː˧n
กรรเชียง	kˈa˧nt͡ɕʰia˧ŋ
กรรโชก	kˈa˧nt͡ɕʰoː˥˩k
กรรไกร	kˈa˧nkra˧j
กรวด	krˈua˨˩t
กรวย	krˈua˧j
กระจกตา	krˈa˨˩t͡ɕo˨˩ktˌaː˧
กระจกเงา	krˈa˨˩t͡ɕo˨˩kŋˌa˧w
กระดาษทราย	krˈa˨˩daː˨˩tsˌaː˧j
กระดาษเงินกระดาษทอง	krˈa˨˩daː˨˩tŋˌɤː˧nkra˨˩dˌaː˨˩ttʰɔː˧ŋ
กระดูกสันหลัง	krˈa˨˩duː˨˩ksˌa˩˩˦nla˩˩˦ŋ
กระทรวง	krˈa˨˩sua˧ŋ
กระบวน	krˈa˨˩bua˧n
กระบวนการ	krˈa˨˩bua˧nkˌaː˧n
กระบวย	krˈa˨˩bua˧j
กระบองเพชร	krˈa˨˩bɔː˧ŋpʰˌe˦˥t
กระปรี้กระเปร่า	krˈa˨˩priː˥˩krˌa˨˩pra˨˩w
กระวนกระวาย	krˈa˨˩wo˧nkrˌa˨˩waː˧j
กระสวน	krˈa˨˩sua˩˩˦n
กระสวย	krˈa˨˩sua˩˩˦j
กระโปรง	krˈa˨˩proː˧ŋ
กรี	kˈa˨˩riː˧
กรุณา	kˈa˨˩ru˦˥nˌaː˧
กฤษฎา	krˈi˨˩tsa˨˩dˌaː˧
กฤษฎีกา	krˈi˨˩tsa˨˩dˌiː˧kaː˧
กฤษณา	krˈi˨˩tsa˨˩nˌaː˩˩˦
กลมกลืน	klˈo˧mklɯː˧n
กลมกล่อม	klˈo˧mklɔ˨˩m
กลมเกลียว	klˈo˧mklia˧w
กลยุทธ์	kˈo˧nla˦˥jˌu˦˥t
กลวง	klˈua˧ŋ
กลวิธี	kˈo˧nla˦˥wˌi˦˥tʰiː˧
กลศาสตร์	kˈo˧nla˦˥sˌaː˨˩t
กลับตาลปัตร	klˈa˨˩ptaː˧lˌa˦˥pa˨˩t
กลั่นแกล้ง	klˈa˨˩nklɛː˥˩ŋ
กลาโหม	kˈa˨˩laː˧hˌoː˩˩˦m
กลเม็ด	kˈo˧nla˦˥mˌe˦˥t
กล้วย	klˈua˥˩j
กล้วยไม้	klˈua˥˩jmaː˦˥j
กล้องจุลทรรศน์	klˈɔ˥˩ŋt͡ɕu˧nlˌa˦˥tʰa˦˥t
กล้องถ่ายภาพ	klˈɔ˥˩ŋtʰaː˨˩jpʰˌaː˥˩p
กล้องถ่ายรูป	klˈɔ˥˩ŋtʰaː˨˩jrˌuː˥˩p
กล้องโทรทรรศน์	klˈɔ˥˩ŋtʰoː˧rˌa˦˥tʰa˦˥t
กวี	kˈa˨˩wiː˧
กวีนิพนธ์	kˈa˨˩wiː˧nˌi˦˥pʰo˧n
กษัตริย์	kˈa˨˩sa˨˩t
กษัตรี	kˈa˨˩sa˨˩ttrˌiː˧
กสิกรรม	kˈa˨˩si˨˩kˌa˧m
กองทัพบก	kˈɔː˧ŋtʰa˦˥pbˌo˨˩k
กองทัพเรือ	kˈɔː˧ŋtʰa˦˥prˌɯa˧
กองบัญชาการ	kˈɔː˧ŋba˧nt͡ɕʰˌaː˧kaː˧n
กอดอก	kˈɔː˨˩tʔo˨˩k
กอปร	kˈɔː˨˩p
กะเผลก	kˈa˨˩pʰleː˨˩k
กะเพรา	kˈa˨˩pʰra˧w
กันและกัน	kˈa˧nlɛ˦˥ʔkˌa˧n
กับแกล้ม	kˈa˨˩pklɛː˥˩m
กัลยาณี	kˈa˧nla˦˥jˌaː˧niː˧
กากบาท	kˈaː˧ka˨˩bˌaː˨˩t
กาน้ำ	kˈaː˧naː˦˥m
กามโรค	kˈaː˧mma˦˥rˌoː˥˩k
กายกรรม	kˈaː˧jja˦˥kˌa˧m
กายภาพ	kˈaː˧jja˦˥pʰˌaː˥˩p
กายวิภาคศาสตร์	kˈaː˧jja˦˥wˌi˦˥pʰaː˥˩kkʰˌa˦˥saː˨˩t
การบูร	kˈaː˧ra˦˥bˌuː˧n
การลงทุน	kˈaː˧nlo˧ŋtʰˌu˧n
การศึกษา	kˈaː˧nsɯ˨˩ksˌaː˩˩˦
การเงิน	kˈaː˧nŋɤ˧n
การเลือกตั้ง	kˈaː˧nlɯa˥˩ktˌa˥˩ŋ
การเวก	kˈaː˧ra˦˥wˌeː˥˩k
กาลกิณี	kˈaː˧la˦˥kˌi˨˩niː˧
กาลเทศะ	kˈaː˧la˦˥tʰˌeː˧sa˨˩ʔ
กาเฟอีน	kˈaː˧feː˧ʔˌiː˧n
กำกวม	kˈa˧mkua˧m
กำสรวล	kˈa˧msua˩˩˦n
กำหนดการ	kˈa˧mno˨˩tkˌaː˧n
กิจกรรม	kˈi˨˩tt͡ɕa˨˩kˌa˧m
กิจการ	kˈi˨˩tt͡ɕa˨˩kˌaː˧n
กินรี	kˈi˧nna˦˥rˌiː˧
กิโลเมตร	kˈi˨˩loː˧mˌeː˦˥t
กิ่งไม้	kˈi˨˩ŋmaː˦˥j
กีฏวิทยา	kˈiː˧ta˨˩wˌi˦˥ttʰa˦˥jˌaː˧
กุญชร	kˈu˧nt͡ɕʰɔː˧n
กุลสตรี	kˈu˧nla˦˥sˌa˨˩triː˧
กุ้งมังกร	kˈu˥˩ŋma˧ŋkˌɔː˧n
ก้าวล่วง	kˈaː˥˩wlua˥˩ŋ
ขบวนการ	kʰˈa˨˩bua˧nkˌaː˧n
ของเล่น	kʰˈɔː˩˩˦ŋle˥˩n
ขัดเกลา	kʰˈa˨˩tkla˧w
ขับเคลื่อน	kʰˈa˨˩pkʰlɯa˥˩n
ขายทอดตลาด	kʰˈaː˩˩˦jtʰɔː˥˩ttˌa˨˩laː˨˩t
ขีปนาวุธ	kʰˈiː˩˩˦pa˨˩nˌaː˧wu˦˥t
ข่มขืนกระทำชำเรา	kʰˈo˨˩mkʰɯː˩˩˦nkrˌa˨˩tʰa˧mt͡ɕʰˌa˧mra˧w
ข้อตกลง	kʰˈɔː˥˩to˨˩klˌo˧ŋ
ข้อยกเว้น	kʰˈɔː˥˩jo˦˥kwˌe˦˥n
ข้ออ้าง	kʰˈɔː˥˩ʔaː˥˩ŋ
