# Urdu IPA COVERAGE lexicon — undiacritized skeleton ⇥ canonical IPA (UNSTRESSED; weight-stress applied at lookup).
# Replaces the harakat lexicon for Urdu: harakat can't encode majhūl (ی=iː~eː, و=oː~uː); the cross-script Hindi
# gold carries it. Source: silver.hindiurdu.tsv (real Urdu spellings, IPA from the hi g2p — independent of wikipron)
# then the g2p-converted harakat lexicon for the Urdu-native tail. Regenerate: tools/arabic-restorer/build_ur_ipa_lexicon.ts.
آؤ	ɑːʋ
آؤٹ	ɑːʊʈ
آئرلینڈ	ɑːjəɾlɛːɳɖ
آئزور	ɑːɪzoːl
آئسڈ	ɑːɪsɖ
آئندہ	ɑːɪn̪d̪ɑ
آئنسٹائنیئم	ɑːɪ̃sʈiːnɪjəm
آئون	ɑːjən
آئی	ɑːiː
آئین	ɑːiːn
آئینہ	ɑːiːnɑ
آئیے	ɑːɪjeː
آب	ɑːb
آباد	ɑːbɑːd̪
آبادی	ɑːbɑːd̪iː
آبادیات	ɑːbɑːd̪ʊjɑːt̪
آبدست	ɑːbd̪əst̪
آبرو	ɑːbɾuː
آبشار	ɑːbʃɑːɾ
آبلہ	ɑːblɑ
آبکار	ɑːbkɑːɾ
آبی	ɑːbiː
آتتهيہ	ɑːt̪ɪt̪ʰj
آتش	ɑːt̪ɪʃ
آتنکواد	ɑːt̪əŋkəʋɑːd̪
آتنکوادی	ɑːt̪əŋkəʋɑːd̪iː
آتپ	ɑːt̪əp
آتھنا	ɑːt̪ʰnɑː
آتے	ɑːt̪eː
آثار	ɑːsɑːɾ
آج	ɑːd͡ʒ
آجنا	ɑːd͡ʒɲɑː
آخر	ɑːxɪɾ
آخرت	ɑːxɪɾət̪
آخری	ɑːxɾiː
آدا	ɑːd̪ɑː
آداب	ɑːd̪ɑːb
آدر	ɑːd̪əɾ
آدرنیہ	ɑːd̪əɾɳiːj
آدم	ɑːd̪əm
آدمی	ɑːd̪miː
آدھا	ɑːd̪ʱɑː
آدھنک	ɑːd̪ʱʊnɪk
آدھنکتاواد	ɑːd̪ʱʊnɪkt̪ɑːʋɑːd̪
آذربائیجان	əzəɾbɛːd͡ʒɑːn
آذربیجان	ɑːzəɾbɛːd͡ʒɑːn
آذربیجانی	əzəɾbɛːd͡ʒɑːniː
آرام	ɑːɾɑːm
آربل	ɑːɾbəl
آرتھوڈاکسی	ɔːɾt̪ʰoːɖɔːksiː
آرزو	ɑːɾzuː
آرش	ɑːɾʊʃ
آرمبھ	ɑːɾəmbʱ
آرمی	ɑːɾmiː
آرمینیا	ɑːɾmiːnɪjɑː
آرمینیائی	ɑːɾmiːnɪjɑːiː
آرو	ɑːɾəʋ
آروپ	ɑːɾoːp
آروپی	ɑːɾoːpiː
آروگیہ	ɑːɾoːɡj
آریامن	ɑːɾjəmən
آرین	ɑːɾjən
آریہ	ɑːɾj
آزاد	ɑːzɑːd̪
آزادی	ɑːzɑːd̪iː
آزادیاں	ɑːzɑːd̪ʊjɑː̃
آزادیوں	ɑːzɑːd̪ʊjoː̃
آزار	ɑːzɑːɾ
آزاری	ɑːzɑːɾiː
آزمائش	ɑːzmɑːɪʃ
آزمائشیں	ɑːzmɑːɪʃeː̃
آزمانا	ɑːzmɑːnɑː
آزمودگی	ɑːzəmuːd̪ə̲ɡiː
آزمودہ	ɑːzmuːd̪ɑ
آس	ɑːs
آسام	ɑːsɑːm
آسان	ɑːsɑːn
آسانی	ɑːsɑːniː
آساڑھ	ɑːsɑːɽʱ
آستانہ	əst̪ɑːnɑ
آستھا	ɑːst̪ʰɑː
آستین	ɑːst̪iːn
آسرا	ɑːsɾɑː
آسمان	ɑːsmɑːn
آسمانی	ɑːsmɑːniː
آسماں	ɑːsmɑː̃
آسن	ɑːsən
آسند	ɑːsən̪d̪
آسٹریا	ɔːsʈɾɪjɑː
آسٹریلیا	ɔːsʈɾeːlɪjɑː
آسٹریلین	ɔːsʈɾeːlɪjən
آسکت	ɑːsəkt̪
آسیب	ɑːseːb
آشا	ɑːʃɑː
آشامی	ɑːʃɑːmiː
آشرم	ɑːʃɾəm
آشنا	ɑːʃnɑː
آشنکا	ɑːʃəŋkɑː
آشو	ɑːʃʊ
آشچریہ	ɑːʃt͡ʃəɾj
آشیانہ	ɑːʃɪjɑːnɑ
آشیرواد	ɑːʃiːɾʋɑːd̪
آغا	ɑːɣɑː
آغاز	ɑːɣɑːz
آغوش	ɑːɣoːʃ
آفت	ɑːfət̪
آفتاب	ɑːft̪ɑːb
آفتوں	ɑːfə̲t̪oː̃
آفتیں	ɑːfə̲t̪eː̃
آفریدی	ɑːfɾiːd̪iː
آفرین	ɑːfɾiːn
آفس	ɔːfɪs
آقا	ɑːqɑː
آلا	ɑːlɑː
آلاپولا	ɑːləpːʊl
آلس	ɑːləs
آلسی	ɑːlsiː
آلنگن	ɑːlɪŋɡən
آلو	ɑːluː
آلود	ɑːluːd̪
آلودگی	ɑːluːd̪ə̲ɡiː
آلودگیاں	ɑːluːd̪ə̲ɡʊjɑː̃
آلودگیو	ɑːluːd̪ə̲ɡʊjoː
آلودگیوں	ɑːluːd̪ə̲ɡʊjoː̃
آلودہ	ɑːluːd̪ɑ
آلوچنا	ɑːloːt͡ʃnɑː
آلوچہ	ɑːluːt͡ʃɑ
آلوک	ɑːloːk
آلپین	ɑːlpiːn
آلہ	ɑːlɑ
آلیہ	ɑːlɛj
آم	ɑːm
آمدنی	ɑːməd̪niː
آمنہ	ɑːmə̲nɑ
آموات	ɑːmʋɑːt̪
آمود	ɑːmoːd̪
آمول	ɑːmuːl
آمکشا	ɑːmɪkʃɑː
آمیزش	ɑːmeːzəʃ
آن	ɑːn
آنا	ɑːnɑː
آنت	ɑːn̪t̪
آندھی	ɑːn̪d̪ʱiː
آندھیاں	ɑːnəd̪ʱʊjɑː̃
آندھیوں	ɑːnəd̪ʱʊjoː̃
آنریری	ɑːnɾeːɾiː
آنساؤ	ɑːnə̲sɑːoː
آنساؤں	ɑːnə̲sɑːoː̃
آنسو	ɑː̃suː
آنسہ	ɑːnə̲sɑ
آنن	ɑːnən
آنند	ɑːnən̪d̪
آنچل	ɑː̃t͡ʃəl
آنک	ɑː̃k
آنکڑا	ɑː̃kɽɑː
آنکھ	ɑː̃kʰ
