# Vietnamese rhyme (toneless orthography after onset) -> IPA (nucleus+coda+glide). Derived from espeak-ng-portable.
a	aː
ac	aːk
ach	ek
ack	ak
ae	iː
ai	aːj
aic	aːjk
aige	aːjɛ
aiko	aːjɔ
aikya	aːjiə
aim	aːjm
aime	aːjmɛ
aimo	aːjmɔ
ait	aːjt̪
aiti	aːjt̪i
aito	aːjt̪ɔ
ak	ak
am	aːm
amamoo	aməmuː
ammy	ami
amp	amp
an	aːn
ang	aːŋ
angka	aŋkə
anh	eɲ
ani	ani
ank	aŋk
anka	aŋkə
anna	anə
anny	ani
anon	anən
anta	antə
antom	antəm
ao	aːw
aomi	aːwmi
aon	aːwn
ap	aːp
appa	apə
appy	api
apua	apjuːə
are	eə
at	aːt̪
atman	atman
att	at
atton	atən
atty	ati
au	aw
aum	awm
auto	awt̪ɔ
ay	aj
aya	ajaː
ayne	ajnɛ
ayo	ajɔ
ayton	ajt̪ɔn
ayu	ajw
aơ	aːəː
e	ɛ
ea	iː
eam	iːm
ean	iːn
ear	iə
eat	iːt
eauty	juːti
ec	ɛk
eck	ɛk
eckham	ɛkəm
ector	ɛktə
ee	iː
een	iːn
eep	iːp
eet	iːt
em	ɛm
ema	ɛmə
emi	ɛmi
en	ɛn
ena	iːnə
eng	ɛŋ
enh	ɛɲ
enney	ɛni
enny	ɛni
enton	ɛntən
enu	ɛnjuː
enya	ɛnjə
eo	ɛw
eon	ɛwn
eong	ɛwŋ
ep	ɛp
epa	ɛpə
ere	iə
et	ɛt̪
eta	iːtə
eter	iːtə
eti	ɛti
etter	ɛtə
etty	ɛti
eung	juːŋ
i	i
ia	iə
iac	iək
iam	iəm
iami	iəmi
iamon	iəmɔn
ian	iən
iana	iənaː
iang	iəŋ
iano	iənɔ
iao	iəɔ
iaomi	iəɔmi
ich	ik
iem	iːm
ika	iːkə
im	im
ima	iːmə
in	in
ina	iːnə
incy	jnki
ing	iŋ
inh	iɲ
ip	ip
it	it̪
ita	iːtə
iti	iːti
iu	iw
iui	iwj
iê	iɛ
iêc	iɛk
iêm	iɛm
iên	iɛn
iêng	iɛŋ
iênnay	iɛnnaj
iêp	iɛp
iêt	iɛt̪
iêu	iɛw
k	ekaː
kk	ekaːkaː
na	naː
o	ɔ
oa	waː
oac	waːk
oach	wek
oai	waːj
oam	waːm
oan	waːn
oang	waːŋ
oanh	weɲ
