# Welsh LEXICON — word<TAB>IPA, for words the rules mis-derive (per-word ⟨ae⟩/⟨ai⟩ quality, ⟨y⟩-obscure
# irregulars, loan vowels, monosyllable length). kaikki.org Wiktionary Welsh (CC-BY-SA), NORTH-WALES pron,
# stress re-placed to our convention. Regen: tools/gen/build-cy-kaikki-dict.mts.
a	ˈaː
ab	ˈab
abatai	abˈataᶤ
absoliwt	apsˈɔlɪᶷt
aceri	akˈɛrɪ
achlust	ˈaχlɨsd
achwynwyr	aχˈʊᶤnwɨr
adalw	adˈalu
adargi	adˈarɡɪ
addewid	aðˈɛᶷɪd
addoli	aðˈɔlɪ
addolwyr	aðˈɔlwɨr
addurnedig	ˌaðɨrnˈɛdɪɡ
addysgwr	aðˈəsɡʊr
adeiladwyr	ˌadeᶦlˈadwɨr
adeileddiaeth	ˌadeᶦlˈɛðjaᶦθ
adennill	adˈɛnɪɬ
adfeiliedig	ˌadveᶦljˈɛdɪɡ
adfywiad	advˈɨᶷjad
adfywiedig	ˌadvɨᶷjˈɛdɪɡ
adfywio	advˈɨᶷjɔ
adleoli	ˌadlɛˈɔlɪ
adnewyddiad	ˌadneᶷˈəðjad
adnewyddu	ˌadneᶷˈəðɨ
adwaenai	adwˈeᶤnaᶦ
adwaenid	adwˈeᶤnɪd
adwaenir	adwˈeᶤnɪr
adweinir	adwˈeᶦnɪr
aed	ˈaːᶤd
aeddfed	ˈeᶤðvɛd
aeddfedrwydd	eᶤðvˈɛdrʊᶤð
aeddfedu	eᶤðvˈɛdɨ
ael	ˈaːᶤl
aelddu	ˈeᶤlðɨ
aeliog	ˈeᶤljɔɡ
aelod	ˈeᶤlɔd
aelodaeth	eᶤlˈɔdaᶤθ
aelwyd	ˈeᶤlʊᶤd
aelwydydd	eᶤlˈʊᶤdɨð
aer	ˈaːᶤr
aeres	ˈeᶤrɛs
aerobig	eᶤrˈɔbɪɡ
aeron	ˈeᶤrɔn
aeth	ˈaːᶤθ
aethai	ˈeᶤθaᶦ
aethant	ˈeᶤθant
aethnen	ˈeᶤθnɛn
aethon	ˈeᶤθɔn
aethpwyd	ˈeᶤθpʊᶤd
afanc	ˈavaŋk
affer	kˈafɛr
afonig	avˈɔnɪɡ
afuad	avˈɨːad
ag	ˈaɡ
agerstalwm	ˌaɡɛrstˈalum
ailgodi	aᶦlɡˈɔdɪ
ailymgnawdoliad	ˌaɪləmɡnaʊdˈɔljad
ailystyried	ˌaᶦləsdˈərjɛd
allt	ˈaːɬd
alltud	ˈaɬdɨd
alwminiwm	ˌalʊmˈɪnjʊm
amaethyddiaeth	ˌameᶤθˈəðjaᶤθ
amanita	ˌamanˈɪta
ambiwlans	ambˈɪᶷlans
amcangyfrif	ˌamkaŋɡˈəvrɪ
amcangyfrifon	ˌamkaŋɡəvrˈɪvɔn
amdani	amdˈanɪ
amddiffyn	amðˈɪfɨn
amherffaith	am̥hˈɛrfaᶦθ
amhosib	amhˈɔsɪb
amhrisiadwy	ˌam̥r̥ɪsjˈadʊᶤ
amldduwiaeth	amlðˈɨᶷjaᶤθ
amlieithog	ˌamljeˈɪθɔɡ
amlinell	amlˈɪnɛɬ
amlinelliad	ˌamlɪnˈɛɬjad
amlinellu	ˌamlɪnˈɛɬɨ
amnewid	annˈɛᶷɪd
amser	ˈamsar
amwys	amˈʊis
amwysedd	amwˈɨsɛð
anaerobig	ˌaneᶤrˈɔbɪɡ
anffyddiwr	anfˈəðjʊr
anfoesol	anvˈoːᶤsɔl
anfri	ˈanvrɪ
angel	ˈaŋal
anghydweld	aŋhˈɨdwɛld
anghyffredin	ˌaŋhəfrˈɛdɪn
anghyfiawn	aŋ̊hˈəvjaᶷn
anghynnes	aŋ̊ˈənɛs
anghywir	aŋhˈəwɪr
anhepgor	anhˈɛbɡɔr
anhrefn	ˈanr̥ɛvn
anhrefnus	anr̥ˈɛvnɨs
anialdir	anjˈaldɪr
anifail	anˈɪvaᶦl
animeiddiad	ˌanɪmˈeᶦðjad
animeiddio	ˌanɪmˈeᶦðjɔ
annedd	ˈanað
annheg	ˈanheːɡ
anniddorol	ˌanɪðˈɔrɔl
annifyr	anˈɪvɨr
annigonol	ˌanɪɡˈɔnɔl
annisgwyl	anˈɪsɡʊᶤl
annuwiol	anˈɨᶷjɔl
anobaith	ˌanɔbˈaiθ
anrhydedd	anhrˈədɛð
anrhydeddu	ˌanhrədˈɛðɨ
anrhydeddus	ˌanhrədˈɛðɨs
ansoddeiriol	ˌansɔðˈeːrjɔl
anti	ˈantɪ
anturiaeth	ˌantɨrjˈaiθ
anuniongyrchol	ˌanɨnjɔŋɡˈərχɔl
anweledig	ˌanwɛlˈɛdɪɡ
anwes	ˈanwas
anwir	ˈanwɪr
anwybyddu	ˌanwɨbˈəðɨ
apostol	apˈɔsdɔl
apostolaidd	ˌapɔsdˈɔlaᶦð
apostolion	ˌapɔsdˈɔljɔn
arbenigo	ˌarbɛnˈɪɡɔ
