一一	iq5 iq3
一万	iq5 moq3
一万两	iq5 moq9 lian3
一万个	iq5 moq9 gheq3
一万元	iq5 moq9 gnioe3
一万多	iq5 moq9 tu3
一丈	iq5 zan3
一上午	iq5 zaon9 wu3
一下	iq5 shia3
一下头	iq5 gho9 deu3
一下子	iq5 gho9 tsy3
一下子把	iq5 gho9 tsy9 pa3
一下頭	iq5 gho9 deu3
一不	iq5 peq3
一不做	iq5 peq9 tsu3
一不小心	iq5 peq9 siau9 sin3
一世	iq5 sy3
一丝	iq5 sy3
一丝一毫	iq5 sy9 iq9 ghau3
一丝不挂	iq5 sy9 peq9 kua3
一丝不苟	iq5 sy9 peq9 keu3
一丝丝	iq5 sy9 sy3
一两	iq5 lian3
一两个	iq5 lian9 gheq3
一两句	iq5 lian9 ciu3
一两天	iq5 lian9 thi3
一两年	iq5 lian9 gni3
一两次	iq5 lian9 tshy3
一並	iq5 bin3
一个	iq5 gheq3
一个个	iq5 gheq9 gheq3
一个劲儿	iq5 gheq9 cin9 gni3
一个劲地	iq5 gheq9 cin9 di3
一个半	iq5 gheq9 poe3
一个半月	iq5 gheq9 poe9 yoq3
一个名	iq5 gheq9 min3
一个团	iq5 gheq9 doe3
一个多	iq5 gheq9 tu3
一个多月	iq5 gheq9 tu9 yoq3
一个天	iq5 gheq9 thi3
一个头	iq5 gheq9 deu3
一个家	iq5 gheq9 ka3
一个打	iq5 gheq9 tan3
一个月	iq5 gheq9 yoq3
一个样	iq5 gheq9 yan3
一个点	iq5 gheq9 ti3
一个班	iq5 gheq9 pe3
一个身	iq5 gheq9 sen3
一中	iq5 tson3
一中全会	iq5 tson9 zi9 khue3
一中全會	iq5 tson9 zi9 khue3
一串	iq5 tshoe3
一举	iq5 ciu3
一举一动	iq5 ciu9 iq9 don3
一举两得	iq5 ciu9 lian9 teq3
一举成名	iq5 ciu9 zen9 min3
一九九七年	iq5 cieu9 cieu9 tshiq9 gni3
一九六二年	iq5 cieu9 loq9 gni9 gni3
一九四九年	iq5 cieu9 sy9 cieu9 gni3
一乾子	iq5 koe9 tsy3
一了百了	iq5 liau9 paq9 liau3
一事	iq5 zy3
一事无成	iq5 zy9 wu9 zen3
一事無成	iq5 zy9 wu9 zen3
一二	iq5 gni3
一二九	iq5 gni9 cieu3
一二日	iq5 gni9 zeq3
一五	iq5 ng3
一五一十	iq5 ng9 iq9 zeq3
一些	iq5 si3
一些则	iq5 si9 tseq3
一些則	iq5 si9 tseq3
一亩	iq5 meu3
一人	iq5 gnin3
一亿	iq5 i3
一介	iq5 ka3
一介頭	iq5 ka9 deu3
一他	iq5 tha3
一仗	iq5 tsan3
一代	iq5 de3
一代人	iq5 de9 gnin3
一代代	iq5 de9 de3
一件	iq5 ji3
一任	iq5 zen3
一份	iq5 ven3
一伍	iq5 wu3
一伙	iq5 hu3
一会	iq5 khue3
一会儿	iq5 khue9 gni3
一传	iq5 zoe3
一位	iq5 we3
一住	iq5 zy3
一体	iq5 ben3
一体化	iq5 ben9 hua3
一來	iq5 le3
一例	iq5 li3
一侧	iq5 tseq3
一俟	iq5 zy3
一信	iq5 sin3
一個	iq5 gheq3
一個人	iq5 gheq9 gnin3
一個個	iq5 ku9 ku3
一個勁兒	iq5 ku9 cin9 gni3
一個勁地	iq5 ku9 cin9 di3
一個半	iq5 ku9 poe3
一個半月	iq5 ku9 poe9 yoq3
一個名	iq5 ku9 min3
一個團	iq5 ku9 doe3
一個多	iq5 ku9 tu3
一個多月	iq5 ku9 tu9 yoq3
一個天	iq5 ku9 thi3
一個字	iq5 gheq9 zy3
一個家	iq5 ku9 ka3
一個打	iq5 ku9 tan3
一個月	iq5 gheq9 yoq3
一個樣	iq5 ku9 yan3
一個班	iq5 ku9 pe3
一個省	iq5 gheq9 san3
一個花甲	iq5 gheq9 ho9 ciaq3
一個身	iq5 ku9 sen3
一個頭	iq5 ku9 deu3
一個點	iq5 ku9 ti3
一倍	iq5 be3
一側	iq5 tseq3
一傳	iq5 zoe3
一億	iq5 i3
一元	iq5 gnioe3
一兩	iq5 lian3
一兩個	iq5 lian9 gheq3
一兩句	iq5 lian9 ciu3
一兩天	iq5 lian9 thi3
一兩年	iq5 lian9 gni3
一兩次	iq5 lian9 tshy3
一兩萬	iq5 lian9 ve3
