㞎㞎	pa̠⁴¹ pa̠³
㞎㞎腔	pa̠⁴¹ pa̠³ t͡ɕʰi̯æn³³
㧟	kʰu̯ai̯²¹
㧟毛毛	kʰu̯ai̯²¹⁻¹¹ mɒu̯¹³ mɒu̯⁴⁵
㧟肚	kʰu̯ai̯²¹⁻¹¹ təu̯²¹⁻¹¹
㿸	man²¹
䋎	t͡san⁴⁵
䏧	n̠ʲi̯a̠⁴⁵
䐬	t͡sɒu̯¹³
䟒	kõ¹³
䠀底	tʰan⁴¹ ti⁴¹
一	i²⁴
一丁丁子	i²⁴ tin⁴⁵ tin³ t͡sz̩³
一万	i²⁴ u̯an²¹⁻¹¹
一下下子	i²⁴ xa̠²¹⁻¹¹ xa̠³ t͡sz̩³
一世	i²⁴ sz̩⁴⁵
一千	i²⁴ t͡ɕʰi̯ẽ³³
一半	i²⁴ põ⁴⁵
一号	i²⁴ xɒu̯²¹⁻¹¹
一哈哈子	i²⁴ xa̠⁴⁵ xa̠³ t͡sz̩³
一坦平洋	i²⁴ tʰan⁴¹ pin¹³ i̯æn¹³
一天到晚	i²⁴ tʰi̯ẽ³³ tɒu̯⁴⁵ u̯an⁴¹
一年到头	i²⁴ n̠ʲə̃¹³ tɒu̯⁴⁵ tʰəu̯¹³
一年到頭	i²⁴ n̠ʲə̃¹³ tɒu̯⁴⁵ tʰəu̯¹³
一年四季	i²⁴ n̠ʲə̃¹³ sz̩⁴⁵ t͡ɕi⁴⁵
一成	i²⁴ t͡sən¹³
一滴咖子	i²⁴ ti̯a̠²⁴ ka̠³ t͡sz̩³
一点咖子	i²⁴ ti̯ẽ⁴¹ ka̠³ t͡sz̩³
一脸	i²⁴ li̯ẽ⁴¹
一臉	i²⁴ li̯ẽ⁴¹
一般子	i²⁴ pan³³ t͡sz̩³
一萬	i²⁴ u̯an²¹⁻¹¹
一號	i²⁴ xɒu̯²¹⁻¹¹
一起	i²⁴ t͡ɕʰi⁴¹
一路	i²⁴ ləu̯²¹⁻¹¹
一路來	i²⁴ ləu̯⁴¹ lai̯²⁴
一路来	i²⁴ ləu̯⁴¹ lai̯²⁴
一身	i²⁴ sən³³
一門心	i²⁴ mən¹³ ɕin³³
一门心	i²⁴ mən¹³ ɕin³³
一黑早	i²⁴ xɤ̞²⁴ t͡sɒu̯⁴¹
一點咖子	i²⁴ ti̯ẽ⁴¹ ka̠³ t͡sz̩³
一齒	i²⁴ t͡sʰz̩⁴¹
一齿	i²⁴ t͡sʰz̩⁴¹
丁	tin³³
七	t͡ɕʰi²⁴
万	u̯an²¹
丈	t͡san²¹
丈人婆	t͡san²¹⁻¹¹ ʐən¹³ po¹³
丈人老子	t͡san²¹⁻¹¹ ʐən¹³ lɒu̯⁴¹ t͡sz̩³
三	san³³
三三两两	san³³ san³³ li̯æn⁴¹ li̯æn⁴¹
三三兩兩	san³³ san³³ li̯æn⁴¹ li̯æn⁴¹
三十	san³³ sz̩²⁴
三十晚上	san³³ sz̩²⁴ u̯an⁴¹ san²¹⁻¹¹
三十晚間子	san³³ sz̩²⁴ u̯an⁴¹ ka̠³ t͡sz̩³
三十晚间子	san³³ sz̩²⁴ u̯an⁴¹ ka̠³ t͡sz̩³
三只手	san³³ t͡sa̠²⁴ səu̯⁴¹
三心两意	san³³ ɕin³³ li̯æn⁴¹ i⁴⁵
三心二意	san³³ ɕin³³ ɤ̞²¹⁻¹¹ i⁴⁵
三心兩意	san³³ ɕin³³ li̯æn⁴¹ i⁴⁵
三月子	san³³ y̯e̞²⁴ t͡sz̩³
三月間子	san³³ y̯e̞²⁴ kan³³ t͡sz̩³
三月间子	san³³ y̯e̞²⁴ kan³³ t͡sz̩³
三点水	san³³ ti̯ẽ⁴¹ ɕy̯e̞i̯⁴¹
三番两次	san³³ ɸan³³ li̯æn⁴¹ t͡sʰz̩⁴⁵
三番五次	san³³ ɸan³³ u⁴¹ t͡sʰz̩⁴⁵
三番兩次	san³³ ɸan³³ li̯æn⁴¹ t͡sʰz̩⁴⁵
三言两语	san³³ i̯ẽ¹³ li̯æn⁴¹ y⁴¹
三言兩語	san³³ i̯ẽ¹³ li̯æn⁴¹ y⁴¹
三輪車	san³³ lən¹³ t͡sʰɤ̞³³
三轮车	san³³ lən¹³ t͡sʰɤ̞³³
三長兩短	san³³ t͡san¹³ li̯æn⁴¹ tõ⁴¹
三长两短	san³³ t͡san¹³ li̯æn⁴¹ tõ⁴¹
三隻手	san³³ t͡sa̠²⁴ səu̯⁴¹
三點水	san³³ ti̯ẽ⁴¹ ɕy̯e̞i̯⁴¹
上	san²¹
上下	san²¹⁻¹¹ ɕi̯a̠²¹⁻¹¹
上供	san²¹⁻¹¹ kən⁴⁵
上午	san²¹⁻¹¹ u⁴¹
上半年	san²¹⁻¹¹ põ⁴⁵ n̠ʲi̯ẽ¹³
上半晚	san²¹⁻¹¹ põ⁴⁵ u̯an⁴¹
上好	san²¹⁻¹¹ xɒu̯⁴¹
上学	san²¹⁻¹¹ ɕi̯o²⁴
上學	san²¹⁻¹¹ ɕi̯o²⁴
上岭	san²¹⁻¹¹ lin⁴¹
上嶺	san²¹⁻¹¹ lin⁴¹
上昼	san²¹⁻¹¹ t͡səu̯⁴⁵
上晝	san²¹⁻¹¹ t͡səu̯⁴⁵
上材	san²¹⁻¹¹ t͡sai̯²⁴
上海	san²¹⁻¹¹ xai̯⁴¹
上祭	san⁴⁵ t͡ɕi⁴⁵
上菜	san²¹⁻¹¹ t͡sʰai̯⁴⁵
上面	san²¹⁻¹¹ mi̯ẽ³
下	xa̠²¹
下凌	ɕi̯a̠²¹⁻¹¹ lin²¹⁻¹¹
下力	ɕi̯a̠²¹⁻¹¹ li²⁴
下半晚	ɕi̯a̠²¹⁻¹¹ põ⁴⁵ u̯an⁴¹
下堂	ɕi̯a̠²¹⁻¹¹ tan¹³
下塌	ɕi̯a̠²¹⁻¹¹ tʰa̠²⁴
下士	ɕi̯a̠²¹⁻¹¹ sz̩⁴⁵
下昼	xa̠²¹⁻¹¹ t͡səu̯⁴⁵
下晝	xa̠²¹⁻¹¹ t͡səu̯⁴⁵
下架	ɕi̯a̠²¹⁻¹¹ t͡ɕi̯a̠⁴⁵
下棋	ɕi̯a̠²¹⁻¹¹ t͡ɕi¹³
下派头	ɕi̯a̠⁴⁵ pai̯³ təu̯¹³
下派頭	ɕi̯a̠⁴⁵ pai̯³ təu̯¹³
下种	ɕi̯a̠²¹⁻¹¹ t͡sən⁴¹
下種	ɕi̯a̠²¹⁻¹¹ t͡sən⁴¹
下罩子	ɕi̯a̠²¹⁻¹¹ t͡sɒu̯⁴⁵ t͡sz̩³
下老毛	ɕi̯a̠²¹⁻¹¹ lɒu̯⁴¹ mɒu̯¹³
下艺	ɕi̯a̠⁴⁵ n̠ʲi²¹⁻¹¹
下藝	ɕi̯a̠⁴⁵ n̠ʲi²¹⁻¹¹
下露水	ɕi̯a̠²¹⁻¹¹ ləu̯²¹⁻¹¹ ɕy̯e̞i̯⁴¹
下面	ɕi̯a̠²¹⁻¹¹ mi̯ẽ³
下頦	xa̠²¹⁻¹¹ kʰo²⁴
下颏	xa̠²¹⁻¹¹ kʰo²⁴
下飯菜	ɕi̯a̠²¹⁻¹¹ ɸan²¹⁻¹¹ t͡sʰai̯⁴⁵
下饭菜	ɕi̯a̠²¹⁻¹¹ ɸan²¹⁻¹¹ t͡sʰai̯⁴⁵
不	pu²⁴
不倒翁	pu²⁴ tɒu̯⁴¹ ŋən³³
不怕	pu²⁴ pʰa̠⁴⁵
不看見	pu²⁴ kʰan⁴⁵ t͡ɕi̯ẽ⁴⁵
不看见	pu²⁴ kʰan⁴⁵ t͡ɕi̯ẽ⁴⁵
与	y⁴¹
丑	t͡sʰəu̯⁴¹
专	t͡ɕy̯ẽ³³
专门	t͡ɕy̯ẽ³³ mən¹³
且	t͡ɕʰi̯e̞⁴¹
世	sz̩⁴⁵
世界	sz̩⁴⁵ kai̯⁴⁵
丙	pin⁴¹
业	n̠ʲi̯e̞²⁴
东	tən³³
东头	tən³³ təu̯³
东西	tən³³ ɕi³
东边	tən³³ pi̯æn³³
丝	sz̩³³
丝瓜	sz̩³³ ku̯a̠³³
丝绞边	ɕi³³ kɒu̯⁴¹ pi̯ẽ³³
丝袜	sz̩³³ u̯a̠²⁴
丝袜子	ɕi³³ u̯a̠²⁴ t͡sz̩³
丟	ti̯əu̯³³
丟手	ti̯əu̯³³ səu̯⁴¹
丟格	ti̯əu̯³³ kəu̯¹³
丢	ti̯əu̯³³
丢手	ti̯əu̯³³ səu̯⁴¹
丢格	ti̯əu̯³³ kəu̯¹³
两	li̯æn⁴¹
两公婆	li̯æn⁴¹ kən³³ po¹³
两夫妻	li̯æn⁴¹ ɸu³³ t͡ɕʰi³³
两姑嫂	li̯æn⁴¹ ku³³ sɒu̯⁴¹
两娘崽	li̯æn⁴¹ n̠ʲi̯æn¹³ t͡sai̯⁴¹
两婆媳	li̯æn⁴¹ po¹³ ɕi²⁴
两爷崽	li̯æn⁴¹ i̯a̠¹³ t͡sai̯⁴¹
严	n̠ʲi̯ẽ¹³
严刚	ŋan¹³ t͡ɕi̯æn³³
严合	ŋan¹³ xo²⁴
丧事	san³³ sz̩²¹⁻¹¹
丧夫	san³³ ɸu³
丧德	san⁴⁵ tɤ̞²⁴
个	ko⁴⁵
丫	ŋa̠³³
丫头	i̯a̠³³ təu̯³
丫裆裤	ŋa̠³³ tan³³ kʰu⁴⁵
丫襠褲	ŋa̠³³ tan³³ kʰu⁴⁵
丫頭	i̯a̠³³ təu̯³
丫鬟	i̯a̠³³ ɸan¹³
中	t͡sən³³
中元	t͡sən³³ y̯ẽ¹³
中午	t͡sən³³ u⁴¹
中华人民共和国	t͡sən³³ ɸa̠¹³ ʐən¹³ min¹³ kən²¹⁻¹¹ xo¹³ ku̯ɤ̞²⁴
中华民国	t͡sən³³ ɸa̠¹³ min¹³ ku̯ɤ̞²⁴
中巴	t͡sən³³ pa̠³³
中巴車	t͡sən³³ pa̠³³ t͡sʰɤ̞³³
中巴车	t͡sən³³ pa̠³³ t͡sʰɤ̞³³
中指拇	t͡sən³³ t͡sz̩²⁴ mɒu̯³
中指脑	t͡sən³³ t͡sz̩²⁴ lɒu̯⁴¹
中指腦	t͡sən³³ t͡sz̩²⁴ lɒu̯⁴¹
中旬	t͡sən³³ sən¹³
中秋	t͡sən³³ t͡ɕʰi̯əu̯³³
中秋節	t͡sən³³ t͡ɕʰi̯əu̯³³ t͡ɕi̯e̞²⁴
中秋节	t͡sən³³ t͡ɕʰi̯əu̯³³ t͡ɕi̯e̞²⁴
中華人民共和國	t͡sən³³ ɸa̠¹³ ʐən¹³ min¹³ kən²¹⁻¹¹ xo¹³ ku̯ɤ̞²⁴
中華民國	t͡sən³³ ɸa̠¹³ min¹³ ku̯ɤ̞²⁴
中間	t͡sən³³ kan³³
中間子	t͡sən³³ ka̠³³ t͡sz̩³
中间	t͡sən³³ kan³³
中间子	t͡sən³³ ka̠³³ t͡sz̩³
中風	t͡sən⁴⁵ xən³³
中风	t͡sən⁴⁵ xən³³
中飯	t͡sən³³ ɸan²¹⁻¹¹
中饭	t͡sən³³ ɸan²¹⁻¹¹
临帖	lin¹³ tʰi̯e̞²⁴
丸	y̯ẽ¹³
丹	tan³³
丹墀	tan³³ t͡sz̩¹³
为	u̯e̞i̯¹³
为么子	u̯e̞i̯²¹⁻¹¹ mo⁴¹ t͡sz̩³
主	t͡ɕy⁴¹
举	t͡ɕy⁴¹
乃	lai̯⁴¹
久	t͡ɕi̯əu̯⁴¹
么子	mo⁴¹ t͡sz̩³
么子时候	mo⁴¹ t͡sz̩³ sz̩¹³ xəu̯³
义	n̠ʲi⁴⁵
之	t͡sz̩³³
乌	u³³
