آب	fa	آبْ
آباد	fa	آبادْ
آبادان	fa	آبادانْ
آبادانی	fa	آبادانی
آبادی	fa	آبادی
آبان	fa	آبانْ
آبتنی	fa	آبْتَنی
آبخست	fa	آبْخَسَتْ
آبخست	fa	آبْخَسَتْ
آبدار	fa	آبَدارْ
آبدارچی	fa	آبَدارَچی
آبدست	fa	آبْدَسَتْ
آبرو	fa	آبَرو
آبرو	fa	آبَرو
آبزن	fa	آبَزِنْ
آبزی	fa	آبَزی
آبستن	fa	آبَسَتِنْ
آبستنی	fa	آبَسْتَنی
آبسنگ	fa	آبْسَنَگْ
آبشار	fa	آبَشارْ
آبغوره	fa	آبَغوره
آبله	fa	آبِله
آبنبات	fa	آبْنَباتْ
آبنوس	fa	آبَنوسْ
آبچین	fa	آبَچینْ
آبکند	fa	آبْکَنَدْ
آبگرمکن	fa	آبَگَرْمْکِنْ
آبگیر	fa	آبَگیرْ
آبگینه	fa	آبَگینه
آبی	fa	آبی
آبیاری	fa	آبیاری
آب‌انبار	fa	آبْ‌انَبارْ
آب‌راه	fa	آبَ‌راه
آب‌پاش	fa	آبَ‌پاشْ
آب‌گوشت	fa	آبَ‌گوشَتْ
آتش	fa	آتِشْ
آتشدان	fa	آتَشَدانْ
آتشکده	fa	آتَشْکَده
آتشی	fa	آتِشی
آتش‌نشان	fa	آتَشْ‌نَشانْ
آتش‌پرست	fa	آتَشْ‌پَرِسَتْ
آتنا	fa	آتِنا
آتی	fa	آتی
آثار	fa	آثارْ
آجر	fa	آجِرْ
آجیل	fa	آجیلْ
آخ	fa	آخْ
آختن	fa	آخَتِنْ
آخر	fa	آخِرْ
آخر	fa	آخِرْ
آخرت	fa	آخِرِتْ
آخه	fa	آخه
آخوند	fa	آخونَدْ
آخوندک	fa	آخونَدِکْ
آخیز	fa	آخیزْ
آداب	fa	آدابْ
آدر	fa	آدِرْ
آدم	fa	آدِمْ
آدمکش	fa	آدَمَکِشْ
آدمی	fa	آدِمی
آدم‌برفی	fa	آدَمَ‌بَرَفی
آدم‌ها	fa	آدَمَ‌ها
آدینه	fa	آدینه
آدینه	fa	آدینه
آذار	fa	آذارْ
آذر	fa	آذِرْ
آذربایجان	fa	آذَرَبایجانْ
آذرخش	fa	آذِرِخَشْ
آذرگون	fa	آذَرَگونْ
آذوقه	fa	آذوقه
آذین	fa	آذینْ
آرا	fa	آرا
آرارات	fa	آراراتْ
آراستن	fa	آراسَتِنْ
آرام	fa	آرامْ
آرامش	fa	آرامِشْ
آرامگاه	fa	آرامَگاه
آرامی	fa	آرامی
آرایه	fa	آرایه
آرد	fa	آرِدْ
آرد	fa	آرَدْ
آرزو	fa	آرِزو
آرزو	fa	آرَزو
آرزومند	fa	آرِزومِنَدْ
آرزومند	fa	آرَزومِنَدْ
آرش	fa	آرِشْ
آرشام	fa	آرَشامْ
آرمان	fa	آرَمانْ
آرمان	fa	آرَمانْ
آرنج	fa	آرِنَجْ
آروغ	fa	آروغْ
آرپا	fa	آرَپا
آریا	fa	آریا
آریان	fa	آریانْ
آزاد	fa	آزادْ
آزادراه	fa	آزادَراه
آزادی	fa	آزادی
آزار	fa	آزارْ
آزاری	fa	آزاری
آزما	fa	آزَما
آزمودن	fa	آزَمودِنْ
آزموده	fa	آزَموده
آزمون	fa	آزَمونْ
آس	fa	آسْ
آسام	fa	آسامْ
آسان	fa	آسانْ
آسانی	fa	آسانی
آستانه	fa	آسَتانه
آستر	fa	آسَتِرْ
آستین	fa	آسَتینْ
آسمان	fa	آسِمانْ
آسمان	fa	آسَمانْ
آسمانرنگ	fa	آسَمانْرَنَگْ
آسمانگون	fa	آسِمانَگونْ
آسمانگون	fa	آسَمانَگونْ
آسمانی	fa	آسَمانی
آسمان‌خراش	fa	آسَمانْ‌خَراشْ
آسودن	fa	آسودِنْ
آسوده	fa	آسوده
آسیب	fa	آسیبْ
آسیمه	fa	آسیمه
آش	fa	آشْ
آشام	fa	آشامْ
آشامیدن	fa	آشامیدِنْ
آشامیدنی	fa	آشامیدِنی
آشتی	fa	آشَتی
آشفتن	fa	آشَفَتِنْ
آشفته	fa	آشَفَته
آشنا	fa	آشِنا
آشنا	fa	آشَنا
آشنایی	fa	آشِنایی
آشنایی	fa	آشَنایی
آشوب	fa	آشوبْ
آشور	fa	آشورْ
آشوری	fa	آشوری
آشپز	fa	آشَپِزْ
آشپزخانه	fa	آشَپَزَخانه
آشپزی	fa	آشْپَزی
آشکارا	fa	آشِکارا
آشکارا	fa	آشَکارا
آغا	fa	آغا
آغاز	fa	آغازْ
آغازیدن	fa	آغازیدِنْ
آغشتن	fa	آغَشَتِنْ
آغل	fa	آغِلْ
آغوش	fa	آغوشْ
آغیل	fa	آغیلْ
آغیل	fa	آغیلْ
آفاق	fa	آفاقْ
آفت	fa	آفِتْ
آفتاب	fa	آفَتابْ
آفتابه	fa	آفَتابه
آفتابی	fa	آفَتابی
آفتاب‌پرست	fa	آفَتابْ‌پَرِسَتْ
آفریدن	fa	آفِریدِنْ
آفریده	fa	آفِریده
آفریقا	fa	آفَریقا
آفرین	fa	آفِرینْ
آفرینش	fa	آفِرینِشْ
آفند	fa	آفِنَدْ
آقا	fa	آقا
آقایان	fa	آقایانْ
آقایی	fa	آقایی
آل	fa	آلْ
آلاله	fa	آلاله
آلبالو	fa	آلَبالو
آلت	fa	آلِتْ
آلتای	fa	آلَتای
آلتایی	fa	آلَتایی
آلش	fa	آلِشْ
آلفتن	fa	آلَفَتِنْ
آلفته	fa	آلَفَته
آلمانی	fa	آلَمانی
آله	fa	آله
آلو	fa	آلو
آلوبالو	fa	آلوبالو
آلودن	fa	آلودِنْ
آلوده	fa	آلوده
آلودگی	fa	آلودِگی
آلوچه	fa	آلوچه
آلیختن	fa	آلیخَتِنْ
آماج	fa	آماجْ
آمادن	fa	آمادِنْ
آماده	fa	آماده
آمار	fa	آمارْ
آمارگر	fa	آمارَگِرْ
آماسیدن	fa	آماسیدِنْ
آماهیدن	fa	آماهیدِنْ
آمد	fa	آمِدْ
آمد	fa	آمِدْ
آمدن	fa	آمِدِنْ
آمرزیدن	fa	آمَرَزیدِنْ
آمریکا	fa	آمَریکا
آمریکایی	fa	آمَریکایی
آمنه	fa	آمِنه
آموت	fa	آموتْ
آموختن	fa	آموخَتِنْ
آمودریا	fa	آمودَریا
آموز	fa	آموزْ
آموزش	fa	آموزِشْ
آموزه	fa	آموزه
آموزگار	fa	آموزَگارْ
آموسنی	fa	آموسَنی
آمیتیست	fa	آمیتیسَتْ
آمیختن	fa	آمیخَتِنْ
آمیخته	fa	آمیخَته
آمیریان	fa	آمیریانْ
آمیز	fa	آمیزْ
آمیزش	fa	آمیزِشْ
آن	fa	آنْ
آنان	fa	آنانْ
آناهیتا	fa	آناهیتا
آنجا	fa	آنَجا
آنغوزه	fa	آنَغوزه
آنقدر	fa	آنْقَدَرْ
آنچنان	fa	آنْچَنانْ
آنچه	fa	آنَچه
آنگولا	fa	آنَگولا
آن‌ها	fa	آنَ‌ها
آه	fa	آه
آهار	fa	آهارْ
آهو	fa	آهو
آهیختن	fa	آهیخَتِنْ
آچ	fa	آچْ
آچار	fa	آچارْ
آچمز	fa	آچَمِزْ
آژانس	fa	آژانَسْ
آژیر	fa	آژیرْ
آکج	fa	آکِجْ
آکندن	fa	آکَنَدِنْ
آگاه	fa	آگاه
آگاهاندن	fa	آگاهانَدِنْ
آگاهانه	fa	آگاهانه
آگاهی	fa	آگاهی
آگاهیدن	fa	آگاهیدِنْ
آگرا	fa	آگَرا
آگندن	fa	آگَنَدِنْ
آیات	fa	آیاتْ
آیدین	fa	آیدینْ
آیرارات	fa	آیراراتْ
آینه	fa	آینه
آیه	fa	آیه
آیینه	fa	آیینه
اب	fa	ابْ
ابا	fa	ابا
ابابیل	fa	ابابیلْ
اباضی	fa	اباضی
ابتدا	fa	ابْتَدا
ابتداء	fa	ابْتَداءْ
ابتلا	fa	ابْتَلا
ابتکار	fa	ابْتَکارْ
ابجد	fa	ابَجِدْ
ابد	fa	ابِدْ
ابدال	fa	ابَدالْ
ابدی	fa	ابِدی
ابر	fa	ابِرْ
ابر	fa	ابَرْ
ابراز	fa	ابَرازْ
ابراهیم	fa	ابَراهیمْ
ابرش	fa	ابَرِشْ
ابرنجن	fa	ابَرَنَجِنْ
ابرنجین	fa	ابَرَنَجینْ
ابرو	fa	ابَرو
ابرک	fa	ابَرِکْ
ابری	fa	ابَری
ابریشم	fa	ابَریشِمْ
ابریشم	fa	ابَریشِمْ
ابریق	fa	ابَریقْ
ابری‌ساز	fa	ابَری‌سازْ
ابری‌سازی	fa	ابَری‌سازی
ابزار	fa	ابَزارْ
ابزیم	fa	ابَزیمْ
ابشتن	fa	ابَشَتِنْ
ابقا	fa	ابَقا
ابلاغ	fa	ابَلاغْ
ابلیس	fa	ابَلیسْ
ابن	fa	ابَنْ
