آس	pa	آس
آندر	pa	آندر
آنڈا	pa	آنڈا
آواز	pa	آواز
آٹا	pa	آٹا
آکاش	pa	آکاش
آکڑ	pa	آکڑ
آں	pa	آں
ابا	pa	ابا
ادھ	pa	ادھ
ادھا	pa	ادھا
استھی	pa	استھی
اسر	pa	اسُر
اصفہان	pa	اصْفہان
اللہ	pa	اللہ
امل	pa	امل
انار	pa	انار
اناناس	pa	اناناس
انملا	pa	انمُلا
انگی	pa	انگی
اوداں	pa	اوداں
اٹاری	pa	اٹاری
اٹھ	pa	اٹھ
اٹھارہ	pa	اٹھارہ
اکھ	pa	اکھ
اکھاں	pa	اکھاں
اکھر	pa	اکھر
اگ	pa	اگ
باجی	pa	باجی
بادام	pa	بادام
باری	pa	باری
باسی	pa	باسی
باقی	pa	باقی
باگھا	pa	باگھا
بتی	pa	بتی
بدتمیز	pa	بدْتمیز
بدھوار	pa	بُدھوار
برا	pa	بُرا
برف	pa	برف
بسنت	pa	بسنْت
بسورا	pa	بسُورا
بندوق	pa	بندُوق
بندہ	pa	بندہ
بندی	pa	بِندی
بندے	pa	بندے
بنڈ	pa	بُنْڈ
بنگالی	pa	بنگالی
بوتھا	pa	بُوتھا
بوٹا	pa	بُوٹا
بوہا	pa	بُوہا
بڑا	pa	بڑا
بکری	pa	بکری
بھا	pa	بھا
بھابی	pa	بھابی
بھار	pa	بھار
بھارا	pa	بھارا
بھانڈا	pa	بھانڈا
بھسوڑی	pa	بھسُوڑی
بھلک	pa	بھلک
بھنگڑا	pa	بھنْگڑا
بھنگڑے	pa	بھنْگْڑے
بھونڈ	pa	بھُونْڈ
بھونڈا	pa	بھُونڈا
بھونڈاں	pa	بھُونڈاں
بھونڈو	pa	بھُونڈو
بھٹو	pa	بھُٹو
بیماری	pa	بیماری
بیوی	pa	بِیوی
تار	pa	تار
تارا	pa	تارا
تارے	pa	تارے
تتا	pa	تتا
تری	pa	تُری
تساں	pa	تُساں
تسیں	pa	تُسیں
تصویر	pa	تصویر
تفسیر	pa	تفسیر
تمک	pa	تمک
تن	pa	تِن
تند	pa	تنْد
تند	pa	تُنْد
توتا	pa	توتا
تکے	pa	تکے
تکے	pa	تِکے
تھاتی	pa	تھاتی
تھلا	pa	تھلا
تھلے	pa	تھلے
تھک	pa	تھُک
تھک	pa	تھُک
تہاڈا	pa	تُہاڈا
تہمت	pa	تُہمت
تے	pa	تے
جال	pa	جال
جانجی	pa	جانجی
جاپدا	pa	جاپدا
جبھ	pa	جِبھ
جت	pa	جِت
جتا	pa	جُتا
جتی	pa	جُتی
جدوں	pa	جدوں
جنت	pa	جنت
جنج	pa	جنْج
جنج	pa	جِنْج
جوائی	pa	جَوائی
جوڑا	pa	جوڑا
جوگا	pa	جوگا
جگ	pa	جگ
جگ	pa	جگ
جھاتی	pa	جھاتی
جھاٹا	pa	جھاٹا
جھلا	pa	جھلا
جھناں	pa	جھناں
جھنڈا	pa	جھنڈا
جھولی	pa	جھولی
جھوٹھ	pa	جھُوٹھ
جھوٹھ	pa	جھُوٹھ
جھٹکا	pa	جھٹکا
جھڑ	pa	جھڑ
جھیل	pa	جھیل
جیبھ	pa	جیبھ
جیت	pa	جیت
جیجا	pa	جیجا
جے	pa	جے
حالے	pa	حالے
حتیجہ	pa	حتیجہ
حدیجہ	pa	حدیجہ
حرف	pa	حرْف
حرف	pa	حرف
حق	pa	حق
حماقت	pa	حماقت
حور	pa	حُور
حیاتی	pa	حَیاتی
خالصہ	pa	خالِصہ
ختیجہ	pa	ختیجہ
خدیجہ	pa	خدیجہ
خطا	pa	خطا
خنازیر	pa	خنازیر
داج	pa	داج
دادا	pa	دادا
دادی	pa	دادی
دبئی	pa	دُبئی
ددھ	pa	دُدھ
دروازہ	pa	دروازہ
دستار	pa	دستار
دسدا	pa	دسدا
دسدا	pa	دِسدا
دغا	pa	دغا
دفتر	pa	دفتر
دلوں	pa	دِلوں
دلچسپ	pa	دِلچسْپ
دن	pa	دِن
دو	pa	دو
دوا	pa	دَوا
دواکھا	pa	دَواکھا
دھریک	pa	دھریک
دھریکدا	pa	دھریکدا
دھموڑی	pa	دھمُوڑی
دھند	pa	دھُنْد
دھنیا	pa	دھنِیا
دھواں	pa	دھُواں
دھپ	pa	دھُپ
دھکا	pa	دھکا
دھی	pa	دھی
دہ	pa	دہ
دہ	pa	دہ
دہ	pa	دَہ
دیوا	pa	دِیوا
دیپک	pa	دیپک
دیپکا	pa	دیپِکا
رات	pa	رات
راخش	pa	راخش
راوی	pa	راوی
رب	pa	رب
