آبخانە	ps	آبخانە
آبکند	ps	آبکنْد
آر	ps	آر
آره	ps	آره
آلمان	ps	آلمان
آيات	ps	آيات
آيرلنډ	ps	آيرْلنْډ
اتل	ps	اتل
اتلس	ps	اتَلس
اتله	ps	اتَله
اته	ps	اته
اتڼ	ps	اتڼ
اخ	ps	اخ
اخته	ps	اخته
اخلم	ps	اخلم
اخيستل	ps	اخيستل
اخښل	ps	اخښل
اخښل	ps	اخښل
اردن	ps	اردن
ارزان	ps	ارزان
ارزانه	ps	ارزانه
ارمان	ps	ارمان
اري	ps	اري
اس	ps	اس
استقلال	ps	استقلال
اسمان	ps	اسمان
اسماني	ps	اسماني
اسپه	ps	اسپه
اسکيمو	ps	اسکيمو
اغوستل	ps	اغوستل
اغږل	ps	اغږل
اغږل	ps	اغږل
افغانستان	ps	افغانستان
البند	ps	البنْد
امريکا	ps	امريکا
امېل	ps	امېل
انا	ps	انا
انار	ps	انار
اند	ps	انْد
انځور	ps	انځور
انځورګر	ps	انځورګر
اوبدل	ps	اوبدل
اوبه	ps	اوبه
اور	ps	اور
اورلوبه	ps	اورلوبه
اوريګامي	ps	اوريګامي
اوسم	ps	اوسم
اوسېدل	ps	اوسېدل
اوش	ps	اوش
اوشه	ps	اوشه
اوږه	ps	اوږه
ايستل	ps	ايستل
اينو	ps	اينو
اپيم	ps	اپيم
اپين	ps	اپين
اګل	ps	اګل
اېخ	ps	اېخ
اېموجي	ps	اېموجي
بابا	ps	بابا
باد	ps	باد
بادام	ps	بادام
باران	ps	باران
باغ	ps	باغ
بالښت	ps	بالښْت
بام	ps	بام
باندې	ps	باندې
باچا	ps	باچا
باڼه	ps	باڼه
بته	ps	بته
بخارا	ps	بخارا
بخښل	ps	بخښل
بخښل	ps	بخښل
بخښنه	ps	بخْښنه
بد	ps	بد
بدلېدل	ps	بدلېدل
بده	ps	بده
بدي	ps	بدي
برابر	ps	برابر
برايي	ps	برايي
بربنډ	ps	بربنْډ
برتانيه	ps	برتانيه
برج	ps	بْرج
برجۍ	ps	برجۍ
برطانيه	ps	برطانيه
برغټ	ps	برغټ
بريتانيا	ps	بْريتانَيا
برېت	ps	بْرېت
بغداد	ps	بغداد
بل	ps	بل
بلا	ps	بلا
بلغاريه	ps	بلغاريه
بلغاريه	ps	بلغاريه
بلل	ps	بلل
بن	ps	بن
بنج	ps	بنْج
بنده	ps	بنده
بندي	ps	بندي
به	ps	به
بوخت	ps	بوخْت
بولم	ps	بولم
بونا	ps	بونا
بيزو	ps	بيزو
بيژکۍ	ps	بيژَکۍ
بچ	ps	بچ
بډایه	ps	بډایه
بکاڼه	ps	بکاڼه
بڼ	ps	بڼ
بېخي	ps	بېخي
بېرته	ps	بېرته
بې	ps	بې
بېل	ps	بېل
بېلچه	ps	بېلچه
تاجیکستان	ps	تاجیکستان
تاسو	ps	تاسو
تاسې	ps	تاسې
تاشکند	ps	تاشکنْد
تاوان	ps	تاوان
ترکيه	ps	ترْکيه
تل	ps	تل
تلل	ps	تْلل
تماله	ps	تماله
ته	ps	ته
ته	ps	ته
تود	ps	تود
تور	ps	تور
توپان	ps	توپان
تيپي	ps	تيپي
تپوس	ps	تپوس
تڼۍ	ps	تڼۍ
تۀ	ps	تۀ
تېرۀ	ps	تېرۀ
جام	ps	جام
جاپان	ps	جاپان
جلا	ps	جلا
جنکۍ	ps	جنکۍ
جنکۍ	ps	جنَکۍ
جنۍ	ps	جنۍ
جوړ	ps	جوړ
جګ	ps	جګ
جې	ps	جې
خام	ps	خام
خت	ps	خت
ختل	ps	ختل
ختيځ	ps	ختيځ
خدای	ps	خْدای
خدای	ps	خدای
خمچې	ps	خمَچې
خوب	ps	خوب
خور	ps	خور
خوږ	ps	خوږ
خيرن	ps	خيرن
خپسه	ps	خپَسه
خپه	ps	خپه
خړ	ps	خړ
خېل	ps	خېل
خېټه	ps	خېټه
دا	ps	دا
داسې	ps	داسې
دانه	ps	دانه
در	ps	در
درزي	ps	درزي
درمل	ps	درمل
درنه	ps	دْرنه
دروغ	ps	دْروغ
درې	ps	دْرې
درېدل	ps	دْرېدل
درېږم	ps	درېږم
دغه	ps	دغه
دغه	ps	دغه
دلته	ps	دلته
دلې	ps	دلې
دود	ps	دود
دونه	ps	دونه
دوه	ps	دوه
دپاره	ps	دپاره
دښمن	ps	دښمن
دې	ps	دې
دېرش	ps	دېرْش
دېو	ps	دېو
دېګ	ps	دېګ
ذکر	ps	ذکر
را	ps	را
راتلل	ps	راتلل
