آئی	ur	آئی
آئین	ur	آئین
آئینہ	ur	آئینہ
آئینہ	ur	آئینہ
آب	ur	آب
آباد	ur	آباد
آبادانی	ur	آبادانی
آبادی	ur	آبادی
آبادیات	ur	آبادُیات
آبدوز	ur	آبدوز
آبشار	ur	آبشار
آبچین	ur	آبچین
آبی	ur	آبی
آتش	ur	آتش
آتش	ur	آتش
آتما	ur	آتما
آتنکوادی	ur	آتنْکوادی
آج	ur	آج
آخرت	ur	آخَرت
آخری	ur	آخَری
آخری	ur	آخری
آخن	ur	آخن
آخور	ur	آخور
آدا	ur	آدا
آداب	ur	آداب
آدر	ur	آدر
آدم	ur	آدم
آدمی	ur	آدمی
آدھا	ur	آدھا
آدھنک	ur	آدھَنک
آدھوں	ur	آدھوں
آدھی	ur	آدھی
آدھے	ur	آدھے
آذر	ur	آذر
آرام	ur	آرام
آربل	ur	آربل
آرزو	ur	آرزُو
آرمبھ	ur	آرمْبھ
آرمی	ur	آرمی
آرمینیا	ur	آرمینُیا
آری	ur	آری
آرے	ur	آرے
آزاد	ur	آزاد
آزادی	ur	آزادی
آزادیاں	ur	آزادُیاں
آزادیوں	ur	آزادُیوں
آزاری	ur	آزاری
آزمانا	ur	آزمانا
آزمودگی	ur	آزمُودَگی
آزمودہ	ur	آزمُودہ
آس	ur	آس
آسام	ur	آسام
آسامی	ur	آسامی
آسان	ur	آسان
آسانی	ur	آسانی
آساں	ur	آساں
آستھا	ur	آستھا
آستین	ur	آستین
آسرا	ur	آسرا
آسمان	ur	آسمان
آسمانوں	ur	آسمانوں
آسمانی	ur	آسمانی
آسماں	ur	آسماں
آسن	ur	آسن
آسند	ur	آسنْد
آسٹریا	ur	آسْٹْرُیا
آسکت	ur	آسکْت
آسکول	ur	آسکول
آشا	ur	آشا
آشنا	ur	آشنا
آشکارا	ur	آشکارا
آشیرواد	ur	آشیرواد
آغا	ur	آغا
آغاز	ur	آغاز
آغوش	ur	آغوش
آفت	ur	آفت
آفتاب	ur	آفتاب
آفتابی	ur	آفتابی
آفتوں	ur	آفَتوں
آفریدی	ur	آفریدی
آفرین	ur	آفرین
آفیسر	ur	آفیسر
آقا	ur	آقا
آقچہ	ur	آقچہ
آلس	ur	آلس
آلسی	ur	آلسی
آلنگن	ur	آلنگن
آلو	ur	آلُو
آلود	ur	آلُود
آلودگی	ur	آلُودَگی
آلودگیاں	ur	آلُودَگُیاں
آلودگیو	ur	آلُودَگُیو
آلودگیوں	ur	آلُودَگُیوں
آلودہ	ur	آلُودہ
آلوچنا	ur	آلوچنا
آلوچہ	ur	آلُوچہ
آلوچہ	ur	آلُوچہ
آلچی	ur	آلچی
آلہ	ur	آلہ
آم	ur	آم
آمد	ur	آمد
آمدنی	ur	آمْدنی
آمر	ur	آمر
آملہ	ur	آملہ
آملہ	ur	آملہ
آمنہ	ur	آمَنہ
آمنہ	ur	آمَنہ
آموختہ	ur	آموختہ
آموختہ	ur	آموختہ
آمود	ur	آمود
آموزش	ur	آموزش
آنا	ur	آنا
آندھی	ur	آندھی
آندھیاں	ur	آندھُیاں
آندھیوں	ur	آندھُیوں
آنساؤ	ur	آنَساؤ
آنساؤں	ur	آنَساؤں
آنسہ	ur	آنَسہ
آنسہ	ur	آنَسہ
آنکھو	ur	آنکھو
آنگن	ur	آنگن
آواران	ur	آواران
آواز	ur	آواز
آوازو	ur	آوازو
آوازوں	ur	آوازوں
آٹا	ur	آٹا
آٹھ	ur	آٹھ
آٹھواں	ur	آٹھواں
آٹھویں	ur	آٹھویں
آپ	ur	آپ
آپا	ur	آپا
آپی	ur	آپی
آچار	ur	آچار
آڑو	ur	آڑُو
آکاش	ur	آکاش
آکاشی	ur	آکاشی
آکرشت	ur	آکرشت
آکرمن	ur	آکْرمن
آگ	ur	آگ
آگار	ur	آگار
آگاہ	ur	آگاہ
آگرہ	ur	آگرِہ
آگھات	ur	آگھات
آگے	ur	آگے
آہ	ur	آہ
آیا	ur	آیا
اب	ur	اب
ابا	ur	ابا
ابابیل	ur	ابابیل
اباضی	ur	اباضی
ابال	ur	ابال
ابالنا	ur	ابالنا
ابتدا	ur	ابْتدا
ابتدائی	ur	ابْتدائی
ابتسام	ur	ابْتسام
ابداع	ur	ابداع
ابراہیم	ur	ابراہیم
ابرق	ur	ابرق
