آبخانە	ps	آبخانَە
آبکند	ps	آبکنْد
آر	ps	آر
آره	ps	آره
آسو	ps	آسُو
آلمان	ps	آلمان
آيات	ps	آيات
آيرلنډ	ps	آيرْلنْډ
ابادول	ps	ابادَول
اتل	ps	اتل
اتلس	ps	اتَلس
اتله	ps	اتَله
اته	ps	اته
اتيا	ps	اتيا
اتڼ	ps	اتَڼ
اخ	ps	اخ
اخته	ps	اخته
اخلم	ps	اخلم
اخيستل	ps	اخيستل
اخښل	ps	اخښل
اخښی	ps	اخښَی
اردن	ps	اردن
ارزان	ps	ارزان
ارزانه	ps	ارزانه
ارمان	ps	ارمان
اري	ps	اري
اس	ps	اس
استقلال	ps	استقلال
استول	ps	استَول
اسمان	ps	اسمان
اسماني	ps	اسماني
اسټراليا	ps	اسْټْراليا
اسپه	ps	اسپه
اسکيمو	ps	اسکيمو
اغزی	ps	اغزَی
اغوستل	ps	اغوستل
اغږل	ps	اغږل
افغانستان	ps	افغانِستان
البانيا	ps	البانيا
البند	ps	البنْد
الجزایر	ps	الْجزایر
المانيا	ps	المانيا
المانی	ps	المانَی
امريکا	ps	امريکا
امېل	ps	امېل
انا	ps	انا
انار	ps	انار
اند	ps	انْد
انځور	ps	انځور
انځورګر	ps	انځورګَر
انګلستان	ps	انْګْلستان
انګوړی	ps	انګوړَی
اهاړ	ps	اهاړ
اوبدل	ps	اوبدل
اوبه	ps	اوبه
اور	ps	اور
اورلوبه	ps	اورلوبه
اوريګامي	ps	اوريګامي
اورګاډی	ps	اورګاډَی
اوسم	ps	اوسم
اوسېدل	ps	اوسېدل
اوش	ps	اوش
اوشه	ps	اوشه
اويم	ps	اويم
اوړه	ps	اوړه
اوړی	ps	اوړَی
اوږه	ps	اوږه
ايستل	ps	ايستل
ايغلو	ps	ايغلُو
اينو	ps	اينو
اپريدی	ps	اپريدَی
اپيم	ps	اپيم
اپين	ps	اپين
اچول	ps	اچَول
اړخ	ps	اړْخ
اړول	ps	اړُول
اړين	ps	اړين
اګل	ps	اګَل
ایټالیا	ps	ایټالیا
اېخ	ps	اېخ
اېسټونيا	ps	اېسټونيا
اېموجي	ps	اېموجي
بابا	ps	بابا
باد	ps	باد
بادام	ps	بادام
بادول	ps	بادَول
باران	ps	باران
بارول	ps	بارَول
بارکزی	ps	بارکزَی
بازو	ps	بازُو
باغ	ps	باغ
بالښت	ps	بالښْت
بام	ps	بام
باندې	ps	باندې
باچا	ps	باچا
باڼه	ps	باڼه
بته	ps	بته
بخارا	ps	بُخارا
بخښل	ps	بَخښل
بخښنه	ps	بخْښنه
بد	ps	بد
بدرو	ps	بَدرُو
بدسترګی	ps	بَدْسْترګَی
بدلاری	ps	بَدلارَی
بدلول	ps	بَدَلَول
بدلېدل	ps	بَدلېدل
بدمخی	ps	بدْمخَی
بده	ps	بده
بدي	ps	بدي
بدپوری	ps	بدپورَی
برابر	ps	بَرابَر
برايي	ps	برايي
بربنډ	ps	بربنْډ
برتانيه	ps	برتانيه
برج	ps	بْرج
برجۍ	ps	برجۍ
برطانيه	ps	برطانيه
برغټ	ps	برغټ
بريتانيا	ps	بْريتانِيا
برېت	ps	بْرېت
بغداد	ps	بَغداد
بغری	ps	بَغَرَی
بل	ps	بل
بلا	ps	بلا
بلغاريا	ps	بُلغاريا
بلغاريه	ps	بلغاريه
بلل	ps	بَلل
بن	ps	بن
بنج	ps	بَنْج
بنده	ps	بنده
بندول	ps	بندُول
بندي	ps	بندي
بنګېدل	ps	بنګېدل
به	ps	به
بوخت	ps	بوخْت
بولم	ps	بولم
بونا	ps	بونا
بيا	ps	بيا
بيزو	ps	بيزو
بيول	ps	بيول
بيژکۍ	ps	بيژَکۍ
بڅرکی	ps	بڅرکَی
بچ	ps	بَچ
بډایه	ps	بډایه
بړستن	ps	بْړستن
بکاڼه	ps	بکاڼه
بڼ	ps	بَڼ
بڼکی	ps	بڼکَی
بېخي	ps	بېخي
بېرته	ps	بېرته
بې	ps	بې
بېل	ps	بېل
بېلچه	ps	بېلچه
بېړۍ	ps	بېړۍ
تاجیکستان	ps	تاجیکِستان
تاسو	ps	تاسو
تاسې	ps	تاسې
تاشکند	ps	تاشکَنْد
تاو	ps	تاو
تاوان	ps	تاوان
ترکيه	ps	ترْکيه
تل	ps	تَل
تلل	ps	تْلل
تماله	ps	تماله
ته	ps	ته
تود	ps	تود
تور	ps	تور
توپان	ps	توپان
تيپي	ps	تيپي
تپوس	ps	تَپوس
تړل	ps	تړل
