وشوہ	urd	ʋˈɪʃʋ
وشوه	urd	ʋˈɪʃʋ
او	urd	ˈoː
کلکتہ	urd	kˈoːlkɑːt̪ɑː
پلک	urd	pˈələk
تیر	urd	t̪ˈiːɾ
اوم	urd	ˈõːm
نیپالی	urd	neːpˈɑːliː
ون	urd	ʋˈən
یدی	urd	jˈəd̪ɪ
گرہ	urd	ɡɾˈɪɦ
وکشنری	urd	ʋɪkʃˈənɾiː
مورکھ	urd	mˈuːɾkʰ
مدھر	urd	mˈəd̪ʱʊɾ
تیلگو	urd	t̪ˈeːlʊɡʊ
شنیوار	urd	ʃənɪʋˈɑːɾ
تامل	urd	t̪ˈəmɪl
انواد	urd	ənʊʋˈɑːd̪
انراگ	urd	ənʊɾˈɑːɡ
دیوتا	urd	d̪ˈeːʋt̪ɑː
پرماتما	urd	pəɾmˈɑːt̪mɑː
پونڈیچری	urd	pˈɔː̃ɳɖɪt͡ʃeːɾiː
بنگلور	urd	bə̃ŋɡəlˈuːɾ
سندوری	urd	sˈɪ̃n̪d̪uːɾiː
سندور	urd	sɪ̃n̪d̪ˈuːɾ
نیلا	urd	nˈiːlɑː
کرشن	urd	kɾˈɪʃɳ
شویت	urd	ʃʋˈeːt̪
ماتر	urd	mˈɑːt̪ɾɪ
اٹلی	urd	ˈɪʈliː
سنسکرتی	urd	sˈə̃skɾɪt̪ɪ
کبوتر	urd	kəbˈuːt̪əɾ
درپں	urd	d̪ˈəɾpəɳ
تامر	urd	t̪ˈɑːmɾ
لاوا	urd	lˈɑːʋɑː
حلق	urd	ɦˈələq
کرسمس	urd	kɾˈɪsməs
اشو	urd	ˈəʃʋ
سربیائی	urd	səɾbɪjˈɑːiː
ذرا	urd	zˈəɾɑː
کھنڈیلوال	urd	kʰə̃ɳɖeːlʋˈɑːl
شویتا	urd	ʃʋˈeːt̪ɑː
مگر	urd	mˈəɡəɾ
پریہ	urd	pɾˈɪj
پراݨ	urd	pɾˈɑːɳ
نتیہ	urd	nˈɪt̪j
اہنسا	urd	əɦˈɪ̃sɑː
گیان	urd	d͡ʒɲˈɑːn
دوار	urd	d̪ʋˈɑːɾ
دیہ	urd	d̪ˈeːɦ
بدھی	urd	bˈʊd̪ʱːɪ
ادھرم	urd	əd̪ʱˈəɾm
کاریہ	urd	kˈɑːɾj
کشيتر	urd	kʃˈeːt̪ɾ
مان	urd	mˈɑːn
دیو	urd	d̪ˈeːʋ
پريتن	urd	pɾəjˈət̪n
سنسکار	urd	sə̃skˈɑːɾ
گندھ	urd	ɡˈə̃n̪d̪ʱ
اس	urd	ˈɪs
ان	urd	ˈɪn
تک	urd	t̪ˈək
سارہ	urd	sˈɑːɾɑː
زیادہ	urd	zjˈɑːd̪ɑː
دوتاواس	urd	d̪uːt̪ɑːʋˈɑːs
آواس	urd	ɑːʋˈɑːs
مادر	urd	mˈɑːd̪əɾ
ادویت	urd	əd̪ʋˈɛːt̪
نابھی	urd	nˈɑːbʱɪ
بتی	urd	bˈət̪ːiː
ستری	urd	st̪ɾˈiː
پشو	urd	pˈəʃʊ
پودا	urd	pˈɔːd̪ʱɑː
مستشک	urd	məst̪ˈɪʃk
من	urd	mˈən
سچائی	urd	sət͡ʃːˈɑːiː
ستیہ	urd	sˈət̪j
نیتگرنتھ	urd	niːt̪ɪɡɾˈə̃n̪t̪ʰ
باپ	urd	bˈɑːp
جئی	urd	d͡ʒˈəiː
کھادیہ	urd	kʰˈɑːd̪j
انناس	urd	ənənːˈɑːs
وائن	urd	ʋˈɑːɪn
افریقا	urd	əfɾˈiːkɑː
انٹارٹکا	urd	ə̃ɳʈˈɑːɾʈɪkɑː
ایشیا	urd	ˈeːʃɪjɑː
غلامی	urd	ɣʊlˈɑːmiː
یگ	urd	jˈʊɡ
راجنیتی	urd	ɾˈɑːd͡ʒniːt̪ɪ
ڈایناسور	urd	ɖɑːjnoːsˈoːɾ
اربی	urd	ˈəɾbiː
کوریائی	urd	koːɾɪjˈɑːiː
اٹالین	urd	ɪʈˈɑːlɪjən
منگلوار	urd	mə̃ŋɡəlʋˈɑːɾ
شکروار	urd	ʃʊkɾəʋˈɑːɾ
وشيشن	urd	ʋɪʃˈeːʃəɳ
تیس	urd	t̪ˈiːs
چالیس	urd	t͡ʃɑːlˈiːs
پچاس	urd	pət͡ʃˈɑːs
ساٹھ	urd	sˈɑːʈʰ
ستر	urd	sˈət̪ːəɾ
اسی	urd	ˈəsːiː
نوے	urd	nˈəʋʋeː
سو	urd	sˈɔː
ہزار	urd	ɦəzˈɑːɾ
وياپار	urd	ʋjɑːpˈɑːɾ
گیتکار	urd	ɡiːt̪kˈɑːɾ
آچاریہ	urd	ɑːt͡ʃˈɑːɾj
پجاری	urd	pʊd͡ʒˈɑːɾiː
مزدوری	urd	məzd̪ˈuːɾiː
وچارک	urd	ʋɪt͡ʃˈɑːɾək
نرت	urd	nɾˈɪt̪j
کلا	urd	kˈəlɑː
جاز	urd	d͡ʒˈɑːz
الیکٹران	urd	ɪleːkʈɾˈɔːn
گتی	urd	ɡˈət̪ɪ
کشیترفل	urd	kʃˈeːt̪ɾəfəl
انچائی	urd	ˈʊ̃ɲt͡ʃɑːiː
بل	urd	bˈəl
اورجا	urd	ˈuːɾd͡ʒɑː
کیٹ	urd	kˈiːʈ
سریسرپ	urd	səɾˈiːsɾɪp
سرپ	urd	sˈəɾp
پرتھوی	urd	pɾˈɪt̪ʰʋiː
منگل	urd	mˈə̃ŋɡəl
نیپچون	urd	neːpt͡ʃjˈuːn
پلوٹو	urd	plˈuːʈoː
کوارٹز	urd	kʋˈɑːɾʈəz
ٹن	urd	ʈˈɪn
سپھٹیاتو	urd	spʰəʈjˈɑːt̪ʊ
کانسا	urd	kˈɑː̃sɑː
ٹکنولاجی	urd	ʈˈɛːknoːlɔːd͡ʒiː
لیکھن	urd	lˈeːkʰən
چکر	urd	t͡ʃˈəkɾ
اچالن	urd	ʊt͡ʃːˈɑːlən
ایسپیرانتو	urd	eːspeːɾˈɑː̃n̪t̪oː
پرمڈ	urd	pˈɪɾmɪɖ
دیوار	urd	d̪iːʋˈɑːɾ
تیراکی	urd	t̪ɛːɾˈɑːkiː
ایڈز	urd	ˈeːɖs
ملیریا	urd	məlˈeːɾɪjɑː
کالرا	urd	kˈɔːlɾɑː
بدھرتا	urd	bəd̪ʱˈɪɾt̪ɑː
پیلا	urd	pˈiːlɑː
کیسری	urd	kˈeːsɾiː
انو	urd	ˈəɳʊ
کہکشاں	urd	kɑːɦəkʃˈɑːn
سالا	urd	sˈɑːlɑː
سالی	urd	sˈɑːliː
دوربھاش	urd	d̪uːɾbʱˈɑːʃ
لیزر	urd	lˈeːɪzəɾ
انٹرنیٹ	urd	ɪnʈəɾnˈeːʈ
سنکھیہ	urd	sˈə̃ŋkʰjɑː
بھومتی	urd	bʱˈuːmɪt̪ɪ
ہردی	urd	ɦɾˈɪd̪ɛj
یونی	urd	jˈoːnɪ
پلیہا	urd	plˈiːɦɑː
ستن	urd	st̪ˈən
مستک	urd	mˈəst̪ək
کوڑھ	urd	kˈoːɽʱ
ٹیکا	urd	ʈˈiːkɑː
ہماپرپات	urd	ɦɪməpɾəpˈɑːt̪
تسونامی	urd	t̪suːnˈɑːmiː
جلدی	urd	d͡ʒˈəld̪iː
دھیرے	urd	d̪ʱˈiːɾeː
دیر	urd	d̪ˈeːɾ
نيچا	urd	nˈiːt͡ʃɑː
اتھلا	urd	ˈʊt̪ʰlɑː
دھیما	urd	d̪ʱˈiːmɑː
چھوڑنا	urd	t͡ʃʰˈoːɽnɑː
بیٹھانا	urd	bɛːʈʰˈɑːnɑː
کھوجنا	urd	kʰˈoːd͡ʒnɑː
راک	urd	ɾˈɔːk
پیشہ	urd	pˈeːʃɑː
چانپنا	urd	t͡ʃˈɑː̃pnɑː
کریا	urd	kɾˈɪjɑː
ڈیل	urd	ɖˈiːl
اکٹوبر	urd	əkʈˈuːbəɾ
اتینت	urd	ət̪jˈənt̪
افسوس	urd	əfsˈoːs
ابھلاشا	urd	əbʱɪlˈɑːʃɑː
اماں	urd	ˈəmːɑː̃
اوشیے	urd	əʋˈəʃj
اسمبھو	urd	əsˈəmbʱəʋ
آخر	urd	ˈɑːxɪɾ
آنند	urd	ɑːnˈə̃n̪d̪
آیو	urd	ˈɑːjʊ
آوشیک	urd	ɑːʋˈəʃjək
ادھک	urd	ˈəd̪ʱɪk
تواریخ	urd	t̪əʋɑːɾˈiːx
عمارت	urd	ɪmˈɑːɾət̪
ایرشاوان	urd	iːɾʃɑːʋˈɑːn
اتر	urd	ˈʊt̪ːəɾ
اتری	urd	ˈʊt̪ːəɾiː
گایکا	urd	ɡˈɑːjɪkɑː
گرووار	urd	ɡʊɾʊʋˈɑːɾ
اڑیسہ	urd	ʊɽˈiːsɑː
گنوانا	urd	ɡə̃ʋˈɑːnɑː
گند	urd	ɡˈə̃n̪d̪
گلا	urd	ɡˈəlɑː
گربھ	urd	ɡˈəɾbʱ
گزر	urd	ɡˈəzəɾ
غصہ	urd	ɣˈʊsːɑː
گیتا	urd	ɡˈiːt̪ɑː
گریشم	urd	ɡɾˈiːʃm
گتودھی	urd	ɡˈət̪ɪʋɪd̪ʱɪ
گانووالا	urd	ɡˈɑː̃ʋʋɑːlɑː
گود	urd	ɡˈoːd̪
گھٹنی	urd	ɡʱˈʊʈniː
چمکنا	urd	t͡ʃəmˈəknɑː
چمڑا	urd	t͡ʃˈəmɽɑː
ماتھ	urd	mˈɑːt̪ʰ
متر	urd	mˈɪt̪ɾ
مانس	urd	mˈɑː̃s
تنور	urd	t̪ənˈuːɾ
ادار	urd	ʊd̪ˈɑːɾ
کھونا	urd	kʰˈoːnɑː
کھید	urd	kʰˈeːd̪
خاوند	urd	xɑːʋˈə̃n̪d̪
رتو	urd	ɾˈɪt̪ʊ
جگت	urd	d͡ʒˈəɡət̪
ناتھ	urd	nˈɑːt̪ʰ
چندا	urd	t͡ʃˈənd̪ɑː
آجنا	urd	ˈɑːd͡ʒɲɑː
اجلائی	urd	ʊd͡ʒlˈɑːiː
اگیان	urd	əd͡ʒɲˈɑːn
اتھاہ	urd	ət̪ʰˈɑːɦ
ادر	urd	ˈʊd̪əɾ
اشنیش	urd	ʊʃɳˈiːʃ
بارود	urd	bɑːɾˈuːd̪
چاکر	urd	t͡ʃˈɑːkəɾ
چتھڑا	urd	t͡ʃˈɪt̪ʰɽɑː
کٹھن	urd	kˈəʈʰɪn
کٹھنائی	urd	kəʈʰɪnˈɑːiː
کڑا	urd	kˈəɽɑː
قمر	urd	kˈəməɾ
کوی	urd	kˈəʋiː
حل	urd	ɦˈəl
اوت	urd	əˈuːt̪
ایسٹونیا	urd	ˈeːsʈoːnɪjɑː
کار	urd	kˈɑːɾ
زرد	urd	zˈəɾd̪
بد	urd	bˈəd̪
کباب	urd	kəbˈɑːb
خاک	urd	xˈɑːk
یوگیتا	urd	jˈoːɡjət̪ɑː
توتی	urd	t̪ˈoːt̪iː
توتا	urd	t̪ˈoːt̪ɑː
یہودا	urd	jəɦˈuːd̪ɑː
پگوڈا	urd	pəɡˈoːɖɑː
دیول	urd	d̪ˈeːʋəl
دین	urd	d̪ˈɛːn
کشورا	urd	kɪʃˈoːɾɑː
کشوری	urd	kɪʃˈoːɾiː
کشورک	urd	kʃˈɔːɾɪk
ذاتی	urd	zˈɑːt̪iː
باکرہ	urd	bˈɑːkɪɾɑː
کلیجی	urd	kəlˈeːd͡ʒiː
اصلی	urd	ˈəsliː
راگ	urd	ɾˈɑːɡ
درہ	urd	d̪ˈəɾɾɑː
اما	urd	ˈʊmɑː
دریائی	urd	d̪əɾjˈɑːiː
شبہہ	urd	ʃˈʊbɦɑː
شیطانی	urd	ʃɛːt̪ˈɑːniː
اوکھ	urd	ˈuːkʰ
گھرم	urd	ɡʱˈəɾm
ایڑی	urd	ˈeːɽiː
ایڑ	urd	ˈeːɽ
اوکھلی	urd	ˈoːkʰliː
کشری	urd	kʃˈʊɾiː
کسک	urd	kˈəsək
کھوپ	urd	kʰˈoːp
مدرسہ	urd	mˈəd̪ɾəsɑː
مایی	urd	mˈɑːjiː
مایا	urd	mˈɑːjɑː
بکاین	urd	bəkˈɑːjən
معلمہ	urd	mˈʊəlːɪmɑː
معلمی	urd	mˈʊəlːɪmiː
لچک	urd	lˈət͡ʃək
مردن	urd	mˈəɾd̪ən
مردنیا	urd	mˈəɾd̪ənɪjɑː
گور	urd	ɡˈoːɾ
نم	urd	nˈəm
تیج	urd	t̪ˈiːd͡ʒ
پورن	urd	pˈuːɾɳ
چرم	urd	t͡ʃˈəɾəm
عراقی	urd	ɪɾˈɑːqiː
رفتہ	urd	ɾˈəft̪ɑː
مال	urd	mˈɑːl
چاپ	urd	t͡ʃˈɑːp
دھنش	urd	d̪ʱˈənʊʃ
سکم	urd	sˈɪkːɪm
شہد	urd	ʃˈɛɦɛd̪
خاقان	urd	xɑːqˈɑːn
کوارک	urd	kʋˈɑːɾk
گل	urd	ɡˈʊl
ابچل	urd	ˈəbɪt͡ʃəl
گنتارا	urd	ɡɪnt̪ˈɑːɾɑː
پتر	urd	pˈət̪ɾ
چیک	urd	t͡ʃˈeːk
پدھارنا	urd	pəd̪ʱˈɑːɾnɑː
اطالوی	urd	ɪt̪ˈɑːlʋiː
بھلا	urd	bʱˈəlɑː
